Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,6,4.0,2,10,CRO,4.0,CONSTANTIN-BICARI,10 - 6,405,CAN,6:45,Post,0
Action shot,6,5.0,2,10,CRO,4.0,JOKOVIC M,10 - 6,385,CRO,6:25,Saved,0
5m shot,6,9.0,2,11,CRO,4.0,SUKNO S,11 - 6,378,CRO,6:18,Goal,1
5m shot,6,5.0,2,11,CRO,4.0,JOKOVIC M,11 - 6,326,CRO,5:26,Saved,0
5m shot,6,8.0,2,11,CRO,4.0,GRAHAM K,11 - 6,296,CAN,4:56,Missed,0
Centre shot,6,10.0,2,11,CRO,4.0,DOBUD N,11 - 6,270,CRO,4:30,Saved,0
Centre shot,6,7.0,2,11,CRO,4.0,MUSLIM P,11 - 6,178,CRO,2:58,Missed,0
Centre shot,6,9.0,2,12,CRO,4.0,SUKNO S,12 - 6,152,CRO,2:32,Goal,1
Extra player shot,7,5.0,2,12,CRO,4.0,BOYD J,12 - 7,120,CAN,2:00,Goal,1
Extra player shot,7,4.0,2,12,CRO,4.0,PASKVALIN F,12 - 7,87,CRO,1:27,Blocked,0
Action shot,7,5.0,2,12,CRO,4.0,BOYD J,12 - 7,63,CAN,1:03,Saved,0
Action shot,7,5.0,2,13,CRO,4.0,JOKOVIC M,13 - 7,35,CRO,0:35,Goal,1
5m shot,7,11.0,2,13,CRO,4.0,SETKA A,13 - 7,2,CRO,0:02,Saved,0
5m shot,0,8.0,3,0,USA,1.0,GRAHAM K,0 - 0,452,CAN,7:32,Post,0
Action shot,0,4.0,3,1,USA,1.0,BOWEN A,0 - 1,324,USA,5:24,Goal,1
Action shot,0,9.0,3,1,USA,1.0,DIGGLE D,0 - 1,297,CAN,4:57,Saved,0
Action shot,0,11.0,3,1,USA,1.0,ROSENTHAL M,0 - 1,284,USA,4:44,Saved,0
Centre shot,0,4.0,3,1,USA,1.0,CONSTANTIN-BICARI,0 - 1,266,CAN,4:26,Missed,0
Extra player shot,0,8.0,3,1,USA,1.0,AZEVEDO A,0 - 1,243,USA,4:03,Missed,0
5m shot,0,6.0,3,1,USA,1.0,ROBINSON S,0 - 1,217,CAN,3:37,Blocked,0
Action shot,0,2.0,3,1,USA,1.0,KUDABA C,0 - 1,157,CAN,2:37,Blocked,0
Action shot,0,4.0,3,2,USA,1.0,BOWEN A,0 - 2,134,USA,2:14,Goal,1
Action shot,0,5.0,3,2,USA,1.0,BOYD J,0 - 2,106,CAN,1:46,Saved,0
Action shot,0,9.0,3,2,USA,1.0,BUCKNER S,0 - 2,87,USA,1:27,Saved,0
5m shot,1,12.0,3,2,USA,1.0,McELROY J,1 - 2,61,CAN,1:01,Goal,1
Extra player shot,2,12.0,3,2,USA,1.0,McELROY J,2 - 2,0,CAN,0:00,Goal,1
Centre shot,2,4.0,3,2,USA,2.0,CONSTANTIN-BICARI,2 - 2,452,CAN,7:32,Saved,0
Centre shot,2,12.0,3,3,USA,2.0,MANN J,2 - 3,427,USA,7:07,Goal,1
Extra player shot,2,12.0,3,3,USA,2.0,McELROY J,2 - 3,386,CAN,6:26,Saved,0
Extra player shot,2,9.0,3,3,USA,2.0,BUCKNER S,2 - 3,367,USA,6:07,Missed,0
Action shot,2,2.0,3,3,USA,2.0,KUDABA C,2 - 3,346,CAN,5:46,Saved,0
Action shot,2,8.0,3,3,USA,2.0,AZEVEDO A,2 - 3,308,USA,5:08,Saved,0
Action shot,2,12.0,3,3,USA,2.0,McELROY J,2 - 3,282,CAN,4:42,Blocked,0
5m shot,2,8.0,3,3,USA,2.0,GRAHAM K,2 - 3,233,CAN,3:53,Saved,0
Action shot,2,9.0,3,3,USA,2.0,BUCKNER S,2 - 3,34,USA,0:34,Post,0
5m shot,2,5.0,3,3,USA,2.0,de TRANE M,2 - 3,1,USA,0:01,Saved,0
Action shot,2,4.0,3,4,USA,3.0,BOWEN A,2 - 4,451,USA,7:31,Goal,1
Action shot,2,2.0,3,4,USA,3.0,WIGO J,2 - 4,381,USA,6:21,Blocked,0
Action shot,2,9.0,3,4,USA,3.0,DIGGLE D,2 - 4,360,CAN,6:00,Saved,0
Extra player shot,2,12.0,3,5,USA,3.0,MANN J,2 - 5,315,USA,5:15,Goal,1
Action shot,2,4.0,3,5,USA,3.0,CONSTANTIN-BICARI,2 - 5,238,CAN,3:58,Missed,0
Action shot,2,9.0,3,5,USA,3.0,DIGGLE D,2 - 5,201,CAN,3:21,Blocked,0
5m shot,2,4.0,3,5,USA,3.0,BOWEN A,2 - 5,171,USA,2:51,Post,0
Extra player shot,2,2.0,3,5,USA,3.0,KUDABA C,2 - 5,125,CAN,2:05,Saved,0
Counter attack,3,4.0,3,5,USA,3.0,CONSTANTIN-BICARI,3 - 5,38,CAN,0:38,Goal,1
Action shot,3,4.0,3,5,USA,3.0,BOWEN A,3 - 5,13,USA,0:13,Blocked,0
5m shot,3,10.0,3,5,USA,3.0,CONWAY J,3 - 5,1,CAN,0:01,Saved,0
Action shot,4,12.0,3,5,USA,4.0,McELROY J,4 - 5,455,CAN,7:35,Goal,1
Action shot,4,5.0,3,6,USA,4.0,de TRANE M,4 - 6,431,USA,7:11,Goal,1
Centre shot,4,7.0,3,6,USA,4.0,KRUMPHOLZ J,4 - 6,398,USA,6:38,Saved,0
Action shot,4,9.0,3,6,USA,4.0,DIGGLE D,4 - 6,371,CAN,6:11,Missed,0
Extra player shot,4,4.0,3,6,USA,4.0,BOWEN A,4 - 6,335,USA,5:35,Post,0
Action shot,4,2.0,3,7,USA,4.0,WIGO J,4 - 7,324,USA,5:24,Goal,1
Action shot,4,2.0,3,7,USA,4.0,KUDABA C,4 - 7,305,CAN,5:05,Post,0
Action shot,5,10.0,3,7,USA,4.0,CONWAY J,5 - 7,262,CAN,4:22,Goal,1
5m shot,5,8.0,3,7,USA,4.0,AZEVEDO A,5 - 7,234,USA,3:54,Post,0
Action shot,5,5.0,3,7,USA,4.0,BOYD J,5 - 7,213,CAN,3:33,Saved,0
Action shot,6,2.0,3,7,USA,4.0,KUDABA C,6 - 7,195,CAN,3:15,Goal,1
Centre shot,6,8.0,3,7,USA,4.0,AZEVEDO A,6 - 7,175,USA,2:55,Post,0
5m shot,6,12.0,3,7,USA,4.0,McELROY J,6 - 7,147,CAN,2:27,Missed,0
Penalty shot,6,8.0,3,8,USA,4.0,AZEVEDO A,6 - 8,130,USA,2:10,Goal,1
Action shot,6,9.0,3,8,USA,4.0,DIGGLE D,6 - 8,81,CAN,1:21,Saved,0
Extra player shot,7,8.0,3,8,USA,4.0,GRAHAM K,7 - 8,50,CAN,0:50,Goal,1
Action shot,7,2.0,3,8,USA,4.0,WIGO J,7 - 8,22,USA,0:22,Blocked,0
5m shot,0,4.0,4,0,MNE,1.0,CONSTANTIN-BICARI,0 - 0,452,CAN,7:32,Blocked,0
Extra player shot,0,7.0,4,1,MNE,1.0,JANOVIC M,1 - 0,421,MNE,7:01,Goal,1
Centre shot,0,4.0,4,1,MNE,1.0,CONSTANTIN-BICARI,1 - 0,400,CAN,6:40,Saved,0
Centre shot,1,4.0,4,1,MNE,1.0,CONSTANTIN-BICARI,1 - 1,376,CAN,6:16,Goal,1
Action shot,1,8.0,4,1,MNE,1.0,GRAHAM K,1 - 1,316,CAN,5:16,Saved,0
Action shot,1,8.0,4,1,MNE,1.0,JANOVIC N,1 - 1,286,MNE,4:46,Post,0
Action shot,1,9.0,4,1,MNE,1.0,IVOVIC A,1 - 1,248,MNE,4:08,Post,0
Extra player shot,1,7.0,4,1,MNE,1.0,JANOVIC M,1 - 1,231,MNE,3:51,Blocked,0
Action shot,1,7.0,4,2,MNE,1.0,JANOVIC M,2 - 1,214,MNE,3:34,Goal,1
Action shot,1,5.0,4,2,MNE,1.0,BOYD J,2 - 1,154,CAN,2:34,Post,0
Action shot,1,7.0,4,2,MNE,1.0,JANOVIC M,2 - 1,113,MNE,1:53,Saved,0
Centre shot,1,4.0,4,2,MNE,1.0,CONSTANTIN-BICARI,2 - 1,87,CAN,1:27,Saved,0
Action shot,1,12.0,4,2,MNE,1.0,JOKIC P,2 - 1,58,MNE,0:58,Blocked,0
Extra player shot,1,12.0,4,2,MNE,1.0,McELROY J,2 - 1,17,CAN,0:17,Saved,0
Action shot,1,9.0,4,2,MNE,1.0,DIGGLE D,2 - 1,3,CAN,0:03,Blocked,0
5m shot,1,7.0,4,2,MNE,1.0,JANOVIC M,2 - 1,1,MNE,0:01,Saved,0
Action shot,1,2.0,4,2,MNE,2.0,BRGULJAN D,2 - 1,437,MNE,7:17,Missed,0
5m shot,1,2.0,4,2,MNE,2.0,KUDABA C,2 - 1,368,CAN,6:08,Missed,0
5m shot,1,9.0,4,3,MNE,2.0,IVOVIC A,3 - 1,350,MNE,5:50,Goal,1
Action shot,1,6.0,4,3,MNE,2.0,CROUSILLAT U,3 - 1,279,MNE,4:39,Saved,0
Action shot,1,9.0,4,3,MNE,2.0,DIGGLE D,3 - 1,252,CAN,4:12,Post,0
Action shot,1,9.0,4,3,MNE,2.0,DIGGLE D,3 - 1,130,CAN,2:10,Blocked,0
Centre shot,1,8.0,4,4,MNE,2.0,JANOVIC N,4 - 1,112,MNE,1:52,Goal,1
Action shot,1,5.0,4,4,MNE,2.0,BOYD J,4 - 1,70,CAN,1:10,Saved,0
Extra player shot,1,11.0,4,5,MNE,2.0,KLIKOVAK F,5 - 1,33,MNE,0:33,Goal,1
Centre shot,1,4.0,4,5,MNE,2.0,CONSTANTIN-BICARI,5 - 1,11,CAN,0:11,Saved,0
5m shot,1,8.0,4,5,MNE,2.0,JANOVIC N,5 - 1,1,MNE,0:01,Missed,0
Action shot,1,8.0,4,6,MNE,3.0,JANOVIC N,6 - 1,450,MNE,7:30,Goal,1
Action shot,1,9.0,4,6,MNE,3.0,DIGGLE D,6 - 1,423,CAN,7:03,Post,0
Action shot,1,8.0,4,6,MNE,3.0,JANOVIC N,6 - 1,395,MNE,6:35,Blocked,0
Action shot,2,2.0,4,6,MNE,3.0,KUDABA C,6 - 2,368,CAN,6:08,Goal,1
Centre shot,2,3.0,4,6,MNE,3.0,PASKOVIC V,6 - 2,285,MNE,4:45,Post,0
5m shot,2,8.0,4,6,MNE,3.0,GRAHAM K,6 - 2,256,CAN,4:16,Saved,0
Action shot,2,6.0,4,7,MNE,3.0,CROUSILLAT U,7 - 2,231,MNE,3:51,Goal,1
Action shot,2,6.0,4,7,MNE,3.0,CROUSILLAT U,7 - 2,187,MNE,3:07,Post,0
Action shot,3,8.0,4,7,MNE,3.0,GRAHAM K,7 - 3,129,CAN,2:09,Goal,1
Action shot,3,7.0,4,7,MNE,3.0,JANOVIC M,7 - 3,99,MNE,1:39,Post,0
Action shot,3,10.0,4,7,MNE,3.0,CONWAY J,7 - 3,69,CAN,1:09,Blocked,0
Centre shot,3,7.0,4,7,MNE,3.0,JANOVIC M,7 - 3,39,MNE,0:39,Missed,0
Action shot,4,2.0,4,7,MNE,3.0,KUDABA C,7 - 4,13,CAN,0:13,Goal,1
5m shot,4,4.0,4,8,MNE,3.0,PETROVIC A,8 - 4,3,MNE,0:03,Goal,1
5m shot,4,8.0,4,8,MNE,3.0,GRAHAM K,8 - 4,1,CAN,0:01,Blocked,0
Centre shot,4,4.0,4,8,MNE,4.0,CONSTANTIN-BICARI,8 - 4,456,CAN,7:36,Saved,0
Action shot,4,8.0,4,8,MNE,4.0,GRAHAM K,8 - 4,409,CAN,6:49,Blocked,0
5m shot,4,9.0,4,9,MNE,4.0,IVOVIC A,9 - 4,385,MNE,6:25,Goal,1
Extra player shot,4,5.0,4,9,MNE,4.0,BRGULJAN D,9 - 4,310,MNE,5:10,Post,0
Action shot,4,9.0,4,9,MNE,4.0,DIGGLE D,9 - 4,284,CAN,4:44,Missed,0
5m shot,4,12.0,4,9,MNE,4.0,JOKIC P,9 - 4,267,MNE,4:27,Saved,0
Extra player shot,4,10.0,4,9,MNE,4.0,MISIC S,9 - 4,213,MNE,3:33,Saved,0
Action shot,4,5.0,4,9,MNE,4.0,BRGULJAN D,9 - 4,190,MNE,3:10,Saved,0
Action shot,4,9.0,4,10,MNE,4.0,IVOVIC A,10 - 4,152,MNE,2:32,Goal,1
Extra player shot,4,4.0,4,10,MNE,4.0,CONSTANTIN-BICARI,10 - 4,134,CAN,2:14,Saved,0
Action shot,4,12.0,4,10,MNE,4.0,McELROY J,10 - 4,112,CAN,1:52,Missed,0
Counter attack,4,2.0,4,11,MNE,4.0,BRGULJAN D,11 - 4,101,MNE,1:41,Goal,1
Action shot,4,2.0,4,11,MNE,4.0,KUDABA C,11 - 4,74,CAN,1:14,Saved,0
5m shot,4,2.0,4,12,MNE,4.0,BRGULJAN D,12 - 4,45,MNE,0:45,Goal,1
