Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Steal,1,1.0,2,4,CRO,2.0,PAVIC J,4 - 1,341,CRO,5:41
Action shot - Post,1,5.0,2,4,CRO,2.0,JOKOVIC M,4 - 1,313,CRO,5:13
Turnover foul,1,8.0,2,4,CRO,2.0,GRAHAM K,4 - 1,299,CAN,4:59
Turnover foul,1,12.0,2,4,CRO,2.0,OBRADOVIC P,4 - 1,274,CRO,4:34
Penalty foul,1,12.0,2,4,CRO,2.0,OBRADOVIC P,4 - 1,257,CRO,4:17
Penalty shot - Goal,2,8.0,2,4,CRO,2.0,GRAHAM K,4 - 2,254,CAN,4:14
20 sec. exclusion in centre,2,2.0,2,4,CRO,2.0,KUDABA C,4 - 2,223,CAN,3:43
Extra player shot - Goal,2,9.0,2,5,CRO,2.0,SUKNO S,5 - 2,209,CRO,3:29
5m shot - Saved,2,12.0,2,5,CRO,2.0,McELROY J,5 - 2,185,CAN,3:05
Action shot - Post,2,5.0,2,5,CRO,2.0,JOKOVIC M,5 - 2,157,CRO,2:37
20 sec. exclusion in centre,2,12.0,2,5,CRO,2.0,McELROY J,5 - 2,147,CAN,2:27
Action shot - Goal,2,7.0,2,6,CRO,2.0,MUSLIM P,6 - 2,121,CRO,2:01
Turnover foul,2,3.0,2,6,CRO,2.0,VIKALO O,6 - 2,89,CAN,1:29
Steal,2,9.0,2,6,CRO,2.0,SUKNO S,6 - 2,89,CRO,1:29
Turnover foul,2,4.0,2,6,CRO,2.0,PASKVALIN F,6 - 2,71,CRO,1:11
20 sec. exclusion in centre,2,3.0,2,6,CRO,2.0,MILAKOVIC I,6 - 2,50,CRO,0:50
Extra player shot - Goal,3,9.0,2,6,CRO,2.0,DIGGLE D,6 - 3,30,CAN,0:30
Centre shot - Saved,3,10.0,2,6,CRO,2.0,DOBUD N,6 - 3,2,CRO,0:02
Starting goalkeeper,3,1.0,2,6,CRO,3.0,PAVIC J,6 - 3,480,CRO,8:00
Starting goalkeeper,3,1.0,2,6,CRO,3.0,RANDALL R,6 - 3,480,CAN,8:00
Sprint won possession,3,11.0,2,6,CRO,3.0,SETKA A,6 - 3,480,CRO,8:00
Penalty foul,3,6.0,2,6,CRO,3.0,ROBINSON S,6 - 3,462,CAN,7:42
Penalty shot - Goal,3,5.0,2,7,CRO,3.0,JOKOVIC M,7 - 3,462,CRO,7:42
Turnover foul,3,8.0,2,7,CRO,3.0,GRAHAM K,7 - 3,445,CAN,7:25
Centre shot - Goal,8,10.0,2,13,CRO,4.0,CONWAY J,13 - 8,12,CAN,0:12
Steal,8,9.0,2,13,CRO,3.0,SUKNO S,13 - 8,445,CRO,7:25
Action shot - Post,8,7.0,2,13,CRO,3.0,MUSLIM P,13 - 8,418,CRO,6:58
Turnover foul,8,6.0,2,13,CRO,3.0,ROBINSON S,13 - 8,389,CAN,6:29
20 sec. exclusion in field,8,1.0,2,13,CRO,3.0,RANDALL R,13 - 8,383,CAN,6:23
Extra player shot - Goal,3,7.0,2,8,CRO,3.0,MUSLIM P,8 - 3,375,CRO,6:15
Turnover foul,3,8.0,2,8,CRO,3.0,GRAHAM K,8 - 3,352,CAN,5:52
Steal,3,1.0,2,8,CRO,3.0,PAVIC J,8 - 3,352,CRO,5:52
Turnover foul,3,10.0,2,8,CRO,3.0,DOBUD N,8 - 3,330,CRO,5:30
Steal,3,8.0,2,8,CRO,3.0,GRAHAM K,8 - 3,330,CAN,5:30
20 sec. exclusion in field,3,10.0,2,8,CRO,3.0,DOBUD N,8 - 3,327,CRO,5:27
Time-Out,3,,2,8,CRO,3.0,,8 - 3,324,CAN,5:24
