Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Centre shot - Saved,4.0,2,0,JPN,1.0,OBERT A,1 - 0,418,USA,6:58,1
Action shot - Saved,11.0,2,0,JPN,1.0,OKAWA K,1 - 0,403,JPN,6:43,1
5m shot - Saved,11.0,2,0,JPN,1.0,OKAWA K,1 - 0,388,JPN,6:28,1
5m shot - Post,4.0,2,0,JPN,1.0,OBERT A,1 - 0,360,USA,6:00,1
Action shot - Saved,2.0,2,0,JPN,1.0,ADACHI S,1 - 0,334,JPN,5:34,1
5m shot - Saved,4.0,2,0,JPN,1.0,OBERT A,1 - 0,313,USA,5:13,1
Turnover foul,6.0,2,0,JPN,1.0,CUPIDO L,1 - 0,306,USA,5:06,1
Steal,4.0,2,0,JPN,1.0,SHIGA M,1 - 0,306,JPN,5:06,1
5m shot - Saved,6.0,2,0,JPN,1.0,IIDA A,1 - 0,292,JPN,4:52,1
Centre shot - Post,11.0,2,0,JPN,1.0,ROELSE A,1 - 0,274,USA,4:34,1
Action shot - Goal,7.0,2,1,JPN,1.0,SHIMIZU Y,1 - 1,260,JPN,4:20,1
20 sec. exclusion in centre,6.0,2,1,JPN,1.0,IIDA A,1 - 1,235,JPN,3:55,1
Extra player shot - Post,6.0,2,1,JPN,1.0,CUPIDO L,1 - 1,216,USA,3:36,1
Turnover foul,4.0,2,1,JPN,1.0,SHIGA M,1 - 1,198,JPN,3:18,1
Steal,1.0,2,1,JPN,1.0,BARON M,1 - 1,198,USA,3:18,1
20 sec. exclusion in centre,6.0,2,1,JPN,1.0,IIDA A,1 - 1,185,JPN,3:05,1
Time-Out,,2,1,JPN,1.0,,1 - 1,181,USA,3:01,1
Extra player shot - Saved,9.0,2,1,JPN,1.0,BOWEN A,1 - 1,167,USA,2:47,1
Turnover foul,9.0,2,1,JPN,1.0,BOWEN A,1 - 1,136,USA,2:16,1
Steal,9.0,2,1,JPN,1.0,ARAI A,1 - 1,136,JPN,2:16,1
5m shot - Post,2.0,2,1,JPN,1.0,ADACHI S,1 - 1,115,JPN,1:55,1
5m shot - Post,6.0,2,1,JPN,1.0,CUPIDO L,1 - 1,92,USA,1:32,1
Action shot - Saved,4.0,2,1,JPN,1.0,SHIGA M,1 - 1,74,JPN,1:14,1
Turnover foul,11.0,2,1,JPN,1.0,OKAWA K,1 - 1,17,JPN,0:17,1
Steal,6.0,2,1,JPN,1.0,CUPIDO L,1 - 1,17,USA,0:17,1
Action shot - Goal,5.0,2,1,JPN,1.0,HALLOCK B,2 - 1,2,USA,0:02,2
Time-Out,,2,1,JPN,1.0,,2 - 1,2,JPN,0:02,2
20 sec. exclusion in centre,11.0,2,1,JPN,1.0,ROELSE A,2 - 1,1,USA,0:01,2
Starting goalkeeper,1.0,2,1,JPN,2.0,BARON M,2 - 1,480,USA,8:00,2
Starting goalkeeper,1.0,2,1,JPN,2.0,TANAMURA K,2 - 1,480,JPN,8:00,2
Sprint won possession,2.0,2,1,JPN,2.0,ADACHI S,2 - 1,480,JPN,8:00,2
Time-Out,,2,1,JPN,2.0,,2 - 1,478,JPN,7:58,2
Action shot - Goal,2.0,2,2,JPN,2.0,ADACHI S,2 - 2,457,JPN,7:37,2
Turnover foul,4.0,2,2,JPN,2.0,OBERT A,2 - 2,435,USA,7:15,2
Steal,11.0,2,2,JPN,2.0,OKAWA K,2 - 2,435,JPN,7:15,2
20 sec. exclusion in field,7.0,2,2,JPN,2.0,DUNSTAN T,2 - 2,417,USA,6:57,2
Extra player shot - Saved,11.0,2,2,JPN,2.0,OKAWA K,2 - 2,399,JPN,6:39,2
5m shot - Goal,2.0,2,3,JPN,2.0,ADACHI S,2 - 3,396,JPN,6:36,2
20 sec. exclusion in centre,4.0,2,3,JPN,2.0,SHIGA M,2 - 3,380,JPN,6:20,2
Extra player shot - Goal,6.0,2,3,JPN,2.0,CUPIDO L,3 - 3,377,USA,6:17,3
Turnover foul,10.0,2,3,JPN,2.0,INABA K,3 - 3,361,JPN,6:01,3
Steal,1.0,2,3,JPN,2.0,BARON M,3 - 3,361,USA,6:01,3
Turnover foul,5.0,2,3,JPN,2.0,HALLOCK B,3 - 3,334,USA,5:34,3
Action shot - Saved,9.0,2,3,JPN,2.0,ARAI A,3 - 3,322,JPN,5:22,3
Turnover foul,4.0,2,3,JPN,2.0,SHIGA M,3 - 3,314,JPN,5:14,3
Steal,9.0,2,3,JPN,2.0,BOWEN A,3 - 3,314,USA,5:14,3
Turnover foul,6.0,2,3,JPN,2.0,CUPIDO L,3 - 3,291,USA,4:51,3
Action shot - Saved,8.0,2,3,JPN,2.0,TAKATA M,3 - 3,282,JPN,4:42,3
Time-Out,,2,3,JPN,2.0,,3 - 3,280,USA,4:40,3
5m shot - Blocked,8.0,2,3,JPN,2.0,TAKATA M,3 - 3,232,JPN,3:52,3
Action shot - Goal,7.0,2,3,JPN,2.0,DUNSTAN T,4 - 3,203,USA,3:23,4
5m shot - Saved,2.0,2,3,JPN,2.0,ADACHI S,4 - 3,180,JPN,3:00,4
Turnover foul,6.0,2,3,JPN,2.0,CUPIDO L,4 - 3,160,USA,2:40,4
Steal,1.0,2,3,JPN,2.0,TANAMURA K,4 - 3,160,JPN,2:40,4
Action shot - Goal,12.0,2,4,JPN,2.0,ARAKI K,4 - 4,147,JPN,2:27,4
Steal,4.0,2,4,JPN,4.0,SHIGA M,4 - 4,331,JPN,5:31,4
Turnover foul,2.0,2,4,JPN,4.0,ADACHI S,4 - 4,317,JPN,5:17,4
Turnover foul,6.0,2,4,JPN,4.0,CUPIDO L,4 - 4,293,USA,4:53,4
Steal,1.0,2,4,JPN,4.0,TANAMURA K,4 - 4,293,JPN,4:53,4
20 sec. exclusion in field,4.0,2,4,JPN,4.0,OBERT A,4 - 4,293,USA,4:53,4
Action shot - Goal,9.0,2,11,JPN,4.0,ARAI A,7 - 11,270,JPN,4:30,7
Time-Out,,2,11,JPN,4.0,,7 - 11,270,USA,4:30,7
5m shot - Post,6.0,2,11,JPN,4.0,CUPIDO L,7 - 11,262,USA,4:22,7
5m shot - Goal,2.0,2,12,JPN,4.0,ADACHI S,7 - 12,245,JPN,4:05,7
Action shot - Saved,6.0,2,12,JPN,4.0,CUPIDO L,7 - 12,221,USA,3:41,7
Turnover foul,7.0,2,12,JPN,4.0,SHIMIZU Y,7 - 12,199,JPN,3:19,7
Turnover foul,5.0,2,12,JPN,4.0,HALLOCK B,7 - 12,188,USA,3:08,7
Action shot - Goal,4.0,2,13,JPN,4.0,SHIGA M,7 - 13,175,JPN,2:55,7
Action shot - Goal,2.0,2,5,JPN,2.0,ADACHI S,4 - 5,105,JPN,1:45,4
20 sec. exclusion in centre,4.0,2,5,JPN,2.0,SHIGA M,4 - 5,85,JPN,1:25,4
Extra player shot - Saved,9.0,2,5,JPN,2.0,BOWEN A,4 - 5,69,USA,1:09,4
5m shot - Saved,9.0,2,5,JPN,2.0,ARAI A,4 - 5,44,JPN,0:44,4
Counter attack - Saved,10.0,2,5,JPN,2.0,RAMIREZ C,4 - 5,26,USA,0:26,4
Steal,8.0,2,5,JPN,2.0,TAKATA M,4 - 5,11,JPN,0:11,4
Counter attack - Goal,11.0,2,6,JPN,2.0,OKAWA K,4 - 6,6,JPN,0:06,4
5m shot - Blocked,8.0,2,6,JPN,2.0,TAKATA M,4 - 6,1,JPN,0:01,4
Starting goalkeeper,1.0,2,6,JPN,3.0,BARON M,4 - 6,480,USA,8:00,4
Starting goalkeeper,1.0,2,6,JPN,3.0,TANAMURA K,4 - 6,480,JPN,8:00,4
Sprint won possession,2.0,2,6,JPN,3.0,ADACHI S,4 - 6,480,JPN,8:00,4
20 sec. exclusion in centre,11.0,2,6,JPN,3.0,ROELSE A,4 - 6,460,USA,7:40,4
Extra player shot - Post,4.0,2,6,JPN,3.0,SHIGA M,4 - 6,450,JPN,7:30,4
20 sec. exclusion in field,9.0,2,6,JPN,3.0,ARAI A,4 - 6,439,JPN,7:19,4
Extra player shot - Goal,10.0,2,6,JPN,3.0,RAMIREZ C,5 - 6,421,USA,7:01,5
20 sec. exclusion in centre,10.0,2,6,JPN,3.0,RAMIREZ C,5 - 6,401,USA,6:41,5
Action shot - Saved,4.0,2,6,JPN,3.0,SHIGA M,5 - 6,388,JPN,6:28,5
Action shot - Post,2.0,2,6,JPN,3.0,ADACHI S,5 - 6,372,JPN,6:12,5
5m shot - Saved,6.0,2,6,JPN,3.0,CUPIDO L,5 - 6,345,USA,5:45,5
Turnover foul,2.0,2,6,JPN,3.0,HOOPER J,5 - 6,331,USA,5:31,5
Steal,4.0,2,6,JPN,3.0,SHIGA M,5 - 6,331,JPN,5:31,5
Penalty foul,4.0,2,6,JPN,3.0,OBERT A,5 - 6,314,USA,5:14,5
Penalty shot - Goal,2.0,2,7,JPN,3.0,ADACHI S,5 - 7,314,JPN,5:14,5
Steal,6.0,2,7,JPN,3.0,IIDA A,5 - 7,300,JPN,5:00,5
Counter attack - Goal,4.0,2,8,JPN,3.0,SHIGA M,5 - 8,291,JPN,4:51,5
Time-Out,,2,8,JPN,3.0,,5 - 8,291,USA,4:51,5
20 sec. exclusion in centre,6.0,2,8,JPN,3.0,IIDA A,5 - 8,275,JPN,4:35,5
Exclusion with substitution,6.0,2,8,JPN,3.0,IIDA A,5 - 8,275,JPN,4:35,5
Extra player shot - Missed,7.0,2,8,JPN,3.0,DUNSTAN T,5 - 8,261,USA,4:21,5
Turnover foul,4.0,2,8,JPN,3.0,SHIGA M,5 - 8,231,JPN,3:51,5
Steal,1.0,2,8,JPN,3.0,BARON M,5 - 8,231,USA,3:51,5
Action shot - Goal,7.0,2,8,JPN,3.0,DUNSTAN T,6 - 8,217,USA,3:37,6
Action shot - Post,12.0,2,8,JPN,3.0,ARAKI K,6 - 8,195,JPN,3:15,6
Turnover foul,10.0,2,8,JPN,3.0,RAMIREZ C,6 - 8,194,USA,3:14,6
Counter attack - Goal,5.0,2,9,JPN,3.0,YOSHIDA T,6 - 9,190,JPN,3:10,6
Turnover foul,3.0,2,9,JPN,3.0,VAVIC M,6 - 9,171,USA,2:51,6
Steal,11.0,2,9,JPN,3.0,OKAWA K,6 - 9,171,JPN,2:51,6
Action shot - Missed,8.0,2,9,JPN,3.0,TAKATA M,6 - 9,150,JPN,2:30,6
Action shot - Saved,6.0,2,9,JPN,3.0,CUPIDO L,6 - 9,128,USA,2:08,6
20 sec. exclusion in centre,11.0,2,9,JPN,3.0,ROELSE A,6 - 9,128,USA,2:08,6
Time-Out,,2,9,JPN,3.0,,6 - 9,128,JPN,2:08,6
Extra player shot - Blocked,11.0,2,9,JPN,3.0,OKAWA K,6 - 9,110,JPN,1:50,6
Turnover foul,4.0,2,9,JPN,3.0,OBERT A,6 - 9,93,USA,1:33,6
Steal,11.0,2,9,JPN,3.0,OKAWA K,6 - 9,93,JPN,1:33,6
Counter attack - Goal,2.0,2,10,JPN,3.0,ADACHI S,6 - 10,83,JPN,1:23,6
Action shot - Saved,9.0,2,10,JPN,3.0,BOWEN A,6 - 10,61,USA,1:01,6
Steal,6.0,2,10,JPN,3.0,CUPIDO L,6 - 10,43,USA,0:43,6
20 sec. exclusion in centre,8.0,2,10,JPN,3.0,TAKATA M,6 - 10,26,JPN,0:26,6
Extra player shot - Blocked,2.0,2,10,JPN,3.0,HOOPER J,6 - 10,2,USA,0:02,6
Action shot - Saved,4.0,2,10,JPN,3.0,OBERT A,6 - 10,1,USA,0:01,6
Starting goalkeeper,1.0,2,10,JPN,4.0,BARON M,6 - 10,480,USA,8:00,6
Starting goalkeeper,1.0,2,10,JPN,4.0,TANAMURA K,6 - 10,480,JPN,8:00,6
Sprint won possession,2.0,2,10,JPN,4.0,HOOPER J,6 - 10,480,USA,8:00,6
5m shot - Goal,5.0,2,10,JPN,4.0,HALLOCK B,7 - 10,454,USA,7:34,7
Turnover foul,4.0,2,10,JPN,4.0,SHIGA M,7 - 10,433,JPN,7:13,7
Steal,5.0,2,10,JPN,4.0,HALLOCK B,7 - 10,433,USA,7:13,7
20 sec. exclusion in centre,11.0,2,10,JPN,4.0,OKAWA K,7 - 10,420,JPN,7:00,7
Exclusion with substitution,11.0,2,10,JPN,4.0,ROELSE A,7 - 10,420,USA,7:00,7
Extra player shot - Post,9.0,2,10,JPN,4.0,BOWEN A,7 - 10,400,USA,6:40,7
Action shot - Post,2.0,2,10,JPN,4.0,HOOPER J,7 - 10,389,USA,6:29,7
5m shot - Blocked,11.0,2,10,JPN,4.0,OKAWA K,7 - 10,360,JPN,6:00,7
20 sec. exclusion in centre,10.0,2,10,JPN,4.0,INABA K,7 - 10,153,JPN,2:33,7
5m shot - Blocked,3.0,2,10,JPN,4.0,VAVIC M,7 - 10,146,USA,2:26,7
20 sec. exclusion in centre,3.0,2,10,JPN,4.0,VAVIC M,7 - 10,128,USA,2:08,7
Time-Out,,2,10,JPN,4.0,,7 - 10,128,JPN,2:08,7
Penalty foul,7.0,2,10,JPN,4.0,DUNSTAN T,7 - 10,102,USA,1:42,7
Penalty shot - Goal,2.0,2,14,JPN,4.0,ADACHI S,7 - 14,102,JPN,1:42,7
Action shot - Missed,7.0,2,14,JPN,4.0,DUNSTAN T,7 - 14,82,USA,1:22,7
Action shot - Missed,5.0,2,14,JPN,4.0,YOSHIDA T,7 - 14,65,JPN,1:05,7
Turnover foul,3.0,2,14,JPN,4.0,VAVIC M,7 - 14,53,USA,0:53,7
Counter attack - Goal,7.0,2,15,JPN,4.0,SHIMIZU Y,7 - 15,42,JPN,0:42,7
Action shot - Saved,12.0,2,15,JPN,4.0,IRVING M,7 - 15,15,USA,0:15,7
5m shot - Saved,8.0,2,15,JPN,4.0,TAKATA M,7 - 15,1,JPN,0:01,7
Starting goalkeeper,1.0,3,0,RUS,1.0,BARON M,0 - 0,480,USA,8:00,0
Starting goalkeeper,13.0,3,0,RUS,1.0,STATSENKO V,0 - 0,480,RUS,8:00,0
Sprint won possession,2.0,3,0,RUS,1.0,HOOPER J,0 - 0,480,USA,8:00,0
5m shot - Post,6.0,3,0,RUS,1.0,CUPIDO L,0 - 0,457,USA,7:37,0
20 sec. exclusion in field,5.0,3,0,RUS,1.0,HALLOCK B,0 - 0,457,USA,7:37,0
Turnover foul,2.0,3,0,RUS,1.0,LAZAREV N,0 - 0,434,RUS,7:14,0
