Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Centre shot,4.0,1,8,CRO,3.0,LONCAR L,3 - 8,405,CRO,6:45,3,Goal,1
5m shot,6.0,1,8,CRO,3.0,CUPIDO L,3 - 8,387,USA,6:27,3,Saved,0
Extra player shot,12.0,1,9,CRO,3.0,GARCIA GADEA J,3 - 9,342,CRO,5:42,3,Goal,1
Extra player shot,6.0,1,9,CRO,3.0,CUPIDO L,4 - 9,241,USA,4:01,4,Goal,1
5m shot,8.0,1,9,CRO,3.0,BUSLJE A,4 - 9,212,CRO,3:32,4,Saved,0
Action shot,11.0,1,9,CRO,3.0,SETKA A,4 - 9,106,CRO,1:46,4,Saved,0
5m shot,12.0,1,10,CRO,3.0,GARCIA GADEA J,4 - 10,80,CRO,1:20,4,Goal,1
Centre shot,5.0,1,10,CRO,3.0,HALLOCK B,4 - 10,62,USA,1:02,4,Post,0
Action shot,5.0,1,10,CRO,3.0,JOKOVIC M,4 - 10,29,CRO,0:29,4,Saved,0
5m shot,7.0,1,10,CRO,3.0,VUKICEVIC A,4 - 10,1,CRO,0:01,4,Post,0
Action shot,5.0,1,10,CRO,4.0,JOKOVIC M,4 - 10,435,CRO,7:15,4,Saved,0
Action shot,12.0,1,10,CRO,4.0,IRVING M,4 - 10,406,USA,6:46,4,Saved,0
5m shot,2.0,1,10,CRO,4.0,MACAN M,4 - 10,377,CRO,6:17,4,Saved,0
Extra player shot,9.0,1,10,CRO,4.0,BOWEN A,5 - 10,340,USA,5:40,5,Goal,1
Centre shot,5.0,1,10,CRO,4.0,JOKOVIC M,5 - 10,310,CRO,5:10,5,Saved,0
Extra player shot,9.0,1,10,CRO,4.0,SUKNO S,5 - 10,243,CRO,4:03,5,Saved,0
5m shot,11.0,1,10,CRO,4.0,SETKA A,5 - 10,166,CRO,2:46,5,Saved,0
5m shot,12.0,1,10,CRO,4.0,GARCIA GADEA J,5 - 10,129,CRO,2:09,5,Post,0
Counter attack,12.0,1,11,CRO,4.0,GARCIA GADEA J,5 - 11,86,CRO,1:26,5,Goal,1
Extra player shot,3.0,1,12,CRO,4.0,VAVIC M,7 - 12,12,USA,0:12,7,Goal,1
Action shot,2.0,2,0,JPN,1.0,HOOPER J,1 - 0,450,USA,7:30,1,Goal,1
Centre shot,4.0,2,0,JPN,1.0,OBERT A,1 - 0,418,USA,6:58,1,Saved,0
Action shot,11.0,2,0,JPN,1.0,OKAWA K,1 - 0,403,JPN,6:43,1,Saved,0
5m shot,11.0,2,0,JPN,1.0,OKAWA K,1 - 0,388,JPN,6:28,1,Saved,0
5m shot,4.0,2,0,JPN,1.0,OBERT A,1 - 0,360,USA,6:00,1,Post,0
Action shot,2.0,2,0,JPN,1.0,ADACHI S,1 - 0,334,JPN,5:34,1,Saved,0
5m shot,4.0,2,0,JPN,1.0,OBERT A,1 - 0,313,USA,5:13,1,Saved,0
5m shot,6.0,2,0,JPN,1.0,IIDA A,1 - 0,292,JPN,4:52,1,Saved,0
Centre shot,11.0,2,0,JPN,1.0,ROELSE A,1 - 0,274,USA,4:34,1,Post,0
Action shot,7.0,2,1,JPN,1.0,SHIMIZU Y,1 - 1,260,JPN,4:20,1,Goal,1
Extra player shot,6.0,2,1,JPN,1.0,CUPIDO L,1 - 1,216,USA,3:36,1,Post,0
Extra player shot,9.0,2,1,JPN,1.0,BOWEN A,1 - 1,167,USA,2:47,1,Saved,0
5m shot,2.0,2,1,JPN,1.0,ADACHI S,1 - 1,115,JPN,1:55,1,Post,0
5m shot,6.0,2,1,JPN,1.0,CUPIDO L,1 - 1,92,USA,1:32,1,Post,0
Action shot,4.0,2,1,JPN,1.0,SHIGA M,1 - 1,74,JPN,1:14,1,Saved,0
Action shot,5.0,2,1,JPN,1.0,HALLOCK B,2 - 1,2,USA,0:02,2,Goal,1
Action shot,2.0,2,2,JPN,2.0,ADACHI S,2 - 2,457,JPN,7:37,2,Goal,1
Extra player shot,11.0,2,2,JPN,2.0,OKAWA K,2 - 2,399,JPN,6:39,2,Saved,0
5m shot,2.0,2,3,JPN,2.0,ADACHI S,2 - 3,396,JPN,6:36,2,Goal,1
Extra player shot,6.0,2,3,JPN,2.0,CUPIDO L,3 - 3,377,USA,6:17,3,Goal,1
Action shot,9.0,2,3,JPN,2.0,ARAI A,3 - 3,322,JPN,5:22,3,Saved,0
Action shot,8.0,2,3,JPN,2.0,TAKATA M,3 - 3,282,JPN,4:42,3,Saved,0
5m shot,8.0,2,3,JPN,2.0,TAKATA M,3 - 3,232,JPN,3:52,3,Blocked,0
Action shot,7.0,2,3,JPN,2.0,DUNSTAN T,4 - 3,203,USA,3:23,4,Goal,1
5m shot,2.0,2,3,JPN,2.0,ADACHI S,4 - 3,180,JPN,3:00,4,Saved,0
Action shot,12.0,2,4,JPN,2.0,ARAKI K,4 - 4,147,JPN,2:27,4,Goal,1
Action shot,9.0,2,11,JPN,4.0,ARAI A,7 - 11,270,JPN,4:30,7,Goal,1
5m shot,6.0,2,11,JPN,4.0,CUPIDO L,7 - 11,262,USA,4:22,7,Post,0
5m shot,2.0,2,12,JPN,4.0,ADACHI S,7 - 12,245,JPN,4:05,7,Goal,1
Action shot,6.0,2,12,JPN,4.0,CUPIDO L,7 - 12,221,USA,3:41,7,Saved,0
Action shot,4.0,2,13,JPN,4.0,SHIGA M,7 - 13,175,JPN,2:55,7,Goal,1
Action shot,2.0,2,5,JPN,2.0,ADACHI S,4 - 5,105,JPN,1:45,4,Goal,1
Extra player shot,9.0,2,5,JPN,2.0,BOWEN A,4 - 5,69,USA,1:09,4,Saved,0
5m shot,9.0,2,5,JPN,2.0,ARAI A,4 - 5,44,JPN,0:44,4,Saved,0
Counter attack,10.0,2,5,JPN,2.0,RAMIREZ C,4 - 5,26,USA,0:26,4,Saved,0
Counter attack,11.0,2,6,JPN,2.0,OKAWA K,4 - 6,6,JPN,0:06,4,Goal,1
5m shot,8.0,2,6,JPN,2.0,TAKATA M,4 - 6,1,JPN,0:01,4,Blocked,0
Extra player shot,4.0,2,6,JPN,3.0,SHIGA M,4 - 6,450,JPN,7:30,4,Post,0
Extra player shot,10.0,2,6,JPN,3.0,RAMIREZ C,5 - 6,421,USA,7:01,5,Goal,1
Action shot,4.0,2,6,JPN,3.0,SHIGA M,5 - 6,388,JPN,6:28,5,Saved,0
Action shot,2.0,2,6,JPN,3.0,ADACHI S,5 - 6,372,JPN,6:12,5,Post,0
5m shot,6.0,2,6,JPN,3.0,CUPIDO L,5 - 6,345,USA,5:45,5,Saved,0
Penalty shot,2.0,2,7,JPN,3.0,ADACHI S,5 - 7,314,JPN,5:14,5,Goal,1
Counter attack,4.0,2,8,JPN,3.0,SHIGA M,5 - 8,291,JPN,4:51,5,Goal,1
Extra player shot,7.0,2,8,JPN,3.0,DUNSTAN T,5 - 8,261,USA,4:21,5,Missed,0
Action shot,7.0,2,8,JPN,3.0,DUNSTAN T,6 - 8,217,USA,3:37,6,Goal,1
Action shot,12.0,2,8,JPN,3.0,ARAKI K,6 - 8,195,JPN,3:15,6,Post,0
Counter attack,5.0,2,9,JPN,3.0,YOSHIDA T,6 - 9,190,JPN,3:10,6,Goal,1
Action shot,8.0,2,9,JPN,3.0,TAKATA M,6 - 9,150,JPN,2:30,6,Missed,0
Action shot,6.0,2,9,JPN,3.0,CUPIDO L,6 - 9,128,USA,2:08,6,Saved,0
Extra player shot,11.0,2,9,JPN,3.0,OKAWA K,6 - 9,110,JPN,1:50,6,Blocked,0
Counter attack,2.0,2,10,JPN,3.0,ADACHI S,6 - 10,83,JPN,1:23,6,Goal,1
Action shot,9.0,2,10,JPN,3.0,BOWEN A,6 - 10,61,USA,1:01,6,Saved,0
Extra player shot,2.0,2,10,JPN,3.0,HOOPER J,6 - 10,2,USA,0:02,6,Blocked,0
Action shot,4.0,2,10,JPN,3.0,OBERT A,6 - 10,1,USA,0:01,6,Saved,0
5m shot,5.0,2,10,JPN,4.0,HALLOCK B,7 - 10,454,USA,7:34,7,Goal,1
Extra player shot,9.0,2,10,JPN,4.0,BOWEN A,7 - 10,400,USA,6:40,7,Post,0
Action shot,2.0,2,10,JPN,4.0,HOOPER J,7 - 10,389,USA,6:29,7,Post,0
5m shot,11.0,2,10,JPN,4.0,OKAWA K,7 - 10,360,JPN,6:00,7,Blocked,0
5m shot,3.0,2,10,JPN,4.0,VAVIC M,7 - 10,146,USA,2:26,7,Blocked,0
Penalty shot,2.0,2,14,JPN,4.0,ADACHI S,7 - 14,102,JPN,1:42,7,Goal,1
Action shot,7.0,2,14,JPN,4.0,DUNSTAN T,7 - 14,82,USA,1:22,7,Missed,0
Action shot,5.0,2,14,JPN,4.0,YOSHIDA T,7 - 14,65,JPN,1:05,7,Missed,0
Counter attack,7.0,2,15,JPN,4.0,SHIMIZU Y,7 - 15,42,JPN,0:42,7,Goal,1
Action shot,12.0,2,15,JPN,4.0,IRVING M,7 - 15,15,USA,0:15,7,Saved,0
5m shot,8.0,2,15,JPN,4.0,TAKATA M,7 - 15,1,JPN,0:01,7,Saved,0
5m shot,6.0,3,0,RUS,1.0,CUPIDO L,0 - 0,457,USA,7:37,0,Post,0
5m shot,2.0,3,0,RUS,1.0,LAZAREV N,0 - 0,391,RUS,6:31,0,Saved,0
Action shot,2.0,3,0,RUS,1.0,LAZAREV N,0 - 0,366,RUS,6:06,0,Saved,0
5m shot,11.0,3,0,RUS,1.0,ROELSE A,1 - 0,347,USA,5:47,1,Goal,1
5m shot,10.0,3,1,RUS,1.0,KHOLOD D,1 - 1,318,RUS,5:18,1,Goal,1
5m shot,9.0,3,1,RUS,1.0,BOWEN A,2 - 1,289,USA,4:49,2,Goal,1
5m shot,10.0,3,1,RUS,1.0,KHOLOD D,2 - 1,259,RUS,4:19,2,Post,0
Extra player shot,9.0,3,1,RUS,1.0,BOWEN A,3 - 1,231,USA,3:51,3,Goal,1
5m shot,8.0,3,1,RUS,1.0,NAGAEV I,3 - 1,205,RUS,3:25,3,Saved,0
5m shot,10.0,3,1,RUS,1.0,RAMIREZ C,3 - 1,186,USA,3:06,3,Post,0
5m shot,9.0,3,1,RUS,1.0,BOWEN A,3 - 1,155,USA,2:35,3,Saved,0
5m shot,9.0,3,1,RUS,1.0,BOWEN A,4 - 1,132,USA,2:12,4,Goal,1
Action shot,2.0,3,1,RUS,1.0,LAZAREV N,4 - 1,110,RUS,1:50,4,Saved,0
Action shot,6.0,3,1,RUS,1.0,CUPIDO L,5 - 1,79,USA,1:19,5,Goal,1
Extra player shot,11.0,3,1,RUS,1.0,LISUNOV S,5 - 1,16,RUS,0:16,5,Missed,0
5m shot,6.0,3,1,RUS,1.0,CUPIDO L,6 - 1,3,USA,0:03,6,Goal,1
5m shot,7.0,3,1,RUS,1.0,MERKULOV D,6 - 1,1,RUS,0:01,6,Post,0
5m shot,3.0,3,1,RUS,2.0,VASILYEV E,6 - 1,452,RUS,7:32,6,Saved,0
Extra player shot,9.0,3,1,RUS,2.0,BOWEN A,7 - 1,398,USA,6:38,7,Goal,1
5m shot,9.0,3,1,RUS,2.0,SUCHKOV I,7 - 1,370,RUS,6:10,7,Post,0
Extra player shot,6.0,3,1,RUS,2.0,ASHAEV A,7 - 1,347,RUS,5:47,7,Saved,0
Action shot,8.0,3,1,RUS,2.0,CARNIGLIA N,7 - 1,302,USA,5:02,7,Saved,0
Extra player shot,8.0,3,1,RUS,2.0,NAGAEV I,7 - 1,264,RUS,4:24,7,Saved,0
Extra player shot,6.0,3,1,RUS,2.0,ASHAEV A,7 - 1,264,RUS,4:24,7,Saved,0
Extra player shot,9.0,3,1,RUS,4.0,BOWEN A,7 - 1,296,USA,4:56,7,Missed,0
Action shot,7.0,3,1,RUS,4.0,MERKULOV D,7 - 1,219,RUS,3:39,7,Saved,0
Action shot,11.0,3,9,RUS,4.0,LISUNOV S,13 - 9,219,RUS,3:39,13,Goal,1
