AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
4,Extra player shot - Post,11.0,6,7,ITA,4.0,HOLLIS L,4 - 7,403,AUS,6:43
4,5m shot - Saved,6.0,6,7,ITA,4.0,MIRARCHI C,4 - 7,374,ITA,6:14
4,5m shot - Post,11.0,6,7,ITA,4.0,AICARDI M,4 - 7,319,ITA,5:19
4,Turnover foul,11.0,6,7,ITA,4.0,HOLLIS L,4 - 7,300,AUS,5:00
4,Centre shot - Saved,6.0,6,7,ITA,4.0,MIRARCHI C,4 - 7,286,ITA,4:46
4,20 sec. exclusion in centre,11.0,6,7,ITA,4.0,HOLLIS L,4 - 7,285,AUS,4:45
4,Exclusion with substitution,11.0,6,7,ITA,4.0,HOLLIS L,4 - 7,285,AUS,4:45
4,Centre shot - Post,12.0,6,7,ITA,4.0,BERTOLI Z,4 - 7,262,ITA,4:22
4,Time-Out,,6,7,ITA,4.0,,4 - 7,253,AUS,4:13
4,Action shot - Saved,9.0,6,7,ITA,4.0,FORD A,4 - 7,234,AUS,3:54
4,Centre shot - Saved,11.0,6,7,ITA,4.0,AICARDI M,4 - 7,210,ITA,3:30
4,Action shot - Saved,10.0,6,7,ITA,4.0,FANNON J,4 - 7,181,AUS,3:01
4,Turnover foul,11.0,6,7,ITA,4.0,AICARDI M,4 - 7,154,ITA,2:34
4,Steal,5.0,6,7,ITA,4.0,POWER N,4 - 7,154,AUS,2:34
4,5m shot - Missed,9.0,6,7,ITA,4.0,FORD A,4 - 7,125,AUS,2:05
4,20 sec. exclusion in field,9.0,6,7,ITA,4.0,FORD A,4 - 7,125,AUS,2:05
4,Time-Out,,6,7,ITA,4.0,,4 - 7,125,ITA,2:05
4,Turnover foul,4.0,6,7,ITA,4.0,KAYES J,4 - 7,44,AUS,0:44
4,20 sec. exclusion in centre,12.0,6,7,ITA,4.0,BROOKS N,4 - 7,33,AUS,0:33
4,Extra player shot - Blocked,6.0,6,7,ITA,4.0,MIRARCHI C,4 - 7,17,ITA,0:17
4,20 sec. exclusion in centre,9.0,6,7,ITA,4.0,RENZUTO IODICE V,4 - 7,2,ITA,0:02
4,Extra player shot - Blocked,4.0,6,7,ITA,4.0,KAYES J,4 - 7,1,AUS,0:01
0,Starting goalkeeper,1.0,7,0,RUS,1.0,KORNEEV K,0 - 0,480,RUS,8:00
0,Starting goalkeeper,13.0,7,0,RUS,1.0,HRYSANTHOS A,0 - 0,480,AUS,8:00
0,Sprint won possession,10.0,7,0,RUS,1.0,KHOLOD D,0 - 0,480,RUS,8:00
0,Centre shot - Goal,11.0,7,1,RUS,1.0,LISUNOV S,1 - 0,453,RUS,7:33
1,Centre shot - Goal,6.0,7,1,RUS,1.0,EDWARDS L,1 - 1,430,AUS,7:10
1,Turnover foul,12.0,7,1,RUS,1.0,SHEPELEV R,1 - 1,418,RUS,6:58
2,Action shot - Goal,7.0,7,1,RUS,1.0,GILCHRIST J,1 - 2,394,AUS,6:34
2,Turnover foul,8.0,7,1,RUS,1.0,NAGAEV I,1 - 2,368,RUS,6:08
2,Steal,9.0,7,1,RUS,1.0,FORD A,1 - 2,368,AUS,6:08
2,Centre shot - Missed,4.0,7,1,RUS,1.0,KAYES J,1 - 2,343,AUS,5:43
2,5m shot - Goal,10.0,7,2,RUS,1.0,KHOLOD D,2 - 2,316,RUS,5:16
2,20 sec. exclusion in centre,3.0,7,2,RUS,1.0,VASILYEV E,2 - 2,295,RUS,4:55
3,Extra player shot - Goal,5.0,7,2,RUS,1.0,POWER N,2 - 3,282,AUS,4:42
3,Turnover foul,8.0,7,2,RUS,1.0,NAGAEV I,2 - 3,262,RUS,4:22
3,Steal,11.0,7,2,RUS,1.0,HOLLIS L,2 - 3,262,AUS,4:22
3,20 sec. exclusion in centre,4.0,7,2,RUS,1.0,DEREVIANKIN N,2 - 3,244,RUS,4:04
4,Extra player shot - Goal,11.0,7,2,RUS,1.0,HOLLIS L,2 - 4,226,AUS,3:46
4,Turnover foul,3.0,7,2,RUS,1.0,VASILYEV E,2 - 4,202,RUS,3:22
4,Action shot - Saved,7.0,7,2,RUS,1.0,GILCHRIST J,2 - 4,174,AUS,2:54
