Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Action shot - Post,6.0,1,1,RUS,2.0,CUPIDO L,3 - 1,355,USA,5:55,3
20 sec. exclusion in centre,6.0,1,1,RUS,2.0,ASHAEV A,3 - 1,336,RUS,5:36,3
Turnover foul,7.0,1,1,RUS,2.0,SAMUELS J,3 - 1,323,USA,5:23,3
Steal,8.0,1,1,RUS,2.0,NAGAEV I,3 - 1,321,RUS,5:21,3
Turnover foul,5.0,1,1,RUS,2.0,ZINNATULLIN A,3 - 1,299,RUS,4:59,3
Steal,5.0,1,1,RUS,2.0,ROELSE A,3 - 1,299,USA,4:59,3
Turnover foul,7.0,1,1,RUS,2.0,SAMUELS J,3 - 1,276,USA,4:36,3
Action shot - Blocked,4.0,1,1,RUS,2.0,BYCHKOV I,3 - 1,253,RUS,4:13,3
Action shot - Saved,7.0,1,1,RUS,2.0,SAMUELS J,3 - 1,227,USA,3:47,3
5m shot - Saved,9.0,1,1,RUS,2.0,STEPANIUK K,3 - 1,205,RUS,3:25,3
5m shot - Missed,6.0,1,1,RUS,2.0,CUPIDO L,3 - 1,177,USA,2:57,3
Turnover foul,9.0,1,1,RUS,2.0,STEPANIUK K,3 - 1,150,RUS,2:30,3
Steal,8.0,1,1,RUS,2.0,AZEVEDO T,3 - 1,150,USA,2:30,3
Time-Out,,1,1,RUS,2.0,,3 - 1,149,USA,2:29,3
20 sec. exclusion in centre,3.0,1,1,RUS,2.0,ODINTSOV A,3 - 1,136,RUS,2:16,3
Turnover foul,3.0,1,1,RUS,2.0,OBERT A,3 - 1,116,USA,1:56,3
Steal,13.0,1,1,RUS,2.0,IVANOV V,3 - 1,116,RUS,1:56,3
Action shot - Goal,2.0,1,2,RUS,2.0,BUGAYCHUK A,3 - 2,88,RUS,1:28,3
20 sec. exclusion in centre,5.0,1,2,RUS,2.0,ZINNATULLIN A,3 - 2,71,RUS,1:11,3
Extra player shot - Post,9.0,1,2,RUS,2.0,BOWEN A,3 - 2,53,USA,0:53,3
5m shot - Goal,2.0,1,3,RUS,2.0,BUGAYCHUK A,3 - 3,29,RUS,0:29,3
Action shot - Goal,6.0,1,3,RUS,2.0,CUPIDO L,4 - 3,3,USA,0:03,4
5m shot - Blocked,4.0,1,3,RUS,2.0,BYCHKOV I,4 - 3,3,RUS,0:03,4
Starting goalkeeper,1.0,1,3,RUS,3.0,MOSES M,4 - 3,480,USA,8:00,4
Starting goalkeeper,13.0,1,3,RUS,3.0,IVANOV V,4 - 3,480,RUS,8:00,4
Sprint won possession,10.0,1,3,RUS,3.0,KHOLOD D,4 - 3,480,RUS,8:00,4
Action shot - Saved,11.0,1,3,RUS,3.0,LISUNOV S,4 - 3,453,RUS,7:33,4
Action shot - Saved,12.0,1,3,RUS,3.0,MANN J,4 - 3,424,USA,7:04,4
5m shot - Saved,10.0,1,3,RUS,3.0,KHOLOD D,4 - 3,398,RUS,6:38,4
Turnover foul,2.0,1,3,RUS,3.0,BUGAYCHUK A,4 - 3,370,RUS,6:10,4
Steal,8.0,1,3,RUS,3.0,AZEVEDO T,4 - 3,370,USA,6:10,4
Penalty foul,8.0,1,3,RUS,3.0,NAGAEV I,4 - 3,353,RUS,5:53,4
Penalty shot - Goal,8.0,1,3,RUS,3.0,AZEVEDO T,5 - 3,353,USA,5:53,5
Turnover foul,8.0,1,3,RUS,3.0,NAGAEV I,5 - 3,329,RUS,5:29,5
5m shot - Post,9.0,1,3,RUS,3.0,BOWEN A,5 - 3,306,USA,5:06,5
20 sec. exclusion in centre,9.0,1,3,RUS,3.0,BOWEN A,5 - 3,285,USA,4:45,5
5m shot - Saved,9.0,1,3,RUS,3.0,STEPANIUK K,5 - 3,254,RUS,4:14,5
5m shot - Goal,8.0,1,4,RUS,3.0,NAGAEV I,5 - 4,209,RUS,3:29,5
Turnover foul,2.0,1,4,RUS,3.0,VAVIC N,5 - 4,179,USA,2:59,5
Turnover foul,3.0,1,4,RUS,3.0,OBERT A,5 - 4,132,USA,2:12,5
Steal,10.0,1,4,RUS,3.0,KHOLOD D,5 - 4,132,RUS,2:12,5
5m shot - Saved,8.0,1,4,RUS,3.0,NAGAEV I,5 - 4,102,RUS,1:42,5
Time-Out,,1,4,RUS,3.0,,5 - 4,101,USA,1:41,5
5m shot - Saved,9.0,1,4,RUS,3.0,BOWEN A,5 - 4,74,USA,1:14,5
Time-Out,,1,4,RUS,3.0,,5 - 4,71,RUS,1:11,5
5m shot - Goal,3.0,1,5,RUS,3.0,ODINTSOV A,5 - 5,48,RUS,0:48,5
20 sec. exclusion in centre,3.0,1,5,RUS,3.0,ODINTSOV A,5 - 5,27,RUS,0:27,5
Exclusion with substitution,3.0,1,5,RUS,3.0,ODINTSOV A,5 - 5,27,RUS,0:27,5
Extra player shot - Post,10.0,1,5,RUS,3.0,BONANNI B,5 - 5,13,USA,0:13,5
5m shot - Goal,6.0,1,5,RUS,3.0,CUPIDO L,6 - 5,7,USA,0:07,6
5m shot - Saved,2.0,1,5,RUS,3.0,BUGAYCHUK A,6 - 5,1,RUS,0:01,6
Starting goalkeeper,1.0,1,5,RUS,4.0,MOSES M,6 - 5,480,USA,8:00,6
Starting goalkeeper,13.0,1,5,RUS,4.0,IVANOV V,6 - 5,480,RUS,8:00,6
Sprint won possession,7.0,1,5,RUS,4.0,SAMUELS J,6 - 5,480,USA,8:00,6
Turnover foul,7.0,1,5,RUS,4.0,SAMUELS J,6 - 5,451,USA,7:31,6
20 sec. exclusion in centre,4.0,1,5,RUS,4.0,KIMBELL J,6 - 5,425,USA,7:05,6
Extra player shot - Missed,6.0,1,5,RUS,4.0,ASHAEV A,6 - 5,410,RUS,6:50,6
Turnover foul,7.0,1,5,RUS,4.0,SAMUELS J,6 - 5,391,USA,6:31,6
Steal,13.0,1,5,RUS,4.0,IVANOV V,6 - 5,391,RUS,6:31,6
Centre shot - Missed,6.0,1,5,RUS,4.0,ASHAEV A,6 - 5,362,RUS,6:02,6
5m shot - Missed,9.0,1,5,RUS,4.0,BOWEN A,6 - 5,332,USA,5:32,6
5m shot - Saved,4.0,1,5,RUS,4.0,BYCHKOV I,6 - 5,316,RUS,5:16,6
5m shot - Saved,2.0,1,5,RUS,4.0,VAVIC N,6 - 5,286,USA,4:46,6
5m shot - Saved,8.0,1,5,RUS,4.0,NAGAEV I,6 - 5,258,RUS,4:18,6
20 sec. exclusion in centre,6.0,1,5,RUS,4.0,ASHAEV A,6 - 5,243,RUS,4:03,6
Time-Out,,1,5,RUS,4.0,,6 - 5,243,USA,4:03,6
Extra player shot - Goal,6.0,1,5,RUS,4.0,CUPIDO L,7 - 5,231,USA,3:51,7
5m shot - Blocked,10.0,1,5,RUS,4.0,KHOLOD D,7 - 5,201,RUS,3:21,7
Turnover foul,8.0,1,5,RUS,4.0,AZEVEDO T,7 - 5,172,USA,2:52,7
Action shot - Goal,9.0,1,6,RUS,4.0,STEPANIUK K,7 - 6,146,RUS,2:26,7
20 sec. exclusion in centre,10.0,1,6,RUS,4.0,KHOLOD D,7 - 6,122,RUS,2:02,7
20 sec. exclusion in centre,6.0,1,6,RUS,4.0,ASHAEV A,7 - 6,109,RUS,1:49,7
Exclusion with substitution,6.0,1,6,RUS,4.0,ASHAEV A,7 - 6,109,RUS,1:49,7
Extra player shot - Missed,6.0,1,6,RUS,4.0,CUPIDO L,7 - 6,102,USA,1:42,7
5m shot - Saved,10.0,1,6,RUS,4.0,KHOLOD D,7 - 6,71,RUS,1:11,7
Turnover foul,6.0,1,6,RUS,4.0,CUPIDO L,7 - 6,48,USA,0:48,7
Steal,2.0,1,6,RUS,4.0,BUGAYCHUK A,7 - 6,46,RUS,0:46,7
Time-Out,,1,6,RUS,4.0,,7 - 6,46,RUS,0:46,7
Turnover foul,8.0,1,6,RUS,4.0,NAGAEV I,7 - 6,35,RUS,0:35,7
Steal,6.0,1,6,RUS,4.0,CUPIDO L,7 - 6,35,USA,0:35,7
Turnover foul,2.0,1,6,RUS,4.0,BUGAYCHUK A,7 - 6,0,RUS,0:00,7
Steal,6.0,1,6,RUS,4.0,CUPIDO L,7 - 6,0,USA,0:00,7
Starting goalkeeper,1.0,2,0,GRE,1.0,FLEGKAS K,0 - 0,480,GRE,8:00,0
Starting goalkeeper,1.0,2,0,GRE,1.0,MOSES M,0 - 0,480,USA,8:00,0
Sprint won possession,7.0,2,0,GRE,1.0,SAMUELS J,0 - 0,480,USA,8:00,0
Action shot - Goal,12.0,2,0,GRE,1.0,MANN J,0 - 1,452,USA,7:32,1
5m shot - Goal,2.0,2,1,GRE,1.0,MYLONAKIS E,1 - 1,425,GRE,7:05,1
5m shot - Saved,6.0,2,1,GRE,1.0,CUPIDO L,1 - 1,396,USA,6:36,1
20 sec. exclusion in centre,8.0,2,1,GRE,1.0,DELAKAS E,1 - 1,379,GRE,6:19,1
Extra player shot - Saved,12.0,2,1,GRE,1.0,MANN J,1 - 1,362,USA,6:02,1
5m shot - Saved,5.0,2,1,GRE,1.0,FOUNTOULIS I,1 - 1,340,GRE,5:40,1
Centre shot - Goal,7.0,2,1,GRE,1.0,SAMUELS J,1 - 2,315,USA,5:15,2
20 sec. exclusion in field,9.0,2,1,GRE,1.0,BOWEN A,1 - 2,303,USA,5:03,2
Action shot - Goal,5.0,2,2,GRE,1.0,FOUNTOULIS I,2 - 2,277,GRE,4:37,2
20 sec. exclusion in field,7.0,2,2,GRE,1.0,AFROUDAKIS C,2 - 2,269,GRE,4:29,2
Extra player shot - Post,10.0,2,2,GRE,1.0,BONANNI B,2 - 2,252,USA,4:12,2
Turnover foul,9.0,2,2,GRE,1.0,MOURIKIS K,2 - 2,231,GRE,3:51,2
5m shot - Goal,6.0,2,2,GRE,1.0,CUPIDO L,2 - 3,212,USA,3:32,3
Action shot - Saved,9.0,2,2,GRE,1.0,MOURIKIS K,2 - 3,178,GRE,2:58,3
Action shot - Saved,9.0,2,2,GRE,1.0,MOURIKIS K,2 - 3,156,GRE,2:36,3
Turnover foul,11.0,2,2,GRE,1.0,SMITH J,2 - 3,136,USA,2:16,3
Steal,5.0,2,2,GRE,1.0,FOUNTOULIS I,2 - 3,136,GRE,2:16,3
Counter attack - Goal,5.0,2,3,GRE,1.0,FOUNTOULIS I,3 - 3,123,GRE,2:03,3
Action shot - Missed,2.0,2,3,GRE,1.0,VAVIC N,3 - 3,99,USA,1:39,3
Turnover foul,8.0,2,3,GRE,1.0,AZEVEDO T,3 - 3,44,USA,0:44,3
Steal,4.0,2,3,GRE,1.0,GENIDOUNIAS K,3 - 3,44,GRE,0:44,3
Time-Out,,2,3,GRE,1.0,,3 - 3,44,GRE,0:44,3
Turnover foul,7.0,2,3,GRE,1.0,AFROUDAKIS C,3 - 3,16,GRE,0:16,3
Time-Out,,2,3,GRE,1.0,,3 - 3,16,USA,0:16,3
5m shot - Blocked,6.0,2,3,GRE,1.0,CUPIDO L,3 - 3,1,USA,0:01,3
Starting goalkeeper,1.0,2,3,GRE,2.0,FLEGKAS K,3 - 3,480,GRE,8:00,3
Starting goalkeeper,1.0,2,3,GRE,2.0,MOSES M,3 - 3,480,USA,8:00,3
Sprint won possession,7.0,2,3,GRE,2.0,SAMUELS J,3 - 3,480,USA,8:00,3
Action shot - Missed,7.0,2,3,GRE,2.0,SAMUELS J,3 - 3,454,USA,7:34,3
Turnover foul,5.0,2,3,GRE,2.0,FOUNTOULIS I,3 - 3,437,GRE,7:17,3
Counter attack - Goal,7.0,2,3,GRE,2.0,SAMUELS J,3 - 4,424,USA,7:04,4
20 sec. exclusion in centre,3.0,2,3,GRE,2.0,OBERT A,3 - 4,404,USA,6:44,4
Extra player shot - Post,7.0,2,3,GRE,2.0,AFROUDAKIS C,3 - 4,395,GRE,6:35,4
Turnover foul,5.0,2,3,GRE,2.0,ROELSE A,3 - 4,378,USA,6:18,4
Steal,5.0,2,3,GRE,2.0,FOUNTOULIS I,3 - 4,378,GRE,6:18,4
20 sec. exclusion in centre,8.0,2,3,GRE,2.0,AZEVEDO T,3 - 4,361,USA,6:01,4
Extra player shot - Saved,12.0,2,3,GRE,2.0,VLACHOPOULOS A,3 - 4,343,GRE,5:43,4
Turnover foul,6.0,2,3,GRE,2.0,CUPIDO L,3 - 4,312,USA,5:12,4
Steal,2.0,2,3,GRE,2.0,MYLONAKIS E,3 - 4,312,GRE,5:12,4
Centre shot - Saved,12.0,2,3,GRE,2.0,VLACHOPOULOS A,3 - 4,293,GRE,4:53,4
Turnover foul,7.0,2,3,GRE,2.0,SAMUELS J,3 - 4,270,USA,4:30,4
Steal,7.0,2,3,GRE,2.0,AFROUDAKIS C,3 - 4,270,GRE,4:30,4
Turnover foul,1.0,2,3,GRE,2.0,FLEGKAS K,3 - 4,254,GRE,4:14,4
Steal,2.0,2,3,GRE,2.0,VAVIC N,3 - 4,254,USA,4:14,4
20 sec. exclusion in field,8.0,2,3,GRE,2.0,AZEVEDO T,3 - 4,247,USA,4:07,4
Time-Out,,2,3,GRE,2.0,,3 - 4,244,GRE,4:04,4
5m shot - Post,5.0,2,3,GRE,2.0,FOUNTOULIS I,3 - 4,220,GRE,3:40,4
5m shot - Blocked,6.0,2,3,GRE,2.0,CUPIDO L,3 - 4,189,USA,3:09,4
Action shot - Goal,5.0,2,4,GRE,2.0,FOUNTOULIS I,4 - 4,165,GRE,2:45,4
Action shot - Goal,12.0,2,4,GRE,2.0,MANN J,4 - 5,141,USA,2:21,5
5m shot - Missed,2.0,2,4,GRE,2.0,MYLONAKIS E,4 - 5,111,GRE,1:51,5
Time-Out,,2,4,GRE,2.0,,4 - 5,111,USA,1:51,5
20 sec. exclusion in centre,7.0,2,4,GRE,2.0,AFROUDAKIS C,4 - 5,96,GRE,1:36,5
Extra player shot - Goal,8.0,2,4,GRE,2.0,AZEVEDO T,4 - 6,78,USA,1:18,6
Turnover foul,5.0,2,4,GRE,2.0,FOUNTOULIS I,4 - 6,59,GRE,0:59,6
Steal,8.0,2,4,GRE,2.0,AZEVEDO T,4 - 6,59,USA,0:59,6
20 sec. exclusion in centre,10.0,2,4,GRE,2.0,KOLOMVOS C,4 - 6,41,GRE,0:41,6
Double exclusion,2.0,2,4,GRE,2.0,MYLONAKIS E,4 - 6,27,GRE,0:27,6
Double exclusion,6.0,2,4,GRE,2.0,CUPIDO L,4 - 6,27,USA,0:27,6
Yellow card,,2,4,GRE,2.0,Team Official,4 - 6,27,USA,0:27,6
Extra player shot - Post,7.0,2,4,GRE,2.0,SAMUELS J,4 - 6,16,USA,0:16,6
Action shot - Saved,2.0,2,4,GRE,2.0,VAVIC N,4 - 6,1,USA,0:01,6
Starting goalkeeper,1.0,2,4,GRE,3.0,FLEGKAS K,4 - 6,480,GRE,8:00,6
Starting goalkeeper,1.0,2,4,GRE,3.0,MOSES M,4 - 6,480,USA,8:00,6
Sprint won possession,11.0,2,4,GRE,3.0,GOUNAS A,4 - 6,480,GRE,8:00,6
20 sec. exclusion in centre,11.0,2,4,GRE,3.0,SMITH J,4 - 6,452,USA,7:32,6
Extra player shot - Goal,9.0,2,5,GRE,3.0,MOURIKIS K,5 - 6,452,GRE,7:32,6
20 sec. exclusion in field,3.0,2,5,GRE,3.0,DERVISIS G,5 - 6,431,GRE,7:11,6
20 sec. exclusion in field,12.0,2,5,GRE,3.0,VLACHOPOULOS A,5 - 6,420,GRE,7:00,6
Extra player shot - Goal,9.0,2,5,GRE,3.0,BOWEN A,5 - 7,405,USA,6:45,7
20 sec. exclusion in centre,3.0,2,5,GRE,3.0,OBERT A,5 - 7,386,USA,6:26,7
Action shot - Goal,9.0,2,6,GRE,3.0,MOURIKIS K,6 - 7,362,GRE,6:02,7
Action shot - Saved,5.0,2,6,GRE,3.0,FOUNTOULIS I,6 - 7,320,GRE,5:20,7
Turnover foul,12.0,2,6,GRE,3.0,MANN J,6 - 7,287,USA,4:47,7
Turnover foul,10.0,2,6,GRE,3.0,KOLOMVOS C,6 - 7,277,GRE,4:37,7
20 sec. exclusion in centre,5.0,2,6,GRE,3.0,FOUNTOULIS I,6 - 7,261,GRE,4:21,7
Extra player shot - Goal,10.0,2,6,GRE,3.0,BONANNI B,6 - 8,246,USA,4:06,8
Action shot - Saved,11.0,2,6,GRE,3.0,GOUNAS A,6 - 8,214,GRE,3:34,8
Turnover foul,12.0,2,6,GRE,3.0,MANN J,6 - 8,189,USA,3:09,8
Action shot - Saved,7.0,2,6,GRE,3.0,AFROUDAKIS C,6 - 8,170,GRE,2:50,8
Action shot - Missed,11.0,2,6,GRE,3.0,GOUNAS A,6 - 8,151,GRE,2:31,8
20 sec. exclusion in centre,4.0,2,6,GRE,3.0,GENIDOUNIAS K,6 - 8,134,GRE,2:14,8
Time-Out,,2,6,GRE,3.0,,6 - 8,134,USA,2:14,8
Yellow card,,2,6,GRE,3.0,Team Official,6 - 8,134,GRE,2:14,8
20 sec. exclusion in centre,10.0,2,6,GRE,3.0,BONANNI B,6 - 8,94,USA,1:34,8
Extra player shot - Goal,12.0,2,7,GRE,3.0,VLACHOPOULOS A,7 - 8,75,GRE,1:15,8
20 sec. exclusion in centre,12.0,2,7,GRE,3.0,VLACHOPOULOS A,7 - 8,47,GRE,0:47,8
Extra player shot - Goal,8.0,2,7,GRE,3.0,AZEVEDO T,7 - 9,46,USA,0:46,9
20 sec. exclusion in centre,9.0,2,7,GRE,3.0,BOWEN A,7 - 9,21,USA,0:21,9
Time-Out,,2,7,GRE,3.0,,7 - 9,20,GRE,0:20,9
Extra player shot - Saved,5.0,2,7,GRE,3.0,FOUNTOULIS I,7 - 9,5,GRE,0:05,9
Action shot - Goal,5.0,2,8,GRE,3.0,FOUNTOULIS I,8 - 9,0,GRE,0:00,9
Starting goalkeeper,1.0,2,8,GRE,4.0,FLEGKAS K,8 - 9,480,GRE,8:00,9
Starting goalkeeper,1.0,2,8,GRE,4.0,MOSES M,8 - 9,480,USA,8:00,9
Sprint won possession,7.0,2,8,GRE,4.0,AFROUDAKIS C,8 - 9,480,GRE,8:00,9
Turnover foul,9.0,2,8,GRE,4.0,MOURIKIS K,8 - 9,455,GRE,7:35,9
5m shot - Blocked,7.0,2,8,GRE,4.0,SAMUELS J,8 - 9,427,USA,7:07,9
5m shot - Missed,8.0,2,8,GRE,4.0,DELAKAS E,8 - 9,400,GRE,6:40,9
20 sec. exclusion in centre,8.0,2,8,GRE,4.0,DELAKAS E,8 - 9,380,GRE,6:20,9
Extra player shot - Post,10.0,2,8,GRE,4.0,BONANNI B,8 - 9,371,USA,6:11,9
Turnover foul,12.0,2,8,GRE,4.0,MANN J,8 - 9,352,USA,5:52,9
5m shot - Saved,12.0,2,8,GRE,4.0,VLACHOPOULOS A,8 - 9,326,GRE,5:26,9
5m shot - Saved,5.0,2,8,GRE,4.0,ROELSE A,8 - 9,299,USA,4:59,9
Turnover foul,9.0,2,8,GRE,4.0,MOURIKIS K,8 - 9,285,GRE,4:45,9
20 sec. exclusion in centre,5.0,2,8,GRE,4.0,FOUNTOULIS I,8 - 9,263,GRE,4:23,9
Extra player shot - Goal,5.0,2,8,GRE,4.0,ROELSE A,8 - 10,245,USA,4:05,10
5m shot - Missed,4.0,2,8,GRE,4.0,GENIDOUNIAS K,8 - 10,219,GRE,3:39,10
Turnover foul,3.0,2,8,GRE,4.0,OBERT A,8 - 10,200,USA,3:20,10
Steal,6.0,2,8,GRE,4.0,PONTIKEAS K,8 - 10,200,GRE,3:20,10
20 sec. exclusion in field,7.0,2,8,GRE,4.0,SAMUELS J,8 - 10,188,USA,3:08,10
Action shot - Goal,2.0,2,9,GRE,4.0,MYLONAKIS E,9 - 10,163,GRE,2:43,10
Time-Out,,2,9,GRE,4.0,,9 - 10,138,USA,2:18,10
Action shot - Goal,2.0,2,10,GRE,4.0,MYLONAKIS E,10 - 10,104,GRE,1:44,10
20 sec. exclusion in centre,10.0,2,10,GRE,4.0,KOLOMVOS C,10 - 10,76,GRE,1:16,10
Extra player shot - Saved,6.0,2,10,GRE,4.0,CUPIDO L,10 - 10,49,USA,0:49,10
Time-Out,,2,10,GRE,4.0,,10 - 10,48,GRE,0:48,10
Action shot - Goal,8.0,2,11,GRE,4.0,DELAKAS E,11 - 10,31,GRE,0:31,10
Starting goalkeeper,13.0,3,0,ITA,1.0,BARON M,0 - 0,480,USA,8:00,0
Starting goalkeeper,1.0,3,0,ITA,1.0,TEMPESTI S,0 - 0,480,ITA,8:00,0
Sprint won possession,4.0,3,0,ITA,1.0,FIGLIOLI P,0 - 0,480,ITA,8:00,0
Turnover foul,4.0,3,0,ITA,1.0,FIGLIOLI P,0 - 0,459,ITA,7:39,0
Steal,7.0,3,0,ITA,1.0,SAMUELS J,0 - 0,459,USA,7:39,0
Action shot - Saved,4.0,3,0,ITA,1.0,KIMBELL J,0 - 0,440,USA,7:20,0
20 sec. exclusion in field,4.0,3,0,ITA,1.0,KIMBELL J,0 - 0,436,USA,7:16,0
Action shot - Goal,2.0,3,1,ITA,1.0,DI FULVIO F,0 - 1,411,ITA,6:51,0
20 sec. exclusion in centre,3.0,3,1,ITA,1.0,VELOTTO A,0 - 1,392,ITA,6:32,0
20 sec. exclusion in field,11.0,3,1,ITA,1.0,AICARDI M,0 - 1,377,ITA,6:17,0
Extra player shot - Saved,8.0,3,1,ITA,1.0,AZEVEDO T,0 - 1,366,USA,6:06,0
Extra player shot - Goal,2.0,3,1,ITA,1.0,VAVIC N,1 - 1,364,USA,6:04,1
20 sec. exclusion in field,8.0,3,1,ITA,1.0,AZEVEDO T,1 - 1,344,USA,5:44,1
20 sec. exclusion in field,7.0,3,1,ITA,1.0,SAMUELS J,1 - 1,329,USA,5:29,1
Extra player shot - Goal,5.0,3,2,ITA,1.0,GIORGETTI A,1 - 2,325,ITA,5:25,1
5m shot - Saved,9.0,3,2,ITA,1.0,BOWEN A,1 - 2,296,USA,4:56,1
Penalty foul,7.0,3,2,ITA,1.0,SAMUELS J,1 - 2,277,USA,4:37,1
Penalty shot - Goal,5.0,3,3,ITA,1.0,GIORGETTI A,1 - 3,277,ITA,4:37,1
20 sec. exclusion in centre,7.0,3,3,ITA,1.0,GIACOPPO M,1 - 3,260,ITA,4:20,1
Extra player shot - Goal,10.0,3,3,ITA,1.0,BONANNI B,2 - 3,242,USA,4:02,2
Turnover foul,11.0,3,3,ITA,1.0,AICARDI M,2 - 3,216,ITA,3:36,2
Action shot - Saved,10.0,3,3,ITA,1.0,BONANNI B,2 - 3,193,USA,3:13,2
Turnover foul,3.0,3,3,ITA,1.0,OBERT A,2 - 3,180,USA,3:00,2
Counter attack - Missed,11.0,3,3,ITA,1.0,AICARDI M,2 - 3,174,ITA,2:54,2
Turnover foul,2.0,3,3,ITA,1.0,VAVIC N,2 - 3,148,USA,2:28,2
Counter attack - Goal,2.0,3,4,ITA,1.0,DI FULVIO F,2 - 4,135,ITA,2:15,2
20 sec. exclusion in field,5.0,3,4,ITA,1.0,GIORGETTI A,2 - 4,123,ITA,2:03,2
Extra player shot - Goal,8.0,3,4,ITA,1.0,AZEVEDO T,3 - 4,109,USA,1:49,3
Turnover foul,6.0,3,4,ITA,1.0,FONDELLI A,3 - 4,95,ITA,1:35,3
Steal,8.0,3,4,ITA,1.0,AZEVEDO T,3 - 4,95,USA,1:35,3
Action shot - Saved,8.0,3,4,ITA,1.0,AZEVEDO T,3 - 4,82,USA,1:22,3
Action shot - Post,7.0,3,4,ITA,1.0,SAMUELS J,3 - 4,64,USA,1:04,3
Turnover foul,3.0,3,4,ITA,1.0,VELOTTO A,3 - 4,44,ITA,0:44,3
Steal,10.0,3,4,ITA,1.0,BONANNI B,3 - 4,44,USA,0:44,3
Time-Out,,3,4,ITA,1.0,,3 - 4,44,USA,0:44,3
5m shot - Goal,7.0,3,4,ITA,1.0,SAMUELS J,4 - 4,19,USA,0:19,4
Time-Out,,3,4,ITA,1.0,,4 - 4,19,ITA,0:19,4
20 sec. exclusion in centre,11.0,3,4,ITA,1.0,SMITH J,4 - 4,7,USA,0:07,4
Action shot - Saved,10.0,3,4,ITA,1.0,LUONGO S,4 - 4,0,ITA,0:00,4
Starting goalkeeper,13.0,3,4,ITA,2.0,BARON M,4 - 4,480,USA,8:00,4
