Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name
3.0,3:13,5m shot - Missed,14 - 2,ITA,PICOZZI D,7.0,14,2,193,2,BRA
3.0,2:56,Action shot - Goal,14 - 3,BRA,ABLA D,2.0,14,3,176,2,BRA
3.0,2:29,Turnover foul,14 - 3,BRA,BAHIA V,10.0,14,3,149,2,BRA
3.0,2:29,Steal,14 - 3,ITA,GARIBOTTI A,3.0,14,3,149,2,BRA
3.0,2:12,Action shot - Saved,14 - 3,BRA,ABLA D,2.0,14,3,132,2,BRA
3.0,1:47,Centre shot - Saved,14 - 3,ITA,PALMIERI V,10.0,14,3,107,2,BRA
3.0,1:40,Time-Out,14 - 3,BRA,,,14,3,100,2,BRA
3.0,1:14,Action shot - Blocked,14 - 3,BRA,BELORIO L,12.0,14,3,74,2,BRA
3.0,1:02,Counter attack - Goal,15 - 3,ITA,EMMOLO G,9.0,15,3,62,2,BRA
3.0,0:39,5m shot - Missed,15 - 3,BRA,DIAS M,9.0,15,3,39,2,BRA
3.0,0:22,Action shot - Post,15 - 3,ITA,TABANI C,2.0,15,3,22,2,BRA
4.0,8:00,Starting goalkeeper,15 - 3,ITA,GORLERO G,1.0,15,3,480,2,BRA
4.0,8:00,Starting goalkeeper,15 - 3,BRA,SA R,13.0,15,3,480,2,BRA
4.0,8:00,Sprint won possession,15 - 3,BRA,ZABLITH M,3.0,15,3,480,2,BRA
4.0,7:31,5m shot - Saved,15 - 3,BRA,DIAS M,9.0,15,3,451,2,BRA
4.0,7:04,5m shot - Missed,15 - 3,ITA,PALMIERI V,10.0,15,3,424,2,BRA
4.0,6:36,5m shot - Blocked,15 - 3,BRA,DIAS M,9.0,15,3,396,2,BRA
4.0,6:16,Turnover foul,15 - 3,ITA,PALMIERI V,10.0,15,3,376,2,BRA
4.0,6:14,20 sec. exclusion in centre,15 - 3,ITA,QUEIROLO E,4.0,15,3,374,2,BRA
4.0,5:49,Action shot - Saved,15 - 3,BRA,DUARTE M,11.0,15,3,349,2,BRA
4.0,5:26,Action shot - Goal,16 - 3,ITA,BIANCONI R,8.0,16,3,326,2,BRA
4.0,5:04,5m shot - Missed,16 - 3,BRA,ZABLITH M,3.0,16,3,304,2,BRA
4.0,4:38,Action shot - Post,16 - 3,ITA,BIANCONI R,8.0,16,3,278,2,BRA
