Period,Time,Action,Score,Team,Player,Cap,ITA,Opponent,Seconds,Game,Opponent name,Result,Goal
3.0,6:05,5m shot,12 - 2,ITA,RADICCHI F,5.0,12,2,365,2,BRA,Saved,0
3.0,5:42,5m shot,12 - 2,ITA,RADICCHI F,5.0,12,2,342,2,BRA,Post,0
3.0,5:07,Penalty shot,13 - 2,ITA,BIANCONI R,8.0,13,2,307,2,BRA,Goal,1
3.0,4:37,5m shot,13 - 2,BRA,ZABLITH M,3.0,13,2,277,2,BRA,Saved,0
3.0,4:19,5m shot,13 - 2,BRA,DUARTE M,11.0,13,2,259,2,BRA,Saved,0
3.0,4:00,5m shot,14 - 2,ITA,PICOZZI D,7.0,14,2,240,2,BRA,Goal,1
3.0,3:13,5m shot,14 - 2,ITA,PICOZZI D,7.0,14,2,193,2,BRA,Missed,0
3.0,2:56,Action shot,14 - 3,BRA,ABLA D,2.0,14,3,176,2,BRA,Goal,1
3.0,2:12,Action shot,14 - 3,BRA,ABLA D,2.0,14,3,132,2,BRA,Saved,0
3.0,1:47,Centre shot,14 - 3,ITA,PALMIERI V,10.0,14,3,107,2,BRA,Saved,0
3.0,1:14,Action shot,14 - 3,BRA,BELORIO L,12.0,14,3,74,2,BRA,Blocked,0
3.0,1:02,Counter attack,15 - 3,ITA,EMMOLO G,9.0,15,3,62,2,BRA,Goal,1
3.0,0:39,5m shot,15 - 3,BRA,DIAS M,9.0,15,3,39,2,BRA,Missed,0
3.0,0:22,Action shot,15 - 3,ITA,TABANI C,2.0,15,3,22,2,BRA,Post,0
4.0,7:31,5m shot,15 - 3,BRA,DIAS M,9.0,15,3,451,2,BRA,Saved,0
4.0,7:04,5m shot,15 - 3,ITA,PALMIERI V,10.0,15,3,424,2,BRA,Missed,0
4.0,6:36,5m shot,15 - 3,BRA,DIAS M,9.0,15,3,396,2,BRA,Blocked,0
4.0,5:49,Action shot,15 - 3,BRA,DUARTE M,11.0,15,3,349,2,BRA,Saved,0
4.0,5:26,Action shot,16 - 3,ITA,BIANCONI R,8.0,16,3,326,2,BRA,Goal,1
4.0,5:04,5m shot,16 - 3,BRA,ZABLITH M,3.0,16,3,304,2,BRA,Missed,0
4.0,4:38,Action shot,16 - 3,ITA,BIANCONI R,8.0,16,3,278,2,BRA,Post,0
