Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Goal,2,4.0,2,9,ITA,2.0,QUEIROLO E,9 - 2,260,ITA,4:20
5m shot - Saved,2,9.0,2,9,ITA,2.0,DIAS M,9 - 2,236,BRA,3:56
5m shot - Saved,2,9.0,2,9,ITA,2.0,DIAS M,9 - 2,210,BRA,3:30
Turnover foul,2,7.0,2,9,ITA,2.0,PICOZZI D,9 - 2,190,ITA,3:10
Steal,2,11.0,2,9,ITA,2.0,DUARTE M,9 - 2,190,BRA,3:10
Turnover foul,2,3.0,2,9,ITA,2.0,ZABLITH M,9 - 2,161,BRA,2:41
Steal,2,7.0,2,9,ITA,2.0,PICOZZI D,9 - 2,161,ITA,2:41
20 sec. exclusion in centre,2,11.0,2,9,ITA,2.0,DUARTE M,9 - 2,152,BRA,2:32
Extra player shot - Saved,2,7.0,2,9,ITA,2.0,PICOZZI D,9 - 2,134,ITA,2:14
Action shot - Goal,2,10.0,2,10,ITA,2.0,PALMIERI V,10 - 2,117,ITA,1:57
5m shot - Saved,2,3.0,2,10,ITA,2.0,ZABLITH M,10 - 2,94,BRA,1:34
Centre shot - Goal,2,10.0,2,11,ITA,2.0,PALMIERI V,11 - 2,79,ITA,1:19
5m shot - Missed,2,10.0,2,11,ITA,2.0,BAHIA V,11 - 2,50,BRA,0:50
Time-Out,2,,2,11,ITA,2.0,,11 - 2,19,BRA,0:19
20 sec. exclusion in centre,2,9.0,2,11,ITA,2.0,EMMOLO G,11 - 2,5,ITA,0:05
Extra player shot - Saved,2,11.0,2,11,ITA,2.0,DUARTE M,11 - 2,2,BRA,0:02
Starting goalkeeper,2,1.0,2,11,ITA,3.0,GORLERO G,11 - 2,480,ITA,8:00
Starting goalkeeper,2,1.0,2,11,ITA,3.0,CHAMORRO V,11 - 2,480,BRA,8:00
Sprint won possession,2,3.0,2,11,ITA,3.0,ZABLITH M,11 - 2,480,BRA,8:00
5m shot - Saved,2,11.0,2,11,ITA,3.0,DUARTE M,11 - 2,467,BRA,7:47
