Action,Cap,Game,KAZ,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Centre shot,7.0,1,2,4,BRA,4.0,SHAKENOV M,4 - 2,453,KAZ,7:33,Missed,0
Extra player shot,2.0,1,2,4,BRA,4.0,MEDVEDEV Y,4 - 2,387,KAZ,6:27,Post,0
5m shot,11.0,1,2,5,BRA,4.0,GUIMARAES G,5 - 2,358,BRA,5:58,Goal,1
5m shot,9.0,1,2,5,BRA,4.0,UKUMANOV R,5 - 2,328,KAZ,5:28,Blocked,0
Extra player shot,7.0,1,2,5,BRA,4.0,SHAKENOV M,5 - 2,252,KAZ,4:12,Saved,0
5m shot,12.0,1,2,5,BRA,4.0,FREITAS R,5 - 2,226,BRA,3:46,Post,0
Action shot,4.0,1,2,5,BRA,4.0,COUTINHO G,5 - 2,186,BRA,3:06,Saved,0
Action shot,2.0,1,2,5,BRA,4.0,MEDVEDEV Y,5 - 2,158,KAZ,2:38,Saved,0
Extra player shot,8.0,1,2,5,BRA,4.0,STELLET M,5 - 2,134,BRA,2:14,Saved,0
Counter attack,11.0,1,2,6,BRA,4.0,GUIMARAES G,6 - 2,61,BRA,1:01,Goal,1
Extra player shot,9.0,1,2,6,BRA,4.0,UKUMANOV R,6 - 2,30,KAZ,0:30,Post,0
Action shot,2.0,1,2,6,BRA,4.0,CRUZ A,6 - 2,5,BRA,0:05,Missed,0
Action shot,2.0,2,0,0,CAN,1.0,MEDVEDEV Y,0 - 0,452,KAZ,7:32,Saved,0
Extra player shot,9.0,2,0,0,CAN,1.0,UKUMANOV R,0 - 0,431,KAZ,7:11,Saved,0
Action shot,7.0,2,0,0,CAN,1.0,SHAKENOV M,0 - 0,425,KAZ,7:05,Saved,0
Action shot,2.0,2,0,0,CAN,1.0,MEDVEDEV Y,0 - 0,375,KAZ,6:15,Saved,0
Extra player shot,11.0,2,0,0,CAN,1.0,TORAKIS G,0 - 0,309,CAN,5:09,Saved,0
5m shot,9.0,2,1,0,CAN,1.0,UKUMANOV R,0 - 1,282,KAZ,4:42,Goal,1
Extra player shot,12.0,2,1,1,CAN,1.0,THUMWOOD D,1 - 1,253,CAN,4:13,Goal,1
5m shot,11.0,2,1,1,CAN,1.0,TORAKIS G,1 - 1,161,CAN,2:41,Post,0
5m shot,9.0,2,1,1,CAN,1.0,UKUMANOV R,1 - 1,132,KAZ,2:12,Post,0
Action shot,9.0,2,1,1,CAN,1.0,UKUMANOV R,1 - 1,117,KAZ,1:57,Saved,0
Extra player shot,2.0,2,2,1,CAN,1.0,MEDVEDEV Y,1 - 2,83,KAZ,1:23,Goal,1
Penalty shot,10.0,2,2,2,CAN,1.0,SOLEIMANIPAK A,2 - 2,68,CAN,1:08,Goal,1
Action shot,2.0,2,2,2,CAN,1.0,MEDVEDEV Y,2 - 2,40,KAZ,0:40,Saved,0
Action shot,7.0,2,2,2,CAN,1.0,SHAKENOV M,2 - 2,3,KAZ,0:03,Saved,0
5m shot,12.0,2,2,2,CAN,1.0,THUMWOOD D,2 - 2,1,CAN,0:01,Missed,0
