Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,2,8.0,2,4,CRO,2.0,BUSLJE A,4 - 2,417,CRO,6:57
5m shot - Blocked,2,6.0,2,4,CRO,2.0,GOMES B,4 - 2,388,BRA,6:28
20 sec. exclusion in centre,2,5.0,2,4,CRO,2.0,SALEMI P,4 - 2,376,BRA,6:16
Yellow card,2,,2,4,CRO,2.0,Team Official,4 - 2,372,BRA,6:12
Extra player shot - Goal,2,12.0,2,5,CRO,2.0,OBRADOVIC P,5 - 2,359,CRO,5:59
20 sec. exclusion in centre,2,4.0,2,5,CRO,2.0,LONCAR L,5 - 2,336,CRO,5:36
Action shot - Goal,3,10.0,2,5,CRO,2.0,PERRONE F,5 - 3,312,BRA,5:12
Action shot - Saved,3,7.0,2,5,CRO,2.0,MUSLIM P,5 - 3,292,CRO,4:52
20 sec. exclusion in centre,3,11.0,2,5,CRO,2.0,SETKA A,5 - 3,272,CRO,4:32
Action shot - Blocked,3,10.0,2,5,CRO,2.0,PERRONE F,5 - 3,248,BRA,4:08
20 sec. exclusion in centre,3,6.0,2,5,CRO,2.0,GOMES B,5 - 3,230,BRA,3:50
Extra player shot - Goal,3,9.0,2,6,CRO,2.0,SUKNO S,6 - 3,223,CRO,3:43
Centre shot - Missed,3,12.0,2,6,CRO,2.0,VRLIC J,6 - 3,192,BRA,3:12
Double exclusion,3,12.0,2,6,CRO,2.0,OBRADOVIC P,6 - 3,192,CRO,3:12
Double exclusion,3,12.0,2,6,CRO,2.0,VRLIC J,6 - 3,190,BRA,3:10
20 sec. exclusion in centre,3,9.0,2,6,CRO,2.0,ROCHA B,6 - 3,187,BRA,3:07
Extra player shot - Goal,3,9.0,2,7,CRO,2.0,SUKNO S,7 - 3,174,CRO,2:54
Action shot - Missed,3,5.0,2,7,CRO,2.0,SALEMI P,7 - 3,140,BRA,2:20
Action shot - Post,3,5.0,2,7,CRO,2.0,JOKOVIC M,7 - 3,134,CRO,2:14
Counter attack - Goal,4,2.0,2,7,CRO,2.0,CRIVELLA J,7 - 4,126,BRA,2:06
Turnover foul,4,7.0,2,7,CRO,2.0,MUSLIM P,7 - 4,113,CRO,1:53
Action shot - Saved,4,10.0,2,7,CRO,2.0,PERRONE F,7 - 4,90,BRA,1:30
Time-Out,4,,2,7,CRO,2.0,,7 - 4,87,CRO,1:27
20 sec. exclusion in field,4,4.0,2,7,CRO,2.0,GONZALEZ I,7 - 4,80,BRA,1:20
Extra player shot - Goal,4,6.0,2,8,CRO,2.0,BUKIC L,8 - 4,58,CRO,0:58
20 sec. exclusion in centre,4,8.0,2,8,CRO,4.0,SILVA F,8 - 4,112,BRA,1:52
Exclusion with substitution,4,8.0,2,8,CRO,4.0,SILVA F,8 - 4,112,BRA,1:52
Extra player shot - Saved,4,3.0,2,8,CRO,4.0,PETKOVIC A,8 - 4,94,CRO,1:34
Action shot - Saved,4,4.0,2,8,CRO,4.0,LONCAR L,8 - 4,78,CRO,1:18
Action shot - Saved,4,3.0,2,8,CRO,4.0,GOMES G,8 - 4,58,BRA,0:58
Turnover foul,4,3.0,2,8,CRO,2.0,PETKOVIC A,8 - 4,6,CRO,0:06
Time-Out,4,,2,8,CRO,2.0,,8 - 4,6,BRA,0:06
Starting goalkeeper,4,1.0,2,8,CRO,3.0,PAVIC J,8 - 4,480,CRO,8:00
Starting goalkeeper,4,1.0,2,8,CRO,3.0,ANTONELLI V,8 - 4,480,BRA,8:00
Sprint won possession,4,11.0,2,8,CRO,3.0,SETKA A,8 - 4,480,CRO,8:00
Turnover foul,4,9.0,2,8,CRO,3.0,SUKNO S,8 - 4,453,CRO,7:33
Steal,4,8.0,2,8,CRO,3.0,SILVA F,8 - 4,453,BRA,7:33
Turnover foul,4,10.0,2,8,CRO,3.0,PERRONE F,8 - 4,426,BRA,7:06
Turnover foul,4,2.0,2,8,CRO,3.0,BURIC D,8 - 4,405,CRO,6:45
Steal,4,1.0,2,8,CRO,3.0,ANTONELLI V,8 - 4,405,BRA,6:45
Turnover foul,4,10.0,2,8,CRO,3.0,PERRONE F,8 - 4,375,BRA,6:15
Steal,4,6.0,2,8,CRO,3.0,BUKIC L,8 - 4,375,CRO,6:15
Turnover foul,4,9.0,2,8,CRO,3.0,SUKNO S,8 - 4,365,CRO,6:05
Steal,4,7.0,2,8,CRO,3.0,DELGADO A,8 - 4,365,BRA,6:05
Turnover foul,4,1.0,2,8,CRO,3.0,ANTONELLI V,8 - 4,347,BRA,5:47
Turnover foul,4,11.0,2,8,CRO,3.0,SETKA A,8 - 4,340,CRO,5:40
Steal,4,6.0,2,8,CRO,3.0,GOMES B,8 - 4,340,BRA,5:40
Turnover foul,4,10.0,2,8,CRO,3.0,PERRONE F,8 - 4,309,BRA,5:09
Steal,4,5.0,2,8,CRO,3.0,JOKOVIC M,8 - 4,309,CRO,5:09
20 sec. exclusion in centre,4,8.0,2,8,CRO,3.0,SILVA F,8 - 4,294,BRA,4:54
5m shot - Missed,4,11.0,2,8,CRO,3.0,SETKA A,8 - 4,273,CRO,4:33
20 sec. exclusion in centre,4,11.0,2,8,CRO,3.0,SETKA A,8 - 4,253,CRO,4:13
Extra player shot - Goal,5,2.0,2,8,CRO,3.0,CRIVELLA J,8 - 5,233,BRA,3:53
Turnover foul,5,3.0,2,8,CRO,3.0,PETKOVIC A,8 - 5,214,CRO,3:34
5m shot - Blocked,5,11.0,2,8,CRO,3.0,GUIMARAES G,8 - 5,204,BRA,3:24
Turnover foul,5,7.0,2,8,CRO,3.0,MUSLIM P,8 - 5,191,CRO,3:11
20 sec. exclusion in centre,5,2.0,2,8,CRO,3.0,BURIC D,8 - 5,173,CRO,2:53
