Action,BRA,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2,12.0,6,2,CAN,2.0,MCELROY J,2 - 2,401,CAN,6:41,Saved,0
Extra player shot,2,2.0,6,3,CAN,2.0,KUDABA C,3 - 2,345,CAN,5:45,Goal,1
Extra player shot,2,5.0,6,3,CAN,2.0,BOYD J,3 - 2,295,CAN,4:55,Post,0
Action shot,2,8.0,6,3,CAN,2.0,SILVA F,3 - 2,266,BRA,4:26,Saved,0
Action shot,2,10.0,6,3,CAN,2.0,CONWAY J,3 - 2,236,CAN,3:56,Blocked,0
Action shot,3,12.0,6,3,CAN,2.0,VRLIC J,3 - 3,213,BRA,3:33,Goal,1
Counter attack,3,11.0,6,3,CAN,2.0,GUIMARAES G,3 - 3,185,BRA,3:05,Saved,0
Extra player shot,3,3.0,6,3,CAN,2.0,VIKALO O,3 - 3,147,CAN,2:27,Saved,0
5m shot,3,10.0,6,3,CAN,2.0,PERRONE F,3 - 3,120,BRA,2:00,Saved,0
5m shot,3,10.0,6,3,CAN,2.0,PERRONE F,3 - 3,115,BRA,1:55,Saved,0
Action shot,3,11.0,6,3,CAN,2.0,GUIMARAES G,3 - 3,76,BRA,1:16,Saved,0
5m shot,3,2.0,6,3,CAN,2.0,KUDABA C,3 - 3,47,CAN,0:47,Saved,0
5m shot,3,11.0,6,3,CAN,2.0,TORAKIS G,3 - 3,0,CAN,0:00,Missed,0
Extra player shot,3,10.0,6,3,CAN,4.0,PERRONE F,3 - 3,54,BRA,0:54,Post,0
Action shot,3,4.0,6,3,CAN,4.0,CONSTANTIN-BICARI,3 - 3,16,CAN,0:16,Saved,0
Action shot,3,10.0,6,3,CAN,4.0,PERRONE F,3 - 3,2,BRA,0:02,Saved,0
Action shot,3,10.0,6,4,CAN,3.0,CONWAY J,4 - 3,452,CAN,7:32,Goal,1
Penalty shot,4,7.0,6,4,CAN,3.0,DELGADO A,4 - 4,398,BRA,6:38,Goal,1
Action shot,4,4.0,6,4,CAN,3.0,CONSTANTIN-BICARI,4 - 4,357,CAN,5:57,Saved,0
Extra player shot,4,12.0,6,4,CAN,3.0,VRLIC J,4 - 4,258,BRA,4:18,Saved,0
Action shot,4,10.0,6,4,CAN,3.0,CONWAY J,4 - 4,215,CAN,3:35,Saved,0
Centre shot,5,12.0,6,4,CAN,3.0,VRLIC J,4 - 5,208,BRA,3:28,Goal,1
Action shot,5,4.0,6,4,CAN,3.0,GONZALEZ I,4 - 5,162,BRA,2:42,Missed,0
Extra player shot,5,3.0,6,4,CAN,3.0,VIKALO O,4 - 5,98,CAN,1:38,Saved,0
Action shot,5,7.0,6,4,CAN,3.0,DELGADO A,4 - 5,52,BRA,0:52,Saved,0
Extra player shot,6,7.0,6,4,CAN,3.0,DELGADO A,4 - 6,5,BRA,0:05,Goal,1
Action shot,6,4.0,6,5,CAN,3.0,CONSTANTIN-BICARI,5 - 6,1,CAN,0:01,Goal,1
Action shot,6,12.0,6,5,CAN,4.0,VRLIC J,5 - 6,378,BRA,6:18,Saved,0
Action shot,6,2.0,6,5,CAN,4.0,CRIVELLA J,5 - 6,372,BRA,6:12,Saved,0
Action shot,6,5.0,6,6,CAN,4.0,BOYD J,6 - 6,348,CAN,5:48,Goal,1
Action shot,7,7.0,6,6,CAN,4.0,DELGADO A,6 - 7,321,BRA,5:21,Goal,1
Action shot,7,7.0,6,6,CAN,4.0,DELGADO A,6 - 7,272,BRA,4:32,Blocked,0
Centre shot,7,12.0,6,7,CAN,4.0,MCELROY J,7 - 7,207,CAN,3:27,Goal,1
Extra player shot,7,10.0,6,7,CAN,4.0,PERRONE F,7 - 7,128,BRA,2:08,Saved,0
5m shot,7,8.0,6,7,CAN,4.0,GRAHAM K,7 - 7,104,CAN,1:44,Missed,0
