Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,6.0,4,2,7,CRO,4.0,BUKIC L,7 - 2,228,CRO,3:48
Extra player shot - Goal,11.0,4,4,20,CRO,4.0,TIJSEN L,20 - 4,210,NZL,3:30
Penalty foul,12.0,4,4,20,CRO,4.0,PYE A,20 - 4,184,NZL,3:04
Penalty shot - Goal,7.0,4,4,21,CRO,4.0,MUSLIM P,21 - 4,184,CRO,3:04
5m shot - Missed,12.0,4,4,21,CRO,4.0,PYE A,21 - 4,159,NZL,2:39
Steal,6.0,4,4,21,CRO,2.0,SIEPRATH A,21 - 4,164,NZL,2:44
Centre shot - Goal,10.0,4,2,8,CRO,2.0,DOBUD N,8 - 2,119,CRO,1:59
Turnover foul,9.0,4,2,8,CRO,2.0,LUI-FAKAOTIMANAVA,8 - 2,99,NZL,1:39
Steal,12.0,4,2,8,CRO,2.0,OBRADOVIC P,8 - 2,99,CRO,1:39
Counter attack - Goal,11.0,4,2,9,CRO,2.0,SETKA A,9 - 2,91,CRO,1:31
Penalty foul,11.0,4,2,9,CRO,2.0,SETKA A,9 - 2,72,CRO,1:12
Penalty shot - Goal,10.0,4,3,9,CRO,2.0,BRYANT M,9 - 3,72,NZL,1:12
5m shot - Post,9.0,4,3,9,CRO,2.0,SUKNO S,9 - 3,51,CRO,0:51
Action shot - Goal,9.0,4,3,10,CRO,2.0,SUKNO S,10 - 3,35,CRO,0:35
Starting goalkeeper,13.0,4,3,10,CRO,3.0,BIJAC M,10 - 3,480,CRO,8:00
Starting goalkeeper,1.0,4,3,10,CRO,3.0,KINGSMILL T,10 - 3,480,NZL,8:00
Sprint won possession,9.0,4,3,10,CRO,3.0,SUKNO S,10 - 3,480,CRO,8:00
20 sec. exclusion in field,9.0,4,3,10,CRO,3.0,LUI-FAKAOTIMANAVA,10 - 3,465,NZL,7:45
Extra player shot - Goal,7.0,4,3,11,CRO,3.0,MUSLIM P,11 - 3,445,CRO,7:25
Turnover foul,4.0,4,3,11,CRO,3.0,LOWERY F,11 - 3,436,NZL,7:16
Counter attack - Post,11.0,4,3,11,CRO,3.0,SETKA A,11 - 3,429,CRO,7:09
Centre shot - Goal,9.0,4,3,12,CRO,3.0,SUKNO S,12 - 3,427,CRO,7:07
5m shot - Post,5.0,4,3,12,CRO,3.0,ROSS J,12 - 3,399,NZL,6:39
Turnover foul,12.0,4,3,12,CRO,3.0,PYE A,12 - 3,392,NZL,6:32
Steal,12.0,4,3,12,CRO,3.0,OBRADOVIC P,12 - 3,392,CRO,6:32
5m shot - Goal,12.0,4,3,13,CRO,3.0,OBRADOVIC P,13 - 3,374,CRO,6:14
Turnover foul,5.0,4,3,13,CRO,3.0,ROSS J,13 - 3,349,NZL,5:49
Steal,4.0,4,3,13,CRO,3.0,PASKVALIN F,13 - 3,349,CRO,5:49
