Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA,Result,Goal
Action shot,9.0,2,3,CAN,3.0,EGGENS C,8 - 3,303,CAN,5:03,8,Blocked,0
Action shot,7.0,2,3,CAN,3.0,MATHEWSON C,8 - 3,276,USA,4:36,8,Blocked,0
Action shot,7.0,2,3,CAN,3.0,BEKHAZI J,8 - 3,250,CAN,4:10,8,Saved,0
Action shot,9.0,2,3,CAN,3.0,KRAUS J,9 - 3,229,USA,3:49,9,Goal,1
Action shot,11.0,2,4,CAN,3.0,VALIN S,9 - 4,217,CAN,3:37,9,Goal,1
Action shot,7.0,2,4,CAN,3.0,BEKHAZI J,9 - 4,169,CAN,2:49,9,Missed,0
5m shot,7.0,2,4,CAN,3.0,MATHEWSON C,9 - 4,139,USA,2:19,9,Missed,0
Action shot,8.0,2,5,CAN,3.0,PERREAULT D,9 - 5,104,CAN,1:44,9,Goal,1
Action shot,9.0,2,5,CAN,3.0,EGGENS C,9 - 5,76,CAN,1:16,9,Blocked,0
Action shot,8.0,2,5,CAN,3.0,NEUSHUL K,9 - 5,52,USA,0:52,9,Blocked,0
Action shot,9.0,2,5,CAN,3.0,KRAUS J,9 - 5,5,USA,0:05,9,Saved,0
Action shot,4.0,2,6,CAN,4.0,WRIGHT E,9 - 6,459,CAN,7:39,9,Goal,1
Extra player shot,8.0,2,6,CAN,4.0,NEUSHUL K,10 - 6,423,USA,7:03,10,Goal,1
5m shot,4.0,2,7,CAN,4.0,WRIGHT E,10 - 7,397,CAN,6:37,10,Goal,1
Extra player shot,10.0,2,7,CAN,4.0,RULON K,10 - 7,360,USA,6:00,10,Post,0
Penalty shot,7.0,2,8,CAN,4.0,BEKHAZI J,10 - 8,343,CAN,5:43,10,Goal,1
5m shot,3.0,2,8,CAN,4.0,SEIDEMANN M,10 - 8,315,USA,5:15,10,Missed,0
5m shot,5.0,2,8,CAN,4.0,EGGENS M,10 - 8,290,CAN,4:50,10,Missed,0
5m shot,6.0,2,8,CAN,4.0,STEFFENS M,10 - 8,260,USA,4:20,10,Post,0
