Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,USA
Action shot - Saved,6.0,5,5,ESP,2.0,PAREJA J,5 - 4,118,ESP,1:58,4
5m shot - Missed,7.0,5,5,ESP,2.0,MIRANDA L,5 - 4,91,ESP,1:31,4
5m shot - Missed,3.0,5,5,ESP,2.0,SEIDEMANN M,5 - 4,75,USA,1:15,4
Action shot - Saved,12.0,5,5,ESP,2.0,LOPEZ L,5 - 4,48,ESP,0:48,4
Action shot - Saved,8.0,5,5,ESP,2.0,PENA P,5 - 4,22,ESP,0:22,4
Turnover foul,6.0,5,5,ESP,2.0,STEFFENS M,5 - 4,8,USA,0:08,4
Starting goalkeeper,1.0,5,5,ESP,3.0,ESTER L,5 - 4,480,ESP,8:00,4
Starting goalkeeper,1.0,5,5,ESP,3.0,ARMSTRONG E,5 - 4,480,USA,8:00,4
Sprint won possession,6.0,5,5,ESP,3.0,PAREJA J,5 - 4,480,ESP,8:00,4
Turnover foul,11.0,5,5,ESP,3.0,GARCIA GODOY M,5 - 4,452,ESP,7:32,4
Steal,5.0,5,5,ESP,3.0,CLARK C,5 - 4,452,USA,7:32,4
20 sec. exclusion in centre,7.0,5,5,ESP,3.0,MIRANDA L,5 - 4,431,ESP,7:11,4
Action shot - Saved,6.0,5,5,ESP,3.0,STEFFENS M,5 - 4,409,USA,6:49,4
Turnover foul,11.0,5,5,ESP,3.0,GARCIA GODOY M,5 - 4,386,ESP,6:26,4
Turnover foul,11.0,5,5,ESP,3.0,DRIES A,5 - 4,364,USA,6:04,4
Steal,2.0,5,5,ESP,3.0,BACH M,5 - 4,364,ESP,6:04,4
20 sec. exclusion in centre,5.0,5,5,ESP,3.0,CLARK C,5 - 4,350,USA,5:50,4
Extra player shot - Goal,11.0,5,6,ESP,3.0,GARCIA GODOY M,6 - 4,332,ESP,5:32,4
Turnover foul,11.0,5,6,ESP,3.0,DRIES A,6 - 4,314,USA,5:14,4
Steal,2.0,5,6,ESP,3.0,BACH M,6 - 4,314,ESP,5:14,4
20 sec. exclusion in centre,6.0,5,6,ESP,3.0,STEFFENS M,6 - 4,288,USA,4:48,4
Turnover foul,6.0,5,6,ESP,3.0,PAREJA J,6 - 4,266,ESP,4:26,4
Steal,11.0,5,6,ESP,3.0,DRIES A,6 - 4,266,USA,4:26,4
20 sec. exclusion in field,10.0,5,6,ESP,3.0,MESEGUER O,6 - 4,243,ESP,4:03,4
Time-Out,,5,6,ESP,3.0,,6 - 4,238,USA,3:58,4
Action shot - Blocked,7.0,5,6,ESP,3.0,MATHEWSON C,6 - 4,218,USA,3:38,4
20 sec. exclusion in centre,2.0,5,6,ESP,3.0,SILVER L,6 - 4,191,USA,3:11,4
Extra player shot - Saved,4.0,5,6,ESP,3.0,TARRAGO R,6 - 4,171,ESP,2:51,4
Centre shot - Saved,11.0,5,6,ESP,3.0,GARCIA GODOY M,6 - 4,168,ESP,2:48,4
20 sec. exclusion in centre,7.0,5,6,ESP,3.0,MIRANDA L,6 - 4,140,ESP,2:20,4
Action shot - Saved,7.0,5,6,ESP,3.0,MATHEWSON C,6 - 4,113,USA,1:53,4
Centre shot - Goal,3.0,5,6,ESP,3.0,SEIDEMANN M,6 - 5,111,USA,1:51,5
Turnover foul,12.0,5,6,ESP,3.0,LOPEZ L,6 - 5,83,ESP,1:23,5
Turnover foul,11.0,5,6,ESP,3.0,DRIES A,6 - 5,65,USA,1:05,5
Action shot - Missed,3.0,5,6,ESP,3.0,ESPAR A,6 - 5,46,ESP,0:46,5
Turnover foul,11.0,5,6,ESP,3.0,DRIES A,6 - 5,33,USA,0:33,5
Action shot - Blocked,3.0,5,6,ESP,3.0,ESPAR A,6 - 5,3,ESP,0:03,5
Starting goalkeeper,1.0,5,6,ESP,4.0,ESTER L,6 - 5,480,ESP,8:00,5
Starting goalkeeper,1.0,5,6,ESP,4.0,ARMSTRONG E,6 - 5,480,USA,8:00,5
Sprint won possession,6.0,5,6,ESP,4.0,PAREJA J,6 - 5,480,ESP,8:00,5
Action shot - Saved,6.0,5,6,ESP,4.0,PAREJA J,6 - 5,455,ESP,7:35,5
Turnover foul,12.0,5,6,ESP,4.0,CRAIG K,6 - 5,432,USA,7:12,5
Steal,6.0,5,6,ESP,4.0,PAREJA J,6 - 5,432,ESP,7:12,5
20 sec. exclusion in centre,12.0,5,6,ESP,4.0,LOPEZ L,6 - 5,376,ESP,6:16,5
Turnover foul,3.0,5,6,ESP,4.0,SEIDEMANN M,6 - 5,360,USA,6:00,5
20 sec. exclusion in field,6.0,5,6,ESP,4.0,STEFFENS M,6 - 5,335,USA,5:35,5
Time-Out,,5,6,ESP,4.0,,6 - 5,335,ESP,5:35,5
Action shot - Goal,11.0,5,7,ESP,4.0,GARCIA GODOY M,7 - 5,311,ESP,5:11,5
Centre shot - Saved,11.0,5,7,ESP,4.0,GARCIA GODOY M,7 - 5,253,ESP,4:13,5
Turnover foul,4.0,5,7,ESP,4.0,FATTAL R,7 - 5,224,USA,3:44,5
Steal,3.0,5,7,ESP,4.0,ESPAR A,7 - 5,224,ESP,3:44,5
Turnover foul,12.0,5,7,ESP,4.0,LOPEZ L,7 - 5,200,ESP,3:20,5
Action shot - Saved,6.0,5,7,ESP,4.0,STEFFENS M,7 - 5,160,USA,2:40,5
5m shot - Blocked,6.0,5,7,ESP,4.0,PAREJA J,7 - 5,147,ESP,2:27,5
Time-Out,,5,7,ESP,4.0,,7 - 5,145,USA,2:25,5
5m shot - Missed,6.0,5,7,ESP,4.0,STEFFENS M,7 - 5,122,USA,2:02,5
Action shot - Goal,12.0,5,8,ESP,4.0,LOPEZ L,8 - 5,97,ESP,1:37,5
20 sec. exclusion in field,9.0,5,8,ESP,4.0,BLAS A,8 - 5,84,ESP,1:24,5
Extra player shot - Blocked,12.0,5,8,ESP,4.0,CRAIG K,8 - 5,80,USA,1:20,5
20 sec. exclusion in field,10.0,5,8,ESP,4.0,RULON K,8 - 5,61,USA,1:01,5
Time-Out,,5,8,ESP,4.0,,8 - 5,60,ESP,1:00,5
Action shot - Goal,4.0,5,9,ESP,4.0,TARRAGO R,9 - 5,39,ESP,0:39,5
Centre shot - Goal,12.0,5,9,ESP,4.0,CRAIG K,9 - 6,27,USA,0:27,6
Starting goalkeeper,1.0,6,0,NED,1.0,ARMSTRONG E,0 - 0,480,USA,8:00,0
Starting goalkeeper,13.0,6,0,NED,1.0,HEINIS A,0 - 0,480,NED,8:00,0
Sprint won possession,7.0,6,0,NED,1.0,van BELKUM I,0 - 0,480,NED,8:00,0
Action shot - Goal,7.0,6,1,NED,1.0,van BELKUM I,0 - 1,465,NED,7:45,0
Turnover foul,6.0,6,1,NED,1.0,STEFFENS M,0 - 1,449,USA,7:29,0
Steal,4.0,6,1,NED,1.0,HAKHVERDIAN B,0 - 1,449,NED,7:29,0
Turnover foul,2.0,6,1,NED,1.0,SMIT Y,0 - 1,432,NED,7:12,0
Turnover foul,2.0,6,1,NED,1.0,SILVER L,0 - 1,431,USA,7:11,0
Action shot - Missed,6.0,6,1,NED,1.0,STOMPHORST N,0 - 1,416,NED,6:56,0
Action shot - Post,7.0,6,1,NED,1.0,MATHEWSON C,0 - 1,402,USA,6:42,0
Action shot - Saved,11.0,6,1,NED,1.0,KLAASSEN L,0 - 1,372,NED,6:12,0
Action shot - Post,6.0,6,1,NED,1.0,STEFFENS M,0 - 1,345,USA,5:45,0
Action shot - Saved,2.0,6,1,NED,1.0,SILVER L,0 - 1,326,USA,5:26,0
Turnover foul,7.0,6,1,NED,1.0,van BELKUM I,0 - 1,308,NED,5:08,0
Steal,5.0,6,1,NED,1.0,CLARK C,0 - 1,308,USA,5:08,0
Turnover foul,12.0,6,1,NED,1.0,CRAIG K,0 - 1,291,USA,4:51,0
Turnover foul,11.0,6,1,NED,1.0,KLAASSEN L,0 - 1,275,NED,4:35,0
Counter attack - Goal,12.0,6,1,NED,1.0,CRAIG K,1 - 1,265,USA,4:25,1
Action shot - Missed,2.0,6,1,NED,1.0,SMIT Y,1 - 1,244,NED,4:04,1
Turnover foul,11.0,6,1,NED,1.0,DRIES A,1 - 1,230,USA,3:50,1
Action shot - Blocked,6.0,6,1,NED,1.0,STOMPHORST N,1 - 1,208,NED,3:28,1
