Action,Cap,FRA,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Action shot - Missed,3.0,1,1,16,NED,4.0,GENEE D,16 - 1,235,NED,3:55
5m shot - Saved,12.0,1,1,16,NED,4.0,DAULE A,16 - 1,205,FRA,3:25
20 sec. exclusion in field,2.0,1,1,16,NED,4.0,SMIT Y,16 - 1,198,NED,3:18
Steal,8.0,1,1,16,NED,4.0,SEVENICH V,16 - 1,181,NED,3:01
Penalty foul,10.0,1,1,16,NED,4.0,DESCHAMPT Y,16 - 1,181,FRA,3:01
Exclusion with substitution,10.0,1,1,16,NED,4.0,DESCHAMPT Y,16 - 1,181,FRA,3:01
Penalty shot - Goal,8.0,1,1,17,NED,4.0,SEVENICH V,17 - 1,177,NED,2:57
Action shot - Post,11.0,1,1,17,NED,4.0,KLAASSEN L,17 - 1,96,NED,1:36
Centre shot - Goal,6.0,2,1,17,NED,4.0,MAHIEU G,17 - 2,62,FRA,1:02
5m shot - Post,11.0,2,1,17,NED,4.0,KLAASSEN L,17 - 2,36,NED,0:36
Turnover foul,9.0,2,1,17,NED,4.0,SACRE A,17 - 2,8,FRA,0:08
Steal,6.0,2,1,17,NED,4.0,STOMPHORST N,17 - 2,8,NED,0:08
Centre shot - Saved,12.0,2,1,17,NED,4.0,JOUSTRA K,17 - 2,1,NED,0:01
Starting goalkeeper,1.0,0,2,0,HUN,1.0,COUNIL L,0 - 0,480,FRA,8:00
Starting goalkeeper,13.0,0,2,0,HUN,1.0,KASO O,0 - 0,480,HUN,8:00
Sprint won possession,12.0,0,2,0,HUN,1.0,SZILAGYI D,0 - 0,480,HUN,8:00
Action shot - Goal,8.0,0,2,1,HUN,1.0,KESZTHELYI R,0 - 1,452,HUN,7:32
5m shot - Saved,7.0,0,2,1,HUN,1.0,VALVERDE C,0 - 1,423,FRA,7:03
20 sec. exclusion in centre,9.0,0,2,1,HUN,1.0,TOTH I,0 - 1,409,HUN,6:49
