Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,8.0,7,6,4,AUS,2.0,DELAKAS E,7 - 4,54,GRE,0:54,Saved,0
Action shot,5.0,7,6,4,AUS,2.0,FOUNTOULIS I,7 - 4,1,GRE,0:01,Blocked,0
Action shot,6.0,7,6,5,AUS,3.0,GILCHRIST J,7 - 5,457,AUS,7:37,Goal,1
Action shot,9.0,7,6,5,AUS,3.0,MOURIKIS K,7 - 5,405,GRE,6:45,Post,0
Extra player shot,8.0,7,6,6,AUS,3.0,YOUNGER A,7 - 6,334,AUS,5:34,Goal,1
Action shot,12.0,7,6,6,AUS,3.0,VLACHOPOULOS A,7 - 6,287,GRE,4:47,Saved,0
Action shot,11.0,7,6,7,AUS,3.0,HOWDEN R,7 - 7,254,AUS,4:14,Goal,1
Centre shot,10.0,8,6,7,AUS,3.0,KOLOMVOS C,8 - 7,166,GRE,2:46,Goal,1
Extra player shot,9.0,8,6,7,AUS,3.0,SWIFT J,8 - 7,124,AUS,2:04,Saved,0
Extra player shot,6.0,8,6,8,AUS,3.0,GILCHRIST J,8 - 8,123,AUS,2:03,Goal,1
Action shot,12.0,9,6,8,AUS,3.0,VLACHOPOULOS A,9 - 8,96,GRE,1:36,Goal,1
Action shot,6.0,9,6,8,AUS,3.0,PONTIKEAS K,9 - 8,18,GRE,0:18,Blocked,0
Counter attack,8.0,9,6,9,AUS,4.0,YOUNGER A,9 - 9,425,AUS,7:05,Goal,1
Centre shot,8.0,10,6,9,AUS,4.0,DELAKAS E,10 - 9,377,GRE,6:17,Goal,1
Centre shot,8.0,10,6,9,AUS,4.0,YOUNGER A,10 - 9,350,AUS,5:50,Blocked,0
5m shot,8.0,10,6,9,AUS,4.0,DELAKAS E,10 - 9,324,GRE,5:24,Post,0
Extra player shot,11.0,10,6,9,AUS,4.0,HOWDEN R,10 - 9,227,AUS,3:47,Missed,0
Action shot,12.0,11,6,9,AUS,4.0,VLACHOPOULOS A,11 - 9,206,GRE,3:26,Goal,1
Action shot,12.0,11,6,9,AUS,4.0,VLACHOPOULOS A,11 - 9,117,GRE,1:57,Post,0
Extra player shot,9.0,11,6,9,AUS,4.0,SWIFT J,11 - 9,83,AUS,1:23,Saved,0
Action shot,12.0,0,7,0,ESP,1.0,GARCIA X,0 - 0,454,ESP,7:34,Post,0
Centre shot,9.0,0,7,0,ESP,1.0,MOURIKIS K,0 - 0,433,GRE,7:13,Missed,0
Action shot,12.0,0,7,0,ESP,1.0,VLACHOPOULOS A,0 - 0,393,GRE,6:33,Saved,0
5m shot,5.0,1,7,0,ESP,1.0,FOUNTOULIS I,1 - 0,341,GRE,5:41,Goal,1
Extra player shot,6.0,1,7,0,ESP,1.0,MINGUELL M,1 - 0,304,ESP,5:04,Saved,0
Extra player shot,9.0,1,7,0,ESP,1.0,VALLES X,1 - 0,298,ESP,4:58,Missed,0
Action shot,12.0,1,7,0,ESP,1.0,VLACHOPOULOS A,1 - 0,272,GRE,4:32,Post,0
Action shot,2.0,1,7,0,ESP,1.0,MYLONAKIS E,1 - 0,222,GRE,3:42,Saved,0
Action shot,10.0,1,7,0,ESP,1.0,PERRONE F,1 - 0,205,ESP,3:25,Saved,0
Centre shot,5.0,1,7,1,ESP,1.0,MOLINA G,1 - 1,204,ESP,3:24,Goal,1
Extra player shot,8.0,2,7,1,ESP,1.0,DELAKAS E,2 - 1,168,GRE,2:48,Goal,1
Action shot,5.0,2,7,1,ESP,1.0,MOLINA G,2 - 1,140,ESP,2:20,Saved,0
5m shot,7.0,2,7,1,ESP,1.0,AFROUDAKIS C,2 - 1,112,GRE,1:52,Missed,0
5m shot,5.0,2,7,1,ESP,1.0,FOUNTOULIS I,2 - 1,61,GRE,1:01,Saved,0
Extra player shot,5.0,2,7,1,ESP,1.0,FOUNTOULIS I,2 - 1,30,GRE,0:30,Missed,0
Action shot,3.0,2,7,1,ESP,1.0,de LERA R,2 - 1,7,ESP,0:07,Saved,0
Extra player shot,8.0,2,7,2,ESP,2.0,ESPANOL A,2 - 2,442,ESP,7:22,Goal,1
Extra player shot,8.0,2,7,3,ESP,2.0,ESPANOL A,2 - 3,379,ESP,6:19,Goal,1
5m shot,8.0,3,7,3,ESP,2.0,DELAKAS E,3 - 3,352,GRE,5:52,Goal,1
Extra player shot,9.0,3,7,4,ESP,2.0,VALLES X,3 - 4,280,ESP,4:40,Goal,1
Extra player shot,8.0,3,7,5,ESP,2.0,ESPANOL A,3 - 5,179,ESP,2:59,Goal,1
5m shot,6.0,3,7,5,ESP,2.0,MINGUELL M,3 - 5,133,ESP,2:13,Saved,0
Action shot,11.0,4,7,5,ESP,2.0,GOUNAS A,4 - 5,95,GRE,1:35,Goal,1
5m shot,7.0,4,7,5,ESP,2.0,AFROUDAKIS C,4 - 5,36,GRE,0:36,Saved,0
Penalty shot,8.0,4,7,6,ESP,2.0,ESPANOL A,4 - 6,7,ESP,0:07,Goal,1
5m shot,12.0,4,7,6,ESP,2.0,VLACHOPOULOS A,4 - 6,2,GRE,0:02,Saved,0
Extra player shot,8.0,5,7,6,ESP,3.0,DELAKAS E,5 - 6,441,GRE,7:21,Goal,1
Centre shot,9.0,5,7,6,ESP,3.0,MOURIKIS K,5 - 6,397,GRE,6:37,Saved,0
Extra player shot,12.0,5,7,6,ESP,3.0,GARCIA X,5 - 6,370,ESP,6:10,Saved,0
Extra player shot,12.0,5,7,7,ESP,3.0,GARCIA X,5 - 7,356,ESP,5:56,Goal,1
5m shot,7.0,5,7,7,ESP,3.0,AFROUDAKIS C,5 - 7,326,GRE,5:26,Blocked,0
Action shot,3.0,5,7,7,ESP,3.0,de LERA R,5 - 7,300,ESP,5:00,Saved,0
5m shot,12.0,6,7,7,ESP,3.0,VLACHOPOULOS A,6 - 7,206,GRE,3:26,Goal,1
5m shot,5.0,6,7,8,ESP,3.0,MOLINA G,6 - 8,129,ESP,2:09,Goal,1
Extra player shot,10.0,7,7,8,ESP,3.0,KOLOMVOS C,7 - 8,89,GRE,1:29,Goal,1
5m shot,4.0,7,7,8,ESP,3.0,ALARCON R,7 - 8,60,ESP,1:00,Saved,0
Penalty shot,5.0,8,7,8,ESP,3.0,FOUNTOULIS I,8 - 8,33,GRE,0:33,Goal,1
Action shot,12.0,8,7,8,ESP,4.0,GARCIA X,8 - 8,433,ESP,7:13,Missed,0
Action shot,5.0,8,7,8,ESP,4.0,FOUNTOULIS I,8 - 8,406,GRE,6:46,Missed,0
Action shot,5.0,8,7,8,ESP,4.0,MOLINA G,8 - 8,352,ESP,5:52,Missed,0
Action shot,7.0,8,7,8,ESP,4.0,AFROUDAKIS C,8 - 8,334,GRE,5:34,Post,0
Action shot,10.0,8,7,8,ESP,4.0,PERRONE F,8 - 8,317,ESP,5:17,Blocked,0
Centre shot,6.0,8,7,9,ESP,4.0,MINGUELL M,8 - 9,264,ESP,4:24,Goal,1
Action shot,8.0,8,7,10,ESP,4.0,ESPANOL A,8 - 10,225,ESP,3:45,Goal,1
5m shot,10.0,8,7,10,ESP,4.0,PERRONE F,8 - 10,179,ESP,2:59,Post,0
Extra player shot,10.0,8,7,10,ESP,4.0,KOLOMVOS C,8 - 10,144,GRE,2:24,Post,0
Centre shot,7.0,8,7,10,ESP,4.0,SZIRANYI B,8 - 10,97,ESP,1:37,Post,0
Action shot,12.0,8,7,10,ESP,4.0,VLACHOPOULOS A,8 - 10,71,GRE,1:11,Saved,0
Centre shot,10.0,8,7,10,ESP,4.0,KOLOMVOS C,8 - 10,18,GRE,0:18,Saved,0
