Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,5.0,15,2,3,NZL,3.0,ROSS J,3 - 15,357,NZL,5:57
Steal,12.0,15,2,3,NZL,3.0,VLACHOPOULOS A,3 - 15,357,GRE,5:57
20 sec. exclusion in centre,4.0,15,2,3,NZL,3.0,LOWERY F,3 - 15,345,NZL,5:45
Action shot - Goal,7.0,16,2,3,NZL,3.0,AFROUDAKIS C,3 - 16,324,GRE,5:24
Goalkeeper substitution,1.0,16,2,3,NZL,3.0,TSALKANIS K,3 - 16,318,GRE,5:18
Action shot - Blocked,4.0,16,2,3,NZL,3.0,LOWERY F,3 - 16,303,NZL,5:03
5m shot - Blocked,10.0,16,2,3,NZL,3.0,BRYANT M,3 - 16,288,NZL,4:48
5m shot - Goal,2.0,17,2,3,NZL,3.0,MYLONAKIS E,3 - 17,265,GRE,4:25
Goalkeeper substitution,13.0,17,2,3,NZL,3.0,GALANIDIS K,3 - 17,250,GRE,4:10
Turnover foul,7.0,17,2,3,NZL,3.0,JACKSON D,3 - 17,248,NZL,4:08
Action shot - Blocked,12.0,17,2,3,NZL,3.0,VLACHOPOULOS A,3 - 17,224,GRE,3:44
Action shot - Saved,12.0,17,2,3,NZL,3.0,VLACHOPOULOS A,3 - 17,212,GRE,3:32
20 sec. exclusion in field,6.0,17,2,3,NZL,3.0,SIEPRATH A,3 - 17,209,NZL,3:29
Extra player shot - Saved,11.0,17,2,3,NZL,3.0,GOUNAS A,3 - 17,197,GRE,3:17
20 sec. exclusion in field,7.0,17,2,3,NZL,3.0,JACKSON D,3 - 17,173,NZL,2:53
Extra player shot - Post,7.0,17,2,3,NZL,3.0,AFROUDAKIS C,3 - 17,153,GRE,2:33
Action shot - Goal,2.0,18,2,3,NZL,3.0,MYLONAKIS E,3 - 18,141,GRE,2:21
Action shot - Saved,5.0,18,2,3,NZL,3.0,ROSS J,3 - 18,120,NZL,2:00
Turnover foul,9.0,18,2,3,NZL,3.0,MOURIKIS K,3 - 18,101,GRE,1:41
Steal,6.0,18,2,3,NZL,3.0,SIEPRATH A,3 - 18,101,NZL,1:41
Action shot - Missed,3.0,18,2,3,NZL,3.0,CURRY S,3 - 18,77,NZL,1:17
20 sec. exclusion in centre,9.0,18,2,3,NZL,3.0,LUI-FAKAOTIMANAVA,3 - 18,66,NZL,1:06
Exclusion with substitution,9.0,18,2,3,NZL,3.0,LUI-FAKAOTIMANAVA,3 - 18,66,NZL,1:06
Extra player shot - Goal,11.0,19,2,3,NZL,3.0,GOUNAS A,3 - 19,46,GRE,0:46
Turnover foul,7.0,19,2,3,NZL,3.0,JACKSON D,3 - 19,25,NZL,0:25
Steal,3.0,19,2,3,NZL,3.0,GOUVIS K,3 - 19,25,GRE,0:25
Turnover foul,9.0,19,2,3,NZL,3.0,MOURIKIS K,3 - 19,5,GRE,0:05
Steal,1.0,19,2,3,NZL,3.0,KINGSMILL T,3 - 19,5,NZL,0:05
5m shot - Missed,10.0,19,2,3,NZL,3.0,BRYANT M,3 - 19,1,NZL,0:01
Starting goalkeeper,13.0,19,2,3,NZL,4.0,GALANIDIS K,3 - 19,480,GRE,8:00
Starting goalkeeper,1.0,19,2,3,NZL,4.0,KINGSMILL T,3 - 19,480,NZL,8:00
Sprint won possession,4.0,19,2,3,NZL,4.0,LOWERY F,3 - 19,480,NZL,8:00
5m shot - Post,11.0,19,2,3,NZL,4.0,TIJSEN L,3 - 19,459,NZL,7:39
Action shot - Goal,11.0,20,2,3,NZL,4.0,GOUNAS A,3 - 20,438,GRE,7:18
Action shot - Missed,2.0,20,2,3,NZL,4.0,LEWIS M,3 - 20,416,NZL,6:56
Centre shot - Post,10.0,20,2,3,NZL,4.0,KOLOMVOS C,3 - 20,402,GRE,6:42
Action shot - Saved,12.0,20,2,3,NZL,4.0,PYE A,3 - 20,374,NZL,6:14
Centre shot - Saved,10.0,20,2,3,NZL,4.0,KOLOMVOS C,3 - 20,347,GRE,5:47
5m shot - Saved,8.0,20,2,3,NZL,4.0,SMALL M,3 - 20,325,NZL,5:25
Counter attack - Goal,5.0,21,2,3,NZL,4.0,FOUNTOULIS I,3 - 21,313,GRE,5:13
Penalty foul,4.0,21,2,3,NZL,4.0,GENIDOUNIAS K,3 - 21,293,GRE,4:53
Penalty shot - Goal,10.0,21,2,4,NZL,4.0,BRYANT M,4 - 21,293,NZL,4:53
20 sec. exclusion in centre,10.0,21,2,4,NZL,4.0,BRYANT M,4 - 21,276,NZL,4:36
Exclusion with substitution,10.0,21,2,4,NZL,4.0,BRYANT M,4 - 21,276,NZL,4:36
Extra player shot - Goal,11.0,22,2,4,NZL,4.0,GOUNAS A,4 - 22,273,GRE,4:33
Action shot - Saved,12.0,22,2,4,NZL,4.0,PYE A,4 - 22,247,NZL,4:07
5m shot - Post,6.0,22,2,4,NZL,4.0,PONTIKEAS K,4 - 22,219,GRE,3:39
Penalty foul,3.0,22,2,4,NZL,4.0,GOUVIS K,4 - 22,209,GRE,3:29
Penalty shot - Saved,12.0,22,2,4,NZL,4.0,PYE A,4 - 22,209,NZL,3:29
Turnover foul,10.0,22,2,4,NZL,4.0,KOLOMVOS C,4 - 22,192,GRE,3:12
Steal,11.0,22,2,4,NZL,4.0,TIJSEN L,4 - 22,192,NZL,3:12
5m shot - Blocked,3.0,22,2,4,NZL,4.0,CURRY S,4 - 22,169,NZL,2:49
20 sec. exclusion in centre,11.0,22,2,4,NZL,4.0,TIJSEN L,4 - 22,143,NZL,2:23
Extra player shot - Goal,4.0,23,2,4,NZL,4.0,GENIDOUNIAS K,4 - 23,127,GRE,2:07
Turnover foul,12.0,23,2,4,NZL,4.0,PYE A,4 - 23,100,NZL,1:40
Steal,6.0,23,2,4,NZL,4.0,PONTIKEAS K,4 - 23,100,GRE,1:40
Centre shot - Saved,9.0,23,2,4,NZL,4.0,MOURIKIS K,4 - 23,73,GRE,1:13
Action shot - Post,8.0,23,2,4,NZL,4.0,SMALL M,4 - 23,12,NZL,0:12
5m shot - Post,5.0,23,2,4,NZL,4.0,FOUNTOULIS I,4 - 23,4,GRE,0:04
Starting goalkeeper,1.0,0,3,0,ESP,1.0,TSALKANIS K,0 - 0,480,GRE,8:00
Starting goalkeeper,1.0,0,3,0,ESP,1.0,AGUILAR I,0 - 0,480,ESP,8:00
Sprint won possession,2.0,0,3,0,ESP,1.0,MYLONAKIS E,0 - 0,480,GRE,8:00
Action shot - Saved,8.0,0,3,0,ESP,1.0,DELAKAS E,0 - 0,452,GRE,7:32
Centre shot - Missed,9.0,0,3,0,ESP,1.0,MOURIKIS K,0 - 0,427,GRE,7:07
Turnover foul,5.0,0,3,0,ESP,1.0,MOLINA G,0 - 0,411,ESP,6:51
Steal,8.0,0,3,0,ESP,1.0,DELAKAS E,0 - 0,411,GRE,6:51
Turnover foul,9.0,0,3,0,ESP,1.0,MOURIKIS K,0 - 0,389,GRE,6:29
20 sec. exclusion in centre,7.0,0,3,0,ESP,1.0,AFROUDAKIS C,0 - 0,372,GRE,6:12
Extra player shot - Missed,2.0,0,3,0,ESP,1.0,MUNARRIZ A,0 - 0,353,ESP,5:53
Turnover foul,9.0,0,3,0,ESP,1.0,MOURIKIS K,0 - 0,333,GRE,5:33
Penalty foul,8.0,0,3,0,ESP,1.0,DELAKAS E,0 - 0,307,GRE,5:07
Penalty shot - Goal,5.0,0,3,1,ESP,1.0,MOLINA G,1 - 0,307,ESP,5:07
Action shot - Post,2.0,0,3,1,ESP,1.0,MYLONAKIS E,1 - 0,281,GRE,4:41
Turnover foul,4.0,0,3,1,ESP,1.0,ALARCON R,1 - 0,254,ESP,4:14
Steal,2.0,0,3,1,ESP,1.0,MYLONAKIS E,1 - 0,254,GRE,4:14
Turnover foul,10.0,0,3,1,ESP,1.0,KOLOMVOS C,1 - 0,228,GRE,3:48
Steal,1.0,0,3,1,ESP,1.0,AGUILAR I,1 - 0,228,ESP,3:48
5m shot - Blocked,4.0,0,3,1,ESP,1.0,ALARCON R,1 - 0,199,ESP,3:19
Turnover foul,9.0,0,3,1,ESP,1.0,VALLES X,1 - 0,179,ESP,2:59
Action shot - Saved,12.0,0,3,1,ESP,1.0,VLACHOPOULOS A,1 - 0,153,GRE,2:33
Turnover foul,10.0,0,3,1,ESP,1.0,PERRONE F,1 - 0,135,ESP,2:15
20 sec. exclusion in centre,4.0,0,3,1,ESP,1.0,ALARCON R,1 - 0,112,ESP,1:52
Extra player shot - Goal,8.0,1,3,1,ESP,1.0,DELAKAS E,1 - 1,94,GRE,1:34
Turnover foul,6.0,1,3,1,ESP,1.0,MINGUELL M,1 - 1,66,ESP,1:06
20 sec. exclusion in field,3.0,1,3,1,ESP,1.0,de LERA R,1 - 1,54,ESP,0:54
Action shot - Saved,7.0,1,3,1,ESP,1.0,AFROUDAKIS C,1 - 1,31,GRE,0:31
5m shot - Missed,5.0,1,3,1,ESP,1.0,MOLINA G,1 - 1,5,ESP,0:05
Starting goalkeeper,1.0,1,3,1,ESP,2.0,TSALKANIS K,1 - 1,480,GRE,8:00
Starting goalkeeper,1.0,1,3,1,ESP,2.0,AGUILAR I,1 - 1,480,ESP,8:00
20 sec. exclusion in centre,6.0,1,3,1,ESP,2.0,PONTIKEAS K,1 - 1,457,GRE,7:37
Extra player shot - Saved,3.0,1,3,1,ESP,2.0,de LERA R,1 - 1,438,ESP,7:18
20 sec. exclusion in centre,2.0,1,3,1,ESP,2.0,MUNARRIZ A,1 - 1,414,ESP,6:54
Extra player shot - Goal,2.0,2,3,1,ESP,2.0,MYLONAKIS E,1 - 2,395,GRE,6:35
Turnover foul,9.0,2,3,1,ESP,2.0,VALLES X,1 - 2,370,ESP,6:10
Steal,7.0,2,3,1,ESP,2.0,AFROUDAKIS C,1 - 2,370,GRE,6:10
Action shot - Saved,11.0,2,3,1,ESP,2.0,ESTRANY P,1 - 2,313,ESP,5:13
20 sec. exclusion in centre,6.0,2,3,1,ESP,2.0,MINGUELL M,1 - 2,288,ESP,4:48
Action shot - Saved,2.0,2,3,1,ESP,2.0,MYLONAKIS E,1 - 2,264,GRE,4:24
20 sec. exclusion in centre,6.0,2,3,1,ESP,2.0,PONTIKEAS K,1 - 2,239,GRE,3:59
Action shot - Saved,5.0,2,3,1,ESP,2.0,MOLINA G,1 - 2,213,ESP,3:33
