Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,4.0,3,6,1,FRA,2.0,KISTELEKI D,6 - 1,308,HUN,5:08,Post,0
Extra player shot,2.0,3,6,1,FRA,2.0,MILLOT E,6 - 1,262,FRA,4:22,Post,0
5m shot,5.0,3,6,2,FRA,2.0,GUILLET L,6 - 2,213,FRA,3:33,Goal,1
Action shot,2.0,3,6,2,FRA,2.0,CZIGANY D,6 - 2,110,HUN,1:50,Post,0
Action shot,2.0,3,6,2,FRA,2.0,MILLOT E,6 - 2,78,FRA,1:18,Saved,0
Action shot,6.0,3,6,2,FRA,2.0,TAKACS O,6 - 2,33,HUN,0:33,Saved,0
5m shot,10.0,3,6,2,FRA,2.0,BUJKA B,6 - 2,1,HUN,0:01,Missed,0
Centre shot,10.0,3,7,2,FRA,3.0,BUJKA B,7 - 2,457,HUN,7:37,Goal,1
5m shot,3.0,3,7,2,FRA,3.0,BACHELIER L,7 - 2,429,FRA,7:09,Missed,0
5m shot,4.0,3,7,2,FRA,3.0,KISTELEKI D,7 - 2,400,HUN,6:40,Saved,0
5m shot,5.0,3,7,2,FRA,3.0,GUILLET L,7 - 2,323,FRA,5:23,Blocked,0
Centre shot,8.0,3,8,2,FRA,3.0,KESZTHELYI R,8 - 2,306,HUN,5:06,Goal,1
Action shot,3.0,3,9,2,FRA,3.0,ANTAL D,9 - 2,267,HUN,4:27,Goal,1
Action shot,6.0,3,9,2,FRA,3.0,MAHIEU G,9 - 2,213,FRA,3:33,Saved,0
Action shot,7.0,3,9,2,FRA,3.0,ILLES A,9 - 2,190,HUN,3:10,Saved,0
Action shot,9.0,3,10,2,FRA,3.0,TOTH I,10 - 2,147,HUN,2:27,Goal,1
5m shot,12.0,3,10,2,FRA,3.0,JASKOVA M,10 - 2,118,FRA,1:58,Saved,0
Action shot,7.0,3,11,2,FRA,3.0,ILLES A,11 - 2,93,HUN,1:33,Goal,1
5m shot,2.0,3,11,2,FRA,3.0,MILLOT E,11 - 2,65,FRA,1:05,Saved,0
Extra player shot,10.0,3,12,2,FRA,3.0,BUJKA B,12 - 2,34,HUN,0:34,Goal,1
Action shot,8.0,3,13,2,FRA,3.0,KESZTHELYI R,13 - 2,15,HUN,0:15,Goal,1
Extra player shot,10.0,3,14,2,FRA,4.0,BUJKA B,14 - 2,445,HUN,7:25,Goal,1
Action shot,12.0,3,14,2,FRA,4.0,JASKOVA M,14 - 2,419,FRA,6:59,Missed,0
Action shot,8.0,3,14,2,FRA,4.0,KESZTHELYI R,14 - 2,396,HUN,6:36,Saved,0
Action shot,,3,14,2,FRA,4.0,,14 - 2,387,,6:27,,0
Action shot,5.0,3,14,3,FRA,4.0,GUILLET L,14 - 3,350,FRA,5:50,Goal,1
Action shot,12.0,3,14,3,FRA,4.0,MENCZINGER K,14 - 3,329,HUN,5:29,Saved,0
Action shot,5.0,3,14,3,FRA,4.0,GUILLET L,14 - 3,302,FRA,5:02,Saved,0
Extra player shot,6.0,3,14,3,FRA,4.0,TAKACS O,14 - 3,273,HUN,4:33,Saved,0
5m shot,8.0,3,14,3,FRA,4.0,TARDY M,14 - 3,247,FRA,4:07,Missed,0
Action shot,9.0,3,14,3,FRA,4.0,CESCA L,14 - 3,217,FRA,3:37,Saved,0
Centre shot,10.0,3,15,3,FRA,4.0,BUJKA B,15 - 3,196,HUN,3:16,Goal,1
5m shot,2.0,3,15,3,FRA,4.0,MILLOT E,15 - 3,168,FRA,2:48,Post,0
Action shot,4.0,3,16,3,FRA,4.0,KISTELEKI D,16 - 3,146,HUN,2:26,Goal,1
5m shot,8.0,3,16,3,FRA,4.0,TARDY M,16 - 3,118,FRA,1:58,Saved,0
Action shot,4.0,3,17,3,FRA,4.0,KISTELEKI D,17 - 3,102,HUN,1:42,Goal,1
5m shot,5.0,3,17,3,FRA,4.0,GUILLET L,17 - 3,55,FRA,0:55,Post,0
Counter attack,4.0,3,18,3,FRA,4.0,KISTELEKI D,18 - 3,44,HUN,0:44,Goal,1
Action shot,5.0,3,18,3,FRA,4.0,GUILLET L,18 - 3,0,FRA,0:00,Saved,0
Counter attack,4.0,4,0,1,USA,1.0,FATTAL R,1 - 0,411,USA,6:51,Goal,1
Extra player shot,7.0,4,0,2,USA,1.0,MATHEWSON C,2 - 0,358,USA,5:58,Goal,1
Action shot,8.0,4,0,2,USA,1.0,KESZTHELYI R,2 - 0,244,HUN,4:04,Saved,0
Action shot,7.0,4,0,2,USA,1.0,MATHEWSON C,2 - 0,216,USA,3:36,Saved,0
5m shot,3.0,4,0,2,USA,1.0,SEIDEMANN M,2 - 0,199,USA,3:19,Missed,0
Centre shot,6.0,4,0,3,USA,1.0,STEFFENS M,3 - 0,159,USA,2:39,Goal,1
Action shot,3.0,4,1,3,USA,1.0,ANTAL D,3 - 1,121,HUN,2:01,Goal,1
Action shot,5.0,4,1,3,USA,1.0,SZUCS G,3 - 1,53,HUN,0:53,Blocked,0
5m shot,7.0,4,1,3,USA,1.0,MATHEWSON C,3 - 1,23,USA,0:23,Saved,0
5m shot,3.0,4,1,3,USA,1.0,ANTAL D,3 - 1,1,HUN,0:01,Missed,0
5m shot,6.0,4,1,3,USA,2.0,STEFFENS M,3 - 1,444,USA,7:24,Saved,0
5m shot,4.0,4,1,4,USA,2.0,FATTAL R,4 - 1,408,USA,6:48,Goal,1
Action shot,3.0,4,1,4,USA,2.0,SEIDEMANN M,4 - 1,356,USA,5:56,Post,0
