Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name
3.0,2:55,5m shot - Saved,5 - 3,KAZ,GUBAREV S,2.0,5,3,175,2,KAZ
3.0,2:33,20 sec. exclusion in centre,5 - 3,ROU,GOANTA D,9.0,5,3,153,2,KAZ
3.0,2:10,Centre shot - Goal,6 - 3,KAZ,PEKOVICH B,12.0,6,3,130,2,KAZ
3.0,1:53,Turnover foul,6 - 3,ROU,CHIOVEANU M,8.0,6,3,113,2,KAZ
3.0,1:53,Steal,6 - 3,KAZ,SHAKENOV M,5.0,6,3,113,2,KAZ
3.0,1:26,5m shot - Saved,6 - 3,KAZ,USHAKOV V,7.0,6,3,86,2,KAZ
3.0,1:02,5m shot - Blocked,6 - 3,ROU,GHIBAN A,11.0,6,3,62,2,KAZ
3.0,1:02,20 sec. exclusion in centre,6 - 3,KAZ,UKUMANOV R,9.0,6,3,62,2,KAZ
3.0,0:46,Extra player shot - Blocked,6 - 3,ROU,NEGREAN T,3.0,6,3,46,2,KAZ
3.0,0:32,20 sec. exclusion in field,6 - 3,ROU,CRETU A,12.0,6,3,32,2,KAZ
3.0,0:32,Exclusion with substitution,6 - 3,ROU,CRETU A,12.0,6,3,32,2,KAZ
3.0,0:06,Action shot - Goal,7 - 3,KAZ,SHAKENOV M,5.0,7,3,6,2,KAZ
3.0,0:01,5m shot - Blocked,7 - 3,ROU,DIACONU N,4.0,7,3,1,2,KAZ
4.0,8:00,Starting goalkeeper,7 - 3,KAZ,MAXIMOV N,1.0,7,3,480,2,KAZ
4.0,8:00,Starting goalkeeper,7 - 3,ROU,STOENESCU D,1.0,7,3,480,2,KAZ
4.0,8:00,Sprint won possession,7 - 3,ROU,MATEI A,7.0,7,3,480,2,KAZ
4.0,7:34,5m shot - Saved,7 - 3,ROU,GHIBAN A,11.0,7,3,454,2,KAZ
4.0,7:29,20 sec. exclusion in field,7 - 3,ROU,IANC P,2.0,7,3,449,2,KAZ
4.0,7:29,Time-Out,7 - 3,KAZ,,,7,3,449,2,KAZ
4.0,7:05,Turnover foul,7 - 3,KAZ,UKUMANOV R,9.0,7,3,425,2,KAZ
4.0,6:37,Turnover foul,7 - 3,ROU,MATEI A,7.0,7,3,397,2,KAZ
4.0,6:37,Steal,7 - 3,KAZ,PEKOVICH B,12.0,7,3,397,2,KAZ
4.0,6:07,Centre shot - Saved,7 - 3,KAZ,PEKOVICH B,12.0,7,3,367,2,KAZ
4.0,5:42,20 sec. exclusion in field,7 - 3,KAZ,SHAKENOV M,5.0,7,3,342,2,KAZ
4.0,5:13,Action shot - Blocked,7 - 3,ROU,GHIBAN A,11.0,7,3,313,2,KAZ
