Period,Time,Action,Score,Team,Player,Cap,Opponent,ROU,Seconds,Game,Opponent name,Result,Goal
3.0,2:55,5m shot,5 - 3,KAZ,GUBAREV S,2.0,5,3,175,2,KAZ,Saved,0
3.0,2:10,Centre shot,6 - 3,KAZ,PEKOVICH B,12.0,6,3,130,2,KAZ,Goal,1
3.0,1:26,5m shot,6 - 3,KAZ,USHAKOV V,7.0,6,3,86,2,KAZ,Saved,0
3.0,1:02,5m shot,6 - 3,ROU,GHIBAN A,11.0,6,3,62,2,KAZ,Blocked,0
3.0,0:46,Extra player shot,6 - 3,ROU,NEGREAN T,3.0,6,3,46,2,KAZ,Blocked,0
3.0,0:06,Action shot,7 - 3,KAZ,SHAKENOV M,5.0,7,3,6,2,KAZ,Goal,1
3.0,0:01,5m shot,7 - 3,ROU,DIACONU N,4.0,7,3,1,2,KAZ,Blocked,0
4.0,7:34,5m shot,7 - 3,ROU,GHIBAN A,11.0,7,3,454,2,KAZ,Saved,0
4.0,6:07,Centre shot,7 - 3,KAZ,PEKOVICH B,12.0,7,3,367,2,KAZ,Saved,0
4.0,5:13,Action shot,7 - 3,ROU,GHIBAN A,11.0,7,3,313,2,KAZ,Blocked,0
4.0,4:11,Extra player shot,7 - 3,ROU,MATEI A,7.0,7,3,251,2,KAZ,Saved,0
4.0,4:02,Action shot,7 - 3,ROU,NEGREAN T,3.0,7,3,242,2,KAZ,Saved,0
4.0,3:18,5m shot,7 - 3,KAZ,UKUMANOV R,9.0,7,3,198,2,KAZ,Saved,0
4.0,1:42,5m shot,7 - 3,KAZ,USHAKOV V,7.0,7,3,102,2,KAZ,Missed,0
4.0,0:32,5m shot,7 - 3,KAZ,SHAKENOV M,5.0,7,3,32,2,KAZ,Saved,0
4.0,0:10,Action shot,7 - 4,ROU,MATEI A,7.0,7,4,10,2,KAZ,Goal,1
1.0,7:36,Penalty shot,1 - 0,GER,NOSSEK H,7.0,1,0,456,3,GER,Goal,1
1.0,7:14,Centre shot,1 - 0,ROU,CHIOVEANU M,8.0,1,0,434,3,GER,Saved,0
1.0,6:24,Action shot,1 - 0,ROU,BUSILA A,6.0,1,0,384,3,GER,Saved,0
1.0,5:44,5m shot,1 - 1,ROU,DIACONU N,4.0,1,1,344,3,GER,Goal,1
1.0,5:22,Centre shot,1 - 1,GER,EIDNER D,12.0,1,1,322,3,GER,Saved,0
1.0,4:03,Extra player shot,2 - 1,GER,EIDNER D,12.0,2,1,243,3,GER,Goal,1
1.0,3:44,Penalty shot,2 - 2,ROU,DIACONU N,4.0,2,2,224,3,GER,Goal,1
1.0,3:24,5m shot,3 - 2,GER,OELER M,10.0,3,2,204,3,GER,Goal,1
1.0,2:52,Extra player shot,3 - 2,ROU,TEOHARI D,5.0,3,2,172,3,GER,Saved,0
1.0,2:12,Extra player shot,3 - 2,ROU,CHIOVEANU M,8.0,3,2,132,3,GER,Saved,0
1.0,2:06,5m shot,3 - 2,ROU,GHIBAN A,11.0,3,2,126,3,GER,Post,0
1.0,1:47,Penalty shot,4 - 2,GER,NOSSEK H,7.0,4,2,107,3,GER,Goal,1
