Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,6.0,3,8,8,FRA,4.0,YAMAMOTO M,8 - 8,242,JPN,4:02,Goal,1
Action shot,12.0,3,8,8,FRA,4.0,SUZUKI K,8 - 8,203,JPN,3:23,Blocked,0
Penalty shot,2.0,3,3,6,FRA,2.0,MILLOT E,3 - 6,85,FRA,1:25,Goal,1
5m shot,2.0,3,3,6,FRA,2.0,ARIMA Y,3 - 6,61,JPN,1:01,Saved,0
Extra player shot,7.0,3,3,6,FRA,2.0,INABA A,3 - 6,20,JPN,0:20,Saved,0
5m shot,5.0,3,3,6,FRA,3.0,GUILLET L,3 - 6,395,FRA,6:35,Missed,0
Extra player shot,6.0,3,3,6,FRA,3.0,YAMAMOTO M,3 - 6,355,JPN,5:55,Saved,0
Action shot,12.0,3,4,6,FRA,3.0,SUZUKI K,4 - 6,313,JPN,5:13,Goal,1
5m shot,2.0,3,4,6,FRA,3.0,MILLOT E,4 - 6,286,FRA,4:46,Saved,0
Centre shot,8.0,3,4,6,FRA,3.0,NIIZAWA Y,4 - 6,279,JPN,4:39,Post,0
5m shot,2.0,3,4,6,FRA,3.0,ARIMA Y,4 - 6,219,JPN,3:39,Blocked,0
Action shot,5.0,3,4,6,FRA,3.0,SAKANOUE C,4 - 6,184,JPN,3:04,Post,0
Action shot,7.0,3,5,6,FRA,3.0,INABA A,5 - 6,113,JPN,1:53,Goal,1
Action shot,7.0,3,5,6,FRA,3.0,INABA A,5 - 6,71,JPN,1:11,Saved,0
Action shot,5.0,3,6,6,FRA,3.0,SAKANOUE C,6 - 6,32,JPN,0:32,Goal,1
5m shot,2.0,3,6,7,FRA,3.0,MILLOT E,6 - 7,3,FRA,0:03,Goal,1
5m shot,2.0,3,6,7,FRA,3.0,ARIMA Y,6 - 7,1,JPN,0:01,Missed,0
Action shot,7.0,3,6,7,FRA,4.0,VALVERDE C,6 - 7,396,FRA,6:36,Post,0
Centre shot,7.0,3,7,7,FRA,4.0,INABA A,7 - 7,377,JPN,6:17,Goal,1
Centre shot,6.0,3,7,8,FRA,4.0,MAHIEU G,7 - 8,355,FRA,5:55,Goal,1
Action shot,12.0,3,7,8,FRA,4.0,SUZUKI K,7 - 8,339,JPN,5:39,Saved,0
5m shot,4.0,3,7,8,FRA,4.0,SACRE A,7 - 8,176,FRA,2:56,Saved,0
5m shot,2.0,3,7,8,FRA,4.0,ARIMA Y,7 - 8,111,JPN,1:51,Missed,0
Action shot,2.0,3,8,9,FRA,4.0,MILLOT E,8 - 9,74,FRA,1:14,Goal,1
5m shot,7.0,3,8,9,FRA,4.0,INABA A,8 - 9,55,JPN,0:55,Post,0
5m shot,5.0,3,8,9,FRA,4.0,SAKANOUE C,8 - 9,16,JPN,0:16,Blocked,0
Extra player shot,7.0,4,0,0,KAZ,1.0,INABA A,0 - 0,431,JPN,7:11,Saved,0
Action shot,7.0,4,0,0,KAZ,1.0,INABA A,0 - 0,369,JPN,6:09,Post,0
5m shot,11.0,4,0,1,KAZ,1.0,MIRSHINA A,0 - 1,344,KAZ,5:44,Goal,1
5m shot,4.0,4,1,1,KAZ,1.0,MAGARIYAMA S,1 - 1,323,JPN,5:23,Goal,1
5m shot,11.0,4,1,1,KAZ,1.0,TOKUMOTO M,1 - 1,279,JPN,4:39,Post,0
5m shot,11.0,4,1,1,KAZ,1.0,MIRSHINA A,1 - 1,260,KAZ,4:20,Saved,0
5m shot,5.0,4,1,1,KAZ,1.0,SAKANOUE C,1 - 1,237,JPN,3:57,Missed,0
5m shot,3.0,4,1,1,KAZ,1.0,AKILBAYEVA A,1 - 1,199,KAZ,3:19,Saved,0
Action shot,12.0,4,1,1,KAZ,1.0,MUSSAROVA A,1 - 1,129,KAZ,2:09,Missed,0
Counter attack,12.0,4,2,1,KAZ,1.0,SUZUKI K,2 - 1,119,JPN,1:59,Goal,1
Action shot,2.0,4,2,1,KAZ,1.0,ARIMA Y,2 - 1,89,JPN,1:29,Blocked,0
Counter attack,5.0,4,3,1,KAZ,1.0,SAKANOUE C,3 - 1,51,JPN,0:51,Goal,1
Action shot,5.0,4,3,1,KAZ,1.0,ZAKIROVA K,3 - 1,35,KAZ,0:35,Missed,0
5m shot,11.0,4,3,1,KAZ,1.0,MIRSHINA A,3 - 1,1,KAZ,0:01,Saved,0
Action shot,11.0,4,3,1,KAZ,2.0,TOKUMOTO M,3 - 1,444,JPN,7:24,Post,0
Extra player shot,3.0,4,3,1,KAZ,2.0,AKILBAYEVA A,3 - 1,406,KAZ,6:46,Saved,0
5m shot,11.0,4,3,1,KAZ,2.0,MIRSHINA A,3 - 1,384,KAZ,6:24,Missed,0
Centre shot,10.0,4,3,1,KAZ,2.0,MYRZABEKOVA Z,3 - 1,346,KAZ,5:46,Saved,0
Action shot,5.0,4,3,1,KAZ,2.0,ZAKIROVA K,3 - 1,282,KAZ,4:42,Post,0
5m shot,2.0,4,4,1,KAZ,2.0,ARIMA Y,4 - 1,271,JPN,4:31,Goal,1
Action shot,4.0,4,4,2,KAZ,2.0,TUROVA A,4 - 2,222,KAZ,3:42,Goal,1
Action shot,2.0,4,5,2,KAZ,2.0,ARIMA Y,5 - 2,205,JPN,3:25,Goal,1
Action shot,11.0,4,5,2,KAZ,4.0,TOKUMOTO M,5 - 2,412,JPN,6:52,Saved,0
Extra player shot,5.0,4,5,2,KAZ,4.0,ZAKIROVA K,5 - 2,382,KAZ,6:22,Saved,0
Action shot,3.0,4,14,6,KAZ,4.0,KAZAMA Y,14 - 6,367,JPN,6:07,Goal,1
Centre shot,11.0,4,14,7,KAZ,4.0,MIRSHINA A,14 - 7,354,KAZ,5:54,Goal,1
Centre shot,2.0,4,15,7,KAZ,4.0,ARIMA Y,15 - 7,335,JPN,5:35,Goal,1
Action shot,10.0,4,15,7,KAZ,4.0,MYRZABEKOVA Z,15 - 7,303,KAZ,5:03,Missed,0
5m shot,5.0,4,15,7,KAZ,2.0,ZAKIROVA K,15 - 7,132,KAZ,2:12,Saved,0
5m shot,4.0,4,15,7,KAZ,2.0,MAGARIYAMA S,15 - 7,118,JPN,1:58,Saved,0
Extra player shot,12.0,4,15,7,KAZ,2.0,SUZUKI K,15 - 7,94,JPN,1:34,Saved,0
Action shot,12.0,4,15,7,KAZ,2.0,MUSSAROVA A,15 - 7,17,KAZ,0:17,Saved,0
Action shot,10.0,4,5,3,KAZ,3.0,MYRZABEKOVA Z,5 - 3,464,KAZ,7:44,Goal,1
Action shot,10.0,4,5,3,KAZ,3.0,MYRZABEKOVA Z,5 - 3,436,KAZ,7:16,Missed,0
Action shot,3.0,4,6,3,KAZ,3.0,KAZAMA Y,6 - 3,421,JPN,7:01,Goal,1
Counter attack,2.0,4,6,3,KAZ,3.0,ARIMA Y,6 - 3,400,JPN,6:40,Saved,0
Action shot,7.0,4,7,3,KAZ,3.0,INABA A,7 - 3,357,JPN,5:57,Goal,1
Extra player shot,10.0,4,7,3,KAZ,3.0,MYRZABEKOVA Z,7 - 3,335,KAZ,5:35,Saved,0
Extra player shot,8.0,4,8,3,KAZ,3.0,NIIZAWA Y,8 - 3,308,JPN,5:08,Goal,1
5m shot,5.0,4,8,3,KAZ,3.0,ZAKIROVA K,8 - 3,278,KAZ,4:38,Blocked,0
Action shot,7.0,4,9,3,KAZ,3.0,INABA A,9 - 3,267,JPN,4:27,Goal,1
Counter attack,6.0,4,10,3,KAZ,3.0,YAMAMOTO M,10 - 3,248,JPN,4:08,Goal,1
Action shot,8.0,4,10,3,KAZ,3.0,NIIZAWA Y,10 - 3,207,JPN,3:27,Saved,0
5m shot,11.0,4,10,4,KAZ,3.0,MIRSHINA A,10 - 4,188,KAZ,3:08,Goal,1
Counter attack,6.0,4,11,4,KAZ,3.0,YAMAMOTO M,11 - 4,160,JPN,2:40,Goal,1
5m shot,11.0,4,11,4,KAZ,3.0,MIRSHINA A,11 - 4,139,KAZ,2:19,Blocked,0
Action shot,2.0,4,12,4,KAZ,3.0,ARIMA Y,12 - 4,127,JPN,2:07,Goal,1
Action shot,10.0,4,12,5,KAZ,3.0,MYRZABEKOVA Z,12 - 5,116,KAZ,1:56,Goal,1
Action shot,3.0,4,12,5,KAZ,3.0,AKILBAYEVA A,12 - 5,46,KAZ,0:46,Saved,0
Action shot,5.0,4,12,5,KAZ,3.0,SAKANOUE C,12 - 5,30,JPN,0:30,Missed,0
Centre shot,11.0,4,12,6,KAZ,3.0,MIRSHINA A,12 - 6,18,KAZ,0:18,Goal,1
5m shot,5.0,4,12,6,KAZ,3.0,SAKANOUE C,12 - 6,1,JPN,0:01,Blocked,0
Action shot,5.0,4,13,6,KAZ,4.0,SAKANOUE C,13 - 6,440,JPN,7:20,Goal,1
Counter attack,5.0,4,16,7,KAZ,4.0,SAKANOUE C,16 - 7,205,JPN,3:25,Goal,1
Counter attack,5.0,4,17,7,KAZ,4.0,SAKANOUE C,17 - 7,177,JPN,2:57,Goal,1
5m shot,11.0,4,17,7,KAZ,4.0,MIRSHINA A,17 - 7,146,KAZ,2:26,Missed,0
Action shot,2.0,4,17,7,KAZ,4.0,ARIMA Y,17 - 7,94,JPN,1:34,Saved,0
Penalty shot,11.0,4,17,7,KAZ,4.0,MIRSHINA A,17 - 7,79,KAZ,1:19,Post,0
Action shot,4.0,4,17,7,KAZ,4.0,MAGARIYAMA S,17 - 7,57,JPN,0:57,Saved,0
Extra player shot,7.0,4,17,8,KAZ,4.0,NOVIKOVA A,17 - 8,43,KAZ,0:43,Goal,1
Action shot,8.0,4,17,8,KAZ,4.0,NIIZAWA Y,17 - 8,32,JPN,0:32,Missed,0
Action shot,3.0,5,0,0,BRA,1.0,ZABLITH M,0 - 0,453,BRA,7:33,Missed,0
Extra player shot,9.0,5,0,0,BRA,1.0,DIAS M,0 - 0,396,BRA,6:36,Saved,0
Action shot,10.0,5,0,0,BRA,1.0,BAHIA V,0 - 0,384,BRA,6:24,Saved,0
Centre shot,12.0,5,0,0,BRA,1.0,SUZUKI K,0 - 0,359,JPN,5:59,Saved,0
Centre shot,3.0,5,0,0,BRA,1.0,ZABLITH M,0 - 0,340,BRA,5:40,Post,0
5m shot,11.0,5,0,0,BRA,1.0,TOKUMOTO M,0 - 0,316,JPN,5:16,Post,0
5m shot,11.0,5,0,0,BRA,1.0,DUARTE M,0 - 0,237,BRA,3:57,Saved,0
5m shot,5.0,5,0,0,BRA,1.0,SAKANOUE C,0 - 0,226,JPN,3:46,Saved,0
Penalty shot,12.0,5,0,0,BRA,1.0,SUZUKI K,0 - 0,200,JPN,3:20,Saved,0
5m shot,12.0,5,0,0,BRA,1.0,BELORIO L,0 - 0,173,BRA,2:53,Post,0
Counter attack,5.0,5,1,0,BRA,1.0,SAKANOUE C,0 - 1,162,JPN,2:42,Goal,1
Action shot,5.0,5,2,0,BRA,1.0,SAKANOUE C,0 - 2,134,JPN,2:14,Goal,1
Action shot,2.0,5,2,1,BRA,1.0,ABLA D,1 - 2,119,BRA,1:59,Goal,1
5m shot,11.0,5,2,2,BRA,1.0,DUARTE M,2 - 2,36,BRA,0:36,Goal,1
Extra player shot,2.0,5,2,2,BRA,1.0,ARIMA Y,2 - 2,8,JPN,0:08,Saved,0
Action shot,5.0,5,3,2,BRA,2.0,SAKANOUE C,2 - 3,409,JPN,6:49,Goal,1
Centre shot,4.0,5,3,2,BRA,2.0,SOUZA J,2 - 3,357,BRA,5:57,Saved,0
