Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2.0,5,3,9,CRO,4.0,BURIC D,9 - 3,146,CRO,2:26,Saved,0
Action shot,11.0,5,4,9,CRO,4.0,KLIKOVAC F,9 - 4,124,MNE,2:04,Goal,1
5m shot,12.0,5,4,9,CRO,4.0,OBRADOVIC P,9 - 4,95,CRO,1:35,Saved,0
5m shot,5.0,5,4,9,CRO,4.0,BRGULJAN D,9 - 4,67,MNE,1:07,Saved,0
Action shot,9.0,5,4,10,CRO,4.0,SUKNO S,10 - 4,41,CRO,0:41,Goal,1
5m shot,7.0,6,0,0,AUS,1.0,ROACH A,0 - 0,452,AUS,7:32,Missed,0
5m shot,2.0,6,0,0,AUS,1.0,CAMPBELL R,0 - 0,393,AUS,6:33,Saved,0
5m shot,7.0,6,0,0,AUS,1.0,JANOVIC M,0 - 0,364,MNE,6:04,Blocked,0
5m shot,11.0,6,0,0,AUS,1.0,HOWDEN R,0 - 0,335,AUS,5:35,Saved,0
5m shot,6.0,6,1,0,AUS,1.0,RADOVIC A,1 - 0,312,MNE,5:12,Goal,1
Action shot,7.0,6,1,1,AUS,1.0,ROACH A,1 - 1,273,AUS,4:33,Goal,1
5m shot,6.0,6,2,1,AUS,1.0,RADOVIC A,2 - 1,245,MNE,4:05,Goal,1
Centre shot,12.0,6,2,1,AUS,1.0,MARTIN T,2 - 1,225,AUS,3:45,Saved,0
Action shot,5.0,6,3,1,AUS,1.0,BRGULJAN D,3 - 1,151,MNE,2:31,Goal,1
Extra player shot,2.0,6,4,1,AUS,1.0,BRGULJAN D,4 - 1,61,MNE,1:01,Goal,1
5m shot,10.0,6,4,1,AUS,1.0,EMERY M,4 - 1,34,AUS,0:34,Post,0
Extra player shot,5.0,6,5,1,AUS,2.0,BRGULJAN D,5 - 1,443,MNE,7:23,Goal,1
Action shot,11.0,6,5,1,AUS,2.0,HOWDEN R,5 - 1,396,AUS,6:36,Saved,0
Action shot,3.0,6,5,1,AUS,2.0,PASKOVIC V,5 - 1,327,MNE,5:27,Blocked,0
Action shot,9.0,6,5,1,AUS,2.0,IVOVIC A,5 - 1,283,MNE,4:43,Saved,0
Extra player shot,4.0,6,5,2,AUS,2.0,COTTERILL J,5 - 2,185,AUS,3:05,Goal,1
Extra player shot,10.0,6,5,2,AUS,2.0,EMERY M,5 - 2,122,AUS,2:02,Blocked,0
Extra player shot,10.0,6,5,2,AUS,2.0,MURISIC N,5 - 2,81,MNE,1:21,Saved,0
Extra player shot,7.0,6,5,2,AUS,2.0,ROACH A,5 - 2,55,AUS,0:55,Missed,0
Action shot,9.0,6,5,2,AUS,2.0,IVOVIC A,5 - 2,14,MNE,0:14,Post,0
5m shot,8.0,6,5,2,AUS,2.0,YOUNGER A,5 - 2,0,AUS,0:00,Saved,0
5m shot,7.0,6,5,2,AUS,3.0,JANOVIC M,5 - 2,451,MNE,7:31,Saved,0
Extra player shot,2.0,6,5,3,AUS,3.0,CAMPBELL R,5 - 3,417,AUS,6:57,Goal,1
5m shot,6.0,6,5,3,AUS,3.0,RADOVIC A,5 - 3,395,MNE,6:35,Post,0
Centre shot,2.0,6,5,4,AUS,3.0,CAMPBELL R,5 - 4,336,AUS,5:36,Goal,1
Penalty shot,6.0,6,5,4,AUS,3.0,RADOVIC A,5 - 4,314,MNE,5:14,Saved,0
Counter attack,7.0,6,6,4,AUS,3.0,JANOVIC M,6 - 4,281,MNE,4:41,Goal,1
Action shot,8.0,6,6,5,AUS,3.0,YOUNGER A,6 - 5,253,AUS,4:13,Goal,1
Penalty shot,9.0,6,7,5,AUS,3.0,IVOVIC A,7 - 5,232,MNE,3:52,Goal,1
5m shot,8.0,6,7,6,AUS,3.0,YOUNGER A,7 - 6,206,AUS,3:26,Goal,1
Action shot,7.0,6,8,6,AUS,3.0,JANOVIC M,8 - 6,127,MNE,2:07,Goal,1
Action shot,3.0,6,9,6,AUS,3.0,PASKOVIC V,9 - 6,47,MNE,0:47,Goal,1
5m shot,6.0,6,9,6,AUS,4.0,GILCHRIST J,9 - 6,356,AUS,5:56,Missed,0
Extra player shot,5.0,6,9,6,AUS,4.0,BRGULJAN D,9 - 6,326,MNE,5:26,Saved,0
Counter attack,4.0,6,9,7,AUS,4.0,COTTERILL J,9 - 7,306,AUS,5:06,Goal,1
5m shot,7.0,6,10,7,AUS,4.0,JANOVIC M,10 - 7,290,MNE,4:50,Goal,1
5m shot,8.0,6,10,7,AUS,4.0,YOUNGER A,10 - 7,268,AUS,4:28,Saved,0
Action shot,7.0,6,10,7,AUS,4.0,JANOVIC M,10 - 7,221,MNE,3:41,Blocked,0
5m shot,4.0,6,10,7,AUS,4.0,COTTERILL J,10 - 7,194,AUS,3:14,Saved,0
Extra player shot,12.0,6,10,8,AUS,4.0,MARTIN T,10 - 8,174,AUS,2:54,Goal,1
Penalty shot,7.0,6,11,8,AUS,4.0,JANOVIC M,11 - 8,102,MNE,1:42,Goal,1
Extra player shot,2.0,6,11,8,AUS,4.0,CAMPBELL R,11 - 8,83,AUS,1:23,Missed,0
5m shot,6.0,6,11,8,AUS,4.0,RADOVIC A,11 - 8,18,MNE,0:18,Saved,0
5m shot,8.0,6,11,8,AUS,4.0,YOUNGER A,11 - 8,2,AUS,0:02,Saved,0
5m shot,3.0,7,0,0,HUN,1.0,MADARAS N,0 - 0,452,HUN,7:32,Blocked,0
5m shot,3.0,7,0,0,HUN,1.0,MADARAS N,0 - 0,388,HUN,6:28,Saved,0
Action shot,8.0,7,0,1,HUN,1.0,SZIVOS M,0 - 1,373,HUN,6:13,Goal,1
Centre shot,9.0,7,1,1,HUN,1.0,IVOVIC A,1 - 1,353,MNE,5:53,Goal,1
5m shot,9.0,7,1,1,HUN,1.0,VARGA D,1 - 1,327,HUN,5:27,Saved,0
5m shot,3.0,7,1,1,HUN,1.0,PASKOVIC V,1 - 1,297,MNE,4:57,Blocked,0
Extra player shot,5.0,7,2,1,HUN,1.0,BRGULJAN D,2 - 1,263,MNE,4:23,Goal,1
Extra player shot,7.0,7,2,1,HUN,1.0,JANOVIC M,2 - 1,200,MNE,3:20,Post,0
Extra player shot,6.0,7,2,2,HUN,1.0,HOSNYANSZKY N,2 - 2,152,HUN,2:32,Goal,1
Extra player shot,12.0,7,2,2,HUN,1.0,JOKIC P,2 - 2,59,MNE,0:59,Post,0
Extra player shot,9.0,7,2,2,HUN,1.0,VARGA D,2 - 2,18,HUN,0:18,Saved,0
5m shot,5.0,7,2,2,HUN,1.0,VAMOS M,2 - 2,12,HUN,0:12,Saved,0
5m shot,3.0,7,3,2,HUN,2.0,PASKOVIC V,3 - 2,440,MNE,7:20,Goal,1
5m shot,3.0,7,3,2,HUN,2.0,MADARAS N,3 - 2,410,HUN,6:50,Missed,0
5m shot,5.0,7,3,2,HUN,2.0,VAMOS M,3 - 2,360,HUN,6:00,Saved,0
Centre shot,9.0,7,4,2,HUN,2.0,IVOVIC A,4 - 2,336,MNE,5:36,Goal,1
Extra player shot,6.0,7,4,3,HUN,2.0,HOSNYANSZKY N,4 - 3,303,HUN,5:03,Goal,1
Extra player shot,10.0,7,4,3,HUN,2.0,VARGA D,4 - 3,165,HUN,2:45,Post,0
Extra player shot,11.0,7,4,3,HUN,2.0,BEDO K,4 - 3,120,HUN,2:00,Saved,0
Counter attack,10.0,7,4,3,HUN,2.0,VARGA D,4 - 3,81,HUN,1:21,Saved,0
Action shot,10.0,7,4,3,HUN,2.0,VARGA D,4 - 3,42,HUN,0:42,Missed,0
Action shot,6.0,7,4,3,HUN,4.0,RADOVIC A,4 - 3,31,MNE,0:31,Saved,0
5m shot,9.0,7,10,9,HUN,4.0,VARGA D,10 - 9,15,HUN,0:15,Goal,1
5m shot,9.0,7,4,4,HUN,3.0,VARGA D,4 - 4,433,HUN,7:13,Goal,1
Extra player shot,6.0,7,4,4,HUN,3.0,RADOVIC A,4 - 4,399,MNE,6:39,Saved,0
Extra player shot,7.0,7,5,4,HUN,3.0,JANOVIC M,5 - 4,394,MNE,6:34,Goal,1
Extra player shot,9.0,7,6,4,HUN,3.0,IVOVIC A,6 - 4,297,MNE,4:57,Goal,1
5m shot,7.0,7,6,4,HUN,3.0,JANOVIC M,6 - 4,250,MNE,4:10,Saved,0
Extra player shot,3.0,7,6,4,HUN,3.0,MADARAS N,6 - 4,209,HUN,3:29,Blocked,0
Extra player shot,11.0,7,6,5,HUN,3.0,BEDO K,6 - 5,167,HUN,2:47,Goal,1
Centre shot,11.0,7,6,5,HUN,3.0,KLIKOVAC F,6 - 5,128,MNE,2:08,Saved,0
Action shot,8.0,7,6,5,HUN,3.0,SZIVOS M,6 - 5,93,HUN,1:33,Blocked,0
5m shot,9.0,7,6,5,HUN,3.0,VARGA D,6 - 5,43,HUN,0:43,Post,0
Extra player shot,7.0,7,6,5,HUN,3.0,JANOVIC M,6 - 5,2,MNE,0:02,Missed,0
5m shot,2.0,7,6,5,HUN,4.0,BRGULJAN D,6 - 5,450,MNE,7:30,Saved,0
Action shot,11.0,7,6,5,HUN,4.0,BEDO K,6 - 5,430,HUN,7:10,Saved,0
5m shot,10.0,7,6,5,HUN,4.0,VARGA D,6 - 5,407,HUN,6:47,Missed,0
Centre shot,5.0,7,6,5,HUN,4.0,BRGULJAN D,6 - 5,368,MNE,6:08,Saved,0
Counter attack,7.0,7,7,5,HUN,4.0,JANOVIC M,7 - 5,339,MNE,5:39,Goal,1
Action shot,10.0,7,7,6,HUN,4.0,VARGA D,7 - 6,319,HUN,5:19,Goal,1
Extra player shot,6.0,7,8,6,HUN,4.0,RADOVIC A,8 - 6,284,MNE,4:44,Goal,1
Extra player shot,9.0,7,8,6,HUN,4.0,VARGA D,8 - 6,251,HUN,4:11,Saved,0
Action shot,5.0,7,8,6,HUN,4.0,VAMOS M,8 - 6,239,HUN,3:59,Post,0
5m shot,9.0,7,8,6,HUN,4.0,VARGA D,8 - 6,233,HUN,3:53,Saved,0
Counter attack,3.0,7,9,6,HUN,4.0,PASKOVIC V,9 - 6,219,MNE,3:39,Goal,1
Extra player shot,4.0,7,9,7,HUN,4.0,ERDELYI B,9 - 7,179,HUN,2:59,Goal,1
Extra player shot,5.0,7,10,7,HUN,4.0,BRGULJAN D,10 - 7,139,MNE,2:19,Goal,1
Action shot,10.0,7,10,7,HUN,4.0,VARGA D,10 - 7,108,HUN,1:48,Post,0
5m shot,5.0,7,10,7,HUN,4.0,VAMOS M,10 - 7,82,HUN,1:22,Post,0
Extra player shot,4.0,7,10,8,HUN,4.0,ERDELYI B,10 - 8,61,HUN,1:01,Goal,1
