Action,Cap,Game,MNE,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,3.0,1,6,7,SRB,3.0,PASKOVIC V,7 - 6,206,MNE,3:26,Goal,1
Action shot,2.0,1,6,8,SRB,3.0,MANDIC D,8 - 6,191,SRB,3:11,Goal,1
Extra player shot,7.0,1,6,8,SRB,3.0,JANOVIC M,8 - 6,153,MNE,2:33,Saved,0
Extra player shot,11.0,1,6,9,SRB,3.0,PRLAINOVIC A,9 - 6,137,SRB,2:17,Goal,1
Extra player shot,12.0,1,6,9,SRB,3.0,MITORVIC S,9 - 6,68,SRB,1:08,Saved,0
Action shot,7.0,1,7,9,SRB,3.0,JANOVIC M,9 - 7,4,MNE,0:04,Goal,1
5m shot,9.0,1,7,9,SRB,4.0,IVOVIC A,9 - 7,454,MNE,7:34,Saved,0
Penalty shot,10.0,1,7,10,SRB,4.0,FILIPOVIC F,10 - 7,444,SRB,7:24,Goal,1
Extra player shot,9.0,1,7,11,SRB,4.0,JAKSIC N,11 - 7,358,SRB,5:58,Goal,1
Extra player shot,2.0,1,7,11,SRB,4.0,BRGULJAN D,11 - 7,319,MNE,5:19,Post,0
Extra player shot,5.0,1,8,11,SRB,4.0,BRGULJAN D,11 - 8,257,MNE,4:17,Goal,1
Action shot,4.0,1,8,11,SRB,4.0,CUCKOVIC U,11 - 8,134,MNE,2:14,Saved,0
Action shot,9.0,1,8,11,SRB,4.0,JAKSIC N,11 - 8,114,SRB,1:54,Saved,0
Action shot,5.0,1,8,11,SRB,4.0,CUK M,11 - 8,83,SRB,1:23,Saved,0
Centre shot,6.0,1,8,11,SRB,4.0,PIJETLOVIC D,11 - 8,34,SRB,0:34,Post,0
Action shot,9.0,1,8,11,SRB,4.0,IVOVIC A,11 - 8,16,MNE,0:16,Saved,0
5m shot,8.0,2,0,0,AUS,1.0,YOUNGER A,0 - 0,450,AUS,7:30,Saved,0
5m shot,9.0,2,0,0,AUS,1.0,IVOVIC A,0 - 0,422,MNE,7:02,Saved,0
Action shot,8.0,2,0,0,AUS,1.0,YOUNGER A,0 - 0,389,AUS,6:29,Saved,0
5m shot,7.0,2,0,0,AUS,1.0,ROACH A,0 - 0,317,AUS,5:17,Post,0
Action shot,2.0,2,0,0,AUS,1.0,BRGULJAN D,0 - 0,296,MNE,4:56,Saved,0
Penalty shot,7.0,2,1,0,AUS,1.0,JANOVIC M,0 - 1,274,MNE,4:34,Goal,1
5m shot,7.0,2,1,0,AUS,1.0,JANOVIC M,0 - 1,229,MNE,3:49,Post,0
5m shot,8.0,2,1,0,AUS,1.0,YOUNGER A,0 - 1,199,AUS,3:19,Saved,0
5m shot,6.0,2,1,0,AUS,1.0,RADOVIC A,0 - 1,192,MNE,3:12,Post,0
5m shot,2.0,2,1,0,AUS,1.0,BRGULJAN D,0 - 1,134,MNE,2:14,Missed,0
5m shot,11.0,2,1,0,AUS,1.0,HOWDEN R,0 - 1,108,AUS,1:48,Blocked,0
Extra player shot,9.0,2,2,0,AUS,1.0,IVOVIC A,0 - 2,47,MNE,0:47,Goal,1
Extra player shot,11.0,2,2,0,AUS,1.0,HOWDEN R,0 - 2,3,AUS,0:03,Saved,0
Action shot,6.0,2,2,0,AUS,1.0,GILCHRIST J,0 - 2,1,AUS,0:01,Saved,0
