Action,Cap,Game,Opponent,Opponent name,Period,Player,RUS,Score,Seconds,Team,Time
Extra player shot - Goal,10.0,4,2,RSA,3.0,BELIAEVA O,15,15 - 2,266,RUS,4:26
Turnover foul,7.0,4,2,RSA,3.0,KAY K,15,15 - 2,240,RSA,4:00
Steal,3.0,4,2,RSA,3.0,PROKOFYEVA E,15,15 - 2,240,RUS,4:00
20 sec. exclusion in field,8.0,4,2,RSA,3.0,KEET L,15,15 - 2,233,RSA,3:53
Extra player shot - Saved,11.0,4,2,RSA,3.0,IVANOVA E,15,15 - 2,227,RUS,3:47
Action shot - Goal,9.0,4,2,RSA,3.0,TIMOFEEVA A,16,16 - 2,210,RUS,3:30
Action shot - Saved,8.0,4,2,RSA,3.0,KEET L,16,16 - 2,194,RSA,3:14
5m shot - Goal,3.0,4,2,RSA,3.0,PROKOFYEVA E,17,17 - 2,172,RUS,2:52
Turnover foul,3.0,4,2,RSA,3.0,PALEY K,17,17 - 2,152,RSA,2:32
Steal,8.0,4,2,RSA,3.0,GRINEVA A,17,17 - 2,152,RUS,2:32
20 sec. exclusion in centre,3.0,4,2,RSA,3.0,PALEY K,17,17 - 2,126,RSA,2:06
Extra player shot - Goal,7.0,4,2,RSA,3.0,TANKEEVA E,18,18 - 2,114,RUS,1:54
20 sec. exclusion in centre,8.0,4,2,RSA,3.0,GRINEVA A,18,18 - 2,93,RUS,1:33
Extra player shot - Goal,10.0,4,3,RSA,3.0,KEET M,18,18 - 3,84,RSA,1:24
Turnover foul,9.0,4,3,RSA,3.0,TIMOFEEVA A,18,18 - 3,66,RUS,1:06
20 sec. exclusion in field,8.0,4,3,RSA,3.0,GRINEVA A,18,18 - 3,40,RUS,0:40
Extra player shot - Blocked,5.0,4,3,RSA,3.0,SCHOOLING M,18,18 - 3,20,RSA,0:20
Action shot - Blocked,6.0,4,3,RSA,3.0,SCHOOLING T,18,18 - 3,17,RSA,0:17
5m shot - Missed,2.0,4,3,RSA,3.0,ANTONOVA D,18,18 - 3,1,RUS,0:01
Starting goalkeeper,1.0,4,3,RSA,4.0,USTYUKHINA A,18,18 - 3,480,RUS,8:00
Starting goalkeeper,1.0,4,3,RSA,4.0,JACOBS A,18,18 - 3,480,RSA,8:00
Sprint won possession,6.0,4,3,RSA,4.0,BELOVA O,18,18 - 3,480,RUS,8:00
