Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,6,2,CRO,2.0,PRLAINOVIC A,3,2 - 3,246,SRB,4:06,Goal,1
Action shot,11.0,6,2,CRO,2.0,SETKA A,3,2 - 3,185,CRO,3:05,Post,0
Extra player shot,5.0,6,2,CRO,2.0,CUK M,4,2 - 4,157,SRB,2:37,Goal,1
Action shot,5.0,6,2,CRO,2.0,JOKOVIC M,4,2 - 4,112,CRO,1:52,Post,0
5m shot,5.0,6,2,CRO,2.0,CUK M,4,2 - 4,86,SRB,1:26,Saved,0
5m shot,9.0,6,2,CRO,2.0,SUKNO S,4,2 - 4,53,CRO,0:53,Saved,0
Extra player shot,10.0,6,2,CRO,2.0,FILIPOVIC F,5,2 - 5,24,SRB,0:24,Goal,1
5m shot,9.0,6,2,CRO,2.0,SUKNO S,5,2 - 5,17,CRO,0:17,Missed,0
Counter attack,12.0,6,2,CRO,3.0,MITROVIC S,6,2 - 6,427,SRB,7:07,Goal,1
5m shot,12.0,6,2,CRO,3.0,OBRADOVIC P,6,2 - 6,401,CRO,6:41,Blocked,0
5m shot,11.0,6,2,CRO,3.0,PRLAINOVIC A,6,2 - 6,375,SRB,6:15,Missed,0
Extra player shot,9.0,6,3,CRO,3.0,SUKNO S,6,3 - 6,336,CRO,5:36,Goal,1
Extra player shot,5.0,6,3,CRO,3.0,CUK M,7,3 - 7,305,SRB,5:05,Goal,1
Counter attack,5.0,6,3,CRO,3.0,CUK M,7,3 - 7,250,SRB,4:10,Saved,0
Action shot,12.0,6,3,CRO,3.0,OBRADOVIC P,7,3 - 7,200,CRO,3:20,Blocked,0
Action shot,6.0,6,3,CRO,3.0,PIJETLOVIC D,7,3 - 7,184,SRB,3:04,Saved,0
Extra player shot,10.0,6,3,CRO,3.0,FILIPOVIC F,7,3 - 7,126,SRB,2:06,Missed,0
Extra player shot,9.0,6,4,CRO,3.0,SUKNO S,7,4 - 7,108,CRO,1:48,Goal,1
Centre shot,7.0,6,4,CRO,3.0,NIKIC S,7,4 - 7,90,SRB,1:30,Saved,0
Counter attack,11.0,6,4,CRO,3.0,PRLAINOVIC A,7,4 - 7,49,SRB,0:49,Missed,0
5m shot,2.0,6,4,CRO,3.0,BURIC D,7,4 - 7,23,CRO,0:23,Post,0
