Action,Cap,Game,NZL,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,12.0,1,1,7,ESP,4.0,LEITON ARRONES P,1 - 7,453,ESP,7:33,Goal,1
5m shot,7.0,1,1,7,ESP,4.0,HOUGHTON E,1 - 7,386,NZL,6:26,Post,0
Counter attack,8.0,1,1,7,ESP,4.0,LOPES da SILVA C,1 - 7,362,NZL,6:02,Saved,0
5m shot,7.0,1,1,7,ESP,4.0,ESPAR LLAQUET C,1 - 7,342,ESP,5:42,Missed,0
5m shot,3.0,1,2,7,ESP,4.0,MASON K,2 - 7,314,NZL,5:14,Goal,1
Extra player shot,7.0,1,2,7,ESP,4.0,HOUGHTON E,2 - 7,255,NZL,4:15,Saved,0
Extra player shot,3.0,1,2,7,ESP,4.0,ESPAR LLAQUET A,2 - 7,220,ESP,3:40,Missed,0
Extra player shot,10.0,1,2,8,ESP,4.0,CRESPI BARRIGA P,2 - 8,172,ESP,2:52,Goal,1
Extra player shot,,1,2,10 ESP,ESP,4.0,LEITON ARRONES P,2 - 10 ESP,67,12,1:07,Goal,1
Extra player shot,,1,NZL,,ESP,4.0,PYE B,NZL,28,12,0:28,Post,0
5m shot,,1,ESP,,ESP,4.0,ORTIZ MUNOZ B,ESP,1,4,0:01,Post,0
Extra player shot,3.0,2,0,0,RSA,1.0,MASON K,0 - 0,426,NZL,7:06,Saved,0
5m shot,12.0,2,1,0,RSA,1.0,PYE B,1 - 0,377,NZL,6:17,Goal,1
Action shot,11.0,2,2,0,RSA,1.0,HUDSON K,2 - 0,318,NZL,5:18,Goal,1
Action shot,11.0,2,2,0,RSA,1.0,BARRETT N,2 - 0,293,RSA,4:53,Saved,0
5m shot,6.0,2,2,1,RSA,1.0,HALLENDORFF A,2 - 1,261,RSA,4:21,Goal,1
5m shot,8.0,2,2,1,RSA,1.0,KEEVY A,2 - 1,144,RSA,2:24,Post,0
Action shot,5.0,2,2,1,RSA,1.0,SCHOOLING M,2 - 1,105,RSA,1:45,Saved,0
Action shot,12.0,2,2,1,RSA,2.0,WHITE K,2 - 1,451,RSA,7:31,Saved,0
Extra player shot,2.0,2,2,2,RSA,2.0,PENNEY A,2 - 2,418,RSA,6:58,Goal,1
Extra player shot,12.0,2,2,2,RSA,2.0,PYE B,2 - 2,389,NZL,6:29,Blocked,0
5m shot,11.0,2,2,3,RSA,2.0,BARRETT N,2 - 3,360,RSA,6:00,Goal,1
Extra player shot,3.0,2,3,3,RSA,2.0,MASON K,3 - 3,296,NZL,4:56,Goal,1
Centre shot,7.0,2,3,3,RSA,2.0,WESSELS C,3 - 3,261,RSA,4:21,Saved,0
Centre shot,7.0,2,3,3,RSA,2.0,HOUGHTON E,3 - 3,180,NZL,3:00,Saved,0
Centre shot,4.0,2,3,3,RSA,2.0,FERIGO R,3 - 3,151,NZL,2:31,Saved,0
Centre shot,10.0,2,3,3,RSA,2.0,BOWRY C,3 - 3,126,NZL,2:06,Saved,0
5m shot,3.0,2,7,6,RSA,4.0,MASON K,7 - 6,88,NZL,1:28,Goal,1
5m shot,3.0,2,7,6,RSA,2.0,MASON K,7 - 6,50,NZL,0:50,Post,0
5m shot,2.0,2,7,6,RSA,2.0,PENNEY A,7 - 6,19,RSA,0:19,Blocked,0
5m shot,8.0,2,7,6,RSA,2.0,LOPES da SILVA C,7 - 6,1,NZL,0:01,Saved,0
Action shot,8.0,2,7,6,RSA,3.0,LOPES da SILVA C,7 - 6,409,NZL,6:49,Saved,0
5m shot,12.0,2,7,6,RSA,3.0,PYE B,7 - 6,360,NZL,6:00,Saved,0
5m shot,8.0,2,7,6,RSA,3.0,LOPES da SILVA C,7 - 6,291,NZL,4:51,Saved,0
5m shot,6.0,2,7,6,RSA,3.0,DOYLE B,7 - 6,280,NZL,4:40,Missed,0
5m shot,9.0,2,7,6,RSA,3.0,STONEMAN E,7 - 6,230,NZL,3:50,Saved,0
5m shot,2.0,2,7,6,RSA,3.0,PENNEY A,7 - 6,202,RSA,3:22,Saved,0
5m shot,3.0,2,7,6,RSA,3.0,MASON K,7 - 6,179,NZL,2:59,Saved,0
Centre shot,3.0,2,7,6,RSA,3.0,MASON K,7 - 6,165,NZL,2:45,Missed,0
5m shot,11.0,2,4,3,RSA,3.0,HUDSON K,4 - 3,124,NZL,2:04,Goal,1
Extra player shot,5.0,2,4,4,RSA,3.0,SCHOOLING M,4 - 4,86,RSA,1:26,Goal,1
5m shot,11.0,2,4,4,RSA,3.0,HUDSON K,4 - 4,58,NZL,0:58,Blocked,0
5m shot,11.0,2,4,4,RSA,3.0,HUDSON K,4 - 4,23,NZL,0:23,Saved,0
Centre shot,5.0,2,4,5,RSA,4.0,SCHOOLING M,4 - 5,455,RSA,7:35,Goal,1
Action shot,11.0,2,4,5,RSA,4.0,HUDSON K,4 - 5,425,NZL,7:05,Saved,0
5m shot,3.0,2,4,5,RSA,4.0,MASON K,4 - 5,375,NZL,6:15,Missed,0
Action shot,7.0,2,4,6,RSA,4.0,WESSELS C,4 - 6,358,RSA,5:58,Goal,1
5m shot,11.0,2,4,6,RSA,4.0,HUDSON K,4 - 6,333,NZL,5:33,Missed,0
Extra player shot,7.0,2,4,6,RSA,4.0,WESSELS C,4 - 6,308,RSA,5:08,Missed,0
5m shot,11.0,2,4,6,RSA,4.0,HUDSON K,4 - 6,290,NZL,4:50,Saved,0
5m shot,12.0,2,5,6,RSA,4.0,PYE B,5 - 6,278,NZL,4:38,Goal,1
5m shot,3.0,2,6,6,RSA,4.0,MASON K,6 - 6,216,NZL,3:36,Goal,1
Action shot,12.0,2,6,6,RSA,4.0,PYE B,6 - 6,163,NZL,2:43,Blocked,0
5m shot,8.0,2,6,6,RSA,4.0,LOPES da SILVA C,6 - 6,133,NZL,2:13,Missed,0
Extra player shot,11.0,2,8,6,RSA,4.0,HUDSON K,8 - 6,28,NZL,0:28,Goal,1
5m shot,12.0,2,8,6,RSA,4.0,WHITE K,8 - 6,1,RSA,0:01,Saved,0
Action shot,8.0,3,0,1,USA,1.0,NEUSHUL K,0 - 1,452,USA,7:32,Goal,1
5m shot,8.0,3,0,1,USA,1.0,LOPES da SILVA C,0 - 1,423,NZL,7:03,Missed,0
5m shot,2.0,3,0,1,USA,1.0,MUSSELMAN M,0 - 1,377,USA,6:17,,0
5m shot,2.0,3,0,1,USA,1.0,MUSSELMAN M,0 - 1,377,USA,6:17,Saved,0
Action shot,6.0,3,0,2,USA,1.0,STEFFENS M,0 - 2,356,USA,5:56,Goal,1
5m shot,11.0,3,0,2,USA,1.0,FISCHER M,0 - 2,315,USA,5:15,Saved,0
