Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Counter attack,4.0,2,4,0,JPN,1.0,van der SLOOT S,0 - 4,327,NED,5:27,Goal,1
Action shot,10.0,2,4,0,JPN,1.0,NORO M,0 - 4,300,JPN,5:00,Saved,0
Centre shot,8.0,2,4,0,JPN,1.0,SEVENICH V,0 - 4,284,NED,4:44,Saved,0
5m shot,2.0,2,4,0,JPN,1.0,ARIMA Y,0 - 4,256,JPN,4:16,Blocked,0
Centre shot,4.0,2,5,0,JPN,1.0,van der SLOOT S,0 - 5,236,NED,3:56,Goal,1
Extra player shot,2.0,2,6,0,JPN,1.0,SMIT Y,0 - 6,174,NED,2:54,Goal,1
5m shot,3.0,2,6,0,JPN,1.0,KAZAMA Y,0 - 6,141,JPN,2:21,Post,0
Action shot,2.0,2,6,0,JPN,1.0,ARIMA Y,0 - 6,88,JPN,1:28,Missed,0
5m shot,2.0,2,6,0,JPN,1.0,ARIMA Y,0 - 6,54,JPN,0:54,Missed,0
Action shot,7.0,2,6,0,JPN,1.0,NIJHUIS M,0 - 6,42,NED,0:42,Saved,0
Action shot,5.0,2,7,0,JPN,1.0,GENEE A,0 - 7,3,NED,0:03,Goal,1
5m shot,8.0,2,7,0,JPN,1.0,NIIZAWA Y,0 - 7,1,JPN,0:01,Saved,0
Centre shot,2.0,2,7,0,JPN,2.0,ARIMA Y,0 - 7,431,JPN,7:11,Saved,0
Extra player shot,4.0,2,8,0,JPN,2.0,van der SLOOT S,0 - 8,393,NED,6:33,Goal,1
5m shot,4.0,2,8,1,JPN,2.0,MAGARIYAMA S,1 - 8,362,JPN,6:02,Goal,1
Centre shot,6.0,2,8,1,JPN,2.0,STOMPHORST N,1 - 8,338,NED,5:38,Saved,0
5m shot,11.0,2,8,2,JPN,2.0,TOKUMOTO M,2 - 8,321,JPN,5:21,Goal,1
5m shot,12.0,2,8,2,JPN,2.0,SUZUKI K,2 - 8,279,JPN,4:39,Missed,0
Extra player shot,6.0,2,8,2,JPN,2.0,STOMPHORST N,2 - 8,245,NED,4:05,Missed,0
5m shot,10.0,2,8,2,JPN,3.0,NORO M,2 - 8,1,JPN,0:01,Saved,0
Extra player shot,2.0,2,8,2,JPN,4.0,SMIT Y,2 - 8,448,NED,7:28,Blocked,0
Action shot,2.0,2,8,2,JPN,4.0,ARIMA Y,2 - 8,433,JPN,7:13,Blocked,0
Action shot,9.0,2,16,7,JPN,4.0,MEGENS M,7 - 16,420,NED,7:00,Goal,1
Extra player shot,6.0,2,16,8,JPN,4.0,YAMAMOTO M,8 - 16,388,JPN,6:28,Goal,1
Centre shot,8.0,2,17,8,JPN,4.0,SEVENICH V,8 - 17,372,NED,6:12,Goal,1
