Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name
3.0,0:37,20 sec. exclusion in field,12 - 2,HUN,ANTAL D,3.0,12,2,37,1,HUN
3.0,0:05,5m shot - Saved,12 - 2,BRA,CHIAPPINI I,8.0,12,2,5,1,HUN
4.0,8:00,Starting goalkeeper,12 - 2,HUN,KASO O,13.0,12,2,480,1,HUN
4.0,8:00,Starting goalkeeper,12 - 2,BRA,CANETTI M,1.0,12,2,480,1,HUN
4.0,8:00,Sprint won possession,12 - 2,BRA,CHIAPPINI I,8.0,12,2,480,1,HUN
4.0,7:43,20 sec. exclusion in centre,12 - 2,HUN,TOTH I,9.0,12,2,463,1,HUN
1.0,8:00,Starting goalkeeper,0 - 0,BRA,CANETTI M,1.0,0,0,480,2,KAZ
1.0,8:00,Starting goalkeeper,0 - 0,KAZ,ZHARKOVA A,1.0,0,0,480,2,KAZ
1.0,8:00,Sprint won possession,0 - 0,BRA,ZABLITH M,3.0,0,0,480,2,KAZ
1.0,7:32,5m shot - Post,0 - 0,BRA,CHIAPPINI I,8.0,0,0,452,2,KAZ
1.0,7:17,20 sec. exclusion in field,0 - 0,BRA,CHIAPPINI I,8.0,0,0,437,2,KAZ
1.0,6:59,Extra player shot - Goal,1 - 0,KAZ,ALEXANDROVA N,7.0,1,0,419,2,KAZ
1.0,6:40,Turnover foul,1 - 0,BRA,ZABLITH M,3.0,1,0,400,2,KAZ
1.0,6:40,Steal,1 - 0,KAZ,JAKAYEVA A,9.0,1,0,400,2,KAZ
1.0,6:24,Turnover foul,1 - 0,KAZ,JAKAYEVA A,9.0,1,0,384,2,KAZ
1.0,6:24,Steal,1 - 0,BRA,CANETTI M,1.0,1,0,384,2,KAZ
1.0,6:08,Action shot - Saved,1 - 0,BRA,COUTINHO M,11.0,1,0,368,2,KAZ
1.0,5:58,20 sec. exclusion in field,1 - 0,KAZ,GRITSENKO M,10.0,1,0,358,2,KAZ
1.0,5:34,Turnover foul,1 - 0,BRA,VIGNA F,10.0,1,0,334,2,KAZ
1.0,5:34,Steal,1 - 0,KAZ,ALEXANDROVA N,7.0,1,0,334,2,KAZ
1.0,5:30,20 sec. exclusion in field,1 - 0,BRA,CHIAPPINI I,8.0,1,0,330,2,KAZ
1.0,5:00,Action shot - Blocked,1 - 0,KAZ,GRITSENKO M,10.0,1,0,300,2,KAZ
1.0,4:44,Action shot - Goal,1 - 1,BRA,ZABLITH M,3.0,1,1,284,2,KAZ
1.0,4:26,Action shot - Post,1 - 1,KAZ,ALEXANDROVA N,7.0,1,1,266,2,KAZ
1.0,3:56,5m shot - Blocked,1 - 1,BRA,BAHIA V,12.0,1,1,236,2,KAZ
1.0,3:43,20 sec. exclusion in field,1 - 1,KAZ,ZUBKOVA A,6.0,1,1,223,2,KAZ
1.0,3:23,Extra player shot - Goal,1 - 2,BRA,ZABLITH M,3.0,1,2,203,2,KAZ
1.0,2:53,Centre shot - Saved,1 - 2,KAZ,JAKAYEVA A,9.0,1,2,173,2,KAZ
1.0,2:35,Turnover foul,1 - 2,BRA,BAHIA V,12.0,1,2,155,2,KAZ
1.0,2:10,Turnover foul,1 - 2,KAZ,JAKAYEVA A,9.0,1,2,130,2,KAZ
1.0,1:51,Centre shot - Post,1 - 2,BRA,CANETTI M,4.0,1,2,111,2,KAZ
1.0,1:33,20 sec. exclusion in field,1 - 2,BRA,ZABLITH M,3.0,1,2,93,2,KAZ
1.0,1:16,Extra player shot - Post,1 - 2,KAZ,GRITSENKO M,10.0,1,2,76,2,KAZ
1.0,1:10,Turnover foul,1 - 2,KAZ,TUROVA A,4.0,1,2,70,2,KAZ
1.0,1:10,Steal,1 - 2,BRA,MAIA L,5.0,1,2,70,2,KAZ
1.0,0:45,Turnover foul,1 - 2,BRA,CANETTI M,4.0,1,2,45,2,KAZ
1.0,0:34,Penalty foul,1 - 2,BRA,DIAS M,7.0,1,2,34,2,KAZ
1.0,0:34,Penalty shot - Goal,2 - 2,KAZ,GRITSENKO M,10.0,2,2,34,2,KAZ
1.0,0:19,20 sec. exclusion in field,2 - 2,KAZ,ALEXANDROVA N,7.0,2,2,19,2,KAZ
1.0,0:02,Extra player shot - Saved,2 - 2,BRA,ZABLITH M,3.0,2,2,2,2,KAZ
2.0,8:00,Starting goalkeeper,2 - 2,KAZ,ZHARKOVA A,1.0,2,2,480,2,KAZ
2.0,8:00,Starting goalkeeper,2 - 2,BRA,CANETTI M,1.0,2,2,480,2,KAZ
2.0,8:00,Sprint won possession,2 - 2,BRA,ZABLITH M,3.0,2,2,480,2,KAZ
2.0,7:38,Turnover foul,2 - 2,BRA,COUTINHO M,11.0,2,2,458,2,KAZ
2.0,7:25,20 sec. exclusion in centre,2 - 2,BRA,DIAS M,7.0,2,2,445,2,KAZ
2.0,7:22,Extra player shot - Goal,3 - 2,KAZ,JAKAYEVA A,9.0,3,2,442,2,KAZ
2.0,6:57,5m shot - Saved,3 - 2,BRA,BAHIA V,12.0,3,2,417,2,KAZ
2.0,6:40,Turnover foul,3 - 2,BRA,BAHIA V,12.0,3,2,400,2,KAZ
2.0,6:40,Steal,3 - 2,KAZ,TUROVA A,4.0,3,2,400,2,KAZ
2.0,6:38,20 sec. exclusion in field,3 - 2,BRA,BAHIA V,12.0,3,2,398,2,KAZ
2.0,6:23,Extra player shot - Post,3 - 2,KAZ,SHEPELINA N,2.0,3,2,383,2,KAZ
2.0,5:39,Action shot - Saved,3 - 2,KAZ,AKILBAYEVA A,3.0,3,2,339,2,KAZ
2.0,5:18,Centre shot - Saved,3 - 2,BRA,ZABLITH M,3.0,3,2,318,2,KAZ
2.0,4:49,Turnover foul,3 - 2,KAZ,TUROVA A,4.0,3,2,289,2,KAZ
2.0,4:39,Turnover foul,3 - 2,BRA,CANETTI M,4.0,3,2,279,2,KAZ
2.0,4:34,Turnover foul,3 - 2,KAZ,ALEXANDROVA N,7.0,3,2,274,2,KAZ
2.0,4:09,Turnover foul,3 - 2,BRA,MAIA L,5.0,3,2,249,2,KAZ
2.0,4:09,Steal,3 - 2,KAZ,ALEXANDROVA N,7.0,3,2,249,2,KAZ
2.0,4:01,20 sec. exclusion in field,3 - 2,BRA,BAHIA V,12.0,3,2,241,2,KAZ
2.0,3:43,Extra player shot - Goal,4 - 2,KAZ,SHEPELINA N,2.0,4,2,223,2,KAZ
2.0,3:29,Turnover foul,4 - 2,BRA,COUTINHO M,11.0,4,2,209,2,KAZ
