Period,Time,Action,Score,Team,Player,Cap,Opponent,BRA,Seconds,Game,Opponent name,Result,Goal
1.0,0:01,Action shot,2 - 1,BRA,VIGNA F,10.0,2,1,1,3,ITA,Saved,0
2.0,7:31,Action shot,2 - 1,BRA,CHIAPPINI I,8.0,2,1,451,3,ITA,Post,0
2.0,7:13,Action shot,2 - 1,ITA,di MARIO T,7.0,2,1,433,3,ITA,Blocked,0
2.0,6:56,Action shot,2 - 1,BRA,COUTINHO M,11.0,2,1,416,3,ITA,Missed,0
2.0,6:39,Centre shot,2 - 1,ITA,PALMIERI V,10.0,2,1,399,3,ITA,Post,0
2.0,6:10,5m shot,2 - 1,BRA,CHIAPPINI I,8.0,2,1,370,3,ITA,Missed,0
2.0,5:58,5m shot,2 - 1,ITA,di MARIO T,7.0,2,1,358,3,ITA,Post,0
2.0,5:30,5m shot,2 - 1,BRA,CHIAPPINI I,8.0,2,1,330,3,ITA,Saved,0
2.0,5:07,Action shot,3 - 1,ITA,GARIBOTTI A,3.0,3,1,307,3,ITA,Goal,1
2.0,3:42,5m shot,3 - 1,BRA,DIAS M,7.0,3,1,222,3,ITA,Saved,0
2.0,3:14,Action shot,4 - 1,ITA,GARIBOTTI A,3.0,4,1,194,3,ITA,Goal,1
2.0,2:33,Action shot,5 - 1,ITA,EMMOLO G,9.0,5,1,153,3,ITA,Goal,1
2.0,1:41,Extra player shot,6 - 1,ITA,EMMOLO G,9.0,6,1,101,3,ITA,Goal,1
2.0,1:14,Action shot,6 - 1,BRA,CHIAPPINI I,8.0,6,1,74,3,ITA,Missed,0
2.0,0:51,Extra player shot,7 - 1,ITA,PALMIERI V,10.0,7,1,51,3,ITA,Goal,1
2.0,0:28,Action shot,7 - 1,BRA,CHIAPPINI I,8.0,7,1,28,3,ITA,Missed,0
2.0,0:07,Action shot,8 - 1,ITA,GARIBOTTI A,3.0,8,1,7,3,ITA,Goal,1
2.0,0:04,5m shot,8 - 1,BRA,ZABLITH M,3.0,8,1,4,3,ITA,Missed,0
3.0,7:31,Action shot,8 - 1,BRA,ZABLITH M,3.0,8,1,451,3,ITA,Saved,0
3.0,6:47,Extra player shot,8 - 1,ITA,di MARIO T,7.0,8,1,407,3,ITA,Saved,0
3.0,5:08,Action shot,8 - 1,ITA,BIANCONI R,8.0,8,1,308,3,ITA,Blocked,0
3.0,4:42,Centre shot,8 - 2,BRA,VIGNA F,10.0,8,2,282,3,ITA,Goal,1
3.0,4:28,Penalty shot,9 - 2,ITA,QUEIROLO E,5.0,9,2,268,3,ITA,Goal,1
3.0,3:47,Action shot,10 - 2,ITA,QUEIROLO E,5.0,10,2,227,3,ITA,Goal,1
3.0,3:01,Action shot,10 - 2,BRA,COUTINHO M,11.0,10,2,181,3,ITA,Saved,0
3.0,1:35,5m shot,10 - 2,BRA,ZABLITH M,3.0,10,2,95,3,ITA,Blocked,0
3.0,1:18,5m shot,10 - 2,ITA,BIANCONI R,8.0,10,2,78,3,ITA,Post,0
3.0,0:01,5m shot,10 - 2,ITA,BIANCONI R,8.0,10,2,1,3,ITA,Saved,0
4.0,7:31,Action shot,10 - 2,BRA,DIAS M,7.0,10,2,451,3,ITA,Saved,0
4.0,7:02,Action shot,10 - 2,ITA,di MARIO T,7.0,10,2,422,3,ITA,Blocked,0
4.0,6:12,Centre shot,10 - 2,ITA,PALMIERI V,10.0,10,2,372,3,ITA,Post,0
4.0,5:47,5m shot,10 - 2,BRA,ZABLITH M,3.0,10,2,347,3,ITA,Missed,0
4.0,5:31,Action shot,11 - 2,ITA,di MARIO T,7.0,11,2,331,3,ITA,Goal,1
4.0,5:11,Action shot,11 - 2,BRA,VIGNA F,10.0,11,2,311,3,ITA,Saved,0
4.0,4:44,Action shot,11 - 2,ITA,RADICCHI F,4.0,11,2,284,3,ITA,Blocked,0
4.0,4:12,Action shot,11 - 2,BRA,ABLA D,2.0,11,2,252,3,ITA,Saved,0
4.0,3:27,Action shot,11 - 3,BRA,CHIAPPINI I,8.0,11,3,207,3,ITA,Goal,1
4.0,3:01,Action shot,11 - 3,ITA,GARIBOTTI A,3.0,11,3,181,3,ITA,Saved,0
4.0,2:00,Extra player shot,12 - 3,ITA,EMMOLO G,9.0,12,3,120,3,ITA,Goal,1
4.0,1:12,5m shot,12 - 4,BRA,DIAS M,7.0,12,4,72,3,ITA,Goal,1
4.0,0:37,Counter attack,12 - 5,BRA,ZABLITH M,3.0,12,5,37,3,ITA,Goal,1
4.0,0:13,Penalty shot,13 - 5,ITA,BIANCONI R,8.0,13,5,13,3,ITA,Goal,1
4.0,0:03,5m shot,13 - 5,BRA,CHIAPPINI I,8.0,13,5,3,3,ITA,Missed,0
4.0,0:01,5m shot,13 - 5,ITA,SPARANO L,13.0,13,5,1,3,ITA,Saved,0
1.0,6:02,Action shot,1 - 0,USA,RULON K,10.0,1,0,362,4,USA,Goal,1
1.0,5:34,5m shot,1 - 0,BRA,ZABLITH M,3.0,1,0,334,4,USA,Missed,0
1.0,5:11,5m shot,1 - 0,USA,CLARK C,5.0,1,0,311,4,USA,Post,0
1.0,4:52,Centre shot,1 - 0,BRA,CANETTI M,4.0,1,0,292,4,USA,Saved,0
1.0,4:18,Action shot,1 - 0,BRA,DIAS M,7.0,1,0,258,4,USA,Post,0
1.0,3:53,Action shot,2 - 0,USA,NEUSHUL K,8.0,2,0,233,4,USA,Goal,1
1.0,3:18,Counter attack,2 - 0,USA,DRIES A,11.0,2,0,198,4,USA,Saved,0
1.0,2:57,Penalty shot,2 - 0,USA,NEUSHUL K,8.0,2,0,177,4,USA,Missed,0
1.0,2:10,Action shot,2 - 0,USA,FATTAL R,4.0,2,0,130,4,USA,Missed,0
1.0,1:17,Extra player shot,3 - 0,USA,SEIDEMANN M,3.0,3,0,77,4,USA,Goal,1
2.0,7:32,Action shot,3 - 0,USA,RULON K,10.0,3,0,452,4,USA,Post,0
2.0,7:22,5m shot,4 - 0,USA,RULON K,10.0,4,0,442,4,USA,Goal,1
2.0,6:35,Action shot,4 - 0,BRA,CHIAPPINI I,8.0,4,0,395,4,USA,Saved,0
2.0,6:14,Centre shot,5 - 0,USA,CRAIG K,12.0,5,0,374,4,USA,Goal,1
2.0,5:23,5m shot,6 - 0,USA,SEIDEMANN M,3.0,6,0,323,4,USA,Goal,1
2.0,4:35,Action shot,7 - 0,USA,SILVER L,2.0,7,0,275,4,USA,Goal,1
2.0,3:50,Centre shot,7 - 0,USA,DRIES A,11.0,7,0,230,4,USA,Saved,0
2.0,3:28,Centre shot,8 - 0,USA,DRIES A,11.0,8,0,208,4,USA,Goal,1
2.0,2:55,Action shot,8 - 1,BRA,ZABLITH M,3.0,8,1,175,4,USA,Goal,1
2.0,2:08,Action shot,9 - 1,USA,KRAUS J,9.0,9,1,128,4,USA,Goal,1
2.0,1:42,5m shot,9 - 1,BRA,COUTINHO M,11.0,9,1,102,4,USA,Missed,0
2.0,1:18,Action shot,10 - 1,USA,FATTAL R,4.0,10,1,78,4,USA,Goal,1
2.0,0:40,Action shot,10 - 1,USA,FATTAL R,4.0,10,1,40,4,USA,Saved,0
3.0,7:13,5m shot,10 - 1,BRA,VIGNA F,10.0,10,1,433,4,USA,Missed,0
3.0,6:59,Centre shot,10 - 1,USA,CRAIG K,12.0,10,1,419,4,USA,Missed,0
3.0,6:31,5m shot,10 - 1,BRA,DIAS M,7.0,10,1,391,4,USA,Saved,0
