AUS,Action,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
7,Centre shot,5.0,2,5,RUS,4.0,BISHOP I,7 - 5,394,AUS,6:34,Goal,1
7,5m shot,5.0,2,5,RUS,4.0,BORISOVA M,7 - 5,368,RUS,6:08,Saved,0
7,Action shot,4.0,2,5,RUS,4.0,HALLIGAN B,7 - 5,340,AUS,5:40,Blocked,0
7,Extra player shot,4.0,2,5,RUS,4.0,KARIMOVA E,7 - 5,299,RUS,4:59,Missed,0
7,5m shot,9.0,2,5,RUS,4.0,ARANCINI Z,7 - 5,231,AUS,3:51,Missed,0
7,Action shot,4.0,2,5,RUS,4.0,KARIMOVA E,7 - 5,207,RUS,3:27,Blocked,0
7,Action shot,5.0,2,5,RUS,4.0,BORISOVA M,7 - 5,194,RUS,3:14,Saved,0
7,Action shot,6.0,2,5,RUS,4.0,GORBUNOVA O,7 - 5,49,RUS,0:49,Post,0
7,5m shot,7.0,2,5,RUS,4.0,WEBSTER R,7 - 5,21,AUS,0:21,Saved,0
0,Action shot,11.0,3,1,GRE,1.0,PLEVRITOU E,0 - 1,428,GRE,7:08,Goal,1
1,5m shot,3.0,3,1,GRE,1.0,BUCKLING H,1 - 1,399,AUS,6:39,Goal,1
1,Centre shot,7.0,3,1,GRE,1.0,ASIMAKI A,1 - 1,381,GRE,6:21,Saved,0
1,Action shot,4.0,3,1,GRE,1.0,HALLIGAN B,1 - 1,363,AUS,6:03,Saved,0
1,5m shot,10.0,3,1,GRE,1.0,MANOLIOUDAKI T,1 - 1,335,GRE,5:35,Post,0
1,5m shot,3.0,3,1,GRE,1.0,DIAMANTOPOULOU V,1 - 1,263,GRE,4:23,Blocked,0
2,Action shot,2.0,3,1,GRE,1.0,GOFERS K,2 - 1,229,AUS,3:49,Goal,1
2,Action shot,11.0,3,2,GRE,1.0,PLEVRITOU E,2 - 2,202,GRE,3:22,Goal,1
2,Action shot,9.0,3,2,GRE,1.0,KOTSIA C,2 - 2,153,GRE,2:33,Saved,0
2,Action shot,10.0,3,2,GRE,1.0,MANOLIOUDAKI T,2 - 2,103,GRE,1:43,Saved,0
2,Extra player shot,7.0,3,2,GRE,1.0,WEBSTER R,2 - 2,48,AUS,0:48,Blocked,0
2,5m shot,5.0,3,2,GRE,1.0,BISHOP I,2 - 2,1,AUS,0:01,Saved,0
2,Action shot,4.0,3,2,GRE,2.0,ELEFTHERIADOU N,2 - 2,441,GRE,7:21,Saved,0
2,Centre shot,7.0,3,3,GRE,2.0,ASIMAKI A,2 - 3,431,GRE,7:11,Goal,1
2,Action shot,4.0,3,3,GRE,2.0,HALLIGAN B,2 - 3,403,AUS,6:43,Saved,0
2,Extra player shot,7.0,3,4,GRE,2.0,ASIMAKI A,2 - 4,378,GRE,6:18,Goal,1
3,Action shot,2.0,3,4,GRE,2.0,GOFERS K,3 - 4,332,AUS,5:32,Goal,1
3,Action shot,10.0,3,4,GRE,2.0,MANOLIOUDAKI T,3 - 4,305,GRE,5:05,Missed,0
3,Centre shot,10.0,3,5,GRE,2.0,MANOLIOUDAKI T,3 - 5,238,GRE,3:58,Goal,1
3,5m shot,2.0,3,5,GRE,2.0,GOFERS K,3 - 5,216,AUS,3:36,Saved,0
3,Action shot,2.0,3,5,GRE,2.0,TSOUKALA C,3 - 5,186,GRE,3:06,Post,0
3,5m shot,3.0,3,5,GRE,2.0,BUCKLING H,3 - 5,171,AUS,2:51,Saved,0
4,Action shot,2.0,3,5,GRE,2.0,GOFERS K,4 - 5,126,AUS,2:06,Goal,1
4,Penalty shot,11.0,3,5,GRE,2.0,PLEVRITOU E,4 - 5,112,GRE,1:52,Saved,0
5,Extra player shot,4.0,3,5,GRE,2.0,HALLIGAN B,5 - 5,5,AUS,0:05,Goal,1
5,5m shot,2.0,3,5,GRE,2.0,TSOUKALA C,5 - 5,1,GRE,0:01,Saved,0
