Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Goalkeeper substitution,10,1.0,1,4,CAN,2.0,RANDALL R,10 - 4,114,CAN,1:54
Action shot - Saved,10,5.0,1,4,CAN,2.0,BOYD J,10 - 4,93,CAN,1:33
Turnover foul,10,5.0,1,4,CAN,2.0,BOYD J,10 - 4,74,CAN,1:14
Steal,10,1.0,1,4,CAN,2.0,PAVIC J,10 - 4,74,CRO,1:14
5m shot - Post,10,9.0,1,4,CAN,2.0,SUKNO S,10 - 4,60,CRO,1:00
5m shot - Saved,10,11.0,1,4,CAN,2.0,TORAKIS G,10 - 4,37,CAN,0:37
Action shot - Post,10,3.0,1,4,CAN,2.0,VIKALO O,10 - 4,6,CAN,0:06
Time-Out,10,,1,4,CAN,2.0,,10 - 4,6,CRO,0:06
Starting goalkeeper,10,1.0,1,4,CAN,3.0,PAVIC J,10 - 4,480,CRO,8:00
Starting goalkeeper,10,1.0,1,4,CAN,3.0,RANDALL R,10 - 4,480,CAN,8:00
Sprint won possession,10,8.0,1,4,CAN,3.0,GRAHAM K,10 - 4,480,CAN,8:00
Turnover foul,10,5.0,1,4,CAN,3.0,BOYD J,10 - 4,451,CAN,7:31
Steal,10,9.0,1,4,CAN,3.0,SUKNO S,10 - 4,451,CRO,7:31
Action shot - Post,10,12.0,1,4,CAN,3.0,OBRADOVIC P,10 - 4,432,CRO,7:12
5m shot - Saved,10,8.0,1,4,CAN,3.0,GRAHAM K,10 - 4,403,CAN,6:43
Centre shot - Saved,10,4.0,1,4,CAN,3.0,CONSTANTIN-BICARI,10 - 4,375,CAN,6:15
Turnover foul,10,12.0,1,4,CAN,3.0,OBRADOVIC P,10 - 4,349,CRO,5:49
Centre shot - Saved,10,11.0,1,4,CAN,3.0,SETKA A,10 - 4,302,CRO,5:02
Turnover foul,10,7.0,1,4,CAN,3.0,TASCHEREAU A,10 - 4,284,CAN,4:44
Steal,10,9.0,1,4,CAN,3.0,SUKNO S,10 - 4,284,CRO,4:44
Action shot - Goal,11,7.0,1,4,CAN,3.0,MUSLIM P,11 - 4,264,CRO,4:24
Turnover foul,11,2.0,1,4,CAN,3.0,KUDABA C,11 - 4,238,CAN,3:58
Steal,11,8.0,1,4,CAN,3.0,BUSLJE A,11 - 4,238,CRO,3:58
Centre shot - Post,11,11.0,1,4,CAN,3.0,SETKA A,11 - 4,227,CRO,3:47
20 sec. exclusion in centre,11,6.0,1,4,CAN,3.0,BUKIC L,11 - 4,201,CRO,3:21
Extra player shot - Saved,11,5.0,1,4,CAN,3.0,BOYD J,11 - 4,192,CAN,3:12
Centre shot - Saved,11,3.0,1,4,CAN,3.0,VIKALO O,11 - 4,165,CAN,2:45
20 sec. exclusion in centre,11,8.0,1,4,CAN,3.0,GRAHAM K,11 - 4,150,CAN,2:30
Time-Out,11,,1,4,CAN,3.0,,11 - 4,150,CRO,2:30
Extra player shot - Saved,11,6.0,1,4,CAN,3.0,BUKIC L,11 - 4,142,CRO,2:22
5m shot - Missed,11,5.0,1,4,CAN,3.0,BOYD J,11 - 4,103,CAN,1:43
5m shot - Saved,11,5.0,1,4,CAN,3.0,JOKOVIC M,11 - 4,69,CRO,1:09
5m shot - Saved,11,5.0,1,4,CAN,3.0,BOYD J,11 - 4,42,CAN,0:42
Action shot - Blocked,11,8.0,1,4,CAN,3.0,BUSLJE A,11 - 4,16,CRO,0:16
Time-Out,11,,1,4,CAN,3.0,,11 - 4,16,CAN,0:16
Turnover foul,11,4.0,1,4,CAN,3.0,CONSTANTIN-BICARI,11 - 4,5,CAN,0:05
Steal,11,6.0,1,4,CAN,3.0,BUKIC L,11 - 4,5,CRO,0:05
5m shot - Saved,11,6.0,1,4,CAN,3.0,BUKIC L,11 - 4,0,CRO,0:00
Starting goalkeeper,11,1.0,1,4,CAN,4.0,PAVIC J,11 - 4,480,CRO,8:00
Starting goalkeeper,11,1.0,1,4,CAN,4.0,RANDALL R,11 - 4,480,CAN,8:00
Sprint won possession,11,8.0,1,4,CAN,4.0,GRAHAM K,11 - 4,480,CAN,8:00
Turnover foul,11,8.0,1,4,CAN,4.0,GRAHAM K,11 - 4,443,CAN,7:23
Turnover foul,11,7.0,1,4,CAN,4.0,MUSLIM P,11 - 4,430,CRO,7:10
Action shot - Missed,11,4.0,1,4,CAN,4.0,CONSTANTIN-BICARI,11 - 4,425,CAN,7:05
Turnover foul,11,7.0,1,4,CAN,4.0,MUSLIM P,11 - 4,408,CRO,6:48
Steal,11,1.0,1,4,CAN,4.0,RANDALL R,11 - 4,408,CAN,6:48
20 sec. exclusion in centre,11,4.0,1,4,CAN,4.0,LONCAR L,11 - 4,391,CRO,6:31
Action shot - Saved,11,8.0,1,4,CAN,4.0,GRAHAM K,11 - 4,367,CAN,6:07
Action shot - Saved,11,7.0,1,4,CAN,4.0,MUSLIM P,11 - 4,350,CRO,5:50
Turnover foul,11,8.0,1,4,CAN,4.0,BUSLJE A,11 - 4,335,CRO,5:35
Steal,11,8.0,1,4,CAN,4.0,GRAHAM K,11 - 4,335,CAN,5:35
20 sec. exclusion in centre,11,11.0,1,4,CAN,4.0,TORAKIS G,11 - 4,321,CAN,5:21
Action shot - Goal,11,4.0,1,5,CAN,4.0,CONSTANTIN-BICARI,11 - 5,290,CAN,4:50
Turnover foul,11,4.0,1,5,CAN,4.0,LONCAR L,11 - 5,270,CRO,4:30
5m shot - Goal,11,2.0,1,6,CAN,4.0,KUDABA C,11 - 6,245,CAN,4:05
Action shot - Goal,12,12.0,1,6,CAN,4.0,OBRADOVIC P,12 - 6,230,CRO,3:50
5m shot - Blocked,12,2.0,1,6,CAN,4.0,KUDABA C,12 - 6,202,CAN,3:22
Turnover foul,12,5.0,1,6,CAN,4.0,BOYD J,12 - 6,178,CAN,2:58
Steal,12,9.0,1,6,CAN,4.0,SUKNO S,12 - 6,178,CRO,2:58
Turnover foul,12,3.0,1,6,CAN,4.0,PETKOVIC A,12 - 6,153,CRO,2:33
Steal,12,8.0,1,6,CAN,4.0,GRAHAM K,12 - 6,153,CAN,2:33
Counter attack - Goal,12,10.0,1,7,CAN,4.0,CONWAY J,12 - 7,146,CAN,2:26
Centre shot - Saved,12,7.0,1,7,CAN,4.0,MUSLIM P,12 - 7,129,CRO,2:09
5m shot - Saved,12,5.0,1,7,CAN,4.0,BOYD J,12 - 7,108,CAN,1:48
Time-Out,12,,1,7,CAN,4.0,,12 - 7,107,CRO,1:47
Turnover foul,12,2.0,1,7,CAN,4.0,BURIC D,12 - 7,78,CRO,1:18
Steal,12,1.0,1,7,CAN,4.0,RANDALL R,12 - 7,78,CAN,1:18
5m shot - Saved,12,5.0,1,7,CAN,4.0,BOYD J,12 - 7,55,CAN,0:55
Turnover foul,12,9.0,1,7,CAN,4.0,SUKNO S,12 - 7,28,CRO,0:28
Time-Out,12,,1,7,CAN,4.0,,12 - 7,28,CAN,0:28
Turnover foul,12,2.0,1,7,CAN,4.0,KUDABA C,12 - 7,2,CAN,0:02
Starting goalkeeper,0,1.0,2,0,BRA,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,1.0,2,0,BRA,1.0,ANTONELLI V,0 - 0,480,BRA,8:00
Sprint won possession,0,5.0,2,0,BRA,1.0,JOKOVIC M,0 - 0,480,CRO,8:00
Turnover foul,0,4.0,2,0,BRA,1.0,LONCAR L,0 - 0,456,CRO,7:36
Action shot - Saved,0,10.0,2,0,BRA,1.0,PERRONE F,0 - 0,441,BRA,7:21
Action shot - Goal,1,2.0,2,0,BRA,1.0,BURIC D,1 - 0,412,CRO,6:52
Action shot - Goal,2,4.0,2,0,BRA,1.0,LONCAR L,2 - 0,365,CRO,6:05
Action shot - Post,2,7.0,2,0,BRA,1.0,MUSLIM P,2 - 0,363,CRO,6:03
Penalty foul,2,2.0,2,0,BRA,1.0,BURIC D,2 - 0,346,CRO,5:46
Penalty shot - Goal,2,6.0,2,1,BRA,1.0,GOMES B,2 - 1,346,BRA,5:46
Turnover foul,2,9.0,2,1,BRA,1.0,SUKNO S,2 - 1,329,CRO,5:29
Steal,2,1.0,2,1,BRA,1.0,ANTONELLI V,2 - 1,329,BRA,5:29
Action shot - Blocked,2,8.0,2,1,BRA,1.0,SILVA F,2 - 1,317,BRA,5:17
Turnover foul,2,12.0,2,1,BRA,1.0,OBRADOVIC P,2 - 1,292,CRO,4:52
Steal,2,1.0,2,1,BRA,1.0,ANTONELLI V,2 - 1,292,BRA,4:52
Action shot - Saved,2,7.0,2,1,BRA,1.0,DELGADO A,2 - 1,276,BRA,4:36
20 sec. exclusion in centre,2,8.0,2,1,BRA,1.0,SILVA F,2 - 1,264,BRA,4:24
Extra player shot - Missed,2,4.0,2,1,BRA,1.0,LONCAR L,2 - 1,248,CRO,4:08
Turnover foul,2,10.0,2,1,BRA,1.0,PERRONE F,2 - 1,227,BRA,3:47
20 sec. exclusion in centre,2,2.0,2,1,BRA,1.0,CRIVELLA J,2 - 1,212,BRA,3:32
Time-Out,2,,2,1,BRA,1.0,,2 - 1,212,CRO,3:32
Turnover foul,2,6.0,2,1,BRA,1.0,BUKIC L,2 - 1,190,CRO,3:10
Steal,2,5.0,2,1,BRA,1.0,SALEMI P,2 - 1,190,BRA,3:10
Action shot - Goal,2,10.0,2,2,BRA,1.0,PERRONE F,2 - 2,172,BRA,2:52
Turnover foul,2,3.0,2,2,BRA,1.0,PETKOVIC A,2 - 2,141,CRO,2:21
5m shot - Saved,2,6.0,2,2,BRA,1.0,GOMES B,2 - 2,117,BRA,1:57
Action shot - Goal,3,10.0,2,2,BRA,1.0,PASKVALIN F,3 - 2,94,CRO,1:34
Turnover foul,3,5.0,2,2,BRA,1.0,SALEMI P,3 - 2,74,BRA,1:14
Action shot - Saved,3,10.0,2,2,BRA,1.0,PASKVALIN F,3 - 2,56,CRO,0:56
Action shot - Saved,3,11.0,2,2,BRA,1.0,GUIMARAES G,3 - 2,31,BRA,0:31
20 sec. exclusion in centre,3,10.0,2,2,BRA,1.0,PERRONE F,3 - 2,12,BRA,0:12
Extra player shot - Goal,4,9.0,2,2,BRA,1.0,SUKNO S,4 - 2,7,CRO,0:07
Time-Out,4,,2,2,BRA,1.0,,4 - 2,7,BRA,0:07
Action shot - Missed,4,6.0,2,2,BRA,1.0,GOMES B,4 - 2,0,BRA,0:00
Starting goalkeeper,4,1.0,2,2,BRA,2.0,PAVIC J,4 - 2,480,CRO,8:00
Starting goalkeeper,4,1.0,2,2,BRA,2.0,ANTONELLI V,4 - 2,480,BRA,8:00
Sprint won possession,4,6.0,2,2,BRA,2.0,BUKIC L,4 - 2,480,CRO,8:00
Action shot - Saved,4,7.0,2,2,BRA,2.0,MUSLIM P,4 - 2,451,CRO,7:31
Action shot - Saved,4,7.0,2,2,BRA,2.0,MUSLIM P,4 - 2,435,CRO,7:15
Turnover foul,4,8.0,2,2,BRA,2.0,BUSLJE A,4 - 2,417,CRO,6:57
5m shot - Blocked,4,6.0,2,2,BRA,2.0,GOMES B,4 - 2,388,BRA,6:28
20 sec. exclusion in centre,4,5.0,2,2,BRA,2.0,SALEMI P,4 - 2,376,BRA,6:16
Yellow card,4,,2,2,BRA,2.0,Team Official,4 - 2,372,BRA,6:12
Extra player shot - Goal,5,12.0,2,2,BRA,2.0,OBRADOVIC P,5 - 2,359,CRO,5:59
20 sec. exclusion in centre,5,4.0,2,2,BRA,2.0,LONCAR L,5 - 2,336,CRO,5:36
Action shot - Goal,5,10.0,2,3,BRA,2.0,PERRONE F,5 - 3,312,BRA,5:12
Action shot - Saved,5,7.0,2,3,BRA,2.0,MUSLIM P,5 - 3,292,CRO,4:52
20 sec. exclusion in centre,5,11.0,2,3,BRA,2.0,SETKA A,5 - 3,272,CRO,4:32
Action shot - Blocked,5,10.0,2,3,BRA,2.0,PERRONE F,5 - 3,248,BRA,4:08
20 sec. exclusion in centre,5,6.0,2,3,BRA,2.0,GOMES B,5 - 3,230,BRA,3:50
Extra player shot - Goal,6,9.0,2,3,BRA,2.0,SUKNO S,6 - 3,223,CRO,3:43
Centre shot - Missed,6,12.0,2,3,BRA,2.0,VRLIC J,6 - 3,192,BRA,3:12
Double exclusion,6,12.0,2,3,BRA,2.0,OBRADOVIC P,6 - 3,192,CRO,3:12
Double exclusion,6,12.0,2,3,BRA,2.0,VRLIC J,6 - 3,190,BRA,3:10
20 sec. exclusion in centre,6,9.0,2,3,BRA,2.0,ROCHA B,6 - 3,187,BRA,3:07
Extra player shot - Goal,7,9.0,2,3,BRA,2.0,SUKNO S,7 - 3,174,CRO,2:54
Action shot - Missed,7,5.0,2,3,BRA,2.0,SALEMI P,7 - 3,140,BRA,2:20
Action shot - Post,7,5.0,2,3,BRA,2.0,JOKOVIC M,7 - 3,134,CRO,2:14
Counter attack - Goal,7,2.0,2,4,BRA,2.0,CRIVELLA J,7 - 4,126,BRA,2:06
Turnover foul,7,7.0,2,4,BRA,2.0,MUSLIM P,7 - 4,113,CRO,1:53
Action shot - Saved,7,10.0,2,4,BRA,2.0,PERRONE F,7 - 4,90,BRA,1:30
Time-Out,7,,2,4,BRA,2.0,,7 - 4,87,CRO,1:27
20 sec. exclusion in field,7,4.0,2,4,BRA,2.0,GONZALEZ I,7 - 4,80,BRA,1:20
Extra player shot - Goal,8,6.0,2,4,BRA,2.0,BUKIC L,8 - 4,58,CRO,0:58
20 sec. exclusion in centre,8,8.0,2,4,BRA,4.0,SILVA F,8 - 4,112,BRA,1:52
Exclusion with substitution,8,8.0,2,4,BRA,4.0,SILVA F,8 - 4,112,BRA,1:52
Extra player shot - Saved,8,3.0,2,4,BRA,4.0,PETKOVIC A,8 - 4,94,CRO,1:34
Action shot - Saved,8,4.0,2,4,BRA,4.0,LONCAR L,8 - 4,78,CRO,1:18
Action shot - Saved,8,3.0,2,4,BRA,4.0,GOMES G,8 - 4,58,BRA,0:58
Turnover foul,8,3.0,2,4,BRA,2.0,PETKOVIC A,8 - 4,6,CRO,0:06
Time-Out,8,,2,4,BRA,2.0,,8 - 4,6,BRA,0:06
Starting goalkeeper,8,1.0,2,4,BRA,3.0,PAVIC J,8 - 4,480,CRO,8:00
Starting goalkeeper,8,1.0,2,4,BRA,3.0,ANTONELLI V,8 - 4,480,BRA,8:00
Sprint won possession,8,11.0,2,4,BRA,3.0,SETKA A,8 - 4,480,CRO,8:00
Turnover foul,8,9.0,2,4,BRA,3.0,SUKNO S,8 - 4,453,CRO,7:33
Steal,8,8.0,2,4,BRA,3.0,SILVA F,8 - 4,453,BRA,7:33
Turnover foul,8,10.0,2,4,BRA,3.0,PERRONE F,8 - 4,426,BRA,7:06
Turnover foul,8,2.0,2,4,BRA,3.0,BURIC D,8 - 4,405,CRO,6:45
Steal,8,1.0,2,4,BRA,3.0,ANTONELLI V,8 - 4,405,BRA,6:45
Turnover foul,8,10.0,2,4,BRA,3.0,PERRONE F,8 - 4,375,BRA,6:15
Steal,8,6.0,2,4,BRA,3.0,BUKIC L,8 - 4,375,CRO,6:15
Turnover foul,8,9.0,2,4,BRA,3.0,SUKNO S,8 - 4,365,CRO,6:05
Steal,8,7.0,2,4,BRA,3.0,DELGADO A,8 - 4,365,BRA,6:05
Turnover foul,8,1.0,2,4,BRA,3.0,ANTONELLI V,8 - 4,347,BRA,5:47
Turnover foul,8,11.0,2,4,BRA,3.0,SETKA A,8 - 4,340,CRO,5:40
Steal,8,6.0,2,4,BRA,3.0,GOMES B,8 - 4,340,BRA,5:40
Turnover foul,8,10.0,2,4,BRA,3.0,PERRONE F,8 - 4,309,BRA,5:09
Steal,8,5.0,2,4,BRA,3.0,JOKOVIC M,8 - 4,309,CRO,5:09
20 sec. exclusion in centre,8,8.0,2,4,BRA,3.0,SILVA F,8 - 4,294,BRA,4:54
5m shot - Missed,8,11.0,2,4,BRA,3.0,SETKA A,8 - 4,273,CRO,4:33
20 sec. exclusion in centre,8,11.0,2,4,BRA,3.0,SETKA A,8 - 4,253,CRO,4:13
Extra player shot - Goal,8,2.0,2,5,BRA,3.0,CRIVELLA J,8 - 5,233,BRA,3:53
Turnover foul,8,3.0,2,5,BRA,3.0,PETKOVIC A,8 - 5,214,CRO,3:34
5m shot - Blocked,8,11.0,2,5,BRA,3.0,GUIMARAES G,8 - 5,204,BRA,3:24
Turnover foul,8,7.0,2,5,BRA,3.0,MUSLIM P,8 - 5,191,CRO,3:11
20 sec. exclusion in centre,8,2.0,2,5,BRA,3.0,BURIC D,8 - 5,173,CRO,2:53
Extra player shot - Goal,8,4.0,2,6,BRA,3.0,GONZALEZ I,8 - 6,164,BRA,2:44
Time-Out,8,,2,6,BRA,3.0,,8 - 6,145,CRO,2:25
Turnover foul,8,5.0,2,6,BRA,3.0,JOKOVIC M,8 - 6,129,CRO,2:09
Steal,8,5.0,2,6,BRA,3.0,SALEMI P,8 - 6,129,BRA,2:09
Turnover foul,8,9.0,2,6,BRA,3.0,ROCHA B,8 - 6,111,BRA,1:51
Steal,8,9.0,2,6,BRA,3.0,SUKNO S,8 - 6,111,CRO,1:51
20 sec. exclusion in centre,8,9.0,2,6,BRA,3.0,ROCHA B,8 - 6,97,BRA,1:37
Extra player shot - Goal,9,8.0,2,6,BRA,3.0,BUSLJE A,9 - 6,78,CRO,1:18
20 sec. exclusion in centre,9,8.0,2,6,BRA,3.0,BUSLJE A,9 - 6,61,CRO,1:01
Time-Out,9,,2,6,BRA,3.0,,9 - 6,61,BRA,1:01
Turnover foul,9,12.0,2,6,BRA,3.0,VRLIC J,9 - 6,43,BRA,0:43
Turnover foul,9,12.0,2,6,BRA,3.0,VRLIC J,9 - 6,28,BRA,0:28
Turnover foul,9,9.0,2,6,BRA,3.0,SUKNO S,9 - 6,13,CRO,0:13
Starting goalkeeper,9,1.0,2,6,BRA,4.0,PAVIC J,9 - 6,480,CRO,8:00
Starting goalkeeper,9,1.0,2,6,BRA,4.0,ANTONELLI V,9 - 6,480,BRA,8:00
Sprint won possession,9,9.0,2,6,BRA,4.0,SUKNO S,9 - 6,480,CRO,8:00
Turnover foul,9,12.0,2,6,BRA,4.0,OBRADOVIC P,9 - 6,453,CRO,7:33
Turnover foul,9,10.0,2,6,BRA,4.0,PERRONE F,9 - 6,427,BRA,7:07
Steal,9,9.0,2,6,BRA,4.0,SUKNO S,9 - 6,427,CRO,7:07
20 sec. exclusion in centre,9,9.0,2,6,BRA,4.0,ROCHA B,9 - 6,421,BRA,7:01
Exclusion with substitution,9,9.0,2,6,BRA,4.0,ROCHA B,9 - 6,421,BRA,7:01
Extra player shot - Saved,9,9.0,2,6,BRA,4.0,SUKNO S,9 - 6,404,CRO,6:44
5m shot - Saved,9,3.0,2,6,BRA,4.0,GOMES G,9 - 6,375,BRA,6:15
Action shot - Goal,9,12.0,2,7,BRA,4.0,VRLIC J,9 - 7,358,BRA,5:58
Goalkeeper substitution,9,1.0,2,7,BRA,4.0,ANTONELLI V,9 - 7,321,BRA,5:21
Action shot - Saved,9,10.0,2,7,BRA,4.0,PERRONE F,9 - 7,317,BRA,5:17
Turnover foul,9,7.0,2,7,BRA,4.0,DELGADO A,9 - 7,288,BRA,4:48
5m shot - Saved,9,12.0,2,7,BRA,4.0,OBRADOVIC P,9 - 7,268,CRO,4:28
20 sec. exclusion in centre,9,5.0,2,7,BRA,4.0,JOKOVIC M,9 - 7,248,CRO,4:08
Extra player shot - Missed,9,4.0,2,7,BRA,4.0,GONZALEZ I,9 - 7,223,BRA,3:43
20 sec. exclusion in centre,9,3.0,2,7,BRA,4.0,GOMES G,9 - 7,208,BRA,3:28
Time-Out,9,,2,7,BRA,4.0,,9 - 7,208,CRO,3:28
Extra player shot - Goal,10,12.0,2,7,BRA,4.0,OBRADOVIC P,10 - 7,193,CRO,3:13
20 sec. exclusion in centre,10,11.0,2,7,BRA,4.0,SETKA A,10 - 7,177,CRO,2:57
Exclusion with substitution,10,11.0,2,7,BRA,4.0,SETKA A,10 - 7,177,CRO,2:57
Action shot - Goal,10,7.0,2,8,BRA,4.0,DELGADO A,10 - 8,153,BRA,2:33
Action shot - Goal,10,12.0,2,9,BRA,4.0,VRLIC J,10 - 9,125,BRA,2:05
5m shot - Saved,10,2.0,2,9,BRA,4.0,BURIC D,10 - 9,31,CRO,0:31
20 sec. exclusion in centre,10,4.0,2,9,BRA,4.0,LONCAR L,10 - 9,11,CRO,0:11
Time-Out,10,,2,9,BRA,4.0,,10 - 9,11,BRA,0:11
Action shot - Saved,10,2.0,2,9,BRA,4.0,CRIVELLA J,10 - 9,2,BRA,0:02
Starting goalkeeper,0,1.0,3,0,CHN,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,1.0,3,0,CHN,1.0,WU H,0 - 0,480,CHN,8:00
Sprint won possession,0,5.0,3,0,CHN,1.0,JOKOVIC M,0 - 0,480,CRO,8:00
Centre shot - Goal,1,4.0,3,0,CHN,1.0,LONCAR L,1 - 0,455,CRO,7:35
Action shot - Saved,1,10.0,3,0,CHN,1.0,CHEN J,1 - 0,432,CHN,7:12
5m shot - Saved,1,5.0,3,0,CHN,1.0,JOKOVIC M,1 - 0,402,CRO,6:42
Action shot - Saved,1,2.0,3,0,CHN,1.0,TAN F,1 - 0,373,CHN,6:13
20 sec. exclusion in centre,1,1.0,3,0,CHN,1.0,WU H,1 - 0,371,CHN,6:11
Extra player shot - Goal,2,2.0,3,0,CHN,1.0,BURIC D,2 - 0,369,CRO,6:09
Turnover foul,2,5.0,3,0,CHN,1.0,LU W,2 - 0,340,CHN,5:40
20 sec. exclusion in centre,2,5.0,3,0,CHN,1.0,LU W,2 - 0,320,CHN,5:20
Action shot - Goal,3,7.0,3,0,CHN,1.0,MUSLIM P,3 - 0,297,CRO,4:57
Centre shot - Goal,3,11.0,3,1,CHN,1.0,ZHANG C,3 - 1,279,CHN,4:39
Turnover foul,3,12.0,3,1,CHN,1.0,OBRADOVIC P,3 - 1,264,CRO,4:24
Turnover foul,3,3.0,3,1,CHN,1.0,HU Z,3 - 1,242,CHN,4:02
Steal,3,9.0,3,1,CHN,1.0,SUKNO S,3 - 1,242,CRO,4:02
Counter attack - Goal,4,9.0,3,1,CHN,1.0,SUKNO S,4 - 1,234,CRO,3:54
