Action,CRO,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,10,3.0,1,4,CAN,2.0,VIKALO O,10 - 4,6,CAN,0:06,Post,0
Action shot,10,12.0,1,4,CAN,3.0,OBRADOVIC P,10 - 4,432,CRO,7:12,Post,0
5m shot,10,8.0,1,4,CAN,3.0,GRAHAM K,10 - 4,403,CAN,6:43,Saved,0
Centre shot,10,4.0,1,4,CAN,3.0,CONSTANTIN-BICARI,10 - 4,375,CAN,6:15,Saved,0
Centre shot,10,11.0,1,4,CAN,3.0,SETKA A,10 - 4,302,CRO,5:02,Saved,0
Action shot,11,7.0,1,4,CAN,3.0,MUSLIM P,11 - 4,264,CRO,4:24,Goal,1
Centre shot,11,11.0,1,4,CAN,3.0,SETKA A,11 - 4,227,CRO,3:47,Post,0
Extra player shot,11,5.0,1,4,CAN,3.0,BOYD J,11 - 4,192,CAN,3:12,Saved,0
Centre shot,11,3.0,1,4,CAN,3.0,VIKALO O,11 - 4,165,CAN,2:45,Saved,0
Extra player shot,11,6.0,1,4,CAN,3.0,BUKIC L,11 - 4,142,CRO,2:22,Saved,0
5m shot,11,5.0,1,4,CAN,3.0,BOYD J,11 - 4,103,CAN,1:43,Missed,0
5m shot,11,5.0,1,4,CAN,3.0,JOKOVIC M,11 - 4,69,CRO,1:09,Saved,0
5m shot,11,5.0,1,4,CAN,3.0,BOYD J,11 - 4,42,CAN,0:42,Saved,0
Action shot,11,8.0,1,4,CAN,3.0,BUSLJE A,11 - 4,16,CRO,0:16,Blocked,0
5m shot,11,6.0,1,4,CAN,3.0,BUKIC L,11 - 4,0,CRO,0:00,Saved,0
Action shot,11,4.0,1,4,CAN,4.0,CONSTANTIN-BICARI,11 - 4,425,CAN,7:05,Missed,0
Action shot,11,8.0,1,4,CAN,4.0,GRAHAM K,11 - 4,367,CAN,6:07,Saved,0
Action shot,11,7.0,1,4,CAN,4.0,MUSLIM P,11 - 4,350,CRO,5:50,Saved,0
Action shot,11,4.0,1,5,CAN,4.0,CONSTANTIN-BICARI,11 - 5,290,CAN,4:50,Goal,1
5m shot,11,2.0,1,6,CAN,4.0,KUDABA C,11 - 6,245,CAN,4:05,Goal,1
Action shot,12,12.0,1,6,CAN,4.0,OBRADOVIC P,12 - 6,230,CRO,3:50,Goal,1
5m shot,12,2.0,1,6,CAN,4.0,KUDABA C,12 - 6,202,CAN,3:22,Blocked,0
Counter attack,12,10.0,1,7,CAN,4.0,CONWAY J,12 - 7,146,CAN,2:26,Goal,1
Centre shot,12,7.0,1,7,CAN,4.0,MUSLIM P,12 - 7,129,CRO,2:09,Saved,0
5m shot,12,5.0,1,7,CAN,4.0,BOYD J,12 - 7,108,CAN,1:48,Saved,0
5m shot,12,5.0,1,7,CAN,4.0,BOYD J,12 - 7,55,CAN,0:55,Saved,0
Action shot,0,10.0,2,0,BRA,1.0,PERRONE F,0 - 0,441,BRA,7:21,Saved,0
Action shot,1,2.0,2,0,BRA,1.0,BURIC D,1 - 0,412,CRO,6:52,Goal,1
Action shot,2,4.0,2,0,BRA,1.0,LONCAR L,2 - 0,365,CRO,6:05,Goal,1
Action shot,2,7.0,2,0,BRA,1.0,MUSLIM P,2 - 0,363,CRO,6:03,Post,0
Penalty shot,2,6.0,2,1,BRA,1.0,GOMES B,2 - 1,346,BRA,5:46,Goal,1
Action shot,2,8.0,2,1,BRA,1.0,SILVA F,2 - 1,317,BRA,5:17,Blocked,0
Action shot,2,7.0,2,1,BRA,1.0,DELGADO A,2 - 1,276,BRA,4:36,Saved,0
Extra player shot,2,4.0,2,1,BRA,1.0,LONCAR L,2 - 1,248,CRO,4:08,Missed,0
Action shot,2,10.0,2,2,BRA,1.0,PERRONE F,2 - 2,172,BRA,2:52,Goal,1
5m shot,2,6.0,2,2,BRA,1.0,GOMES B,2 - 2,117,BRA,1:57,Saved,0
Action shot,3,10.0,2,2,BRA,1.0,PASKVALIN F,3 - 2,94,CRO,1:34,Goal,1
Action shot,3,10.0,2,2,BRA,1.0,PASKVALIN F,3 - 2,56,CRO,0:56,Saved,0
Action shot,3,11.0,2,2,BRA,1.0,GUIMARAES G,3 - 2,31,BRA,0:31,Saved,0
Extra player shot,4,9.0,2,2,BRA,1.0,SUKNO S,4 - 2,7,CRO,0:07,Goal,1
Action shot,4,6.0,2,2,BRA,1.0,GOMES B,4 - 2,0,BRA,0:00,Missed,0
Action shot,4,7.0,2,2,BRA,2.0,MUSLIM P,4 - 2,451,CRO,7:31,Saved,0
Action shot,4,7.0,2,2,BRA,2.0,MUSLIM P,4 - 2,435,CRO,7:15,Saved,0
5m shot,4,6.0,2,2,BRA,2.0,GOMES B,4 - 2,388,BRA,6:28,Blocked,0
Extra player shot,5,12.0,2,2,BRA,2.0,OBRADOVIC P,5 - 2,359,CRO,5:59,Goal,1
Action shot,5,10.0,2,3,BRA,2.0,PERRONE F,5 - 3,312,BRA,5:12,Goal,1
Action shot,5,7.0,2,3,BRA,2.0,MUSLIM P,5 - 3,292,CRO,4:52,Saved,0
Action shot,5,10.0,2,3,BRA,2.0,PERRONE F,5 - 3,248,BRA,4:08,Blocked,0
Extra player shot,6,9.0,2,3,BRA,2.0,SUKNO S,6 - 3,223,CRO,3:43,Goal,1
Centre shot,6,12.0,2,3,BRA,2.0,VRLIC J,6 - 3,192,BRA,3:12,Missed,0
Extra player shot,7,9.0,2,3,BRA,2.0,SUKNO S,7 - 3,174,CRO,2:54,Goal,1
Action shot,7,5.0,2,3,BRA,2.0,SALEMI P,7 - 3,140,BRA,2:20,Missed,0
Action shot,7,5.0,2,3,BRA,2.0,JOKOVIC M,7 - 3,134,CRO,2:14,Post,0
Counter attack,7,2.0,2,4,BRA,2.0,CRIVELLA J,7 - 4,126,BRA,2:06,Goal,1
Action shot,7,10.0,2,4,BRA,2.0,PERRONE F,7 - 4,90,BRA,1:30,Saved,0
Extra player shot,8,6.0,2,4,BRA,2.0,BUKIC L,8 - 4,58,CRO,0:58,Goal,1
Extra player shot,8,3.0,2,4,BRA,4.0,PETKOVIC A,8 - 4,94,CRO,1:34,Saved,0
Action shot,8,4.0,2,4,BRA,4.0,LONCAR L,8 - 4,78,CRO,1:18,Saved,0
Action shot,8,3.0,2,4,BRA,4.0,GOMES G,8 - 4,58,BRA,0:58,Saved,0
5m shot,8,11.0,2,4,BRA,3.0,SETKA A,8 - 4,273,CRO,4:33,Missed,0
Extra player shot,8,2.0,2,5,BRA,3.0,CRIVELLA J,8 - 5,233,BRA,3:53,Goal,1
5m shot,8,11.0,2,5,BRA,3.0,GUIMARAES G,8 - 5,204,BRA,3:24,Blocked,0
Extra player shot,8,4.0,2,6,BRA,3.0,GONZALEZ I,8 - 6,164,BRA,2:44,Goal,1
Extra player shot,9,8.0,2,6,BRA,3.0,BUSLJE A,9 - 6,78,CRO,1:18,Goal,1
Extra player shot,9,9.0,2,6,BRA,4.0,SUKNO S,9 - 6,404,CRO,6:44,Saved,0
5m shot,9,3.0,2,6,BRA,4.0,GOMES G,9 - 6,375,BRA,6:15,Saved,0
Action shot,9,12.0,2,7,BRA,4.0,VRLIC J,9 - 7,358,BRA,5:58,Goal,1
Action shot,9,10.0,2,7,BRA,4.0,PERRONE F,9 - 7,317,BRA,5:17,Saved,0
5m shot,9,12.0,2,7,BRA,4.0,OBRADOVIC P,9 - 7,268,CRO,4:28,Saved,0
Extra player shot,9,4.0,2,7,BRA,4.0,GONZALEZ I,9 - 7,223,BRA,3:43,Missed,0
Extra player shot,10,12.0,2,7,BRA,4.0,OBRADOVIC P,10 - 7,193,CRO,3:13,Goal,1
Action shot,10,7.0,2,8,BRA,4.0,DELGADO A,10 - 8,153,BRA,2:33,Goal,1
Action shot,10,12.0,2,9,BRA,4.0,VRLIC J,10 - 9,125,BRA,2:05,Goal,1
5m shot,10,2.0,2,9,BRA,4.0,BURIC D,10 - 9,31,CRO,0:31,Saved,0
Action shot,10,2.0,2,9,BRA,4.0,CRIVELLA J,10 - 9,2,BRA,0:02,Saved,0
Centre shot,1,4.0,3,0,CHN,1.0,LONCAR L,1 - 0,455,CRO,7:35,Goal,1
Action shot,1,10.0,3,0,CHN,1.0,CHEN J,1 - 0,432,CHN,7:12,Saved,0
5m shot,1,5.0,3,0,CHN,1.0,JOKOVIC M,1 - 0,402,CRO,6:42,Saved,0
Action shot,1,2.0,3,0,CHN,1.0,TAN F,1 - 0,373,CHN,6:13,Saved,0
Extra player shot,2,2.0,3,0,CHN,1.0,BURIC D,2 - 0,369,CRO,6:09,Goal,1
Action shot,3,7.0,3,0,CHN,1.0,MUSLIM P,3 - 0,297,CRO,4:57,Goal,1
Centre shot,3,11.0,3,1,CHN,1.0,ZHANG C,3 - 1,279,CHN,4:39,Goal,1
Counter attack,4,9.0,3,1,CHN,1.0,SUKNO S,4 - 1,234,CRO,3:54,Goal,1
5m shot,4,3.0,3,1,CHN,1.0,HU Z,4 - 1,210,CHN,3:30,Missed,0
Action shot,4,9.0,3,1,CHN,1.0,SUKNO S,4 - 1,172,CRO,2:52,Post,0
Action shot,4,11.0,3,1,CHN,1.0,ZHANG C,4 - 1,129,CHN,2:09,Saved,0
5m shot,4,3.0,3,1,CHN,1.0,PETKOVIC A,4 - 1,101,CRO,1:41,Saved,0
Penalty shot,4,11.0,3,1,CHN,1.0,ZHANG C,4 - 1,74,CHN,1:14,Saved,0
5m shot,4,12.0,3,1,CHN,1.0,OBRADOVIC P,4 - 1,2,CRO,0:02,Post,0
Action shot,4,4.0,3,1,CHN,2.0,LONCAR L,4 - 1,463,CRO,7:43,Missed,0
Centre shot,4,4.0,3,1,CHN,2.0,LONCAR L,4 - 1,370,CRO,6:10,Saved,0
Counter attack,4,8.0,3,1,CHN,2.0,BUSLJE A,4 - 1,286,CRO,4:46,Post,0
Counter attack,4,5.0,3,1,CHN,2.0,JOKOVIC M,4 - 1,266,CRO,4:26,Saved,0
Action shot,4,11.0,3,1,CHN,2.0,ZHANG C,4 - 1,249,CHN,4:09,Missed,0
Counter attack,5,5.0,3,1,CHN,2.0,JOKOVIC M,5 - 1,241,CRO,4:01,Goal,1
Action shot,5,8.0,3,1,CHN,2.0,LI L,5 - 1,219,CHN,3:39,Saved,0
Action shot,6,3.0,3,1,CHN,2.0,PETKOVIC A,6 - 1,193,CRO,3:13,Goal,1
Extra player shot,7,2.0,3,1,CHN,2.0,BURIC D,7 - 1,140,CRO,2:20,Goal,1
Action shot,7,11.0,3,1,CHN,2.0,ZHANG C,7 - 1,91,CHN,1:31,Saved,0
Counter attack,8,3.0,3,1,CHN,2.0,PETKOVIC A,8 - 1,77,CRO,1:17,Goal,1
Action shot,8,9.0,3,1,CHN,4.0,SUKNO S,8 - 1,121,CRO,2:01,Post,0
Action shot,8,10.0,3,1,CHN,4.0,CHEN J,8 - 1,94,CHN,1:34,Post,0
Counter attack,9,12.0,3,1,CHN,2.0,OBRADOVIC P,9 - 1,55,CRO,0:55,Goal,1
5m shot,9,11.0,3,1,CHN,2.0,SETKA A,9 - 1,1,CRO,0:01,Saved,0
Action shot,10,12.0,3,1,CHN,3.0,OBRADOVIC P,10 - 1,399,CRO,6:39,Goal,1
Counter attack,11,12.0,3,1,CHN,3.0,OBRADOVIC P,11 - 1,366,CRO,6:06,Goal,1
Extra player shot,12,7.0,3,1,CHN,3.0,MUSLIM P,12 - 1,305,CRO,5:05,Goal,1
Extra player shot,12,3.0,3,1,CHN,3.0,HU Z,12 - 1,265,CHN,4:25,Post,0
Action shot,13,7.0,3,1,CHN,3.0,MUSLIM P,13 - 1,191,CRO,3:11,Goal,1
5m shot,13,11.0,3,1,CHN,3.0,ZHANG C,13 - 1,170,CHN,2:50,Saved,0
Centre shot,14,4.0,3,1,CHN,3.0,LONCAR L,14 - 1,149,CRO,2:29,Goal,1
Action shot,15,5.0,3,1,CHN,3.0,JOKOVIC M,15 - 1,100,CRO,1:40,Goal,1
5m shot,16,9.0,3,1,CHN,3.0,SUKNO S,16 - 1,60,CRO,1:00,Goal,1
Action shot,16,12.0,3,1,CHN,3.0,LIANG N,16 - 1,33,CHN,0:33,Missed,0
5m shot,16,9.0,3,1,CHN,3.0,SUKNO S,16 - 1,16,CRO,0:16,Missed,0
Extra player shot,16,6.0,3,1,CHN,3.0,LI L,16 - 1,1,CHN,0:01,Missed,0
Action shot,16,5.0,3,1,CHN,4.0,LU W,16 - 1,432,CHN,7:12,Saved,0
5m shot,16,9.0,3,1,CHN,4.0,SUKNO S,16 - 1,384,CRO,6:24,Saved,0
Action shot,17,5.0,3,1,CHN,4.0,JOKOVIC M,17 - 1,326,CRO,5:26,Goal,1
Extra player shot,17,11.0,3,1,CHN,4.0,ZHANG C,17 - 1,283,CHN,4:43,Missed,0
Extra player shot,17,9.0,3,1,CHN,4.0,SUKNO S,17 - 1,222,CRO,3:42,Missed,0
5m shot,17,3.0,3,1,CHN,4.0,HU Z,17 - 1,191,CHN,3:11,Post,0
5m shot,17,7.0,3,1,CHN,4.0,MUSLIM P,17 - 1,174,CRO,2:54,Saved,0
5m shot,17,9.0,3,1,CHN,4.0,SUKNO S,17 - 1,0,CRO,0:00,Missed,0
Action shot,0,3.0,4,0,MNE,1.0,PASKOVIC V,0 - 0,452,MNE,7:32,Blocked,0
Action shot,0,8.0,4,0,MNE,1.0,BUSLJE A,0 - 0,376,CRO,6:16,Blocked,0
Extra player shot,0,7.0,4,0,MNE,1.0,JANOVIC M,0 - 0,344,MNE,5:44,Post,0
Action shot,0,7.0,4,0,MNE,1.0,JANOVIC M,0 - 0,333,MNE,5:33,Saved,0
Action shot,1,3.0,4,0,MNE,1.0,PETKOVIC A,1 - 0,296,CRO,4:56,Goal,1
Action shot,1,9.0,4,0,MNE,1.0,IVOVIC A,1 - 0,272,MNE,4:32,Saved,0
5m shot,1,7.0,4,0,MNE,1.0,JANOVIC M,1 - 0,224,MNE,3:44,Saved,0
Extra player shot,1,11.0,4,0,MNE,1.0,KLIKOVAC F,1 - 0,188,MNE,3:08,Saved,0
Extra player shot,1,9.0,4,0,MNE,1.0,IVOVIC A,1 - 0,185,MNE,3:05,Saved,0
5m shot,1,7.0,4,0,MNE,1.0,MUSLIM P,1 - 0,160,CRO,2:40,Saved,0
5m shot,1,6.0,4,0,MNE,1.0,RADOVIC A,1 - 0,114,MNE,1:54,Missed,0
5m shot,1,9.0,4,0,MNE,1.0,SUKNO S,1 - 0,80,CRO,1:20,Saved,0
5m shot,1,9.0,4,0,MNE,1.0,SUKNO S,1 - 0,60,CRO,1:00,Saved,0
5m shot,1,9.0,4,0,MNE,1.0,SUKNO S,1 - 0,39,CRO,0:39,Blocked,0
Action shot,1,11.0,4,0,MNE,2.0,KLIKOVAC F,1 - 0,455,MNE,7:35,Saved,0
Extra player shot,2,7.0,4,0,MNE,2.0,MUSLIM P,2 - 0,412,CRO,6:52,Goal,1
5m shot,2,9.0,4,0,MNE,2.0,IVOVIC A,2 - 0,382,MNE,6:22,Saved,0
Extra player shot,2,7.0,4,0,MNE,2.0,MUSLIM P,2 - 0,344,CRO,5:44,Post,0
5m shot,2,5.0,4,0,MNE,2.0,JOKOVIC M,2 - 0,286,CRO,4:46,Saved,0
5m shot,2,2.0,4,0,MNE,2.0,BRGULJAN D,2 - 0,204,MNE,3:24,Saved,0
Extra player shot,3,6.0,4,0,MNE,2.0,BUKIC L,3 - 0,163,CRO,2:43,Goal,1
5m shot,3,7.0,4,0,MNE,2.0,JANOVIC M,3 - 0,121,MNE,2:01,Missed,0
Action shot,3,7.0,4,0,MNE,2.0,JANOVIC M,3 - 0,111,MNE,1:51,Saved,0
Action shot,4,10.0,4,0,MNE,2.0,PASKVALIN F,4 - 0,80,CRO,1:20,Goal,1
5m shot,4,6.0,4,0,MNE,2.0,RADOVIC A,4 - 0,10,MNE,0:10,Saved,0
Extra player shot,4,7.0,4,0,MNE,2.0,JANOVIC M,4 - 0,1,MNE,0:01,Saved,0
Action shot,5,7.0,4,0,MNE,3.0,MUSLIM P,5 - 0,459,CRO,7:39,Goal,1
Action shot,5,5.0,4,1,MNE,3.0,BRGULJAN D,5 - 1,441,MNE,7:21,Goal,1
Action shot,5,11.0,4,2,MNE,3.0,KLIKOVAC F,5 - 2,352,MNE,5:52,Goal,1
5m shot,5,12.0,4,2,MNE,3.0,OBRADOVIC P,5 - 2,317,CRO,5:17,Post,0
5m shot,5,12.0,4,2,MNE,3.0,OBRADOVIC P,5 - 2,290,CRO,4:50,Missed,0
Extra player shot,6,6.0,4,2,MNE,3.0,BUKIC L,6 - 2,217,CRO,3:37,Goal,1
5m shot,6,6.0,4,2,MNE,3.0,BUKIC L,6 - 2,191,CRO,3:11,Blocked,0
Action shot,6,10.0,4,2,MNE,3.0,PASKVALIN F,6 - 2,136,CRO,2:16,Missed,0
Action shot,6,9.0,4,2,MNE,3.0,SUKNO S,6 - 2,105,CRO,1:45,Saved,0
Action shot,6,11.0,4,3,MNE,3.0,KLIKOVAC F,6 - 3,59,MNE,0:59,Goal,1
5m shot,7,12.0,4,3,MNE,3.0,OBRADOVIC P,7 - 3,37,CRO,0:37,Goal,1
5m shot,7,9.0,4,3,MNE,3.0,IVOVIC A,7 - 3,0,MNE,0:00,Saved,0
Penalty shot,7,7.0,4,3,MNE,4.0,JANOVIC M,7 - 3,450,MNE,7:30,Saved,0
5m shot,8,7.0,4,3,MNE,4.0,MUSLIM P,8 - 3,420,CRO,7:00,Goal,1
Action shot,8,6.0,4,3,MNE,4.0,RADOVIC A,8 - 3,380,MNE,6:20,Saved,0
Counter attack,9,11.0,4,3,MNE,4.0,SETKA A,9 - 3,361,CRO,6:01,Goal,1
Action shot,9,7.0,4,3,MNE,4.0,JANOVIC M,9 - 3,342,MNE,5:42,Saved,0
5m shot,9,5.0,4,3,MNE,4.0,BRGULJAN D,9 - 3,315,MNE,5:15,Missed,0
5m shot,9,9.0,4,3,MNE,4.0,IVOVIC A,9 - 3,269,MNE,4:29,Post,0
5m shot,9,8.0,4,3,MNE,4.0,UKROPINA A,9 - 3,257,MNE,4:17,Saved,0
Extra player shot,9,12.0,4,3,MNE,4.0,OBRADOVIC P,9 - 3,195,CRO,3:15,Post,0
5m shot,9,12.0,4,3,MNE,4.0,JOKIC P,9 - 3,169,MNE,2:49,Post,0
5m shot,9,2.0,4,3,MNE,4.0,BURIC D,9 - 3,146,CRO,2:26,Saved,0
Action shot,9,11.0,4,4,MNE,4.0,KLIKOVAC F,9 - 4,124,MNE,2:04,Goal,1
5m shot,9,12.0,4,4,MNE,4.0,OBRADOVIC P,9 - 4,95,CRO,1:35,Saved,0
5m shot,9,5.0,4,4,MNE,4.0,BRGULJAN D,9 - 4,67,MNE,1:07,Saved,0
Action shot,10,9.0,4,4,MNE,4.0,SUKNO S,10 - 4,41,CRO,0:41,Goal,1
5m shot,0,12.0,5,0,GRE,1.0,OBRADOVIC P,0 - 0,450,CRO,7:30,Post,0
Centre shot,0,10.0,5,0,GRE,1.0,KOLOMVOS C,0 - 0,399,GRE,6:39,Saved,0
Extra player shot,0,8.0,5,0,GRE,1.0,BUSLJE A,0 - 0,356,CRO,5:56,Post,0
Action shot,0,8.0,5,0,GRE,1.0,DELAKAS E,0 - 0,327,GRE,5:27,Saved,0
Centre shot,1,4.0,5,0,GRE,1.0,LONCAR L,1 - 0,298,CRO,4:58,Goal,1
Action shot,1,5.0,5,0,GRE,1.0,FOUNTOULIS I,1 - 0,268,GRE,4:28,Post,0
Centre shot,1,10.0,5,0,GRE,1.0,PASKVALIN F,1 - 0,241,CRO,4:01,Saved,0
Action shot,1,2.0,5,0,GRE,1.0,MYLONAKIS E,1 - 0,192,GRE,3:12,Saved,0
5m shot,2,9.0,5,0,GRE,1.0,SUKNO S,2 - 0,141,CRO,2:21,Goal,1
Penalty shot,2,5.0,5,1,GRE,1.0,FOUNTOULIS I,2 - 1,117,GRE,1:57,Goal,1
Action shot,2,9.0,5,1,GRE,1.0,SUKNO S,2 - 1,74,CRO,1:14,Saved,0
Action shot,3,6.0,5,1,GRE,1.0,BUKIC L,3 - 1,26,CRO,0:26,Goal,1
Action shot,3,7.0,5,1,GRE,2.0,AFROUDAKIS C,3 - 1,447,GRE,7:27,Saved,0
5m shot,3,4.0,5,1,GRE,2.0,GENIDOUNIAS K,3 - 1,387,GRE,6:27,Blocked,0
Centre shot,4,12.0,5,1,GRE,2.0,OBRADOVIC P,4 - 1,360,CRO,6:00,Goal,1
Action shot,4,12.0,5,1,GRE,2.0,VLACHOPOULOS A,4 - 1,320,GRE,5:20,Blocked,0
5m shot,4,12.0,5,2,GRE,2.0,VLACHOPOULOS A,4 - 2,296,GRE,4:56,Goal,1
Extra player shot,5,7.0,5,2,GRE,2.0,MUSLIM P,5 - 2,255,CRO,4:15,Goal,1
Centre shot,5,9.0,5,3,GRE,2.0,MOURIKIS K,5 - 3,229,GRE,3:49,Goal,1
Action shot,5,12.0,5,3,GRE,2.0,VLACHOPOULOS A,5 - 3,159,GRE,2:39,Saved,0
Action shot,5,5.0,5,3,GRE,2.0,JOKOVIC M,5 - 3,131,CRO,2:11,Saved,0
Extra player shot,5,5.0,5,4,GRE,2.0,FOUNTOULIS I,5 - 4,92,GRE,1:32,Goal,1
Extra player shot,5,9.0,5,4,GRE,2.0,SUKNO S,5 - 4,55,CRO,0:55,Saved,0
5m shot,5,2.0,5,4,GRE,2.0,MYLONAKIS E,5 - 4,30,GRE,0:30,Saved,0
Action shot,5,3.0,5,4,GRE,3.0,PETKOVIC A,5 - 4,450,CRO,7:30,Post,0
5m shot,5,5.0,5,4,GRE,3.0,FOUNTOULIS I,5 - 4,435,GRE,7:15,Saved,0
Action shot,6,4.0,5,4,GRE,3.0,LONCAR L,6 - 4,389,CRO,6:29,Goal,1
Extra player shot,14,5.0,5,13,GRE,3.0,FOUNTOULIS I,14 - 13,355,GRE,5:55,Saved,0
Action shot,14,2.0,5,13,GRE,3.0,MYLONAKIS E,14 - 13,301,GRE,5:01,Saved,0
Extra player shot,14,6.0,5,13,GRE,3.0,BUKIC L,14 - 13,263,CRO,4:23,Saved,0
5m shot,6,12.0,5,5,GRE,3.0,VLACHOPOULOS A,6 - 5,214,GRE,3:34,Goal,1
Extra player shot,7,7.0,5,5,GRE,3.0,MUSLIM P,7 - 5,180,CRO,3:00,Goal,1
Extra player shot,7,7.0,5,6,GRE,3.0,AFROUDAKIS C,7 - 6,153,GRE,2:33,Goal,1
5m shot,7,5.0,5,6,GRE,3.0,FOUNTOULIS I,7 - 6,100,GRE,1:40,Blocked,0
Action shot,7,7.0,5,6,GRE,3.0,AFROUDAKIS C,7 - 6,20,GRE,0:20,Blocked,0
5m shot,8,5.0,5,6,GRE,3.0,JOKOVIC M,8 - 6,5,CRO,0:05,Goal,1
5m shot,8,12.0,5,6,GRE,3.0,VLACHOPOULOS A,8 - 6,1,GRE,0:01,Saved,0
5m shot,8,3.0,5,6,GRE,4.0,PETKOVIC A,8 - 6,453,CRO,7:33,Saved,0
Extra player shot,8,11.0,5,7,GRE,4.0,GOUNAS A,8 - 7,412,GRE,6:52,Goal,1
Extra player shot,9,12.0,5,7,GRE,4.0,OBRADOVIC P,9 - 7,382,CRO,6:22,Goal,1
5m shot,9,12.0,5,7,GRE,4.0,VLACHOPOULOS A,9 - 7,352,GRE,5:52,Post,0
5m shot,9,3.0,5,7,GRE,4.0,DERVISIS G,9 - 7,302,GRE,5:02,Blocked,0
Action shot,9,6.0,5,7,GRE,4.0,BUKIC L,9 - 7,250,CRO,4:10,Blocked,0
5m shot,9,12.0,5,8,GRE,4.0,VLACHOPOULOS A,9 - 8,211,GRE,3:31,Goal,1
Extra player shot,9,7.0,5,8,GRE,4.0,MUSLIM P,9 - 8,169,CRO,2:49,Saved,0
Extra player shot,10,9.0,5,8,GRE,4.0,SUKNO S,10 - 8,130,CRO,2:10,Goal,1
5m shot,10,2.0,5,9,GRE,4.0,MYLONAKIS E,10 - 9,102,GRE,1:42,Goal,1
Extra player shot,10,5.0,5,9,GRE,4.0,JOKOVIC M,10 - 9,59,CRO,0:59,Missed,0
Extra player shot,10,10.0,5,10,GRE,4.0,KOLOMVOS C,10 - 10,27,GRE,0:27,Goal,1
5m shot,0,12.0,6,0,SRB,1.0,OBRADOVIC P,0 - 0,455,CRO,7:35,Blocked,0
5m shot,0,7.0,6,0,SRB,1.0,MUSLIM P,0 - 0,413,CRO,6:53,Saved,0
Action shot,1,12.0,6,0,SRB,1.0,OBRADOVIC P,1 - 0,373,CRO,6:13,Goal,1
5m shot,1,12.0,6,0,SRB,1.0,OBRADOVIC P,1 - 0,321,CRO,5:21,Saved,0
Action shot,1,12.0,6,0,SRB,1.0,MITROVIC S,1 - 0,293,SRB,4:53,Blocked,0
5m shot,1,8.0,6,0,SRB,1.0,ALEKSIC M,1 - 0,239,SRB,3:59,Saved,0
Action shot,1,10.0,6,0,SRB,1.0,FILIPOVIC F,1 - 0,204,SRB,3:24,Saved,0
