Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Exclusion with substitution,12.0,1,6,1,JPN,2.0,SUZUKI K,1 - 6,220,JPN,3:40
Action shot - Goal,2.0,1,7,1,JPN,2.0,TABANI C,1 - 7,202,ITA,3:22
Action shot - Saved,9.0,1,7,1,JPN,2.0,EMMOLO G,1 - 7,156,ITA,2:36
Action shot - Post,8.0,1,7,1,JPN,2.0,HASHIGUCHI M,1 - 7,131,JPN,2:11
Action shot - Saved,4.0,1,7,1,JPN,2.0,QUEIROLO E,1 - 7,113,ITA,1:53
Turnover foul,4.0,1,7,1,JPN,2.0,MAGARIYAMA S,1 - 7,88,JPN,1:28
Steal,4.0,1,7,1,JPN,2.0,QUEIROLO E,1 - 7,88,ITA,1:28
Action shot - Goal,11.0,1,8,1,JPN,2.0,BARZON L,1 - 8,68,ITA,1:08
Action shot - Post,5.0,1,8,1,JPN,2.0,NAKATA M,1 - 8,36,JPN,0:36
Turnover foul,11.0,1,8,1,JPN,2.0,BARZON L,1 - 8,15,ITA,0:15
Steal,1.0,1,8,1,JPN,2.0,MIURA R,1 - 8,15,JPN,0:15
Time-Out,,1,8,1,JPN,2.0,,1 - 8,15,JPN,0:15
5m shot - Saved,2.0,1,8,1,JPN,2.0,SAKANOUE C,1 - 8,1,JPN,0:01
Starting goalkeeper,1.0,1,8,1,JPN,3.0,MIURA R,1 - 8,480,JPN,8:00
Starting goalkeeper,1.0,1,8,1,JPN,3.0,GORLERO G,1 - 8,480,ITA,8:00
Sprint won possession,7.0,1,8,1,JPN,3.0,DI MARIO T,1 - 8,480,ITA,8:00
Action shot - Saved,3.0,1,8,1,JPN,3.0,KAZAMA Y,1 - 8,441,JPN,7:21
Action shot - Post,12.0,1,8,1,JPN,3.0,FRASSINETTI T,1 - 8,416,ITA,6:56
Action shot - Post,2.0,1,8,1,JPN,3.0,SAKANOUE C,1 - 8,400,JPN,6:40
20 sec. exclusion in centre,5.0,1,8,1,JPN,3.0,RADICCHI F,1 - 8,388,ITA,6:28
Extra player shot - Post,10.0,1,8,1,JPN,3.0,MORI T,1 - 8,366,JPN,6:06
5m shot - Goal,7.0,1,9,1,JPN,3.0,DI MARIO T,1 - 9,341,ITA,5:41
Action shot - Post,9.0,1,9,1,JPN,3.0,HOSOYA K,1 - 9,296,JPN,4:56
Action shot - Saved,9.0,1,9,1,JPN,3.0,HOSOYA K,1 - 9,287,JPN,4:47
Action shot - Goal,10.0,1,9,2,JPN,3.0,MORI T,2 - 9,275,JPN,4:35
Turnover foul,2.0,1,9,2,JPN,3.0,SAKANOUE C,2 - 9,252,JPN,4:12
Steal,4.0,1,9,2,JPN,3.0,QUEIROLO E,2 - 9,252,ITA,4:12
Turnover foul,6.0,1,9,2,JPN,3.0,AIELLO R,2 - 9,232,ITA,3:52
Action shot - Goal,2.0,1,9,3,JPN,3.0,SAKANOUE C,3 - 9,221,JPN,3:41
Action shot - Goal,4.0,1,10,3,JPN,3.0,QUEIROLO E,3 - 10,204,ITA,3:24
5m shot - Saved,7.0,1,10,3,JPN,3.0,NAKANO Y,3 - 10,175,JPN,2:55
20 sec. exclusion in centre,5.0,1,10,3,JPN,3.0,NAKATA M,3 - 10,154,JPN,2:34
Time-Out,,1,10,3,JPN,3.0,,3 - 10,154,ITA,2:34
Action shot - Saved,11.0,1,10,3,JPN,3.0,BARZON L,3 - 10,130,ITA,2:10
5m shot - Post,7.0,1,10,3,JPN,3.0,NAKANO Y,3 - 10,102,JPN,1:42
Turnover foul,6.0,1,10,3,JPN,3.0,AIELLO R,3 - 10,65,ITA,1:05
Turnover foul,10.0,1,10,3,JPN,3.0,MORI T,3 - 10,58,JPN,0:58
Steal,1.0,1,10,3,JPN,3.0,GORLERO G,3 - 10,58,ITA,0:58
Turnover foul,11.0,1,10,3,JPN,3.0,BARZON L,3 - 10,41,ITA,0:41
Turnover foul,11.0,1,10,3,JPN,3.0,TOKUMOTO M,3 - 10,20,JPN,0:20
5m shot - Missed,9.0,1,10,3,JPN,3.0,EMMOLO G,3 - 10,1,ITA,0:01
Starting goalkeeper,1.0,1,10,3,JPN,4.0,MIURA R,3 - 10,480,JPN,8:00
Starting goalkeeper,1.0,1,10,3,JPN,4.0,GORLERO G,3 - 10,480,ITA,8:00
Sprint won possession,3.0,1,10,3,JPN,4.0,GARIBOTTI A,3 - 10,480,ITA,8:00
Turnover foul,3.0,1,10,3,JPN,4.0,GARIBOTTI A,3 - 10,464,ITA,7:44
Steal,5.0,1,10,3,JPN,4.0,NAKATA M,3 - 10,464,JPN,7:44
Turnover foul,12.0,1,10,3,JPN,4.0,FRASSINETTI T,3 - 10,445,ITA,7:25
Action shot - Goal,3.0,1,11,3,JPN,4.0,GARIBOTTI A,3 - 11,420,ITA,7:00
Turnover foul,3.0,1,11,3,JPN,4.0,KAZAMA Y,3 - 11,397,JPN,6:37
Steal,1.0,1,11,3,JPN,4.0,GORLERO G,3 - 11,397,ITA,6:37
20 sec. exclusion in centre,7.0,1,11,3,JPN,4.0,DI MARIO T,3 - 11,397,ITA,6:37
Extra player shot - Saved,7.0,1,11,3,JPN,4.0,NAKANO Y,3 - 11,382,JPN,6:22
5m shot - Goal,8.0,1,12,3,JPN,4.0,BIANCONI R,3 - 12,362,ITA,6:02
20 sec. exclusion in centre,5.0,1,12,3,JPN,4.0,RADICCHI F,3 - 12,346,ITA,5:46
Action shot - Saved,10.0,1,12,3,JPN,4.0,MORI T,3 - 12,332,JPN,5:32
Penalty foul,6.0,1,12,3,JPN,4.0,TAKAHASHI A,3 - 12,310,JPN,5:10
Penalty shot - Goal,4.0,1,13,3,JPN,4.0,QUEIROLO E,3 - 13,310,ITA,5:10
5m shot - Saved,8.0,1,13,3,JPN,4.0,HASHIGUCHI M,3 - 13,279,JPN,4:39
Turnover foul,7.0,1,13,3,JPN,4.0,NAKANO Y,3 - 13,271,JPN,4:31
Penalty foul,10.0,1,13,3,JPN,4.0,MORI T,3 - 13,253,JPN,4:13
Penalty shot - Saved,8.0,1,13,3,JPN,4.0,HASHIGUCHI M,3 - 13,252,JPN,4:12
5m shot - Blocked,10.0,1,13,3,JPN,4.0,MORI T,3 - 13,222,JPN,3:42
5m shot - Goal,2.0,1,14,3,JPN,4.0,TABANI C,3 - 14,206,ITA,3:26
Turnover foul,3.0,1,14,3,JPN,4.0,KAZAMA Y,3 - 14,188,JPN,3:08
Action shot - Saved,6.0,1,14,3,JPN,4.0,AIELLO R,3 - 14,163,ITA,2:43
20 sec. exclusion in centre,6.0,1,14,3,JPN,4.0,AIELLO R,3 - 14,150,ITA,2:30
Extra player shot - Saved,4.0,1,14,3,JPN,4.0,MAGARIYAMA S,3 - 14,124,JPN,2:04
Turnover foul,10.0,1,14,3,JPN,4.0,POMERI F,3 - 14,94,ITA,1:34
Turnover foul,10.0,1,14,3,JPN,4.0,MORI T,3 - 14,75,JPN,1:15
Steal,4.0,1,14,3,JPN,4.0,QUEIROLO E,3 - 14,75,ITA,1:15
Action shot - Goal,2.0,1,15,3,JPN,4.0,TABANI C,3 - 15,58,ITA,0:58
Action shot - Saved,5.0,1,15,3,JPN,4.0,NAKATA M,3 - 15,29,JPN,0:29
Action shot - Saved,3.0,1,15,3,JPN,4.0,GARIBOTTI A,3 - 15,1,ITA,0:01
Starting goalkeeper,1.0,2,0,0,USA,1.0,GORLERO G,0 - 0,480,ITA,8:00
Starting goalkeeper,13.0,2,0,0,USA,1.0,JOHNSON A,0 - 0,480,USA,8:00
Sprint won possession,7.0,2,0,0,USA,1.0,DI MARIO T,0 - 0,480,ITA,8:00
5m shot - Blocked,5.0,2,0,0,USA,1.0,RADICCHI F,0 - 0,451,ITA,7:31
5m shot - Missed,7.0,2,0,0,USA,1.0,MATHEWSON C,0 - 0,423,USA,7:03
Penalty foul,13.0,2,0,0,USA,1.0,JOHNSON A,0 - 0,418,USA,6:58
Penalty shot - Goal,8.0,2,1,0,USA,1.0,BIANCONI R,1 - 0,418,ITA,6:58
20 sec. exclusion in centre,7.0,2,1,0,USA,1.0,DI MARIO T,1 - 0,394,ITA,6:34
Extra player shot - Blocked,7.0,2,1,0,USA,1.0,MATHEWSON C,1 - 0,382,USA,6:22
Action shot - Goal,4.0,2,1,1,USA,1.0,FATTAL R,1 - 1,356,USA,5:56
Turnover foul,12.0,2,1,1,USA,1.0,FRASSINETTI T,1 - 1,305,ITA,5:05
Action shot - Saved,5.0,2,1,1,USA,1.0,WILLIAMS A,1 - 1,298,USA,4:58
5m shot - Blocked,3.0,2,1,1,USA,1.0,GARIBOTTI A,1 - 1,281,ITA,4:41
Action shot - Saved,8.0,2,1,1,USA,1.0,BIANCONI R,1 - 1,261,ITA,4:21
Action shot - Goal,4.0,2,1,2,USA,1.0,FATTAL R,1 - 2,257,USA,4:17
Goalkeeper substitution,1.0,2,1,2,USA,1.0,HILL S,1 - 2,257,USA,4:17
Goalkeeper substitution,13.0,2,1,2,USA,1.0,JOHNSON A,1 - 2,251,USA,4:11
20 sec. exclusion in field,11.0,2,1,2,USA,1.0,FISCHER M,1 - 2,230,USA,3:50
Extra player shot - Saved,5.0,2,1,2,USA,1.0,RADICCHI F,1 - 2,218,ITA,3:38
Action shot - Missed,4.0,2,1,2,USA,1.0,QUEIROLO E,1 - 2,169,ITA,2:49
5m shot - Missed,3.0,2,1,2,USA,1.0,SEIDEMANN M,1 - 2,141,USA,2:21
20 sec. exclusion in field,9.0,2,1,2,USA,1.0,GROSSMAN A,1 - 2,129,USA,2:09
Time-Out,,2,1,2,USA,1.0,,1 - 2,129,ITA,2:09
Action shot - Goal,9.0,2,2,2,USA,1.0,EMMOLO G,2 - 2,105,ITA,1:45
Turnover foul,12.0,2,2,2,USA,1.0,FRASSINETTI T,2 - 2,87,ITA,1:27
Action shot - Goal,8.0,2,3,2,USA,1.0,BIANCONI R,3 - 2,76,ITA,1:16
Action shot - Saved,4.0,2,3,2,USA,1.0,FATTAL R,3 - 2,51,USA,0:51
20 sec. exclusion in field,10.0,2,3,2,USA,1.0,POMERI F,3 - 2,49,ITA,0:49
Extra player shot - Saved,4.0,2,3,2,USA,1.0,FATTAL R,3 - 2,42,USA,0:42
Action shot - Goal,4.0,2,4,2,USA,1.0,QUEIROLO E,4 - 2,0,ITA,0:00
Starting goalkeeper,1.0,2,4,2,USA,2.0,GORLERO G,4 - 2,480,ITA,8:00
Starting goalkeeper,13.0,2,4,2,USA,2.0,JOHNSON A,4 - 2,480,USA,8:00
Sprint won possession,4.0,2,4,2,USA,2.0,FATTAL R,4 - 2,480,USA,8:00
Action shot - Saved,8.0,2,4,2,USA,2.0,NEUSHUL K,4 - 2,451,USA,7:31
5m shot - Saved,3.0,2,4,2,USA,2.0,GARIBOTTI A,4 - 2,427,ITA,7:07
Turnover foul,5.0,2,4,2,USA,2.0,RADICCHI F,4 - 2,400,ITA,6:40
Steal,4.0,2,4,2,USA,2.0,FATTAL R,4 - 2,400,USA,6:40
20 sec. exclusion in centre,5.0,2,4,2,USA,2.0,RADICCHI F,4 - 2,377,ITA,6:17
Action shot - Missed,2.0,2,4,2,USA,2.0,MUSSELMAN M,4 - 2,358,USA,5:58
20 sec. exclusion in field,2.0,2,4,2,USA,2.0,MUSSELMAN M,4 - 2,358,USA,5:58
Time-Out,,2,4,2,USA,2.0,,4 - 2,358,ITA,5:58
Action shot - Saved,9.0,2,4,2,USA,2.0,EMMOLO G,4 - 2,329,ITA,5:29
Turnover foul,6.0,2,4,2,USA,2.0,STEFFENS M,4 - 2,313,USA,5:13
Turnover foul,6.0,2,4,2,USA,2.0,AIELLO R,4 - 2,297,ITA,4:57
Action shot - Saved,8.0,2,4,2,USA,2.0,NEUSHUL K,4 - 2,285,USA,4:45
20 sec. exclusion in centre,8.0,2,4,2,USA,2.0,NEUSHUL K,4 - 2,269,USA,4:29
Extra player shot - Goal,9.0,2,5,2,USA,2.0,EMMOLO G,5 - 2,251,ITA,4:11
Action shot - Saved,6.0,2,5,2,USA,2.0,STEFFENS M,5 - 2,225,USA,3:45
Action shot - Goal,3.0,2,5,3,USA,2.0,SEIDEMANN M,5 - 3,169,USA,2:49
5m shot - Blocked,3.0,2,5,3,USA,2.0,GARIBOTTI A,5 - 3,140,ITA,2:20
Action shot - Missed,5.0,2,5,3,USA,2.0,WILLIAMS A,5 - 3,111,USA,1:51
5m shot - Post,3.0,2,5,3,USA,2.0,GARIBOTTI A,5 - 3,85,ITA,1:25
5m shot - Blocked,7.0,2,5,3,USA,2.0,MATHEWSON C,5 - 3,65,USA,1:05
5m shot - Goal,3.0,2,6,3,USA,2.0,GARIBOTTI A,6 - 3,46,ITA,0:46
Action shot - Post,4.0,2,6,3,USA,2.0,FATTAL R,6 - 3,16,USA,0:16
5m shot - Saved,2.0,2,6,3,USA,2.0,TABANI C,6 - 3,0,ITA,0:00
Starting goalkeeper,1.0,2,6,3,USA,3.0,GORLERO G,6 - 3,480,ITA,8:00
Starting goalkeeper,13.0,2,6,3,USA,3.0,JOHNSON A,6 - 3,480,USA,8:00
Sprint won possession,7.0,2,6,3,USA,3.0,DI MARIO T,6 - 3,480,ITA,8:00
Turnover foul,8.0,2,6,3,USA,3.0,BIANCONI R,6 - 3,459,ITA,7:39
Action shot - Saved,8.0,2,6,3,USA,3.0,NEUSHUL K,6 - 3,434,USA,7:14
Turnover foul,3.0,2,6,3,USA,3.0,GARIBOTTI A,6 - 3,421,ITA,7:01
Steal,3.0,2,6,3,USA,3.0,SEIDEMANN M,6 - 3,421,USA,7:01
Action shot - Goal,8.0,2,6,4,USA,3.0,NEUSHUL K,6 - 4,409,USA,6:49
Action shot - Goal,8.0,2,7,4,USA,3.0,BIANCONI R,7 - 4,388,ITA,6:28
Turnover foul,12.0,2,7,4,USA,3.0,CRAIG K,7 - 4,364,USA,6:04
Turnover foul,12.0,2,7,4,USA,3.0,FRASSINETTI T,7 - 4,340,ITA,5:40
20 sec. exclusion in centre,5.0,2,7,4,USA,3.0,RADICCHI F,7 - 4,327,ITA,5:27
Action shot - Goal,8.0,2,7,5,USA,3.0,NEUSHUL K,7 - 5,305,USA,5:05
Counter attack - Goal,4.0,2,7,6,USA,3.0,FATTAL R,7 - 6,266,USA,4:26
Time-Out,,2,7,6,USA,3.0,,7 - 6,266,ITA,4:26
Turnover foul,2.0,2,7,6,USA,3.0,TABANI C,7 - 6,237,ITA,3:57
Steal,6.0,2,7,6,USA,3.0,STEFFENS M,7 - 6,237,USA,3:57
Turnover foul,9.0,2,7,6,USA,3.0,GROSSMAN A,7 - 6,223,USA,3:43
20 sec. exclusion in field,2.0,2,7,6,USA,3.0,MUSSELMAN M,7 - 6,190,USA,3:10
Action shot - Goal,4.0,2,7,7,USA,3.0,FATTAL R,7 - 7,169,USA,2:49
20 sec. exclusion in centre,6.0,2,7,7,USA,3.0,STEFFENS M,7 - 7,141,USA,2:21
Extra player shot - Goal,8.0,2,8,7,USA,3.0,BIANCONI R,8 - 7,126,ITA,2:06
5m shot - Saved,3.0,2,8,7,USA,3.0,GARIBOTTI A,8 - 7,83,ITA,1:23
Turnover foul,4.0,2,8,7,USA,3.0,QUEIROLO E,8 - 7,37,ITA,0:37
20 sec. exclusion in field,6.0,2,8,7,USA,3.0,AIELLO R,8 - 7,37,ITA,0:37
Time-Out,,2,8,7,USA,3.0,,8 - 7,35,USA,0:35
Action shot - Blocked,8.0,2,8,7,USA,3.0,NEUSHUL K,8 - 7,9,USA,0:09
Starting goalkeeper,1.0,2,8,7,USA,4.0,GORLERO G,8 - 7,480,ITA,8:00
Starting goalkeeper,13.0,2,8,7,USA,4.0,JOHNSON A,8 - 7,480,USA,8:00
Sprint won possession,4.0,2,8,7,USA,4.0,FATTAL R,8 - 7,480,USA,8:00
Turnover foul,12.0,2,8,7,USA,4.0,CRAIG K,8 - 7,464,USA,7:44
Turnover foul,12.0,2,8,7,USA,4.0,FRASSINETTI T,8 - 7,445,ITA,7:25
5m shot - Blocked,7.0,2,8,7,USA,4.0,MATHEWSON C,8 - 7,425,USA,7:05
Action shot - Saved,3.0,2,8,7,USA,4.0,GARIBOTTI A,8 - 7,408,ITA,6:48
Action shot - Saved,7.0,2,8,7,USA,4.0,MATHEWSON C,8 - 7,379,USA,6:19
5m shot - Saved,7.0,2,8,7,USA,4.0,DI MARIO T,8 - 7,354,ITA,5:54
5m shot - Post,4.0,2,8,7,USA,4.0,FATTAL R,8 - 7,321,USA,5:21
Action shot - Post,6.0,2,8,7,USA,4.0,STEFFENS M,8 - 7,296,USA,4:56
Action shot - Goal,7.0,2,9,7,USA,4.0,DI MARIO T,9 - 7,277,ITA,4:37
Action shot - Post,11.0,2,9,7,USA,4.0,FISCHER M,9 - 7,247,USA,4:07
5m shot - Missed,8.0,2,9,7,USA,4.0,BIANCONI R,9 - 7,225,ITA,3:45
20 sec. exclusion in centre,5.0,2,9,7,USA,4.0,RADICCHI F,9 - 7,211,ITA,3:31
Exclusion with substitution,5.0,2,9,7,USA,4.0,RADICCHI F,9 - 7,211,ITA,3:31
Action shot - Missed,11.0,2,9,7,USA,4.0,FISCHER M,9 - 7,186,USA,3:06
Action shot - Goal,9.0,2,10,7,USA,4.0,EMMOLO G,10 - 7,170,ITA,2:50
Action shot - Saved,8.0,2,10,7,USA,4.0,NEUSHUL K,10 - 7,143,USA,2:23
Turnover foul,8.0,2,10,7,USA,4.0,NEUSHUL K,10 - 7,126,USA,2:06
20 sec. exclusion in field,3.0,2,10,7,USA,4.0,GARIBOTTI A,10 - 7,126,ITA,2:06
Time-Out,,2,10,7,USA,4.0,,10 - 7,122,USA,2:02
Extra player shot - Saved,4.0,2,10,7,USA,4.0,FATTAL R,10 - 7,112,USA,1:52
Centre shot - Post,6.0,2,10,7,USA,4.0,AIELLO R,10 - 7,80,ITA,1:20
Action shot - Goal,4.0,2,10,8,USA,4.0,FATTAL R,10 - 8,69,USA,1:09
Turnover foul,12.0,2,10,8,USA,4.0,FRASSINETTI T,10 - 8,57,ITA,0:57
Action shot - Saved,2.0,2,10,8,USA,4.0,MUSSELMAN M,10 - 8,44,USA,0:44
20 sec. exclusion in field,2.0,2,10,8,USA,4.0,MUSSELMAN M,10 - 8,42,USA,0:42
Exclusion with substitution,2.0,2,10,8,USA,4.0,MUSSELMAN M,10 - 8,42,USA,0:42
Turnover foul,8.0,2,10,8,USA,4.0,NEUSHUL K,10 - 8,18,USA,0:18
Time-Out,,2,10,8,USA,4.0,,10 - 8,17,ITA,0:17
Turnover foul,2.0,2,10,8,USA,4.0,TABANI C,10 - 8,14,ITA,0:14
5m shot - Missed,8.0,2,10,8,USA,4.0,BIANCONI R,10 - 8,11,ITA,0:11
20 sec. exclusion in field,7.0,2,10,8,USA,4.0,DI MARIO T,10 - 8,9,ITA,0:09
Penalty foul,1.0,2,10,8,USA,4.0,GORLERO G,10 - 8,4,ITA,0:04
Penalty shot - Goal,11.0,2,10,9,USA,4.0,FISCHER M,10 - 9,4,USA,0:04
Starting goalkeeper,1.0,3,0,0,BRA,1.0,OLIVEIRA T,0 - 0,480,BRA,8:00
Starting goalkeeper,1.0,3,0,0,BRA,1.0,GORLERO G,0 - 0,480,ITA,8:00
Sprint won possession,7.0,3,0,0,BRA,1.0,DI MARIO T,0 - 0,480,ITA,8:00
5m shot - Post,5.0,3,0,0,BRA,1.0,RADICCHI F,0 - 0,454,ITA,7:34
Turnover foul,9.0,3,0,0,BRA,1.0,DIAS M,0 - 0,439,BRA,7:19
Steal,5.0,3,0,0,BRA,1.0,RADICCHI F,0 - 0,439,ITA,7:19
5m shot - Post,5.0,3,0,0,BRA,1.0,RADICCHI F,0 - 0,417,ITA,6:57
Action shot - Goal,7.0,3,1,0,BRA,1.0,DI MARIO T,0 - 1,396,ITA,6:36
Action shot - Saved,7.0,3,1,0,BRA,1.0,OLIVEIRA A,0 - 1,368,BRA,6:08
Turnover foul,7.0,3,1,0,BRA,1.0,DI MARIO T,0 - 1,349,ITA,5:49
5m shot - Saved,9.0,3,1,0,BRA,1.0,DIAS M,0 - 1,324,BRA,5:24
5m shot - Goal,5.0,3,2,0,BRA,1.0,RADICCHI F,0 - 2,299,ITA,4:59
Action shot - Saved,7.0,3,2,0,BRA,1.0,OLIVEIRA A,0 - 2,275,BRA,4:35
Turnover foul,6.0,3,2,0,BRA,1.0,CHIAPPINI I,0 - 2,268,BRA,4:28
Turnover foul,5.0,3,2,0,BRA,1.0,RADICCHI F,0 - 2,246,ITA,4:06
5m shot - Missed,6.0,3,2,0,BRA,1.0,CHIAPPINI I,0 - 2,225,BRA,3:45
Action shot - Goal,5.0,3,3,0,BRA,1.0,RADICCHI F,0 - 3,213,ITA,3:33
Turnover foul,10.0,3,3,0,BRA,1.0,BAHIA V,0 - 3,200,BRA,3:20
Action shot - Post,4.0,3,3,0,BRA,1.0,QUEIROLO E,0 - 3,175,ITA,2:55
5m shot - Post,6.0,3,3,0,BRA,1.0,CHIAPPINI I,0 - 3,145,BRA,2:25
20 sec. exclusion in centre,7.0,3,3,0,BRA,1.0,OLIVEIRA A,0 - 3,125,BRA,2:05
Time-Out,,3,3,0,BRA,1.0,,0 - 3,125,ITA,2:05
Turnover foul,8.0,3,3,0,BRA,1.0,BIANCONI R,0 - 3,109,ITA,1:49
Steal,6.0,3,3,0,BRA,1.0,CHIAPPINI I,0 - 3,109,BRA,1:49
5m shot - Saved,9.0,3,3,0,BRA,1.0,DIAS M,0 - 3,81,BRA,1:21
20 sec. exclusion in centre,8.0,3,3,0,BRA,1.0,CARVALHO L,0 - 3,60,BRA,1:00
Turnover foul,10.0,3,3,0,BRA,1.0,POMERI F,0 - 3,42,ITA,0:42
Steal,6.0,3,3,0,BRA,1.0,CHIAPPINI I,0 - 3,42,BRA,0:42
Time-Out,,3,3,0,BRA,1.0,,0 - 3,30,BRA,0:30
5m shot - Missed,9.0,3,3,0,BRA,1.0,DIAS M,0 - 3,15,BRA,0:15
Action shot - Post,4.0,3,3,0,BRA,1.0,QUEIROLO E,0 - 3,1,ITA,0:01
Centre shot - Post,2.0,3,3,0,BRA,1.0,TABANI C,0 - 3,1,ITA,0:01
Starting goalkeeper,1.0,3,3,0,BRA,2.0,OLIVEIRA T,0 - 3,480,BRA,8:00
Starting goalkeeper,1.0,3,3,0,BRA,2.0,GORLERO G,0 - 3,480,ITA,8:00
Sprint won possession,9.0,3,3,0,BRA,2.0,EMMOLO G,0 - 3,480,ITA,8:00
5m shot - Missed,7.0,3,3,0,BRA,2.0,DI MARIO T,0 - 3,455,ITA,7:35
Turnover foul,10.0,3,3,0,BRA,2.0,BAHIA V,0 - 3,426,BRA,7:06
Steal,8.0,3,3,0,BRA,2.0,BIANCONI R,0 - 3,426,ITA,7:06
5m shot - Goal,9.0,3,4,0,BRA,2.0,EMMOLO G,0 - 4,402,ITA,6:42
20 sec. exclusion in centre,12.0,3,4,0,BRA,2.0,FRASSINETTI T,0 - 4,385,ITA,6:25
Action shot - Saved,12.0,3,4,0,BRA,2.0,MANTELLATO G,0 - 4,360,BRA,6:00
