Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,9.0,5,0,3,NED,2.0,MEGENS M,0 - 3,186,NED,3:06,Goal,1
Extra player shot,11.0,5,0,3,NED,2.0,BARZON L,0 - 3,108,ITA,1:48,Saved,0
Centre shot,9.0,5,0,4,NED,2.0,MEGENS M,0 - 4,89,NED,1:29,Goal,1
5m shot,5.0,5,1,4,NED,2.0,RADICCHI F,1 - 4,29,ITA,0:29,Goal,1
Action shot,9.0,5,1,5,NED,2.0,MEGENS M,1 - 5,8,NED,0:08,Goal,1
5m shot,8.0,5,1,5,NED,2.0,BIANCONI R,1 - 5,2,ITA,0:02,Saved,0
5m shot,1.0,5,1,5,NED,2.0,AARTS L,1 - 5,1,NED,0:01,Saved,0
Centre shot,7.0,5,7,7,NED,3.0,DI MARIO T,7 - 7,421,ITA,7:01,Blocked,0
Action shot,4.0,5,7,7,NED,3.0,VAN DER SLOOT C,7 - 7,394,NED,6:34,Saved,0
5m shot,9.0,5,7,7,NED,3.0,EMMOLO G,7 - 7,353,ITA,5:53,Saved,0
5m shot,7.0,5,7,7,NED,3.0,DI MARIO T,7 - 7,333,ITA,5:33,Saved,0
5m shot,7.0,5,7,7,NED,3.0,DI MARIO T,7 - 7,293,ITA,4:53,Post,0
Action shot,4.0,5,7,7,NED,3.0,VAN DER SLOOT C,7 - 7,265,NED,4:25,Saved,0
Action shot,7.0,5,7,7,NED,3.0,NIJHUIS M,7 - 7,233,NED,3:53,Saved,0
5m shot,8.0,5,7,7,NED,3.0,BIANCONI R,7 - 7,180,ITA,3:00,Blocked,0
Action shot,4.0,5,7,7,NED,3.0,VAN DER SLOOT C,7 - 7,150,NED,2:30,Saved,0
5m shot,3.0,5,7,7,NED,3.0,GARIBOTTI A,7 - 7,111,ITA,1:51,Post,0
5m shot,3.0,5,2,5,NED,3.0,GARIBOTTI A,2 - 5,93,ITA,1:33,Goal,1
Extra player shot,11.0,5,2,5,NED,3.0,KLAASSEN L,2 - 5,57,NED,0:57,Blocked,0
Extra player shot,3.0,5,2,5,NED,3.0,GARIBOTTI A,2 - 5,17,ITA,0:17,Missed,0
Action shot,8.0,5,2,5,NED,3.0,SEVENICH V,2 - 5,1,NED,0:01,Saved,0
Action shot,5.0,5,3,5,NED,4.0,RADICCHI F,3 - 5,393,ITA,6:33,Goal,1
Action shot,5.0,5,3,5,NED,4.0,RADICCHI F,3 - 5,337,ITA,5:37,Post,0
Action shot,9.0,5,3,5,NED,4.0,MEGENS M,3 - 5,306,NED,5:06,Post,0
5m shot,7.0,5,3,5,NED,4.0,NIJHUIS M,3 - 5,251,NED,4:11,Blocked,0
Extra player shot,4.0,5,4,5,NED,4.0,QUEIROLO E,4 - 5,232,ITA,3:52,Goal,1
5m shot,3.0,5,4,5,NED,4.0,GENEE D,4 - 5,204,NED,3:24,Saved,0
Extra player shot,9.0,5,4,5,NED,4.0,EMMOLO G,4 - 5,161,ITA,2:41,Blocked,0
Action shot,6.0,5,5,5,NED,4.0,AIELLO R,5 - 5,154,ITA,2:34,Goal,1
5m shot,9.0,5,5,5,NED,4.0,MEGENS M,5 - 5,138,NED,2:18,Saved,0
5m shot,8.0,5,5,5,NED,4.0,BIANCONI R,5 - 5,110,ITA,1:50,Saved,0
5m shot,7.0,5,5,5,NED,4.0,NIJHUIS M,5 - 5,80,NED,1:20,Missed,0
5m shot,5.0,5,5,5,NED,4.0,RADICCHI F,5 - 5,56,ITA,0:56,Missed,0
5m shot,11.0,5,5,5,NED,4.0,KLAASSEN L,5 - 5,38,NED,0:38,Missed,0
5m shot,9.0,5,5,5,NED,4.0,EMMOLO G,5 - 5,12,ITA,0:12,Saved,0
5m shot,8.0,5,5,5,NED,4.0,SEVENICH V,5 - 5,2,NED,0:02,Missed,0
5m shot,7.0,5,5,5,NED,4.0,DI MARIO T,5 - 5,0,ITA,0:00,Saved,0
Counter attack,12.0,6,0,0,AUS,1.0,ZAGAME N,0 - 0,431,AUS,7:11,Saved,0
Counter attack,7.0,6,0,1,AUS,1.0,WEBSTER R,1 - 0,363,AUS,6:03,Goal,1
5m shot,7.0,6,0,1,AUS,1.0,DI MARIO T,1 - 0,337,ITA,5:37,Saved,0
Action shot,10.0,6,0,2,AUS,1.0,SOUTHERN A,2 - 0,304,AUS,5:04,Goal,1
Action shot,5.0,6,0,2,AUS,1.0,GOFERS K,2 - 0,267,AUS,4:27,Missed,0
Action shot,8.0,6,0,2,AUS,1.0,BIANCONI R,2 - 0,194,ITA,3:14,Missed,0
