Action,Cap,Game,ITA,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,10.0,6,5,3,AUS,4.0,SOUTHERN A,3 - 5,26,AUS,0:26,Missed,0
5m shot,3.0,6,5,3,AUS,4.0,GARIBOTTI A,3 - 5,6,ITA,0:06,Blocked,0
5m shot,7.0,6,5,3,AUS,4.0,WEBSTER R,3 - 5,0,AUS,0:00,Saved,0
Action shot,12.0,6,5,3,AUS,2.0,ZAGAME N,3 - 5,99,AUS,1:39,Blocked,0
5m shot,5.0,6,5,3,AUS,2.0,GOFERS K,3 - 5,11,AUS,0:11,Blocked,0
Action shot,3.0,6,5,3,AUS,3.0,GARIBOTTI A,3 - 5,451,ITA,7:31,Post,0
Counter attack,12.0,6,5,3,AUS,3.0,ZAGAME N,3 - 5,437,AUS,7:17,Saved,0
Action shot,7.0,6,5,3,AUS,3.0,WEBSTER R,3 - 5,368,AUS,6:08,Saved,0
5m shot,5.0,6,5,3,AUS,3.0,RADICCHI F,3 - 5,341,ITA,5:41,Saved,0
Action shot,8.0,6,5,3,AUS,3.0,MCGHIE G,3 - 5,321,AUS,5:21,Saved,0
Extra player shot,12.0,6,5,4,AUS,3.0,ZAGAME N,4 - 5,291,AUS,4:51,Goal,1
5m shot,8.0,6,5,4,AUS,3.0,BIANCONI R,4 - 5,251,ITA,4:11,Post,0
Action shot,2.0,6,5,4,AUS,3.0,BEADSWORTH G,4 - 5,221,AUS,3:41,Post,0
Centre shot,6.0,6,5,4,AUS,3.0,KNOX B,4 - 5,133,AUS,2:13,Saved,0
Action shot,9.0,6,5,4,AUS,3.0,EMMOLO G,4 - 5,103,ITA,1:43,Saved,0
Counter attack,10.0,6,5,5,AUS,3.0,SOUTHERN A,5 - 5,66,AUS,1:06,Goal,1
5m shot,8.0,6,5,5,AUS,3.0,BIANCONI R,5 - 5,26,ITA,0:26,Post,0
Action shot,8.0,6,5,6,AUS,4.0,MCGHIE G,6 - 5,422,AUS,7:02,Goal,1
Action shot,7.0,6,6,6,AUS,4.0,DI MARIO T,6 - 6,293,ITA,4:53,Goal,1
Extra player shot,3.0,6,6,7,AUS,4.0,BUCKLING H,7 - 6,256,AUS,4:16,Goal,1
5m shot,3.0,6,6,7,AUS,4.0,GARIBOTTI A,7 - 6,240,ITA,4:00,Post,0
Action shot,7.0,6,6,7,AUS,4.0,WEBSTER R,7 - 6,189,AUS,3:09,Blocked,0
Centre shot,6.0,6,7,7,AUS,4.0,AIELLO R,7 - 7,166,ITA,2:46,Goal,1
Centre shot,10.0,6,7,7,AUS,4.0,SOUTHERN A,7 - 7,120,AUS,2:00,Saved,0
