Action,Cap,Game,JPN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Centre shot - Goal,9.0,1,3,11,HUN,2.0,TOTH I,3 - 11,48,HUN,0:48
Time-Out,,1,3,11,HUN,2.0,,3 - 11,48,JPN,0:48
5m shot - Saved,2.0,1,3,11,HUN,2.0,ARIMA Y,3 - 11,28,JPN,0:28
Time-Out,,1,3,11,HUN,2.0,,3 - 11,26,HUN,0:26
Centre shot - Goal,4.0,1,3,12,HUN,2.0,GURISATTI G,3 - 12,8,HUN,0:08
5m shot - Goal,3.0,1,4,12,HUN,2.0,KAZAMA Y,4 - 12,1,JPN,0:01
5m shot - Saved,2.0,1,4,12,HUN,2.0,CZIGANY D,4 - 12,1,HUN,0:01
Starting goalkeeper,1.0,1,4,12,HUN,3.0,AOKI M,4 - 12,480,JPN,8:00
Starting goalkeeper,13.0,1,4,12,HUN,3.0,KASO O,4 - 12,480,HUN,8:00
Sprint won possession,12.0,1,4,12,HUN,3.0,SZILAGYI D,4 - 12,480,HUN,8:00
Turnover foul,8.0,1,4,12,HUN,3.0,KESZTHELYI R,4 - 12,453,HUN,7:33
Steal,1.0,1,4,12,HUN,3.0,AOKI M,4 - 12,453,JPN,7:33
Turnover foul,7.0,1,4,12,HUN,3.0,INABA A,4 - 12,440,JPN,7:20
Steal,12.0,1,4,12,HUN,3.0,SZILAGYI D,4 - 12,440,HUN,7:20
Centre shot - Goal,2.0,1,5,12,HUN,3.0,ARIMA Y,5 - 12,408,JPN,6:48
Turnover foul,3.0,1,5,12,HUN,3.0,ANTAL D,5 - 12,380,HUN,6:20
Centre shot - Goal,3.0,1,5,13,HUN,3.0,ANTAL D,5 - 13,360,HUN,6:00
Turnover foul,7.0,1,5,13,HUN,3.0,INABA A,5 - 13,343,JPN,5:43
Steal,5.0,1,5,13,HUN,3.0,SZUCS G,5 - 13,343,HUN,5:43
Turnover foul,5.0,1,5,13,HUN,3.0,SZUCS G,5 - 13,325,HUN,5:25
Steal,5.0,1,5,13,HUN,3.0,SAKANOUE C,5 - 13,325,JPN,5:25
Turnover foul,10.0,1,5,13,HUN,3.0,NORO M,5 - 13,310,JPN,5:10
Steal,13.0,1,5,13,HUN,3.0,KASO O,5 - 13,310,HUN,5:10
Turnover foul,10.0,1,5,13,HUN,3.0,BUJKA B,5 - 13,298,HUN,4:58
Turnover foul,2.0,1,5,13,HUN,3.0,ARIMA Y,5 - 13,292,JPN,4:52
Steal,13.0,1,5,13,HUN,3.0,KASO O,5 - 13,292,HUN,4:52
Counter attack - Goal,8.0,1,5,14,HUN,3.0,KESZTHELYI R,5 - 14,270,HUN,4:30
Centre shot - Goal,9.0,1,5,15,HUN,3.0,TOTH I,5 - 15,244,HUN,4:04
Centre shot - Saved,10.0,1,5,15,HUN,3.0,NORO M,5 - 15,225,JPN,3:45
Action shot - Post,8.0,1,5,15,HUN,3.0,KESZTHELYI R,5 - 15,199,HUN,3:19
Centre shot - Goal,6.0,1,6,15,HUN,3.0,YAMAMOTO M,6 - 15,169,JPN,2:49
Centre shot - Goal,4.0,1,6,16,HUN,3.0,GURISATTI G,6 - 16,142,HUN,2:22
Action shot - Post,5.0,1,6,16,HUN,3.0,SZUCS G,6 - 16,86,HUN,1:26
Action shot - Post,2.0,1,6,16,HUN,3.0,ARIMA Y,6 - 16,74,JPN,1:14
Action shot - Goal,8.0,1,6,17,HUN,3.0,KESZTHELYI R,6 - 17,53,HUN,0:53
Turnover foul,5.0,1,6,17,HUN,3.0,SAKANOUE C,6 - 17,37,JPN,0:37
Steal,13.0,1,6,17,HUN,3.0,KASO O,6 - 17,37,HUN,0:37
Action shot - Saved,4.0,1,6,17,HUN,3.0,GURISATTI G,6 - 17,27,HUN,0:27
Action shot - Missed,9.0,1,6,17,HUN,4.0,TOTH I,6 - 17,243,HUN,4:03
Turnover foul,6.0,1,6,17,HUN,4.0,YAMAMOTO M,6 - 17,222,JPN,3:42
Steal,4.0,1,6,17,HUN,4.0,GURISATTI G,6 - 17,222,HUN,3:42
Action shot - Post,8.0,1,6,17,HUN,4.0,KESZTHELYI R,6 - 17,210,HUN,3:30
Centre shot - Saved,6.0,1,6,17,HUN,4.0,YAMAMOTO M,6 - 17,195,JPN,3:15
Turnover foul,2.0,1,6,17,HUN,4.0,CZIGANY D,6 - 17,166,HUN,2:46
Steal,7.0,1,6,17,HUN,4.0,INABA A,6 - 17,166,JPN,2:46
Turnover foul,6.0,1,6,17,HUN,4.0,YAMAMOTO M,6 - 17,156,JPN,2:36
Steal,7.0,1,6,17,HUN,4.0,ILLES A,6 - 17,156,HUN,2:36
Action shot - Post,8.0,1,6,17,HUN,4.0,KESZTHELYI R,6 - 17,130,HUN,2:10
5m shot - Goal,2.0,1,10,19,HUN,4.0,ARIMA Y,10 - 19,113,JPN,1:53
Action shot - Post,8.0,1,10,19,HUN,4.0,KESZTHELYI R,10 - 19,84,HUN,1:24
Centre shot - Goal,9.0,1,10,20,HUN,4.0,TOTH I,10 - 20,83,HUN,1:23
Turnover foul,5.0,1,10,20,HUN,4.0,SAKANOUE C,10 - 20,72,JPN,1:12
Steal,13.0,1,10,20,HUN,4.0,KASO O,10 - 20,72,HUN,1:12
Action shot - Saved,9.0,1,10,20,HUN,4.0,HOSOYA K,10 - 20,21,JPN,0:21
Time-Out,,1,10,20,HUN,4.0,,10 - 20,21,HUN,0:21
Turnover foul,5.0,1,10,20,HUN,4.0,SZUCS G,10 - 20,16,HUN,0:16
20 sec. exclusion in field,8.0,1,10,20,HUN,4.0,KESZTHELYI R,10 - 20,5,HUN,0:05
