Action,Cap,Game,NED,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Extra player shot,7.0,4,8,0,KAZ,2.0,MYRZABEKOVA Z,0 - 8,165,KAZ,2:45,Missed,0
5m shot,10.0,4,8,0,KAZ,4.0,ROGA D,0 - 8,209,KAZ,3:29,Saved,0
Action shot,11.0,4,8,0,KAZ,4.0,KLAASSEN L,0 - 8,188,NED,3:08,Saved,0
Extra player shot,11.0,4,8,0,KAZ,4.0,MIRSHINA A,0 - 8,163,KAZ,2:43,Saved,0
Counter attack,2.0,4,21,0,KAZ,4.0,SMIT M,0 - 21,150,NED,2:30,Goal,1
Extra player shot,11.0,4,21,1,KAZ,4.0,MIRSHINA A,1 - 21,120,KAZ,2:00,Goal,1
Counter attack,7.0,4,9,0,KAZ,2.0,NIJHUIS M,0 - 9,99,NED,1:39,Goal,1
5m shot,4.0,4,9,0,KAZ,2.0,TUROVA A,0 - 9,77,KAZ,1:17,Blocked,0
Action shot,2.0,4,10,0,KAZ,2.0,SMIT M,0 - 10,59,NED,0:59,Goal,1
5m shot,5.0,4,10,0,KAZ,2.0,ZAKIROVA K,0 - 10,30,KAZ,0:30,Saved,0
Counter attack,2.0,4,11,0,KAZ,2.0,SMIT M,0 - 11,21,NED,0:21,Goal,1
5m shot,10.0,4,11,0,KAZ,3.0,VAN TOORN I,0 - 11,462,NED,7:42,Saved,0
Centre shot,10.0,4,12,0,KAZ,3.0,VAN TOORN I,0 - 12,429,NED,7:09,Goal,1
Counter attack,12.0,4,12,0,KAZ,3.0,VAN DER MOLEN L,0 - 12,408,NED,6:48,Post,0
5m shot,11.0,4,12,0,KAZ,3.0,MIRSHINA A,0 - 12,357,KAZ,5:57,Blocked,0
Counter attack,7.0,4,13,0,KAZ,3.0,NIJHUIS M,0 - 13,349,NED,5:49,Goal,1
5m shot,3.0,4,13,0,KAZ,3.0,AKILBAYEVA A,0 - 13,324,KAZ,5:24,Saved,0
Counter attack,9.0,4,14,0,KAZ,3.0,MEGENS M,0 - 14,313,NED,5:13,Goal,1
5m shot,2.0,4,14,0,KAZ,3.0,SMIT M,0 - 14,277,NED,4:37,Missed,0
Counter attack,10.0,4,15,0,KAZ,3.0,VAN TOORN I,0 - 15,258,NED,4:18,Goal,1
Action shot,4.0,4,15,0,KAZ,3.0,VAN DER SLOOT C,0 - 15,220,NED,3:40,Post,0
Counter attack,8.0,4,15,0,KAZ,3.0,SEVENICH V,0 - 15,185,NED,3:05,Saved,0
5m shot,4.0,4,15,0,KAZ,3.0,TUROVA A,0 - 15,166,KAZ,2:46,Missed,0
Counter attack,3.0,4,16,0,KAZ,3.0,GENEE D,0 - 16,156,NED,2:36,Goal,1
5m shot,4.0,4,16,0,KAZ,3.0,TUROVA A,0 - 16,115,KAZ,1:55,Blocked,0
Action shot,4.0,4,16,0,KAZ,3.0,VAN DER SLOOT C,0 - 16,100,NED,1:40,Saved,0
Action shot,5.0,4,16,0,KAZ,3.0,ZAKIROVA K,0 - 16,67,KAZ,1:07,Blocked,0
Extra player shot,11.0,4,17,0,KAZ,3.0,KLAASSEN L,0 - 17,41,NED,0:41,Goal,1
Extra player shot,2.0,4,17,0,KAZ,3.0,YEGEMBERDIYEVA A,0 - 17,10,KAZ,0:10,Blocked,0
5m shot,4.0,4,17,0,KAZ,3.0,VAN DER SLOOT C,0 - 17,1,NED,0:01,Missed,0
Centre shot,7.0,4,17,0,KAZ,4.0,MYRZABEKOVA Z,0 - 17,461,KAZ,7:41,Saved,0
Counter attack,10.0,4,18,0,KAZ,4.0,VAN TOORN I,0 - 18,452,NED,7:32,Goal,1
Action shot,5.0,4,18,0,KAZ,4.0,ZAKIROVA K,0 - 18,422,KAZ,7:02,Missed,0
Extra player shot,9.0,4,19,0,KAZ,4.0,MEGENS M,0 - 19,407,NED,6:47,Goal,1
Counter attack,2.0,4,19,0,KAZ,4.0,SMIT M,0 - 19,381,NED,6:21,Saved,0
5m shot,9.0,4,19,0,KAZ,4.0,MEGENS M,0 - 19,341,NED,5:41,Missed,0
Extra player shot,4.0,4,19,0,KAZ,4.0,TUROVA A,0 - 19,274,KAZ,4:34,Saved,0
Counter attack,9.0,4,20,0,KAZ,4.0,MEGENS M,0 - 20,262,NED,4:22,Goal,1
Action shot,11.0,4,20,0,KAZ,4.0,KLAASSEN L,0 - 20,71,NED,1:11,Missed,0
Counter attack,7.0,4,20,0,KAZ,4.0,MYRZABEKOVA Z,0 - 20,59,KAZ,0:59,Saved,0
Action shot,7.0,4,20,0,KAZ,4.0,NIJHUIS M,0 - 20,46,NED,0:46,Post,0
Extra player shot,11.0,4,20,0,KAZ,4.0,MIRSHINA A,0 - 20,1,KAZ,0:01,Missed,0
5m shot,9.0,5,1,0,RUS,1.0,MEGENS M,0 - 1,456,NED,7:36,Goal,1
5m shot,9.0,5,1,0,RUS,1.0,TIMOFEEVA A,0 - 1,426,RUS,7:06,Missed,0
Action shot,3.0,5,1,0,RUS,1.0,PROKOFYEVA E,0 - 1,391,RUS,6:31,Post,0
5m shot,11.0,5,1,0,RUS,1.0,IVANOVA E,0 - 1,374,RUS,6:14,Post,0
Action shot,8.0,5,1,0,RUS,1.0,SEVENICH V,0 - 1,319,NED,5:19,Saved,0
Extra player shot,3.0,5,1,0,RUS,1.0,PROKOFYEVA E,0 - 1,284,RUS,4:44,Saved,0
Action shot,5.0,5,1,0,RUS,1.0,GENEE A,0 - 1,233,NED,3:53,Blocked,0
Action shot,4.0,5,1,0,RUS,1.0,KARIMOVA E,0 - 1,203,RUS,3:23,Saved,0
5m shot,2.0,5,1,0,RUS,1.0,SMIT M,0 - 1,178,NED,2:58,Blocked,0
Action shot,11.0,5,2,0,RUS,1.0,KLAASSEN L,0 - 2,134,NED,2:14,Goal,1
Extra player shot,8.0,5,2,0,RUS,1.0,ABDRIZIAKOVA E,0 - 2,110,RUS,1:50,Saved,0
5m shot,11.0,5,3,0,RUS,1.0,KLAASSEN L,0 - 3,81,NED,1:21,Goal,1
5m shot,8.0,5,3,0,RUS,1.0,ABDRIZIAKOVA E,0 - 3,56,RUS,0:56,Saved,0
Counter attack,7.0,5,3,1,RUS,1.0,LISUNOVA E,1 - 3,33,RUS,0:33,Goal,1
Centre shot,9.0,5,4,1,RUS,1.0,MEGENS M,1 - 4,4,NED,0:04,Goal,1
5m shot,3.0,5,4,1,RUS,1.0,PROKOFYEVA E,1 - 4,0,RUS,0:00,Saved,0
Extra player shot,12.0,5,4,1,RUS,2.0,IARONDAIKINA N,1 - 4,382,RUS,6:22,Blocked,0
Action shot,7.0,5,4,1,RUS,2.0,LISUNOVA E,1 - 4,374,RUS,6:14,Post,0
Counter attack,4.0,5,5,1,RUS,2.0,VAN DER SLOOT C,1 - 5,365,NED,6:05,Goal,1
Extra player shot,11.0,5,5,2,RUS,2.0,IVANOVA E,2 - 5,334,RUS,5:34,Goal,1
Action shot,7.0,5,6,2,RUS,2.0,NIJHUIS M,2 - 6,284,NED,4:44,Goal,1
5m shot,3.0,5,6,2,RUS,2.0,PROKOFYEVA E,2 - 6,207,RUS,3:27,Blocked,0
Action shot,7.0,5,6,2,RUS,2.0,NIJHUIS M,2 - 6,200,NED,3:20,Post,0
5m shot,4.0,5,6,2,RUS,2.0,VAN DER SLOOT C,2 - 6,150,NED,2:30,Post,0
Counter attack,4.0,5,6,3,RUS,2.0,KARIMOVA E,3 - 6,139,RUS,2:19,Goal,1
Counter attack,3.0,5,6,4,RUS,2.0,PROKOFYEVA E,4 - 6,101,RUS,1:41,Goal,1
Extra player shot,2.0,5,7,4,RUS,2.0,SMIT M,4 - 7,70,NED,1:10,Goal,1
Extra player shot,11.0,5,7,4,RUS,2.0,IVANOVA E,4 - 7,31,RUS,0:31,Saved,0
Extra player shot,11.0,5,10,9,RUS,4.0,IVANOVA E,9 - 10,76,RUS,1:16,Goal,1
Action shot,3.0,5,7,5,RUS,2.0,PROKOFYEVA E,5 - 7,6,RUS,0:06,Goal,1
5m shot,7.0,5,7,5,RUS,2.0,NIJHUIS M,5 - 7,0,NED,0:00,Missed,0
Counter attack,11.0,5,7,6,RUS,3.0,IVANOVA E,6 - 7,447,RUS,7:27,Goal,1
5m shot,2.0,5,7,6,RUS,3.0,SMIT M,6 - 7,430,NED,7:10,Missed,0
Action shot,4.0,5,7,7,RUS,3.0,KARIMOVA E,7 - 7,330,RUS,5:30,Goal,1
