Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
5m shot,9.0,2,10,HUN,4.0,VARGA D,13,13 - 10,34,HUN,0:34,Saved,0
5m shot,8.0,2,10,HUN,4.0,SZIVOS M,13,13 - 10,1,HUN,0:01,Missed,0
5m shot,7.0,3,0,CHN,1.0,LI B,0,0 - 0,407,CHN,6:47,Saved,0
5m shot,11.0,3,0,CHN,1.0,ZHANG C,0,0 - 0,375,CHN,6:15,Post,0
Counter attack,10.0,3,0,CHN,1.0,FILIPOVIC F,1,1 - 0,357,SRB,5:57,Goal,1
Action shot,6.0,3,1,CHN,1.0,PAN N,1,1 - 1,328,CHN,5:28,Goal,1
5m shot,5.0,3,1,CHN,1.0,GUO J,1,1 - 1,288,CHN,4:48,Missed,0
5m shot,3.0,3,1,CHN,1.0,LIANG Z,1,1 - 1,239,CHN,3:59,Post,0
Counter attack,4.0,3,1,CHN,1.0,UDOVICIC V,2,2 - 1,227,SRB,3:47,Goal,1
Extra player shot,9.0,3,2,CHN,1.0,XIE J,2,2 - 2,186,CHN,3:06,Goal,1
Extra player shot,12.0,3,2,CHN,1.0,MITROVIC S,3,3 - 2,168,SRB,2:48,Goal,1
Action shot,5.0,3,2,CHN,1.0,GUO J,3,3 - 2,146,CHN,2:26,Saved,0
5m shot,11.0,3,2,CHN,1.0,PRLAINOVIC A,4,4 - 2,125,SRB,2:05,Goal,1
Penalty shot,2.0,3,2,CHN,1.0,MANDIC D,4,4 - 2,80,SRB,1:20,Saved,0
Extra player shot,3.0,3,3,CHN,1.0,LIANG Z,4,4 - 3,32,CHN,0:32,Goal,1
Centre shot,12.0,3,3,CHN,2.0,LIANG N,4,4 - 3,455,CHN,7:35,Blocked,0
Action shot,4.0,3,3,CHN,2.0,UDOVICIC V,5,5 - 3,434,SRB,7:14,Goal,1
Centre shot,12.0,3,3,CHN,2.0,LIANG N,5,5 - 3,415,CHN,6:55,Saved,0
Action shot,5.0,3,3,CHN,2.0,CUK M,5,5 - 3,334,SRB,5:34,Saved,0
Action shot,11.0,3,4,CHN,2.0,ZHANG C,5,5 - 4,276,CHN,4:36,Goal,1
5m shot,8.0,3,4,CHN,2.0,ALEKSIC M,5,5 - 4,252,SRB,4:12,Saved,0
Extra player shot,7.0,3,4,CHN,2.0,NIKIC S,5,5 - 4,229,SRB,3:49,Saved,0
Extra player shot,7.0,3,4,CHN,2.0,NIKIC S,5,5 - 4,221,SRB,3:41,Saved,0
Centre shot,4.0,3,4,CHN,2.0,JIANG B,5,5 - 4,196,CHN,3:16,Saved,0
Extra player shot,3.0,3,4,CHN,2.0,GOCIC Z,6,6 - 4,174,SRB,2:54,Goal,1
Extra player shot,12.0,3,5,CHN,2.0,LIANG N,6,6 - 5,142,CHN,2:22,Goal,1
Centre shot,6.0,3,5,CHN,2.0,PIJETLOVIC D,6,6 - 5,126,SRB,2:06,Saved,0
5m shot,3.0,3,5,CHN,2.0,LIANG Z,6,6 - 5,100,CHN,1:40,Blocked,0
5m shot,7.0,3,5,CHN,2.0,LI B,6,6 - 5,72,CHN,1:12,Saved,0
Counter attack,12.0,3,5,CHN,2.0,MITROVIC S,7,7 - 5,57,SRB,0:57,Goal,1
Action shot,11.0,3,5,CHN,4.0,ZHANG C,7,7 - 5,210,CHN,3:30,Blocked,0
Action shot,4.0,3,5,CHN,4.0,UDOVICIC V,7,7 - 5,191,SRB,3:11,Saved,0
Centre shot,6.0,3,5,CHN,2.0,PIJETLOVIC D,8,8 - 5,13,SRB,0:13,Goal,1
5m shot,5.0,3,5,CHN,2.0,GUO J,8,8 - 5,3,CHN,0:03,Saved,0
5m shot,10.0,3,5,CHN,3.0,FILIPOVIC F,9,9 - 5,458,SRB,7:38,Goal,1
Action shot,6.0,3,5,CHN,3.0,PAN N,9,9 - 5,438,CHN,7:18,Saved,0
Counter attack,12.0,3,5,CHN,3.0,MITROVIC S,10,10 - 5,425,SRB,7:05,Goal,1
Centre shot,7.0,3,5,CHN,3.0,NIKIC S,11,11 - 5,380,SRB,6:20,Goal,1
5m shot,6.0,3,6,CHN,3.0,PAN N,11,11 - 6,358,CHN,5:58,Goal,1
Extra player shot,11.0,3,7,CHN,3.0,ZHANG C,11,11 - 7,303,CHN,5:03,Goal,1
Penalty shot,4.0,3,7,CHN,3.0,UDOVICIC V,12,12 - 7,290,SRB,4:50,Goal,1
5m shot,11.0,3,7,CHN,3.0,ZHANG C,12,12 - 7,271,CHN,4:31,Missed,0
Action shot,5.0,3,7,CHN,3.0,GUO J,12,12 - 7,236,CHN,3:56,Missed,0
Centre shot,3.0,3,7,CHN,3.0,LIANG Z,12,12 - 7,195,CHN,3:15,Saved,0
Centre shot,5.0,3,7,CHN,3.0,GUO J,12,12 - 7,147,CHN,2:27,Saved,0
Action shot,9.0,3,7,CHN,3.0,RADEN N,12,12 - 7,77,SRB,1:17,Saved,0
5m shot,3.0,3,8,CHN,3.0,LIANG Z,12,12 - 8,49,CHN,0:49,Goal,1
Centre shot,6.0,3,8,CHN,3.0,PIJETLOVIC D,13,13 - 8,34,SRB,0:34,Goal,1
5m shot,7.0,3,8,CHN,3.0,LI B,13,13 - 8,5,CHN,0:05,Missed,0
Penalty shot,10.0,3,8,CHN,4.0,FILIPOVIC F,13,13 - 8,459,SRB,7:39,Saved,0
Action shot,6.0,3,8,CHN,4.0,PIJETLOVIC D,14,14 - 8,417,SRB,6:57,Goal,1
Action shot,12.0,3,8,CHN,4.0,MITROVIC S,14,14 - 8,368,SRB,6:08,Saved,0
5m shot,5.0,3,8,CHN,4.0,GUO J,14,14 - 8,344,CHN,5:44,Saved,0
Action shot,3.0,3,8,CHN,4.0,LIANG Z,14,14 - 8,312,CHN,5:12,Saved,0
Action shot,3.0,3,8,CHN,4.0,LIANG Z,14,14 - 8,307,CHN,5:07,Post,0
Action shot,3.0,3,8,CHN,4.0,LIANG Z,14,14 - 8,291,CHN,4:51,Saved,0
Action shot,7.0,3,8,CHN,4.0,NIKIC S,14,14 - 8,274,SRB,4:34,Saved,0
Counter attack,12.0,3,8,CHN,4.0,MITROVIC S,15,15 - 8,124,SRB,2:04,Goal,1
Action shot,9.0,3,9,CHN,4.0,XIE J,15,15 - 9,76,CHN,1:16,Goal,1
Centre shot,6.0,3,9,CHN,4.0,PIJETLOVIC D,15,15 - 9,58,SRB,0:58,Missed,0
5m shot,5.0,3,9,CHN,4.0,GUO J,15,15 - 9,36,CHN,0:36,Saved,0
Action shot,5.0,3,9,CHN,4.0,CUK M,16,16 - 9,12,SRB,0:12,Goal,1
Centre shot,11.0,3,9,CHN,4.0,ZHANG C,16,16 - 9,2,CHN,0:02,Saved,0
Action shot,6.0,4,1,ROU,1.0,BUSILA A,0,0 - 1,420,ROU,7:00,Goal,1
5m shot,9.0,4,1,ROU,1.0,RADEN N,1,1 - 1,397,SRB,6:37,Goal,1
Action shot,3.0,4,1,ROU,1.0,GOCIC Z,1,1 - 1,306,SRB,5:06,Missed,0
5m shot,4.0,4,1,ROU,1.0,DIACONU N,1,1 - 1,291,ROU,4:51,Saved,0
Action shot,12.0,4,1,ROU,1.0,MITROVIC S,1,1 - 1,235,SRB,3:55,Saved,0
Action shot,6.0,4,1,ROU,1.0,PIJETLOVIC D,1,1 - 1,224,SRB,3:44,Saved,0
Action shot,6.0,4,1,ROU,1.0,PIJETLOVIC D,2,2 - 1,184,SRB,3:04,Goal,1
Action shot,4.0,4,1,ROU,1.0,UDOVICIC V,2,2 - 1,85,SRB,1:25,Saved,0
Action shot,4.0,4,1,ROU,1.0,DIACONU N,2,2 - 1,63,ROU,1:03,Saved,0
Action shot,7.0,4,1,ROU,1.0,MATEI A,2,2 - 1,27,ROU,0:27,Post,0
Extra player shot,8.0,4,1,ROU,1.0,ALEKSIC M,2,2 - 1,1,SRB,0:01,Saved,0
Extra player shot,7.0,4,1,ROU,2.0,NIKIC S,3,3 - 1,387,SRB,6:27,Goal,1
Centre shot,4.0,4,1,ROU,2.0,UDOVICIC V,4,4 - 1,342,SRB,5:42,Goal,1
Centre shot,8.0,4,1,ROU,2.0,CHIOVEANU M,4,4 - 1,319,ROU,5:19,Saved,0
Action shot,10.0,4,1,ROU,2.0,FILIPOVIC F,4,4 - 1,295,SRB,4:55,Saved,0
Action shot,4.0,4,2,ROU,2.0,DIACONU N,4,4 - 2,270,ROU,4:30,Goal,1
Extra player shot,6.0,4,2,ROU,2.0,PIJETLOVIC D,5,5 - 2,201,SRB,3:21,Goal,1
Counter attack,4.0,4,2,ROU,2.0,UDOVICIC V,6,6 - 2,170,SRB,2:50,Goal,1
Centre shot,9.0,4,2,ROU,2.0,GOANTA D,6,6 - 2,141,ROU,2:21,Post,0
5m shot,4.0,4,2,ROU,2.0,DIACONU N,6,6 - 2,110,ROU,1:50,Saved,0
Extra player shot,10.0,4,2,ROU,2.0,GEORGESCU R,6,6 - 2,74,ROU,1:14,Blocked,0
Centre shot,7.0,4,2,ROU,2.0,NIKIC S,7,7 - 2,59,SRB,0:59,Goal,1
5m shot,4.0,4,2,ROU,2.0,DIACONU N,7,7 - 2,36,ROU,0:36,Blocked,0
5m shot,6.0,4,2,ROU,2.0,BUSILA A,7,7 - 2,1,ROU,0:01,Saved,0
Action shot,10.0,4,4,ROU,4.0,FILIPOVIC F,12,12 - 4,161,SRB,2:41,Goal,1
5m shot,7.0,4,4,ROU,4.0,MATEI A,12,12 - 4,91,ROU,1:31,Missed,0
Extra player shot,8.0,4,4,ROU,4.0,ALEKSIC M,13,13 - 4,78,SRB,1:18,Goal,1
5m shot,6.0,4,4,ROU,4.0,BUSILA A,13,13 - 4,53,ROU,0:53,Blocked,0
Action shot,4.0,4,3,ROU,3.0,DIACONU N,7,7 - 3,429,ROU,7:09,Goal,1
Extra player shot,6.0,4,3,ROU,3.0,PIJETLOVIC D,7,7 - 3,389,SRB,6:29,Saved,0
Counter attack,10.0,4,3,ROU,3.0,FILIPOVIC F,8,8 - 3,356,SRB,5:56,Goal,1
Action shot,12.0,4,3,ROU,3.0,MITROVIC S,8,8 - 3,323,SRB,5:23,Post,0
Action shot,7.0,4,3,ROU,3.0,MATEI A,8,8 - 3,299,ROU,4:59,Saved,0
Centre shot,10.0,4,3,ROU,3.0,GEORGESCU R,8,8 - 3,212,ROU,3:32,Blocked,0
Action shot,5.0,4,3,ROU,3.0,CUK M,9,9 - 3,193,SRB,3:13,Goal,1
Extra player shot,7.0,4,3,ROU,3.0,MATEI A,9,9 - 3,151,ROU,2:31,Blocked,0
5m shot,8.0,4,3,ROU,3.0,ALEKSIC M,9,9 - 3,125,SRB,2:05,Saved,0
Counter attack,2.0,4,3,ROU,3.0,MANDIC D,9,9 - 3,86,SRB,1:26,Saved,0
5m shot,6.0,4,3,ROU,3.0,BUSILA A,9,9 - 3,62,ROU,1:02,Missed,0
Extra player shot,2.0,4,3,ROU,3.0,MANDIC D,10,10 - 3,53,SRB,0:53,Goal,1
Extra player shot,12.0,4,3,ROU,3.0,CRETU A,10,10 - 3,25,ROU,0:25,Saved,0
Extra player shot,5.0,4,3,ROU,4.0,CUK M,11,11 - 3,441,SRB,7:21,Goal,1
Centre shot,8.0,4,3,ROU,4.0,CHIOVEANU M,11,11 - 3,423,ROU,7:03,Saved,0
Extra player shot,7.0,4,4,ROU,4.0,MATEI A,11,11 - 4,400,ROU,6:40,Goal,1
Centre shot,6.0,4,4,ROU,4.0,PIJETLOVIC D,11,11 - 4,375,SRB,6:15,Saved,0
Centre shot,6.0,4,4,ROU,4.0,PIJETLOVIC D,11,11 - 4,289,SRB,4:49,Saved,0
5m shot,9.0,4,4,ROU,4.0,RADEN N,11,11 - 4,260,SRB,4:20,Blocked,0
Action shot,10.0,4,4,ROU,4.0,GEORGESCU R,11,11 - 4,243,ROU,4:03,Saved,0
Action shot,3.0,4,4,ROU,4.0,GOCIC Z,11,11 - 4,222,SRB,3:42,Saved,0
Counter attack,8.0,4,4,ROU,4.0,CHIOVEANU M,11,11 - 4,213,ROU,3:33,Post,0
Action shot,4.0,4,5,ROU,4.0,DIACONU N,13,13 - 5,35,ROU,0:35,Goal,1
Action shot,8.0,5,1,MNE,1.0,JANOVIC N,0,1 - 0,443,MNE,7:23,Goal,1
Extra player shot,6.0,5,1,MNE,1.0,PIJETLOVIC D,1,1 - 1,418,SRB,6:58,Goal,1
Action shot,8.0,5,1,MNE,1.0,JANOVIC N,1,1 - 1,393,MNE,6:33,Post,0
5m shot,8.0,5,1,MNE,1.0,JANOVIC N,1,1 - 1,347,MNE,5:47,Post,0
Action shot,8.0,5,1,MNE,1.0,ALEKSIC M,2,1 - 2,319,SRB,5:19,Goal,1
Action shot,2.0,5,1,MNE,1.0,BRGULJAN D,2,1 - 2,276,MNE,4:36,Post,0
Centre shot,5.0,5,2,MNE,1.0,BRGULJAN D,2,2 - 2,275,MNE,4:35,Goal,1
Action shot,4.0,5,2,MNE,1.0,UDOVICIC V,2,2 - 2,192,SRB,3:12,Blocked,0
5m shot,12.0,5,2,MNE,1.0,JOKIC P,2,2 - 2,169,MNE,2:49,Blocked,0
Penalty shot,10.0,5,2,MNE,1.0,FILIPOVIC F,3,2 - 3,121,SRB,2:01,Goal,1
5m shot,2.0,5,2,MNE,1.0,BRGULJAN D,3,2 - 3,92,MNE,1:32,Missed,0
Action shot,6.0,5,2,MNE,1.0,PIJETLOVIC D,3,2 - 3,43,SRB,0:43,Saved,0
5m shot,11.0,5,2,MNE,1.0,PRLAINOVIC A,3,2 - 3,33,SRB,0:33,Saved,0
Extra player shot,2.0,5,2,MNE,2.0,MANDIC D,4,2 - 4,424,SRB,7:04,Goal,1
Extra player shot,8.0,5,3,MNE,2.0,JANOVIC N,4,3 - 4,391,MNE,6:31,Goal,1
5m shot,9.0,5,3,MNE,2.0,IVOVIC A,4,3 - 4,349,MNE,5:49,Post,0
Extra player shot,11.0,5,3,MNE,2.0,PRLAINOVIC A,4,3 - 4,291,SRB,4:51,Blocked,0
Action shot,10.0,5,3,MNE,2.0,FILIPOVIC F,4,3 - 4,284,SRB,4:44,Saved,0
Centre shot,7.0,5,4,MNE,2.0,JANOVIC M,4,4 - 4,235,MNE,3:55,Goal,1
Centre shot,7.0,5,4,MNE,2.0,NIKIC S,5,4 - 5,215,SRB,3:35,Goal,1
Action shot,3.0,5,4,MNE,2.0,GOCIC Z,6,4 - 6,173,SRB,2:53,Goal,1
Extra player shot,7.0,5,5,MNE,2.0,JANOVIC M,6,5 - 6,138,MNE,2:18,Goal,1
Counter attack,2.0,5,5,MNE,2.0,BRGULJAN D,6,5 - 6,107,MNE,1:47,Saved,0
Action shot,7.0,5,5,MNE,4.0,JANOVIC M,6,5 - 6,92,MNE,1:32,Blocked,0
5m shot,9.0,5,9,MNE,4.0,IVOVIC A,8,9 - 8,70,MNE,1:10,Goal,1
5m shot,11.0,5,9,MNE,4.0,PRLAINOVIC A,8,9 - 8,47,SRB,0:47,Missed,0
Penalty shot,9.0,5,6,MNE,2.0,IVOVIC A,6,6 - 6,86,MNE,1:26,Goal,1
Centre shot,7.0,5,6,MNE,2.0,NIKIC S,6,6 - 6,64,SRB,1:04,Missed,0
Action shot,2.0,5,6,MNE,2.0,BRGULJAN D,6,6 - 6,19,MNE,0:19,Saved,0
5m shot,8.0,5,6,MNE,2.0,JANOVIC N,6,6 - 6,2,MNE,0:02,Saved,0
5m shot,9.0,5,6,MNE,3.0,IVOVIC A,6,6 - 6,420,MNE,7:00,Blocked,0
Action shot,9.0,5,6,MNE,3.0,IVOVIC A,6,6 - 6,355,MNE,5:55,Post,0
Action shot,9.0,5,6,MNE,3.0,RADEN N,6,6 - 6,328,SRB,5:28,Blocked,0
5m shot,4.0,5,6,MNE,3.0,PETROVIC A,6,6 - 6,302,MNE,5:02,Missed,0
Action shot,7.0,5,7,MNE,3.0,JANOVIC M,6,7 - 6,211,MNE,3:31,Goal,1
Action shot,12.0,5,7,MNE,3.0,MITROVIC S,7,7 - 7,170,SRB,2:50,Goal,1
Extra player shot,8.0,5,7,MNE,3.0,JANOVIC N,7,7 - 7,127,MNE,2:07,Saved,0
Action shot,12.0,5,7,MNE,3.0,MITROVIC S,8,7 - 8,102,SRB,1:42,Goal,1
Action shot,10.0,5,7,MNE,3.0,FILIPOVIC F,8,7 - 8,14,SRB,0:14,Saved,0
Centre shot,11.0,5,7,MNE,4.0,KLIKOVAK F,8,7 - 8,453,MNE,7:33,Missed,0
Extra player shot,11.0,5,8,MNE,4.0,KLIKOVAK F,8,8 - 8,450,MNE,7:30,Goal,1
Action shot,2.0,5,8,MNE,4.0,MANDIC D,8,8 - 8,404,SRB,6:44,Blocked,0
Extra player shot,2.0,5,8,MNE,4.0,BRGULJAN D,8,8 - 8,371,MNE,6:11,Blocked,0
