Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,13,10.0,2,4,KAZ,4.0,ROGA D,13 - 4,264,KAZ,4:24,Saved,0
Action shot,14,5.0,2,4,KAZ,4.0,EGGENS M,14 - 4,197,CAN,3:17,Goal,1
Action shot,15,5.0,2,4,KAZ,4.0,EGGENS M,15 - 4,150,CAN,2:30,Goal,1
5m shot,15,10.0,2,4,KAZ,4.0,ROGA D,15 - 4,106,KAZ,1:46,Saved,0
5m shot,16,6.0,2,4,KAZ,4.0,MCKEE K,16 - 4,81,CAN,1:21,Goal,1
5m shot,16,4.0,2,4,KAZ,4.0,TUROVA A,16 - 4,14,KAZ,0:14,Missed,0
Action shot,17,10.0,2,4,KAZ,4.0,ROBINSON C,17 - 4,3,CAN,0:03,Goal,1
5m shot,0,3.0,3,0,ESP,1.0,ESPAR A,0 - 0,450,ESP,7:30,Saved,0
5m shot,0,10.0,3,0,ESP,1.0,ROBINSON C,0 - 0,424,CAN,7:04,Post,0
5m shot,0,11.0,3,1,ESP,1.0,GARCIA M,0 - 1,407,ESP,6:47,Goal,1
5m shot,0,10.0,3,1,ESP,1.0,TARRAGO R,0 - 1,355,ESP,5:55,Missed,0
Extra player shot,0,8.0,3,2,ESP,1.0,PENA P,0 - 2,266,ESP,4:26,Goal,1
Action shot,0,5.0,3,2,ESP,1.0,EGGENS M,0 - 2,236,CAN,3:56,Saved,0
5m shot,1,9.0,3,2,ESP,1.0,EGGENS C,1 - 2,186,CAN,3:06,Goal,1
Action shot,1,9.0,3,3,ESP,1.0,FORCA J,1 - 3,158,ESP,2:38,Goal,1
5m shot,1,9.0,3,3,ESP,1.0,EGGENS C,1 - 3,129,CAN,2:09,Blocked,0
Centre shot,1,11.0,3,4,ESP,1.0,GARCIA M,1 - 4,107,ESP,1:47,Goal,1
Extra player shot,1,6.0,3,5,ESP,1.0,PAREJA J,1 - 5,48,ESP,0:48,Goal,1
Action shot,1,6.0,3,6,ESP,2.0,PAREJA J,1 - 6,434,ESP,7:14,Goal,1
Extra player shot,2,2.0,3,6,ESP,2.0,ALOGBO K,2 - 6,397,CAN,6:37,Goal,1
Action shot,2,9.0,3,7,ESP,2.0,FORCA J,2 - 7,376,ESP,6:16,Goal,1
Action shot,2,4.0,3,7,ESP,2.0,WRIGHT E,2 - 7,350,CAN,5:50,Saved,0
5m shot,2,10.0,3,7,ESP,2.0,TARRAGO R,2 - 7,279,ESP,4:39,Post,0
Extra player shot,2,8.0,3,7,ESP,2.0,FOURNIER S,2 - 7,251,CAN,4:11,Saved,0
Action shot,2,5.0,3,7,ESP,2.0,ORTIZ M,2 - 7,208,ESP,3:28,Missed,0
Action shot,2,2.0,3,7,ESP,2.0,ALOGBO K,2 - 7,181,CAN,3:01,Post,0
Extra player shot,2,8.0,3,7,ESP,2.0,PENA P,2 - 7,134,ESP,2:14,Saved,0
Extra player shot,2,8.0,3,8,ESP,2.0,PENA P,2 - 8,86,ESP,1:26,Goal,1
Action shot,2,12.0,3,8,ESP,2.0,LOPEZ L,2 - 8,54,ESP,0:54,Blocked,0
Penalty shot,2,6.0,3,9,ESP,2.0,PAREJA J,2 - 9,28,ESP,0:28,Goal,1
Extra player shot,3,8.0,3,9,ESP,2.0,FOURNIER S,3 - 9,1,CAN,0:01,Goal,1
5m shot,3,8.0,3,9,ESP,3.0,FOURNIER S,3 - 9,436,CAN,7:16,Blocked,0
5m shot,4,5.0,3,9,ESP,3.0,EGGENS M,4 - 9,411,CAN,6:51,Goal,1
Action shot,4,5.0,3,9,ESP,3.0,EGGENS M,4 - 9,352,CAN,5:52,Missed,0
Action shot,4,9.0,3,9,ESP,3.0,FORCA J,4 - 9,331,ESP,5:31,Blocked,0
Action shot,4,5.0,3,9,ESP,3.0,EGGENS M,4 - 9,304,CAN,5:04,Blocked,0
5m shot,4,7.0,3,10,ESP,3.0,ESPAR C,4 - 10,278,ESP,4:38,Goal,1
Action shot,4,12.0,3,10,ESP,3.0,PERREAULT D,4 - 10,262,CAN,4:22,Saved,0
Extra player shot,5,5.0,3,10,ESP,3.0,EGGENS M,5 - 10,235,CAN,3:55,Goal,1
Extra player shot,5,3.0,3,11,ESP,3.0,ESPAR A,5 - 11,199,ESP,3:19,Goal,1
Action shot,5,7.0,3,11,ESP,3.0,BEKHAZI J,5 - 11,100,CAN,1:40,Saved,0
Extra player shot,5,12.0,3,11,ESP,3.0,LOPEZ L,5 - 11,48,ESP,0:48,Saved,0
Extra player shot,5,6.0,3,11,ESP,4.0,MCKEE K,5 - 11,427,CAN,7:07,Post,0
Action shot,5,7.0,3,11,ESP,4.0,BEKHAZI J,5 - 11,418,CAN,6:58,Missed,0
Penalty shot,5,6.0,3,11,ESP,4.0,PAREJA J,5 - 11,394,ESP,6:34,Saved,0
Centre shot,5,11.0,3,11,ESP,4.0,GARCIA M,5 - 11,375,ESP,6:15,Post,0
Action shot,5,4.0,3,11,ESP,4.0,WRIGHT E,5 - 11,349,CAN,5:49,Saved,0
Centre shot,5,11.0,3,11,ESP,4.0,GARCIA M,5 - 11,320,ESP,5:20,Saved,0
Extra player shot,6,4.0,3,11,ESP,4.0,WRIGHT E,6 - 11,281,CAN,4:41,Goal,1
Action shot,6,11.0,3,11,ESP,4.0,VALIN S,6 - 11,232,CAN,3:52,Post,0
Action shot,6,9.0,3,11,ESP,4.0,FORCA J,6 - 11,216,ESP,3:36,Post,0
Extra player shot,6,4.0,3,11,ESP,4.0,LEITON P,6 - 11,132,ESP,2:12,Saved,0
Action shot,6,12.0,3,11,ESP,4.0,PERREAULT D,6 - 11,107,CAN,1:47,Saved,0
Extra player shot,6,3.0,3,12,ESP,4.0,ESPAR A,6 - 12,21,ESP,0:21,Goal,1
Action shot,6,4.0,3,12,ESP,4.0,WRIGHT E,6 - 12,4,CAN,0:04,Saved,0
5m shot,1,11.0,4,0,GRE,1.0,VALIN S,1 - 0,452,CAN,7:32,Goal,1
Action shot,1,11.0,4,0,GRE,1.0,VALIN S,1 - 0,421,CAN,7:01,Post,0
5m shot,1,10.0,4,0,GRE,1.0,MANOLIOUDAKI T,1 - 0,393,GRE,6:33,Saved,0
Action shot,1,4.0,4,1,GRE,1.0,KOTSIA C,1 - 1,339,GRE,5:39,Goal,1
5m shot,1,10.0,4,1,GRE,1.0,ROBINSON C,1 - 1,314,CAN,5:14,Missed,0
Action shot,1,10.0,4,1,GRE,1.0,MANOLIOUDAKI T,1 - 1,292,GRE,4:52,Saved,0
5m shot,1,10.0,4,1,GRE,1.0,ROBINSON C,1 - 1,260,CAN,4:20,Saved,0
Counter attack,1,5.0,4,1,GRE,1.0,EGGENS M,1 - 1,235,CAN,3:55,Blocked,0
Action shot,1,6.0,4,1,GRE,1.0,AVRAMIDOU A,1 - 1,213,GRE,3:33,Post,0
Extra player shot,2,10.0,4,1,GRE,1.0,ROBINSON C,2 - 1,181,CAN,3:01,Goal,1
Action shot,2,7.0,4,1,GRE,1.0,BEKHAZI J,2 - 1,151,CAN,2:31,Post,0
Action shot,2,3.0,4,2,GRE,1.0,CHARALAMPIDI S,2 - 2,137,GRE,2:17,Goal,1
Action shot,2,4.0,4,2,GRE,1.0,WRIGHT E,2 - 2,115,CAN,1:55,Saved,0
5m shot,2,6.0,4,2,GRE,1.0,MCKEE K,2 - 2,61,CAN,1:01,Blocked,0
Action shot,2,11.0,4,3,GRE,1.0,PLEVRITOU E,2 - 3,33,GRE,0:33,Goal,1
5m shot,3,4.0,4,3,GRE,1.0,WRIGHT E,3 - 3,10,CAN,0:10,Goal,1
5m shot,3,11.0,4,3,GRE,1.0,PLEVRITOU E,3 - 3,2,GRE,0:02,Missed,0
5m shot,4,11.0,4,3,GRE,2.0,VALIN S,4 - 3,382,CAN,6:22,Goal,1
Extra player shot,4,8.0,4,4,GRE,2.0,ROUMPESI A,4 - 4,345,GRE,5:45,Goal,1
Action shot,4,5.0,4,4,GRE,2.0,EGGENS M,4 - 4,259,CAN,4:19,Saved,0
Action shot,4,6.0,4,4,GRE,2.0,AVRAMIDOU A,4 - 4,241,GRE,4:01,Saved,0
Action shot,4,5.0,4,4,GRE,2.0,EGGENS M,4 - 4,209,CAN,3:29,Blocked,0
5m shot,4,6.0,4,4,GRE,2.0,AVRAMIDOU A,4 - 4,134,GRE,2:14,Saved,0
5m shot,4,9.0,4,4,GRE,2.0,EGGENS C,4 - 4,112,CAN,1:52,Saved,0
Centre shot,4,7.0,4,4,GRE,2.0,ASIMAKI A,4 - 4,90,GRE,1:30,Missed,0
5m shot,4,8.0,4,4,GRE,2.0,ROUMPESI A,4 - 4,46,GRE,0:46,Saved,0
Action shot,4,4.0,4,4,GRE,2.0,WRIGHT E,4 - 4,18,CAN,0:18,Saved,0
Action shot,4,3.0,4,4,GRE,2.0,CHARALAMPIDI S,4 - 4,2,GRE,0:02,Saved,0
Action shot,4,8.0,4,4,GRE,3.0,FOURNIER S,4 - 4,358,CAN,5:58,Blocked,0
Action shot,4,10.0,4,5,GRE,3.0,MANOLIOUDAKI T,4 - 5,346,GRE,5:46,Goal,1
Penalty shot,4,8.0,4,5,GRE,3.0,ROUMPESI A,4 - 5,303,GRE,5:03,Post,0
Action shot,4,12.0,4,5,GRE,3.0,PERREAULT D,4 - 5,276,CAN,4:36,Missed,0
Action shot,4,6.0,4,5,GRE,3.0,AVRAMIDOU A,4 - 5,255,GRE,4:15,Blocked,0
Centre shot,4,8.0,4,5,GRE,3.0,FOURNIER S,4 - 5,226,CAN,3:46,Saved,0
5m shot,4,8.0,4,5,GRE,3.0,FOURNIER S,4 - 5,196,CAN,3:16,Saved,0
Action shot,4,6.0,4,5,GRE,3.0,AVRAMIDOU A,4 - 5,167,GRE,2:47,Post,0
Action shot,4,10.0,4,5,GRE,3.0,ROBINSON C,4 - 5,137,CAN,2:17,Missed,0
Penalty shot,4,3.0,4,6,GRE,3.0,CHARALAMPIDI S,4 - 6,115,GRE,1:55,Goal,1
5m shot,4,10.0,4,6,GRE,3.0,MANOLIOUDAKI T,4 - 6,2,GRE,0:02,Post,0
Extra player shot,4,7.0,4,6,GRE,4.0,ASIMAKI A,4 - 6,450,GRE,7:30,Saved,0
Action shot,4,2.0,4,6,GRE,4.0,ALOGBO K,4 - 6,420,CAN,7:00,Blocked,0
Action shot,4,10.0,4,7,GRE,4.0,MANOLIOUDAKI T,4 - 7,397,GRE,6:37,Goal,1
Action shot,4,4.0,4,7,GRE,4.0,WRIGHT E,4 - 7,372,CAN,6:12,Blocked,0
5m shot,4,3.0,4,8,GRE,4.0,CHARALAMPIDI S,4 - 8,348,GRE,5:48,Goal,1
5m shot,4,7.0,4,8,GRE,4.0,BEKHAZI J,4 - 8,324,CAN,5:24,Saved,0
Action shot,4,4.0,4,8,GRE,4.0,WRIGHT E,4 - 8,294,CAN,4:54,Saved,0
5m shot,4,4.0,4,8,GRE,4.0,WRIGHT E,4 - 8,249,CAN,4:09,Missed,0
Action shot,4,4.0,4,8,GRE,4.0,WRIGHT E,4 - 8,223,CAN,3:43,Saved,0
5m shot,4,10.0,4,8,GRE,4.0,MANOLIOUDAKI T,4 - 8,197,GRE,3:17,Saved,0
Action shot,4,5.0,4,8,GRE,4.0,EGGENS M,4 - 8,167,CAN,2:47,Blocked,0
Action shot,4,7.0,4,8,GRE,4.0,BEKHAZI J,4 - 8,120,CAN,2:00,Saved,0
5m shot,4,8.0,4,8,GRE,4.0,ROUMPESI A,4 - 8,94,GRE,1:34,Saved,0
5m shot,5,7.0,4,8,GRE,4.0,BEKHAZI J,5 - 8,75,CAN,1:15,Goal,1
Extra player shot,5,3.0,4,8,GRE,4.0,MONTON K,5 - 8,17,CAN,0:17,Saved,0
Counter attack,5,12.0,4,8,GRE,4.0,XENAKI E,5 - 8,2,GRE,0:02,Post,0
Action shot,0,10.0,5,0,HUN,1.0,BUJKA B,0 - 0,454,HUN,7:34,Saved,0
Action shot,0,4.0,5,0,HUN,1.0,KISTELEKI D,0 - 0,409,HUN,6:49,Saved,0
5m shot,0,5.0,5,1,HUN,1.0,SZUCS G,0 - 1,396,HUN,6:36,Goal,1
5m shot,0,4.0,5,1,HUN,1.0,KISTELEKI D,0 - 1,333,HUN,5:33,Saved,0
Extra player shot,1,11.0,5,1,HUN,1.0,VALIN S,1 - 1,203,CAN,3:23,Goal,1
Action shot,1,2.0,5,1,HUN,1.0,CZIGANY D,1 - 1,172,HUN,2:52,Post,0
Centre shot,1,9.0,5,1,HUN,1.0,TOTH I,1 - 1,106,HUN,1:46,Saved,0
5m shot,1,8.0,5,1,HUN,1.0,FOURNIER S,1 - 1,77,CAN,1:17,Saved,0
Counter attack,1,4.0,5,2,HUN,1.0,KISTELEKI D,1 - 2,70,HUN,1:10,Goal,1
5m shot,1,8.0,5,2,HUN,1.0,KESZTHELYI R,1 - 2,1,HUN,0:01,Missed,0
Extra player shot,2,5.0,5,2,HUN,2.0,EGGENS M,2 - 2,366,CAN,6:06,Goal,1
Centre shot,2,3.0,5,2,HUN,2.0,ANTAL D,2 - 2,342,HUN,5:42,Missed,0
Extra player shot,2,8.0,5,3,HUN,2.0,KESZTHELYI R,2 - 3,322,HUN,5:22,Goal,1
Action shot,2,12.0,5,3,HUN,2.0,PERREAULT D,2 - 3,261,CAN,4:21,Saved,0
Action shot,2,11.0,5,3,HUN,2.0,GARDA K,2 - 3,220,HUN,3:40,Blocked,0
Action shot,3,9.0,5,3,HUN,2.0,EGGENS C,3 - 3,201,CAN,3:21,Goal,1
5m shot,3,5.0,5,3,HUN,2.0,SZUCS G,3 - 3,171,HUN,2:51,Post,0
Action shot,3,8.0,5,4,HUN,2.0,KESZTHELYI R,3 - 4,171,HUN,2:51,Goal,1
Centre shot,3,3.0,5,4,HUN,2.0,ANTAL D,3 - 4,122,HUN,2:02,Blocked,0
Action shot,3,11.0,5,4,HUN,2.0,VALIN S,3 - 4,92,CAN,1:32,Missed,0
5m shot,3,5.0,5,4,HUN,2.0,SZUCS G,3 - 4,47,HUN,0:47,Missed,0
5m shot,3,7.0,5,4,HUN,2.0,ILLES A,3 - 4,2,HUN,0:02,Blocked,0
5m shot,3,5.0,5,4,HUN,3.0,SZUCS G,3 - 4,438,HUN,7:18,Missed,0
Action shot,3,9.0,5,4,HUN,3.0,EGGENS C,3 - 4,420,CAN,7:00,Blocked,0
5m shot,3,8.0,5,4,HUN,3.0,KESZTHELYI R,3 - 4,403,HUN,6:43,Saved,0
Extra player shot,3,4.0,5,5,HUN,3.0,KISTELEKI D,3 - 5,352,HUN,5:52,Goal,1
Extra player shot,4,10.0,5,5,HUN,3.0,ROBINSON C,4 - 5,273,CAN,4:33,Goal,1
Centre shot,4,2.0,5,5,HUN,3.0,ALOGBO K,4 - 5,230,CAN,3:50,Saved,0
Extra player shot,4,8.0,5,6,HUN,3.0,KESZTHELYI R,4 - 6,199,HUN,3:19,Goal,1
Action shot,4,9.0,5,6,HUN,3.0,EGGENS C,4 - 6,180,CAN,3:00,Missed,0
Action shot,4,3.0,5,6,HUN,3.0,ANTAL D,4 - 6,149,HUN,2:29,Saved,0
5m shot,5,7.0,5,6,HUN,3.0,BEKHAZI J,5 - 6,125,CAN,2:05,Goal,1
Action shot,6,4.0,5,6,HUN,3.0,WRIGHT E,6 - 6,75,CAN,1:15,Goal,1
5m shot,6,4.0,5,6,HUN,3.0,KISTELEKI D,6 - 6,44,HUN,0:44,Saved,0
Action shot,6,8.0,5,6,HUN,3.0,KESZTHELYI R,6 - 6,13,HUN,0:13,Saved,0
Extra player shot,6,8.0,5,7,HUN,4.0,KESZTHELYI R,6 - 7,421,HUN,7:01,Goal,1
Action shot,6,10.0,5,8,HUN,4.0,BUJKA B,6 - 8,380,HUN,6:20,Goal,1
Action shot,6,6.0,5,8,HUN,4.0,TAKACS O,6 - 8,336,HUN,5:36,Post,0
5m shot,6,4.0,5,8,HUN,4.0,WRIGHT E,6 - 8,306,CAN,5:06,Blocked,0
Action shot,6,8.0,5,8,HUN,4.0,FOURNIER S,6 - 8,281,CAN,4:41,Post,0
Action shot,6,7.0,5,9,HUN,4.0,ILLES A,6 - 9,231,HUN,3:51,Goal,1
Action shot,7,4.0,5,9,HUN,4.0,WRIGHT E,7 - 9,188,CAN,3:08,Goal,1
5m shot,7,10.0,5,9,HUN,4.0,BUJKA B,7 - 9,157,HUN,2:37,Missed,0
Counter attack,7,10.0,5,10,HUN,4.0,BUJKA B,7 - 10,138,HUN,2:18,Goal,1
Extra player shot,7,5.0,5,10,HUN,4.0,EGGENS M,7 - 10,124,CAN,2:04,Post,0
5m shot,7,7.0,5,10,HUN,4.0,ILLES A,7 - 10,97,HUN,1:37,Missed,0
Extra player shot,7,4.0,5,10,HUN,4.0,WRIGHT E,7 - 10,67,CAN,1:07,Saved,0
