Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Saved,5,11.0,1,1,NZL,2.0,HUDSON K,5 - 1,451,NZL,7:31
5m shot - Goal,6,10.0,1,1,NZL,2.0,ROBINSON C,6 - 1,436,CAN,7:16
20 sec. exclusion in centre,6,5.0,1,1,NZL,2.0,EGGENS M,6 - 1,419,CAN,6:59
Extra player shot - Goal,6,10.0,1,2,NZL,2.0,DANCE L,6 - 2,402,NZL,6:42
Action shot - Saved,6,4.0,1,2,NZL,2.0,LEWIS D,6 - 2,343,NZL,5:43
5m shot - Goal,7,8.0,1,2,NZL,2.0,FOURNIER S,7 - 2,334,CAN,5:34
20 sec. exclusion in field,7,12.0,1,2,NZL,2.0,MYLES J,7 - 2,323,NZL,5:23
Centre shot - Goal,7,2.0,1,3,NZL,2.0,LEWIS N,7 - 3,277,NZL,4:37
20 sec. exclusion in centre,7,6.0,1,3,NZL,2.0,LANDRY S,7 - 3,257,NZL,4:17
5m shot - Saved,7,7.0,1,3,NZL,2.0,BEKHAZI J,7 - 3,214,CAN,3:34
5m shot - Saved,7,5.0,1,3,NZL,2.0,EGGENS M,7 - 3,195,CAN,3:15
20 sec. exclusion in field,7,6.0,1,3,NZL,2.0,LANDRY S,7 - 3,191,NZL,3:11
Centre shot - Missed,7,10.0,1,3,NZL,2.0,ROBINSON C,7 - 3,177,CAN,2:57
Turnover foul,7,5.0,1,3,NZL,2.0,EGGENS M,7 - 3,138,CAN,2:18
20 sec. exclusion in field,7,9.0,1,3,NZL,2.0,EGGENS C,7 - 3,121,CAN,2:01
Extra player shot - Goal,7,12.0,1,4,NZL,2.0,MYLES J,7 - 4,108,NZL,1:48
Centre shot - Saved,7,2.0,1,4,NZL,2.0,ALOGBO K,7 - 4,87,CAN,1:27
5m shot - Missed,7,12.0,1,4,NZL,2.0,MYLES J,7 - 4,64,NZL,1:04
Time-Out,7,,1,4,NZL,2.0,,7 - 4,63,CAN,1:03
Action shot - Saved,7,10.0,1,4,NZL,2.0,ROBINSON C,7 - 4,46,CAN,0:46
Time-Out,7,,1,4,NZL,2.0,,7 - 4,45,NZL,0:45
Turnover foul,7,2.0,1,4,NZL,2.0,LEWIS N,7 - 4,24,NZL,0:24
Centre shot - Post,7,2.0,1,4,NZL,2.0,ALOGBO K,7 - 4,5,CAN,0:05
Starting goalkeeper,7,1.0,1,4,NZL,3.0,GAUDREAULT J,7 - 4,480,CAN,8:00
Starting goalkeeper,7,1.0,1,4,NZL,3.0,MILLAR B,7 - 4,480,NZL,8:00
Sprint won possession,7,12.0,1,4,NZL,3.0,PERREAULT D,7 - 4,480,CAN,8:00
Action shot - Saved,7,7.0,1,4,NZL,3.0,BEKHAZI J,7 - 4,452,CAN,7:32
20 sec. exclusion in field,7,7.0,1,4,NZL,3.0,BEKHAZI J,7 - 4,440,CAN,7:20
Action shot - Blocked,7,8.0,1,4,NZL,3.0,FOURNIER S,7 - 4,412,CAN,6:52
Turnover foul,7,2.0,1,4,NZL,3.0,LEWIS N,7 - 4,393,NZL,6:33
Action shot - Goal,8,8.0,1,4,NZL,3.0,FOURNIER S,8 - 4,387,CAN,6:27
20 sec. exclusion in centre,8,9.0,1,4,NZL,3.0,EGGENS C,8 - 4,377,CAN,6:17
Turnover foul,8,8.0,1,4,NZL,3.0,FOURNIER S,8 - 4,336,CAN,5:36
Turnover foul,8,9.0,1,4,NZL,3.0,STONEMAN E,8 - 4,303,NZL,5:03
Steal,8,5.0,1,4,NZL,3.0,EGGENS M,8 - 4,303,CAN,5:03
Centre shot - Saved,8,5.0,1,4,NZL,3.0,EGGENS M,8 - 4,289,CAN,4:49
5m shot - Saved,8,9.0,1,4,NZL,3.0,STONEMAN E,8 - 4,262,NZL,4:22
Turnover foul,8,11.0,1,4,NZL,3.0,VALIN S,8 - 4,230,CAN,3:50
5m shot - Goal,8,12.0,1,5,NZL,3.0,MYLES J,8 - 5,217,NZL,3:37
Turnover foul,8,10.0,1,5,NZL,3.0,ROBINSON C,8 - 5,181,CAN,3:01
Turnover foul,8,5.0,1,5,NZL,3.0,LEWIS S,8 - 5,150,NZL,2:30
Action shot - Goal,9,7.0,1,5,NZL,3.0,BEKHAZI J,9 - 5,132,CAN,2:12
5m shot - Goal,9,6.0,1,6,NZL,3.0,LANDRY S,9 - 6,91,NZL,1:31
Centre shot - Goal,10,2.0,1,6,NZL,3.0,ALOGBO K,10 - 6,71,CAN,1:11
5m shot - Saved,10,10.0,1,6,NZL,3.0,DANCE L,10 - 6,43,NZL,0:43
Action shot - Goal,11,5.0,1,6,NZL,3.0,EGGENS M,11 - 6,18,CAN,0:18
Time-Out,11,,1,6,NZL,3.0,,11 - 6,18,NZL,0:18
Action shot - Blocked,11,11.0,1,6,NZL,3.0,HUDSON K,11 - 6,2,NZL,0:02
Starting goalkeeper,11,1.0,1,6,NZL,4.0,GAUDREAULT J,11 - 6,480,CAN,8:00
Starting goalkeeper,11,1.0,1,6,NZL,4.0,MILLAR B,11 - 6,480,NZL,8:00
Sprint won possession,11,5.0,1,6,NZL,4.0,EGGENS M,11 - 6,480,CAN,8:00
20 sec. exclusion in centre,11,4.0,1,6,NZL,4.0,LEWIS D,11 - 6,466,NZL,7:46
Penalty foul,11,1.0,1,6,NZL,4.0,MILLAR B,11 - 6,438,NZL,7:18
Penalty shot - Goal,12,5.0,1,6,NZL,4.0,EGGENS M,12 - 6,438,CAN,7:18
Turnover foul,12,6.0,1,6,NZL,4.0,LANDRY S,12 - 6,421,NZL,7:01
Steal,12,3.0,1,6,NZL,4.0,MONTON K,12 - 6,421,CAN,7:01
Action shot - Post,12,11.0,1,6,NZL,4.0,VALIN S,12 - 6,393,CAN,6:33
20 sec. exclusion in field,12,7.0,1,6,NZL,4.0,BEKHAZI J,12 - 6,374,CAN,6:14
5m shot - Post,12,11.0,1,6,NZL,4.0,VALIN S,12 - 6,329,CAN,5:29
Turnover foul,12,8.0,1,6,NZL,4.0,LOPES DA SILVA C,12 - 6,298,NZL,4:58
Steal,12,10.0,1,6,NZL,4.0,ROBINSON C,12 - 6,298,CAN,4:58
Action shot - Saved,12,11.0,1,6,NZL,4.0,VALIN S,12 - 6,279,CAN,4:39
20 sec. exclusion in field,12,12.0,1,6,NZL,4.0,MYLES J,12 - 6,268,NZL,4:28
Extra player shot - Goal,13,11.0,1,6,NZL,4.0,VALIN S,13 - 6,258,CAN,4:18
20 sec. exclusion in field,13,12.0,1,6,NZL,4.0,PERREAULT D,13 - 6,245,CAN,4:05
5m shot - Blocked,13,6.0,1,6,NZL,4.0,MCKEE K,13 - 6,228,CAN,3:48
Action shot - Saved,13,5.0,1,6,NZL,4.0,EGGENS M,13 - 6,197,CAN,3:17
Centre shot - Goal,14,3.0,1,6,NZL,4.0,MONTON K,14 - 6,180,CAN,3:00
Turnover foul,14,9.0,1,6,NZL,4.0,STONEMAN E,14 - 6,153,NZL,2:33
Turnover foul,14,2.0,1,6,NZL,4.0,ALOGBO K,14 - 6,127,CAN,2:07
Steal,14,10.0,1,6,NZL,4.0,DANCE L,14 - 6,127,NZL,2:07
Action shot - Saved,14,9.0,1,6,NZL,4.0,STONEMAN E,14 - 6,103,NZL,1:43
Turnover foul,14,6.0,1,6,NZL,4.0,LANDRY S,14 - 6,96,NZL,1:36
Counter attack - Saved,14,10.0,1,6,NZL,4.0,DANCE L,14 - 6,92,NZL,1:32
20 sec. exclusion in field,14,3.0,1,6,NZL,4.0,PATTISON S,14 - 6,81,NZL,1:21
Time-Out,14,,1,6,NZL,4.0,,14 - 6,81,CAN,1:21
Extra player shot - Goal,15,6.0,1,6,NZL,4.0,MCKEE K,15 - 6,65,CAN,1:05
20 sec. exclusion in field,15,7.0,1,6,NZL,4.0,BEKHAZI J,15 - 6,51,CAN,0:51
Double exclusion,15,7.0,1,6,NZL,4.0,BEKHAZI J,15 - 6,51,CAN,0:51
Time-Out,15,,1,6,NZL,4.0,,15 - 6,51,NZL,0:51
5m shot - Saved,15,12.0,1,6,NZL,4.0,MYLES J,15 - 6,31,NZL,0:31
Starting goalkeeper,0,1.0,2,0,KAZ,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Starting goalkeeper,0,1.0,2,0,KAZ,1.0,ZHARKIMBAYEVA A,0 - 0,480,KAZ,8:00
Sprint won possession,0,12.0,2,0,KAZ,1.0,PERREAULT D,0 - 0,480,CAN,8:00
Turnover foul,0,5.0,2,0,KAZ,1.0,ZAKIROVA K,0 - 0,451,KAZ,7:31
20 sec. exclusion in centre,0,12.0,2,0,KAZ,1.0,MUSSAROVA A,0 - 0,407,KAZ,6:47
Action shot - Goal,1,7.0,2,0,KAZ,1.0,BEKHAZI J,1 - 0,384,CAN,6:24
20 sec. exclusion in centre,1,3.0,2,0,KAZ,1.0,MONTON K,1 - 0,365,CAN,6:05
Extra player shot - Post,1,8.0,2,0,KAZ,1.0,SAICHUK O,1 - 0,344,KAZ,5:44
Extra player shot - Saved,1,5.0,2,0,KAZ,1.0,ZAKIROVA K,1 - 0,330,KAZ,5:30
Action shot - Goal,2,2.0,2,0,KAZ,1.0,ALOGBO K,2 - 0,311,CAN,5:11
Action shot - Post,2,4.0,2,0,KAZ,1.0,TUROVA A,2 - 0,293,KAZ,4:53
5m shot - Post,2,5.0,2,0,KAZ,1.0,EGGENS M,2 - 0,267,CAN,4:27
Action shot - Saved,2,7.0,2,0,KAZ,1.0,MYRZABEKOVA Z,2 - 0,250,KAZ,4:10
Action shot - Missed,2,11.0,2,0,KAZ,1.0,VALIN S,2 - 0,222,CAN,3:42
Penalty foul,2,5.0,2,0,KAZ,1.0,EGGENS M,2 - 0,196,CAN,3:16
Penalty shot - Goal,2,11.0,2,1,KAZ,1.0,MIRSHINA A,2 - 1,196,KAZ,3:16
Action shot - Goal,3,5.0,2,1,KAZ,1.0,EGGENS M,3 - 1,171,CAN,2:51
5m shot - Missed,3,12.0,2,1,KAZ,1.0,MUSSAROVA A,3 - 1,147,KAZ,2:27
5m shot - Goal,4,9.0,2,1,KAZ,1.0,EGGENS C,4 - 1,125,CAN,2:05
Turnover foul,4,5.0,2,1,KAZ,1.0,ZAKIROVA K,4 - 1,99,KAZ,1:39
Action shot - Missed,4,9.0,2,1,KAZ,1.0,EGGENS C,4 - 1,76,CAN,1:16
Time-Out,4,,2,1,KAZ,1.0,,4 - 1,76,KAZ,1:16
Turnover foul,4,4.0,2,1,KAZ,1.0,TUROVA A,4 - 1,53,KAZ,0:53
Steal,4,10.0,2,1,KAZ,1.0,ROBINSON C,4 - 1,53,CAN,0:53
Starting goalkeeper,4,1.0,2,1,KAZ,2.0,GAUDREAULT J,4 - 1,480,CAN,8:00
Starting goalkeeper,4,1.0,2,1,KAZ,2.0,ZHARKIMBAYEVA A,4 - 1,480,KAZ,8:00
Sprint won possession,4,12.0,2,1,KAZ,2.0,PERREAULT D,4 - 1,480,CAN,8:00
Turnover foul,4,12.0,2,1,KAZ,2.0,PERREAULT D,4 - 1,452,CAN,7:32
Turnover foul,4,12.0,2,1,KAZ,2.0,MUSSAROVA A,4 - 1,417,KAZ,6:57
20 sec. exclusion in centre,4,12.0,2,1,KAZ,2.0,MUSSAROVA A,4 - 1,404,KAZ,6:44
Extra player shot - Goal,5,8.0,2,1,KAZ,2.0,FOURNIER S,5 - 1,395,CAN,6:35
Turnover foul,5,4.0,2,1,KAZ,2.0,TUROVA A,5 - 1,370,KAZ,6:10
Steal,5,2.0,2,1,KAZ,2.0,ALOGBO K,5 - 1,370,CAN,6:10
Action shot - Goal,6,6.0,2,1,KAZ,2.0,MCKEE K,6 - 1,359,CAN,5:59
Action shot - Saved,6,3.0,2,1,KAZ,2.0,AKILBAYEVA A,6 - 1,340,KAZ,5:40
Turnover foul,6,3.0,2,1,KAZ,2.0,MONTON K,6 - 1,332,CAN,5:32
Counter attack - Goal,6,11.0,2,2,KAZ,2.0,MIRSHINA A,6 - 2,325,KAZ,5:25
Action shot - Saved,6,4.0,2,2,KAZ,2.0,WRIGHT E,6 - 2,298,CAN,4:58
Turnover foul,6,4.0,2,2,KAZ,2.0,WRIGHT E,6 - 2,277,CAN,4:37
Steal,6,11.0,2,2,KAZ,2.0,MIRSHINA A,6 - 2,277,KAZ,4:37
Action shot - Missed,6,6.0,2,2,KAZ,2.0,MCKEE K,6 - 2,225,CAN,3:45
5m shot - Blocked,6,5.0,2,2,KAZ,2.0,ZAKIROVA K,6 - 2,202,KAZ,3:22
Turnover foul,6,4.0,2,2,KAZ,2.0,TUROVA A,6 - 2,182,KAZ,3:02
Steal,6,2.0,2,2,KAZ,2.0,ALOGBO K,6 - 2,182,CAN,3:02
Counter attack - Post,6,11.0,2,2,KAZ,2.0,VALIN S,6 - 2,168,CAN,2:48
Time-Out,6,,2,2,KAZ,2.0,,6 - 2,145,CAN,2:25
Action shot - Saved,6,5.0,2,2,KAZ,2.0,EGGENS M,6 - 2,127,CAN,2:07
Action shot - Saved,6,3.0,2,2,KAZ,2.0,AKILBAYEVA A,6 - 2,101,KAZ,1:41
Turnover foul,6,5.0,2,2,KAZ,2.0,EGGENS M,6 - 2,77,CAN,1:17
Steal,6,4.0,2,2,KAZ,2.0,TUROVA A,6 - 2,77,KAZ,1:17
Time-Out,6,,2,2,KAZ,2.0,,6 - 2,77,KAZ,1:17
20 sec. exclusion in centre,6,7.0,2,2,KAZ,2.0,BEKHAZI J,6 - 2,51,CAN,0:51
Centre shot - Saved,6,11.0,2,2,KAZ,2.0,MIRSHINA A,6 - 2,32,KAZ,0:32
Starting goalkeeper,6,13.0,2,2,KAZ,3.0,COLTERJOHN N,6 - 2,480,CAN,8:00
Starting goalkeeper,6,1.0,2,2,KAZ,3.0,ZHARKIMBAYEVA A,6 - 2,480,KAZ,8:00
Sprint won possession,6,5.0,2,2,KAZ,3.0,ZAKIROVA K,6 - 2,480,KAZ,8:00
5m shot - Blocked,6,8.0,2,2,KAZ,3.0,SAICHUK O,6 - 2,455,KAZ,7:35
Turnover foul,6,12.0,2,2,KAZ,3.0,MUSSAROVA A,6 - 2,411,KAZ,6:51
5m shot - Saved,6,5.0,2,2,KAZ,3.0,EGGENS M,6 - 2,386,CAN,6:26
Turnover foul,6,5.0,2,2,KAZ,3.0,ZAKIROVA K,6 - 2,354,KAZ,5:54
Turnover foul,6,6.0,2,2,KAZ,3.0,MCKEE K,6 - 2,325,CAN,5:25
Turnover foul,6,8.0,2,2,KAZ,3.0,SAICHUK O,6 - 2,303,KAZ,5:03
Turnover foul,6,11.0,2,2,KAZ,3.0,VALIN S,6 - 2,276,CAN,4:36
Time-Out,6,,2,2,KAZ,3.0,,6 - 2,276,KAZ,4:36
Turnover foul,6,5.0,2,2,KAZ,3.0,ZAKIROVA K,6 - 2,264,KAZ,4:24
Turnover foul,6,5.0,2,2,KAZ,3.0,ZAKIROVA K,6 - 2,251,KAZ,4:11
Action shot - Goal,7,7.0,2,2,KAZ,3.0,BEKHAZI J,7 - 2,223,CAN,3:43
Steal,7,2.0,2,2,KAZ,3.0,ALOGBO K,7 - 2,223,CAN,3:43
5m shot - Saved,7,2.0,2,2,KAZ,3.0,ALOGBO K,7 - 2,199,CAN,3:19
Action shot - Saved,7,2.0,2,2,KAZ,3.0,ALOGBO K,7 - 2,181,CAN,3:01
Counter attack - Goal,7,10.0,2,3,KAZ,3.0,ROGA D,7 - 3,164,KAZ,2:44
Penalty foul,7,2.0,2,3,KAZ,3.0,YEGEMBERDIYEVA A,7 - 3,145,KAZ,2:25
Penalty shot - Goal,8,7.0,2,3,KAZ,3.0,BEKHAZI J,8 - 3,145,CAN,2:25
Turnover foul,8,3.0,2,3,KAZ,3.0,AKILBAYEVA A,8 - 3,130,KAZ,2:10
Counter attack - Goal,9,2.0,2,3,KAZ,3.0,ALOGBO K,9 - 3,119,CAN,1:59
Turnover foul,9,11.0,2,3,KAZ,3.0,MIRSHINA A,9 - 3,100,KAZ,1:40
Steal,9,3.0,2,3,KAZ,3.0,MONTON K,9 - 3,100,CAN,1:40
Turnover foul,9,8.0,2,3,KAZ,3.0,FOURNIER S,9 - 3,86,CAN,1:26
Steal,9,1.0,2,3,KAZ,3.0,ZHARKIMBAYEVA A,9 - 3,86,KAZ,1:26
Counter attack - Saved,9,7.0,2,3,KAZ,3.0,MYRZABEKOVA Z,9 - 3,76,KAZ,1:16
Action shot - Saved,9,7.0,2,3,KAZ,3.0,BEKHAZI J,9 - 3,60,CAN,1:00
Action shot - Post,9,11.0,2,3,KAZ,3.0,MIRSHINA A,9 - 3,46,KAZ,0:46
Action shot - Saved,9,3.0,2,3,KAZ,3.0,MONTON K,9 - 3,19,CAN,0:19
5m shot - Goal,9,5.0,2,4,KAZ,3.0,ZAKIROVA K,9 - 4,1,KAZ,0:01
Starting goalkeeper,9,13.0,2,4,KAZ,4.0,COLTERJOHN N,9 - 4,480,CAN,8:00
Starting goalkeeper,9,1.0,2,4,KAZ,4.0,ZHARKIMBAYEVA A,9 - 4,480,KAZ,8:00
Sprint won possession,9,12.0,2,4,KAZ,4.0,PERREAULT D,9 - 4,480,CAN,8:00
Turnover foul,9,2.0,2,4,KAZ,4.0,ALOGBO K,9 - 4,463,CAN,7:43
Steal,9,2.0,2,4,KAZ,4.0,YEGEMBERDIYEVA A,9 - 4,463,KAZ,7:43
Turnover foul,9,5.0,2,4,KAZ,4.0,ZAKIROVA K,9 - 4,440,KAZ,7:20
Action shot - Goal,10,10.0,2,4,KAZ,4.0,ROBINSON C,10 - 4,417,CAN,6:57
20 sec. exclusion in centre,10,4.0,2,4,KAZ,4.0,WRIGHT E,10 - 4,401,CAN,6:41
Extra player shot - Blocked,10,5.0,2,4,KAZ,4.0,ZAKIROVA K,10 - 4,372,KAZ,6:12
5m shot - Goal,11,2.0,2,4,KAZ,4.0,ALOGBO K,11 - 4,362,CAN,6:02
Turnover foul,11,11.0,2,4,KAZ,4.0,MIRSHINA A,11 - 4,341,KAZ,5:41
Steal,11,8.0,2,4,KAZ,4.0,FOURNIER S,11 - 4,341,CAN,5:41
Counter attack - Goal,12,5.0,2,4,KAZ,4.0,EGGENS M,12 - 4,330,CAN,5:30
Turnover foul,12,8.0,2,4,KAZ,4.0,SAICHUK O,12 - 4,307,KAZ,5:07
Steal,12,13.0,2,4,KAZ,4.0,COLTERJOHN N,12 - 4,307,CAN,5:07
5m shot - Goal,13,5.0,2,4,KAZ,4.0,EGGENS M,13 - 4,282,CAN,4:42
Time-Out,13,,2,4,KAZ,4.0,,13 - 4,282,KAZ,4:42
5m shot - Saved,13,10.0,2,4,KAZ,4.0,ROGA D,13 - 4,264,KAZ,4:24
Turnover foul,13,5.0,2,4,KAZ,4.0,EGGENS M,13 - 4,239,CAN,3:59
Action shot - Goal,14,5.0,2,4,KAZ,4.0,EGGENS M,14 - 4,197,CAN,3:17
Turnover foul,14,8.0,2,4,KAZ,4.0,SAICHUK O,14 - 4,178,KAZ,2:58
Steal,14,6.0,2,4,KAZ,4.0,MCKEE K,14 - 4,178,CAN,2:58
Action shot - Goal,15,5.0,2,4,KAZ,4.0,EGGENS M,15 - 4,150,CAN,2:30
20 sec. exclusion in centre,15,6.0,2,4,KAZ,4.0,MCKEE K,15 - 4,137,CAN,2:17
5m shot - Saved,15,10.0,2,4,KAZ,4.0,ROGA D,15 - 4,106,KAZ,1:46
5m shot - Goal,16,6.0,2,4,KAZ,4.0,MCKEE K,16 - 4,81,CAN,1:21
Turnover foul,16,11.0,2,4,KAZ,4.0,MIRSHINA A,16 - 4,55,KAZ,0:55
Time-Out,16,,2,4,KAZ,4.0,,16 - 4,55,CAN,0:55
Turnover foul,16,4.0,2,4,KAZ,4.0,WRIGHT E,16 - 4,43,CAN,0:43
5m shot - Missed,16,4.0,2,4,KAZ,4.0,TUROVA A,16 - 4,14,KAZ,0:14
Action shot - Goal,17,10.0,2,4,KAZ,4.0,ROBINSON C,17 - 4,3,CAN,0:03
Starting goalkeeper,0,1.0,3,0,ESP,1.0,GAUDREAULT J,0 - 0,480,CAN,8:00
Starting goalkeeper,0,1.0,3,0,ESP,1.0,ESTER L,0 - 0,480,ESP,8:00
Sprint won possession,0,6.0,3,0,ESP,1.0,PAREJA J,0 - 0,480,ESP,8:00
5m shot - Saved,0,3.0,3,0,ESP,1.0,ESPAR A,0 - 0,450,ESP,7:30
5m shot - Post,0,10.0,3,0,ESP,1.0,ROBINSON C,0 - 0,424,CAN,7:04
5m shot - Goal,0,11.0,3,1,ESP,1.0,GARCIA M,0 - 1,407,ESP,6:47
Turnover foul,0,4.0,3,1,ESP,1.0,WRIGHT E,0 - 1,384,CAN,6:24
5m shot - Missed,0,10.0,3,1,ESP,1.0,TARRAGO R,0 - 1,355,ESP,5:55
Turnover foul,0,10.0,3,1,ESP,1.0,ROBINSON C,0 - 1,334,CAN,5:34
Turnover foul,0,5.0,3,1,ESP,1.0,ORTIZ M,0 - 1,311,ESP,5:11
Turnover foul,0,10.0,3,1,ESP,1.0,ROBINSON C,0 - 1,285,CAN,4:45
20 sec. exclusion in centre,0,10.0,3,1,ESP,1.0,ROBINSON C,0 - 1,272,CAN,4:32
Extra player shot - Goal,0,8.0,3,2,ESP,1.0,PENA P,0 - 2,266,ESP,4:26
Action shot - Saved,0,5.0,3,2,ESP,1.0,EGGENS M,0 - 2,236,CAN,3:56
Turnover foul,0,3.0,3,2,ESP,1.0,ESPAR A,0 - 2,211,ESP,3:31
5m shot - Goal,1,9.0,3,2,ESP,1.0,EGGENS C,1 - 2,186,CAN,3:06
Action shot - Goal,1,9.0,3,3,ESP,1.0,FORCA J,1 - 3,158,ESP,2:38
5m shot - Blocked,1,9.0,3,3,ESP,1.0,EGGENS C,1 - 3,129,CAN,2:09
Centre shot - Goal,1,11.0,3,4,ESP,1.0,GARCIA M,1 - 4,107,ESP,1:47
Turnover foul,1,6.0,3,4,ESP,1.0,MCKEE K,1 - 4,79,CAN,1:19
20 sec. exclusion in centre,1,9.0,3,4,ESP,1.0,EGGENS C,1 - 4,67,CAN,1:07
Time-Out,1,,3,4,ESP,1.0,,1 - 4,67,ESP,1:07
Extra player shot - Goal,1,6.0,3,5,ESP,1.0,PAREJA J,1 - 5,48,ESP,0:48
Time-Out,1,,3,5,ESP,1.0,,1 - 5,48,CAN,0:48
Turnover foul,1,5.0,3,5,ESP,1.0,EGGENS M,1 - 5,19,CAN,0:19
Steal,1,3.0,3,5,ESP,1.0,ESPAR A,1 - 5,19,ESP,0:19
Starting goalkeeper,1,1.0,3,5,ESP,2.0,GAUDREAULT J,1 - 5,480,CAN,8:00
Starting goalkeeper,1,1.0,3,5,ESP,2.0,ESTER L,1 - 5,480,ESP,8:00
Sprint won possession,1,6.0,3,5,ESP,2.0,PAREJA J,1 - 5,480,ESP,8:00
20 sec. exclusion in centre,1,10.0,3,5,ESP,2.0,ROBINSON C,1 - 5,457,CAN,7:37
Action shot - Goal,1,6.0,3,6,ESP,2.0,PAREJA J,1 - 6,434,ESP,7:14
20 sec. exclusion in centre,1,8.0,3,6,ESP,2.0,PENA P,1 - 6,414,ESP,6:54
Extra player shot - Goal,2,2.0,3,6,ESP,2.0,ALOGBO K,2 - 6,397,CAN,6:37
Action shot - Goal,2,9.0,3,7,ESP,2.0,FORCA J,2 - 7,376,ESP,6:16
Action shot - Saved,2,4.0,3,7,ESP,2.0,WRIGHT E,2 - 7,350,CAN,5:50
Turnover foul,2,4.0,3,7,ESP,2.0,WRIGHT E,2 - 7,300,CAN,5:00
5m shot - Post,2,10.0,3,7,ESP,2.0,TARRAGO R,2 - 7,279,ESP,4:39
20 sec. exclusion in centre,2,9.0,3,7,ESP,2.0,FORCA J,2 - 7,259,ESP,4:19
Extra player shot - Saved,2,8.0,3,7,ESP,2.0,FOURNIER S,2 - 7,251,CAN,4:11
20 sec. exclusion in centre,2,3.0,3,7,ESP,2.0,MONTON K,2 - 7,226,CAN,3:46
Action shot - Missed,2,5.0,3,7,ESP,2.0,ORTIZ M,2 - 7,208,ESP,3:28
Action shot - Post,2,2.0,3,7,ESP,2.0,ALOGBO K,2 - 7,181,CAN,3:01
20 sec. exclusion in centre,2,6.0,3,7,ESP,2.0,MCKEE K,2 - 7,154,CAN,2:34
Time-Out,2,,3,7,ESP,2.0,,2 - 7,154,ESP,2:34
Extra player shot - Saved,2,8.0,3,7,ESP,2.0,PENA P,2 - 7,134,ESP,2:14
