Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,1,12.0,3,4,CRO,1.0,OBRADOVIC P,4 - 1,2,CRO,0:02,Post,0
Action shot,1,4.0,3,4,CRO,2.0,LONCAR L,4 - 1,463,CRO,7:43,Missed,0
Centre shot,1,4.0,3,4,CRO,2.0,LONCAR L,4 - 1,370,CRO,6:10,Saved,0
Counter attack,1,8.0,3,4,CRO,2.0,BUSLJE A,4 - 1,286,CRO,4:46,Post,0
Counter attack,1,5.0,3,4,CRO,2.0,JOKOVIC M,4 - 1,266,CRO,4:26,Saved,0
Action shot,1,11.0,3,4,CRO,2.0,ZHANG C,4 - 1,249,CHN,4:09,Missed,0
Counter attack,1,5.0,3,5,CRO,2.0,JOKOVIC M,5 - 1,241,CRO,4:01,Goal,1
Action shot,1,8.0,3,5,CRO,2.0,LI L,5 - 1,219,CHN,3:39,Saved,0
Action shot,1,3.0,3,6,CRO,2.0,PETKOVIC A,6 - 1,193,CRO,3:13,Goal,1
Extra player shot,1,2.0,3,7,CRO,2.0,BURIC D,7 - 1,140,CRO,2:20,Goal,1
Action shot,1,11.0,3,7,CRO,2.0,ZHANG C,7 - 1,91,CHN,1:31,Saved,0
Counter attack,1,3.0,3,8,CRO,2.0,PETKOVIC A,8 - 1,77,CRO,1:17,Goal,1
Action shot,1,9.0,3,8,CRO,4.0,SUKNO S,8 - 1,121,CRO,2:01,Post,0
Action shot,1,10.0,3,8,CRO,4.0,CHEN J,8 - 1,94,CHN,1:34,Post,0
Counter attack,1,12.0,3,9,CRO,2.0,OBRADOVIC P,9 - 1,55,CRO,0:55,Goal,1
5m shot,1,11.0,3,9,CRO,2.0,SETKA A,9 - 1,1,CRO,0:01,Saved,0
Action shot,1,12.0,3,10,CRO,3.0,OBRADOVIC P,10 - 1,399,CRO,6:39,Goal,1
Counter attack,1,12.0,3,11,CRO,3.0,OBRADOVIC P,11 - 1,366,CRO,6:06,Goal,1
Extra player shot,1,7.0,3,12,CRO,3.0,MUSLIM P,12 - 1,305,CRO,5:05,Goal,1
Extra player shot,1,3.0,3,12,CRO,3.0,HU Z,12 - 1,265,CHN,4:25,Post,0
Action shot,1,7.0,3,13,CRO,3.0,MUSLIM P,13 - 1,191,CRO,3:11,Goal,1
5m shot,1,11.0,3,13,CRO,3.0,ZHANG C,13 - 1,170,CHN,2:50,Saved,0
Centre shot,1,4.0,3,14,CRO,3.0,LONCAR L,14 - 1,149,CRO,2:29,Goal,1
Action shot,1,5.0,3,15,CRO,3.0,JOKOVIC M,15 - 1,100,CRO,1:40,Goal,1
5m shot,1,9.0,3,16,CRO,3.0,SUKNO S,16 - 1,60,CRO,1:00,Goal,1
Action shot,1,12.0,3,16,CRO,3.0,LIANG N,16 - 1,33,CHN,0:33,Missed,0
5m shot,1,9.0,3,16,CRO,3.0,SUKNO S,16 - 1,16,CRO,0:16,Missed,0
Extra player shot,1,6.0,3,16,CRO,3.0,LI L,16 - 1,1,CHN,0:01,Missed,0
Action shot,1,5.0,3,16,CRO,4.0,LU W,16 - 1,432,CHN,7:12,Saved,0
5m shot,1,9.0,3,16,CRO,4.0,SUKNO S,16 - 1,384,CRO,6:24,Saved,0
Action shot,1,5.0,3,17,CRO,4.0,JOKOVIC M,17 - 1,326,CRO,5:26,Goal,1
Extra player shot,1,11.0,3,17,CRO,4.0,ZHANG C,17 - 1,283,CHN,4:43,Missed,0
Extra player shot,1,9.0,3,17,CRO,4.0,SUKNO S,17 - 1,222,CRO,3:42,Missed,0
5m shot,1,3.0,3,17,CRO,4.0,HU Z,17 - 1,191,CHN,3:11,Post,0
5m shot,1,7.0,3,17,CRO,4.0,MUSLIM P,17 - 1,174,CRO,2:54,Saved,0
5m shot,1,9.0,3,17,CRO,4.0,SUKNO S,17 - 1,0,CRO,0:00,Missed,0
Centre shot,0,11.0,4,0,RUS,1.0,LISUNOV S,0 - 0,454,RUS,7:34,Post,0
Counter attack,1,2.0,4,0,RUS,1.0,TAN F,1 - 0,437,CHN,7:17,Goal,1
Centre shot,1,11.0,4,0,RUS,1.0,LISUNOV S,1 - 0,408,RUS,6:48,Saved,0
Counter attack,1,11.0,4,0,RUS,1.0,ZHANG C,1 - 0,397,CHN,6:37,Post,0
Action shot,1,5.0,4,0,RUS,1.0,LU W,1 - 0,355,CHN,5:55,Blocked,0
Extra player shot,1,10.0,4,1,RUS,1.0,KHOLOD D,1 - 1,330,RUS,5:30,Goal,1
