Action,CHN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
20 sec. exclusion in field,5,10.0,1,5,BRA,2.0,PERRONE F,5 - 5,107,BRA,1:47
Extra player shot - Post,5,5.0,1,5,BRA,2.0,LU W,5 - 5,101,CHN,1:41
Turnover foul,5,3.0,1,5,BRA,2.0,HU Z,5 - 5,50,CHN,0:50
Penalty foul,5,5.0,1,5,BRA,2.0,LU W,5 - 5,32,CHN,0:32
Penalty shot - Saved,5,11.0,1,5,BRA,2.0,GUIMARAES G,5 - 5,32,BRA,0:32
5m shot - Blocked,5,2.0,1,5,BRA,2.0,TAN F,5 - 5,7,CHN,0:07
Time-Out,5,,1,5,BRA,2.0,,5 - 5,7,BRA,0:07
Turnover foul,5,3.0,1,5,BRA,2.0,GOMES G,5 - 5,0,BRA,0:00
Steal,5,6.0,1,5,BRA,2.0,LI L,5 - 5,0,CHN,0:00
Starting goalkeeper,5,1.0,1,5,BRA,3.0,ANTONELLI V,5 - 5,480,BRA,8:00
Starting goalkeeper,5,1.0,1,5,BRA,3.0,WU H,5 - 5,480,CHN,8:00
Sprint won possession,5,7.0,1,5,BRA,3.0,DELGADO A,5 - 5,477,BRA,7:57
5m shot - Post,5,7.0,1,5,BRA,3.0,DELGADO A,5 - 5,451,BRA,7:31
20 sec. exclusion in field,5,9.0,1,5,BRA,3.0,ROCHA B,5 - 5,428,BRA,7:08
Extra player shot - Saved,5,11.0,1,5,BRA,3.0,ZHANG C,5 - 5,411,CHN,6:51
Turnover foul,5,12.0,1,5,BRA,3.0,VRLIC J,5 - 5,380,BRA,6:20
Action shot - Goal,6,12.0,1,5,BRA,3.0,LIANG N,5 - 6,359,CHN,5:59
Penalty foul,6,3.0,1,5,BRA,3.0,HU Z,5 - 6,329,CHN,5:29
Penalty shot - Goal,6,10.0,1,6,BRA,3.0,PERRONE F,6 - 6,329,BRA,5:29
Yellow card,6,,1,6,BRA,3.0,Team Official,6 - 6,329,CHN,5:29
Turnover foul,6,4.0,1,6,BRA,3.0,DONG T,6 - 6,313,CHN,5:13
5m shot - Saved,6,11.0,1,6,BRA,3.0,ZHANG C,6 - 6,271,CHN,4:31
Turnover foul,6,9.0,1,6,BRA,3.0,XIE Z,6 - 6,246,CHN,4:06
Turnover foul,6,10.0,1,6,BRA,3.0,PERRONE F,6 - 6,223,BRA,3:43
Steal,6,11.0,1,6,BRA,3.0,ZHANG C,6 - 6,223,CHN,3:43
Centre shot - Goal,7,10.0,1,6,BRA,3.0,CHEN J,6 - 7,202,CHN,3:22
Turnover foul,7,10.0,1,6,BRA,3.0,PERRONE F,6 - 7,175,BRA,2:55
Penalty foul,7,6.0,1,6,BRA,3.0,GOMES B,6 - 7,165,BRA,2:45
Penalty shot - Goal,8,11.0,1,6,BRA,3.0,ZHANG C,6 - 8,165,CHN,2:45
20 sec. exclusion in centre,8,2.0,1,6,BRA,3.0,TAN F,6 - 8,138,CHN,2:18
Extra player shot - Goal,8,12.0,1,7,BRA,3.0,VRLIC J,7 - 8,118,BRA,1:58
Turnover foul,8,5.0,1,7,BRA,3.0,LU W,7 - 8,96,CHN,1:36
Steal,8,12.0,1,7,BRA,3.0,VRLIC J,7 - 8,96,BRA,1:36
Turnover foul,8,3.0,1,7,BRA,3.0,GOMES G,7 - 8,81,BRA,1:21
5m shot - Post,8,4.0,1,7,BRA,3.0,DONG T,7 - 8,65,CHN,1:05
20 sec. exclusion in field,8,10.0,1,7,BRA,3.0,CHEN J,7 - 8,64,CHN,1:04
Extra player shot - Goal,8,11.0,1,8,BRA,3.0,GUIMARAES G,8 - 8,38,BRA,0:38
Time-Out,8,,1,8,BRA,3.0,,8 - 8,26,CHN,0:26
20 sec. exclusion in centre,8,6.0,1,8,BRA,3.0,GOMES B,8 - 8,26,BRA,0:26
Action shot - Goal,9,4.0,1,8,BRA,3.0,DONG T,8 - 9,18,CHN,0:18
Time-Out,9,,1,8,BRA,3.0,,8 - 9,4,BRA,0:04
5m shot - Blocked,9,10.0,1,8,BRA,3.0,PERRONE F,8 - 9,0,BRA,0:00
Starting goalkeeper,9,1.0,1,8,BRA,4.0,ANTONELLI V,8 - 9,480,BRA,8:00
Starting goalkeeper,9,1.0,1,8,BRA,4.0,WU H,8 - 9,480,CHN,8:00
Sprint won possession,9,11.0,1,8,BRA,4.0,GUIMARAES G,8 - 9,480,BRA,8:00
Turnover foul,9,12.0,1,8,BRA,4.0,VRLIC J,8 - 9,451,BRA,7:31
Turnover foul,9,6.0,1,8,BRA,4.0,LI L,8 - 9,425,CHN,7:05
Action shot - Saved,9,12.0,1,8,BRA,4.0,VRLIC J,8 - 9,412,BRA,6:52
Turnover foul,9,10.0,1,8,BRA,4.0,CHEN J,8 - 9,388,CHN,6:28
Steal,9,9.0,1,8,BRA,4.0,ROCHA B,8 - 9,388,BRA,6:28
Centre shot - Goal,9,12.0,1,9,BRA,4.0,VRLIC J,9 - 9,365,BRA,6:05
20 sec. exclusion in centre,9,9.0,1,9,BRA,4.0,ROCHA B,9 - 9,348,BRA,5:48
Turnover foul,9,2.0,1,9,BRA,4.0,TAN F,9 - 9,296,CHN,4:56
Steal,9,10.0,1,9,BRA,4.0,PERRONE F,9 - 9,296,BRA,4:56
Action shot - Post,9,6.0,1,9,BRA,4.0,GOMES B,9 - 9,276,BRA,4:36
Time-Out,9,,1,9,BRA,4.0,,9 - 9,272,CHN,4:32
Yellow card,9,,1,9,BRA,4.0,Team Official,9 - 9,272,BRA,4:32
Turnover foul,9,2.0,1,9,BRA,4.0,TAN F,9 - 9,254,CHN,4:14
Turnover foul,9,12.0,1,9,BRA,4.0,VRLIC J,9 - 9,227,BRA,3:47
Turnover foul,9,2.0,1,9,BRA,4.0,TAN F,9 - 9,202,CHN,3:22
Action shot - Missed,9,7.0,1,9,BRA,4.0,DELGADO A,9 - 9,179,BRA,2:59
20 sec. exclusion in field,9,12.0,1,9,BRA,4.0,VRLIC J,9 - 9,178,BRA,2:58
Centre shot - Saved,9,10.0,1,9,BRA,4.0,PERRONE F,9 - 9,119,BRA,1:59
Turnover foul,9,10.0,1,9,BRA,4.0,CHEN J,9 - 9,95,CHN,1:35
Steal,9,10.0,1,9,BRA,4.0,PERRONE F,9 - 9,95,BRA,1:35
Penalty foul,9,4.0,1,9,BRA,4.0,DONG T,9 - 9,74,CHN,1:14
Penalty shot - Saved,9,10.0,1,9,BRA,4.0,PERRONE F,9 - 9,74,BRA,1:14
Time-Out,9,,1,9,BRA,4.0,,9 - 9,36,BRA,0:36
Turnover foul,9,5.0,1,9,BRA,4.0,SALEMI P,9 - 9,10,BRA,0:10
Starting goalkeeper,0,1.0,2,0,CAN,1.0,WU H,0 - 0,480,CHN,8:00
Starting goalkeeper,0,1.0,2,0,CAN,1.0,RANDALL R,0 - 0,480,CAN,8:00
Sprint won possession,0,8.0,2,0,CAN,1.0,GRAHAM K,0 - 0,480,CAN,8:00
Turnover foul,0,12.0,2,0,CAN,1.0,MCELROY J,0 - 0,455,CAN,7:35
Turnover foul,0,8.0,2,0,CAN,1.0,GRAHAM K,0 - 0,417,CAN,6:57
5m shot - Post,0,11.0,2,0,CAN,1.0,ZHANG C,0 - 0,395,CHN,6:35
Action shot - Post,0,4.0,2,0,CAN,1.0,CONSTANTIN-BICARI,0 - 0,372,CAN,6:12
5m shot - Missed,0,5.0,2,0,CAN,1.0,LU W,0 - 0,352,CHN,5:52
Action shot - Missed,0,5.0,2,0,CAN,1.0,BOYD J,0 - 0,335,CAN,5:35
Centre shot - Saved,0,6.0,2,0,CAN,1.0,LI L,0 - 0,320,CHN,5:20
5m shot - Blocked,0,2.0,2,0,CAN,1.0,TAN F,0 - 0,294,CHN,4:54
Turnover foul,0,2.0,2,0,CAN,1.0,TAN F,0 - 0,290,CHN,4:50
Action shot - Saved,0,10.0,2,0,CAN,1.0,CONWAY J,0 - 0,265,CAN,4:25
Time-Out,0,,2,0,CAN,1.0,,0 - 0,261,CHN,4:21
Turnover foul,0,3.0,2,0,CAN,1.0,HU Z,0 - 0,252,CHN,4:12
Action shot - Saved,0,8.0,2,0,CAN,1.0,GRAHAM K,0 - 0,241,CAN,4:01
5m shot - Post,0,11.0,2,0,CAN,1.0,ZHANG C,0 - 0,212,CHN,3:32
Turnover foul,0,12.0,2,0,CAN,1.0,LIANG N,0 - 0,183,CHN,3:03
20 sec. exclusion in centre,0,7.0,2,0,CAN,1.0,CHEN Z,0 - 0,155,CHN,2:35
Extra player shot - Goal,0,2.0,2,1,CAN,1.0,KUDABA C,0 - 1,138,CAN,2:18
5m shot - Blocked,0,3.0,2,1,CAN,1.0,HU Z,0 - 1,114,CHN,1:54
5m shot - Goal,0,12.0,2,2,CAN,1.0,MCELROY J,0 - 2,97,CAN,1:37
5m shot - Blocked,0,4.0,2,2,CAN,1.0,DONG T,0 - 2,73,CHN,1:13
20 sec. exclusion in centre,0,2.0,2,2,CAN,1.0,TAN F,0 - 2,65,CHN,1:05
Action shot - Goal,0,12.0,2,3,CAN,1.0,MCELROY J,0 - 3,42,CAN,0:42
5m shot - Saved,0,2.0,2,3,CAN,1.0,TAN F,0 - 3,17,CHN,0:17
Time-Out,0,,2,3,CAN,1.0,,0 - 3,16,CAN,0:16
Turnover foul,0,12.0,2,3,CAN,1.0,MCELROY J,0 - 3,4,CAN,0:04
Steal,0,5.0,2,3,CAN,1.0,LU W,0 - 3,4,CHN,0:04
Starting goalkeeper,0,1.0,2,3,CAN,2.0,WU H,0 - 3,480,CHN,8:00
Starting goalkeeper,0,1.0,2,3,CAN,2.0,RANDALL R,0 - 3,480,CAN,8:00
Sprint won possession,0,8.0,2,3,CAN,2.0,GRAHAM K,0 - 3,480,CAN,8:00
5m shot - Saved,0,8.0,2,3,CAN,2.0,GRAHAM K,0 - 3,456,CAN,7:36
Turnover foul,0,1.0,2,3,CAN,2.0,WU H,0 - 3,450,CHN,7:30
Action shot - Goal,0,4.0,2,4,CAN,2.0,CONSTANTIN-BICARI,0 - 4,441,CAN,7:21
Action shot - Saved,0,12.0,2,4,CAN,2.0,LIANG N,0 - 4,420,CHN,7:00
Turnover foul,0,12.0,2,4,CAN,2.0,MCELROY J,0 - 4,402,CAN,6:42
5m shot - Saved,0,6.0,2,4,CAN,2.0,LI L,0 - 4,383,CHN,6:23
5m shot - Saved,0,5.0,2,4,CAN,2.0,BOYD J,0 - 4,360,CAN,6:00
Action shot - Saved,0,7.0,2,4,CAN,2.0,TASCHEREAU A,0 - 4,344,CAN,5:44
Penalty foul,0,8.0,2,4,CAN,2.0,LI L,0 - 4,322,CHN,5:22
Penalty shot - Goal,0,12.0,2,5,CAN,2.0,MCELROY J,0 - 5,322,CAN,5:22
Action shot - Saved,0,10.0,2,5,CAN,2.0,CONWAY J,0 - 5,293,CAN,4:53
Turnover foul,0,4.0,2,5,CAN,2.0,DONG T,0 - 5,269,CHN,4:29
5m shot - Post,0,5.0,2,5,CAN,2.0,BOYD J,0 - 5,246,CAN,4:06
Turnover foul,0,3.0,2,5,CAN,2.0,HU Z,0 - 5,227,CHN,3:47
5m shot - Goal,0,5.0,2,6,CAN,2.0,BOYD J,0 - 6,205,CAN,3:25
Action shot - Saved,0,3.0,2,6,CAN,2.0,HU Z,0 - 6,184,CHN,3:04
Turnover foul,0,4.0,2,6,CAN,2.0,CONSTANTIN-BICARI,0 - 6,164,CAN,2:44
5m shot - Saved,0,11.0,2,6,CAN,2.0,ZHANG C,0 - 6,138,CHN,2:18
Time-Out,0,,2,6,CAN,2.0,,0 - 6,129,CAN,2:09
Turnover foul,0,10.0,2,6,CAN,2.0,CONWAY J,0 - 6,106,CAN,1:46
20 sec. exclusion in centre,0,9.0,2,6,CAN,2.0,HALAJIAN M,0 - 6,88,CAN,1:28
Time-Out,0,,2,6,CAN,2.0,,0 - 6,88,CHN,1:28
Action shot - Blocked,0,6.0,2,6,CAN,2.0,LI L,0 - 6,61,CHN,1:01
Turnover foul,0,12.0,2,6,CAN,2.0,MCELROY J,0 - 6,32,CAN,0:32
Turnover foul,0,10.0,2,6,CAN,2.0,CHEN J,0 - 6,20,CHN,0:20
Action shot - Saved,0,8.0,2,6,CAN,2.0,GRAHAM K,0 - 6,5,CAN,0:05
Action shot - Saved,0,10.0,2,6,CAN,2.0,CONWAY J,0 - 6,1,CAN,0:01
Starting goalkeeper,0,1.0,2,6,CAN,3.0,WU H,0 - 6,480,CHN,8:00
Starting goalkeeper,0,1.0,2,6,CAN,3.0,RANDALL R,0 - 6,480,CAN,8:00
Sprint won possession,0,8.0,2,6,CAN,3.0,GRAHAM K,0 - 6,480,CAN,8:00
20 sec. exclusion in centre,0,6.0,2,6,CAN,3.0,LI L,0 - 6,460,CHN,7:40
Action shot - Saved,0,12.0,2,6,CAN,3.0,MCELROY J,0 - 6,447,CAN,7:27
5m shot - Missed,0,3.0,2,6,CAN,3.0,HU Z,0 - 6,426,CHN,7:06
Action shot - Saved,0,4.0,2,6,CAN,3.0,CONSTANTIN-BICARI,0 - 6,411,CAN,6:51
20 sec. exclusion in centre,0,8.0,2,6,CAN,3.0,GRAHAM K,0 - 6,394,CAN,6:34
Extra player shot - Goal,1,2.0,2,6,CAN,3.0,TAN F,1 - 6,372,CHN,6:12
Turnover foul,1,2.0,2,6,CAN,3.0,KUDABA C,1 - 6,348,CAN,5:48
Steal,1,11.0,2,6,CAN,3.0,ZHANG C,1 - 6,341,CHN,5:41
5m shot - Missed,1,2.0,2,6,CAN,3.0,TAN F,1 - 6,326,CHN,5:26
20 sec. exclusion in field,1,12.0,2,6,CAN,3.0,LIANG N,1 - 6,322,CHN,5:22
Time-Out,1,,2,6,CAN,3.0,,1 - 6,322,CAN,5:22
Extra player shot - Saved,1,10.0,2,6,CAN,3.0,CONWAY J,1 - 6,285,CAN,4:45
Action shot - Saved,1,12.0,2,6,CAN,3.0,MCELROY J,1 - 6,276,CAN,4:36
20 sec. exclusion in centre,1,2.0,2,6,CAN,3.0,KUDABA C,1 - 6,275,CAN,4:35
Extra player shot - Saved,1,11.0,2,6,CAN,3.0,ZHANG C,1 - 6,255,CHN,4:15
Action shot - Goal,1,3.0,2,7,CAN,3.0,VIKALO O,1 - 7,231,CAN,3:51
5m shot - Saved,1,3.0,2,7,CAN,3.0,HU Z,1 - 7,209,CHN,3:29
5m shot - Saved,1,6.0,2,7,CAN,3.0,LI L,1 - 7,185,CHN,3:05
Turnover foul,1,8.0,2,7,CAN,3.0,GRAHAM K,1 - 7,163,CAN,2:43
Steal,1,3.0,2,7,CAN,3.0,HU Z,1 - 7,163,CHN,2:43
Time-Out,1,,2,7,CAN,3.0,,1 - 7,163,CHN,2:43
Turnover foul,1,3.0,2,7,CAN,3.0,HU Z,1 - 7,151,CHN,2:31
5m shot - Saved,1,5.0,2,7,CAN,3.0,BOYD J,1 - 7,128,CAN,2:08
Turnover foul,1,5.0,2,7,CAN,3.0,BOYD J,1 - 7,116,CAN,1:56
Steal,1,4.0,2,7,CAN,3.0,DONG T,1 - 7,116,CHN,1:56
5m shot - Saved,1,12.0,2,7,CAN,3.0,LIANG N,1 - 7,90,CHN,1:30
Turnover foul,1,5.0,2,7,CAN,3.0,BOYD J,1 - 7,64,CAN,1:04
Steal,1,4.0,2,7,CAN,3.0,DONG T,1 - 7,64,CHN,1:04
5m shot - Post,1,3.0,2,7,CAN,3.0,HU Z,1 - 7,38,CHN,0:38
Turnover foul,1,10.0,2,7,CAN,3.0,CONWAY J,1 - 7,12,CAN,0:12
Starting goalkeeper,1,1.0,2,7,CAN,4.0,WU H,1 - 7,480,CHN,8:00
Starting goalkeeper,1,1.0,2,7,CAN,4.0,RANDALL R,1 - 7,480,CAN,8:00
Sprint won possession,1,3.0,2,7,CAN,4.0,HU Z,1 - 7,480,CHN,8:00
20 sec. exclusion in centre,1,8.0,2,7,CAN,4.0,GRAHAM K,1 - 7,463,CAN,7:43
Extra player shot - Saved,1,11.0,2,7,CAN,4.0,ZHANG C,1 - 7,443,CHN,7:23
Turnover foul,1,10.0,2,7,CAN,4.0,CONWAY J,1 - 7,417,CAN,6:57
5m shot - Saved,1,2.0,2,7,CAN,4.0,TAN F,1 - 7,400,CHN,6:40
5m shot - Saved,1,10.0,2,7,CAN,4.0,CHEN J,1 - 7,342,CHN,5:42
Turnover foul,1,11.0,2,7,CAN,4.0,TORAKIS G,1 - 7,310,CAN,5:10
5m shot - Saved,1,12.0,2,7,CAN,4.0,LIANG N,1 - 7,285,CHN,4:45
Time-Out,1,,2,7,CAN,4.0,,1 - 7,283,CAN,4:43
Turnover foul,1,8.0,2,7,CAN,4.0,GRAHAM K,1 - 7,257,CAN,4:17
Turnover foul,1,12.0,2,7,CAN,4.0,LIANG N,1 - 7,244,CHN,4:04
Action shot - Saved,1,9.0,2,7,CAN,4.0,HALAJIAN M,1 - 7,230,CAN,3:50
20 sec. exclusion in centre,1,12.0,2,7,CAN,4.0,MCELROY J,1 - 7,210,CAN,3:30
Extra player shot - Missed,1,2.0,2,7,CAN,4.0,TAN F,1 - 7,191,CHN,3:11
Turnover foul,1,8.0,2,7,CAN,4.0,GRAHAM K,1 - 7,180,CAN,3:00
Steal,1,4.0,2,7,CAN,4.0,DONG T,1 - 7,180,CHN,3:00
20 sec. exclusion in centre,1,5.0,2,7,CAN,4.0,LU W,1 - 7,136,CHN,2:16
Extra player shot - Post,1,12.0,2,7,CAN,4.0,MCELROY J,1 - 7,119,CAN,1:59
Action shot - Goal,1,2.0,2,8,CAN,4.0,KUDABA C,1 - 8,113,CAN,1:53
Action shot - Goal,2,2.0,2,8,CAN,4.0,TAN F,2 - 8,95,CHN,1:35
Action shot - Saved,2,8.0,2,8,CAN,4.0,GRAHAM K,2 - 8,67,CAN,1:07
Turnover foul,2,2.0,2,8,CAN,4.0,TAN F,2 - 8,51,CHN,0:51
Turnover foul,2,2.0,2,8,CAN,4.0,KUDABA C,2 - 8,29,CAN,0:29
Time-Out,2,,2,8,CAN,4.0,,2 - 8,29,CHN,0:29
Yellow card,2,,2,8,CAN,4.0,Team Official,2 - 8,29,CHN,0:29
5m shot - Saved,2,2.0,2,8,CAN,4.0,TAN F,2 - 8,11,CHN,0:11
Starting goalkeeper,0,1.0,3,0,CRO,1.0,PAVIC J,0 - 0,480,CRO,8:00
Starting goalkeeper,0,1.0,3,0,CRO,1.0,WU H,0 - 0,480,CHN,8:00
Sprint won possession,0,5.0,3,0,CRO,1.0,JOKOVIC M,0 - 0,480,CRO,8:00
Centre shot - Goal,0,4.0,3,1,CRO,1.0,LONCAR L,1 - 0,455,CRO,7:35
Action shot - Saved,0,10.0,3,1,CRO,1.0,CHEN J,1 - 0,432,CHN,7:12
5m shot - Saved,0,5.0,3,1,CRO,1.0,JOKOVIC M,1 - 0,402,CRO,6:42
Action shot - Saved,0,2.0,3,1,CRO,1.0,TAN F,1 - 0,373,CHN,6:13
20 sec. exclusion in centre,0,1.0,3,1,CRO,1.0,WU H,1 - 0,371,CHN,6:11
Extra player shot - Goal,0,2.0,3,2,CRO,1.0,BURIC D,2 - 0,369,CRO,6:09
Turnover foul,0,5.0,3,2,CRO,1.0,LU W,2 - 0,340,CHN,5:40
20 sec. exclusion in centre,0,5.0,3,2,CRO,1.0,LU W,2 - 0,320,CHN,5:20
Action shot - Goal,0,7.0,3,3,CRO,1.0,MUSLIM P,3 - 0,297,CRO,4:57
Centre shot - Goal,1,11.0,3,3,CRO,1.0,ZHANG C,3 - 1,279,CHN,4:39
Turnover foul,1,12.0,3,3,CRO,1.0,OBRADOVIC P,3 - 1,264,CRO,4:24
Turnover foul,1,3.0,3,3,CRO,1.0,HU Z,3 - 1,242,CHN,4:02
Steal,1,9.0,3,3,CRO,1.0,SUKNO S,3 - 1,242,CRO,4:02
Counter attack - Goal,1,9.0,3,4,CRO,1.0,SUKNO S,4 - 1,234,CRO,3:54
5m shot - Missed,1,3.0,3,4,CRO,1.0,HU Z,4 - 1,210,CHN,3:30
20 sec. exclusion in centre,1,9.0,3,4,CRO,1.0,XIE Z,4 - 1,197,CHN,3:17
Action shot - Post,1,9.0,3,4,CRO,1.0,SUKNO S,4 - 1,172,CRO,2:52
Time-Out,1,,3,4,CRO,1.0,,4 - 1,172,CHN,2:52
20 sec. exclusion in centre,1,3.0,3,4,CRO,1.0,PETKOVIC A,4 - 1,155,CRO,2:35
Action shot - Saved,1,11.0,3,4,CRO,1.0,ZHANG C,4 - 1,129,CHN,2:09
5m shot - Saved,1,3.0,3,4,CRO,1.0,PETKOVIC A,4 - 1,101,CRO,1:41
Turnover foul,1,10.0,3,4,CRO,1.0,PASKVALIN F,4 - 1,89,CRO,1:29
Penalty foul,1,9.0,3,4,CRO,1.0,SUKNO S,4 - 1,74,CRO,1:14
Penalty shot - Saved,1,11.0,3,4,CRO,1.0,ZHANG C,4 - 1,74,CHN,1:14
Turnover foul,1,3.0,3,4,CRO,1.0,PETKOVIC A,4 - 1,45,CRO,0:45
Turnover foul,1,5.0,3,4,CRO,1.0,LU W,4 - 1,27,CHN,0:27
Steal,1,6.0,3,4,CRO,1.0,BUKIC L,4 - 1,27,CRO,0:27
Time-Out,1,,3,4,CRO,1.0,,4 - 1,25,CRO,0:25
5m shot - Post,1,12.0,3,4,CRO,1.0,OBRADOVIC P,4 - 1,2,CRO,0:02
Starting goalkeeper,1,1.0,3,4,CRO,2.0,WU H,4 - 1,480,CHN,8:00
Starting goalkeeper,1,1.0,3,4,CRO,2.0,PAVIC J,4 - 1,480,CRO,8:00
Sprint won possession,1,9.0,3,4,CRO,2.0,SUKNO S,4 - 1,480,CRO,8:00
Action shot - Missed,1,4.0,3,4,CRO,2.0,LONCAR L,4 - 1,463,CRO,7:43
Turnover foul,1,2.0,3,4,CRO,2.0,TAN F,4 - 1,441,CHN,7:21
Steal,1,8.0,3,4,CRO,2.0,BUSLJE A,4 - 1,441,CRO,7:21
Turnover foul,1,9.0,3,4,CRO,2.0,SUKNO S,4 - 1,425,CRO,7:05
Steal,1,6.0,3,4,CRO,2.0,LI L,4 - 1,425,CHN,7:05
Turnover foul,1,6.0,3,4,CRO,2.0,LI L,4 - 1,401,CHN,6:41
Steal,1,7.0,3,4,CRO,2.0,MUSLIM P,4 - 1,401,CRO,6:41
