Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Action shot,11.0,1,1,NED,1.0,KLAASSEN L,0,0 - 1,454,NED,7:34,Goal,1
Action shot,11.0,1,1,NED,1.0,KLAASSEN L,0,0 - 1,411,NED,6:51,Saved,0
Action shot,7.0,1,1,NED,1.0,NIJHUIS M,0,0 - 1,385,NED,6:25,Post,0
Centre shot,4.0,1,1,NED,1.0,VERSFELD R,1,1 - 1,360,RSA,6:00,Goal,1
Extra player shot,4.0,1,2,NED,1.0,VAN DER SLOOT C,1,1 - 2,336,NED,5:36,Goal,1
Action shot,11.0,1,3,NED,1.0,KLAASSEN L,1,1 - 3,292,NED,4:52,Goal,1
Centre shot,12.0,1,4,NED,1.0,VAN DER MOLEN L,1,1 - 4,251,NED,4:11,Goal,1
Action shot,4.0,1,5,NED,1.0,VAN DER SLOOT C,1,1 - 5,171,NED,2:51,Goal,1
Counter attack,8.0,1,6,NED,1.0,SEVENICH V,1,1 - 6,69,NED,1:09,Goal,1
Action shot,3.0,1,6,NED,1.0,GENEE D,1,1 - 6,24,NED,0:24,Saved,0
Centre shot,9.0,1,6,NED,2.0,MEGENS M,1,1 - 6,463,NED,7:43,Missed,0
Centre shot,10.0,1,6,NED,2.0,VAN TOORN I,1,1 - 6,416,NED,6:56,Saved,0
Action shot,7.0,1,7,NED,2.0,NIJHUIS M,1,1 - 7,384,NED,6:24,Goal,1
5m shot,10.0,1,7,NED,2.0,KILLEEN L,1,1 - 7,356,RSA,5:56,Saved,0
Extra player shot,4.0,1,8,NED,2.0,VAN DER SLOOT C,1,1 - 8,343,NED,5:43,Goal,1
Centre shot,11.0,1,8,NED,2.0,KLAASSEN L,1,1 - 8,263,NED,4:23,Missed,0
Action shot,7.0,1,8,NED,2.0,NIJHUIS M,1,1 - 8,228,NED,3:48,Saved,0
Action shot,11.0,1,9,NED,2.0,KLAASSEN L,1,1 - 9,195,NED,3:15,Goal,1
Extra player shot,4.0,1,10,NED,2.0,VAN DER SLOOT C,1,1 - 10,117,NED,1:57,Goal,1
Action shot,4.0,1,10,NED,2.0,VAN DER SLOOT C,1,1 - 10,70,NED,1:10,Post,0
Action shot,2.0,1,11,NED,2.0,SMIT M,1,1 - 11,20,NED,0:20,Goal,1
Action shot,5.0,1,11,NED,3.0,GENEE A,1,1 - 11,448,NED,7:28,Saved,0
Action shot,11.0,1,11,NED,3.0,KLAASSEN L,1,1 - 11,414,NED,6:54,Saved,0
Action shot,11.0,1,11,NED,3.0,KLAASSEN L,1,1 - 11,372,NED,6:12,Post,0
Centre shot,12.0,1,11,NED,3.0,VAN DER MOLEN L,1,1 - 11,348,NED,5:48,Post,0
Centre shot,5.0,1,12,NED,3.0,GENEE A,1,1 - 12,345,NED,5:45,Goal,1
Extra player shot,7.0,1,12,NED,3.0,NIJHUIS M,1,1 - 12,318,NED,5:18,Saved,0
Action shot,9.0,1,12,NED,3.0,MEGENS M,1,1 - 12,289,NED,4:49,Saved,0
Centre shot,12.0,1,12,NED,3.0,WHITE K,1,1 - 12,259,RSA,4:19,Saved,0
Centre shot,9.0,1,13,NED,3.0,MEGENS M,1,1 - 13,233,NED,3:53,Goal,1
Extra player shot,5.0,1,13,NED,3.0,GENEE A,1,1 - 13,199,NED,3:19,Post,0
Centre shot,5.0,1,13,NED,3.0,GENEE A,1,1 - 13,179,NED,2:59,Saved,0
Centre shot,7.0,1,13,NED,3.0,KAY K,1,1 - 13,155,RSA,2:35,Saved,0
5m shot,11.0,1,14,NED,3.0,KLAASSEN L,1,1 - 14,76,NED,1:16,Goal,1
Action shot,9.0,1,14,NED,4.0,MEGENS M,1,1 - 14,446,NED,7:26,Post,0
Extra player shot,11.0,1,15,NED,4.0,KLAASSEN L,1,1 - 15,396,NED,6:36,Goal,1
Centre shot,2.0,1,16,NED,4.0,SMIT M,1,1 - 16,366,NED,6:06,Goal,1
Extra player shot,12.0,1,17,NED,4.0,VAN DER MOLEN L,1,1 - 17,327,NED,5:27,Goal,1
Centre shot,12.0,1,17,NED,4.0,VAN DER MOLEN L,1,1 - 17,293,NED,4:53,Post,0
Action shot,8.0,1,18,NED,4.0,SEVENICH V,1,1 - 18,249,NED,4:09,Goal,1
Extra player shot,6.0,1,18,NED,4.0,HALLENDORFF A,1,1 - 18,186,RSA,3:06,Blocked,0
Action shot,7.0,1,18,NED,4.0,KAY K,1,1 - 18,152,RSA,2:32,Missed,0
Action shot,2.0,1,19,NED,4.0,SMIT M,1,1 - 19,142,NED,2:22,Goal,1
5m shot,11.0,1,20,NED,4.0,KLAASSEN L,1,1 - 20,73,NED,1:13,Goal,1
5m shot,7.0,1,21,NED,4.0,NIJHUIS M,1,1 - 21,33,NED,0:33,Goal,1
5m shot,10.0,1,22,NED,4.0,VAN TOORN I,1,1 - 22,2,NED,0:02,Goal,1
Action shot,3.0,2,1,AUS,1.0,BUCKLING H,0,1 - 0,463,AUS,7:43,Goal,1
Penalty shot,7.0,2,2,AUS,1.0,WEBSTER R,0,2 - 0,433,AUS,7:13,Goal,1
Action shot,7.0,2,2,AUS,1.0,WEBSTER R,0,2 - 0,392,AUS,6:32,Post,0
Counter attack,3.0,2,2,AUS,1.0,BUCKLING H,0,2 - 0,353,AUS,5:53,Saved,0
5m shot,11.0,2,2,AUS,1.0,O'HANLON D,0,2 - 0,299,RSA,4:59,Missed,0
Centre shot,4.0,2,3,AUS,1.0,LINCOLN-SMITH H,0,3 - 0,275,AUS,4:35,Goal,1
5m shot,7.0,2,3,AUS,1.0,KAY K,0,3 - 0,206,RSA,3:26,Saved,0
Centre shot,9.0,2,3,AUS,1.0,ARANCINI Z,0,3 - 0,195,AUS,3:15,Saved,0
5m shot,10.0,2,4,AUS,1.0,SOUTHERN A,0,4 - 0,160,AUS,2:40,Goal,1
Counter attack,9.0,2,5,AUS,1.0,ARANCINI Z,0,5 - 0,138,AUS,2:18,Goal,1
Action shot,10.0,2,6,AUS,1.0,SOUTHERN A,0,6 - 0,45,AUS,0:45,Goal,1
Action shot,4.0,2,6,AUS,1.0,LINCOLN-SMITH H,0,6 - 0,10,AUS,0:10,Saved,0
5m shot,5.0,2,6,AUS,2.0,GOFERS K,0,6 - 0,453,AUS,7:33,Post,0
5m shot,12.0,2,6,AUS,2.0,WHITE K,0,6 - 0,425,RSA,7:05,Post,0
Extra player shot,3.0,2,6,AUS,2.0,PALEY K,0,6 - 0,383,RSA,6:23,Post,0
Action shot,12.0,2,6,AUS,2.0,ZAGAME N,0,6 - 0,372,AUS,6:12,Saved,0
Action shot,7.0,2,6,AUS,2.0,WEBSTER R,0,6 - 0,327,AUS,5:27,Saved,0
Counter attack,4.0,2,7,AUS,2.0,LINCOLN-SMITH H,0,7 - 0,234,AUS,3:54,Goal,1
Extra player shot,10.0,2,8,AUS,2.0,SOUTHERN A,0,8 - 0,188,AUS,3:08,Goal,1
5m shot,6.0,2,8,AUS,2.0,KNOX B,0,8 - 0,133,AUS,2:13,Missed,0
Centre shot,4.0,2,8,AUS,2.0,VERSFELD R,1,8 - 1,114,RSA,1:54,Goal,1
5m shot,6.0,2,8,AUS,2.0,KNOX B,1,8 - 1,49,AUS,0:49,Saved,0
Centre shot,4.0,2,8,AUS,2.0,VERSFELD R,1,8 - 1,37,RSA,0:37,Missed,0
Extra player shot,2.0,2,9,AUS,2.0,BEADSWORTH G,1,9 - 1,9,AUS,0:09,Goal,1
Action shot,5.0,2,10,AUS,3.0,GOFERS K,1,10 - 1,444,AUS,7:24,Goal,1
Counter attack,12.0,2,11,AUS,3.0,ZAGAME N,1,11 - 1,391,AUS,6:31,Goal,1
Action shot,3.0,2,11,AUS,3.0,PALEY K,1,11 - 1,348,RSA,5:48,Blocked,0
Penalty shot,5.0,2,12,AUS,3.0,GOFERS K,1,12 - 1,304,AUS,5:04,Goal,1
Counter attack,4.0,2,13,AUS,3.0,LINCOLN-SMITH H,1,13 - 1,272,AUS,4:32,Goal,1
5m shot,5.0,2,13,AUS,3.0,GOFERS K,1,13 - 1,227,AUS,3:47,Missed,0
Extra player shot,5.0,2,14,AUS,3.0,GOFERS K,1,14 - 1,173,AUS,2:53,Goal,1
5m shot,7.0,2,14,AUS,3.0,KAY K,1,14 - 1,148,RSA,2:28,Post,0
5m shot,10.0,2,14,AUS,3.0,SOUTHERN A,1,14 - 1,127,AUS,2:07,Saved,0
5m shot,11.0,2,14,AUS,3.0,O'HANLON D,1,14 - 1,108,RSA,1:48,Missed,0
Action shot,10.0,2,15,AUS,3.0,SOUTHERN A,1,15 - 1,96,AUS,1:36,Goal,1
Extra player shot,10.0,2,15,AUS,3.0,SOUTHERN A,1,15 - 1,42,AUS,0:42,Saved,0
5m shot,12.0,2,15,AUS,3.0,WHITE K,1,15 - 1,31,RSA,0:31,Saved,0
Counter attack,10.0,2,16,AUS,3.0,SOUTHERN A,1,16 - 1,23,AUS,0:23,Goal,1
5m shot,12.0,2,16,AUS,3.0,WHITE K,1,16 - 1,1,RSA,0:01,Missed,0
Counter attack,11.0,2,16,AUS,4.0,HALLIGAN B,1,16 - 1,405,AUS,6:45,Post,0
5m shot,8.0,2,17,AUS,4.0,MCGHIE G,1,17 - 1,378,AUS,6:18,Goal,1
Action shot,3.0,2,18,AUS,4.0,BUCKLING H,1,18 - 1,325,AUS,5:25,Goal,1
5m shot,12.0,2,18,AUS,4.0,WHITE K,1,18 - 1,297,RSA,4:57,Saved,0
5m shot,8.0,2,18,AUS,4.0,MCGHIE G,1,18 - 1,270,AUS,4:30,Missed,0
Counter attack,12.0,2,18,AUS,4.0,ZAGAME N,1,18 - 1,236,AUS,3:56,Saved,0
Action shot,2.0,2,18,AUS,4.0,PARKES M,1,18 - 1,204,RSA,3:24,Blocked,0
Extra player shot,2.0,2,19,AUS,4.0,BEADSWORTH G,1,19 - 1,169,AUS,2:49,Goal,1
5m shot,7.0,2,19,AUS,4.0,WEBSTER R,1,19 - 1,74,AUS,1:14,Missed,0
5m shot,12.0,2,19,AUS,4.0,WHITE K,1,19 - 1,40,RSA,0:40,Saved,0
Action shot,8.0,3,1,GRE,1.0,ROUMPESI A,0,0 - 1,458,GRE,7:38,Goal,1
Centre shot,4.0,3,1,GRE,1.0,VERSFELD R,1,1 - 1,443,RSA,7:23,Goal,1
Action shot,9.0,3,1,GRE,1.0,CHARALAMPIDI I,1,1 - 1,419,GRE,6:59,Saved,0
Centre shot,7.0,3,2,GRE,1.0,ASIMAKI A,1,1 - 2,367,GRE,6:07,Goal,1
5m shot,12.0,3,2,GRE,1.0,WHITE K,1,1 - 2,339,RSA,5:39,Missed,0
5m shot,7.0,3,2,GRE,1.0,KAY K,1,1 - 2,291,RSA,4:51,Missed,0
Action shot,7.0,3,3,GRE,1.0,ASIMAKI A,1,1 - 3,281,GRE,4:41,Goal,1
Extra player shot,6.0,3,3,GRE,1.0,AVRAMIDOU A,1,1 - 3,221,GRE,3:41,Saved,0
Action shot,3.0,3,3,GRE,1.0,CHARALAMPIDI S,1,1 - 3,183,GRE,3:03,Post,0
5m shot,12.0,3,3,GRE,1.0,WHITE K,1,1 - 3,168,RSA,2:48,Missed,0
Counter attack,3.0,3,4,GRE,1.0,CHARALAMPIDI S,1,1 - 4,160,GRE,2:40,Goal,1
Extra player shot,3.0,3,5,GRE,1.0,CHARALAMPIDI S,1,1 - 5,132,GRE,2:12,Goal,1
Action shot,3.0,3,5,GRE,1.0,PALEY K,1,1 - 5,105,RSA,1:45,Saved,0
5m shot,12.0,3,5,GRE,1.0,WHITE K,1,1 - 5,68,RSA,1:08,Missed,0
Action shot,2.0,3,5,GRE,1.0,TSOUKALA C,1,1 - 5,43,GRE,0:43,Saved,0
Action shot,6.0,3,6,GRE,2.0,AVRAMIDOU A,1,1 - 6,454,GRE,7:34,Goal,1
Action shot,7.0,3,7,GRE,2.0,ASIMAKI A,1,1 - 7,408,GRE,6:48,Goal,1
5m shot,12.0,3,7,GRE,2.0,WHITE K,1,1 - 7,331,RSA,5:31,Missed,0
Action shot,4.0,3,8,GRE,2.0,KOTSIA C,1,1 - 8,319,GRE,5:19,Goal,1
Action shot,7.0,3,9,GRE,2.0,ASIMAKI A,1,1 - 9,276,GRE,4:36,Goal,1
Penalty shot,11.0,3,9,GRE,2.0,PLEVRITOU E,1,1 - 9,243,GRE,4:03,Post,0
5m shot,11.0,3,9,GRE,2.0,PLEVRITOU E,1,1 - 9,198,GRE,3:18,Post,0
Extra player shot,9.0,3,10,GRE,2.0,CHARALAMPIDI I,1,1 - 10,159,GRE,2:39,Goal,1
Action shot,12.0,3,10,GRE,2.0,WHITE K,2,2 - 10,95,RSA,1:35,Goal,1
Action shot,2.0,3,11,GRE,2.0,TSOUKALA C,2,2 - 11,68,GRE,1:08,Goal,1
Action shot,11.0,3,11,GRE,2.0,PLEVRITOU E,2,2 - 11,14,GRE,0:14,Saved,0
Action shot,8.0,3,11,GRE,3.0,ROUMPESI A,2,2 - 11,421,GRE,7:01,Saved,0
Centre shot,7.0,3,12,GRE,3.0,ASIMAKI A,2,2 - 12,371,GRE,6:11,Goal,1
Action shot,2.0,3,12,GRE,3.0,TSOUKALA C,2,2 - 12,323,GRE,5:23,Blocked,0
Centre shot,7.0,3,12,GRE,3.0,ASIMAKI A,2,2 - 12,274,GRE,4:34,Saved,0
Penalty shot,12.0,3,12,GRE,3.0,WHITE K,3,3 - 12,255,RSA,4:15,Goal,1
Action shot,2.0,3,12,GRE,3.0,TSOUKALA C,3,3 - 12,240,GRE,4:00,Missed,0
Action shot,2.0,3,12,GRE,3.0,TSOUKALA C,3,3 - 12,202,GRE,3:22,Blocked,0
5m shot,12.0,3,12,GRE,3.0,WHITE K,3,3 - 12,134,RSA,2:14,Missed,0
Action shot,10.0,3,13,GRE,3.0,MANOLIOUDAKI T,3,3 - 13,112,GRE,1:52,Goal,1
Action shot,7.0,3,13,GRE,3.0,KAY K,3,3 - 13,94,RSA,1:34,Missed,0
Centre shot,12.0,3,14,GRE,3.0,XENAKI E,3,3 - 14,71,GRE,1:11,Goal,1
5m shot,5.0,3,14,GRE,3.0,PLEVRITOU M,3,3 - 14,67,GRE,1:07,Blocked,0
Centre shot,12.0,3,15,GRE,3.0,XENAKI E,3,3 - 15,29,GRE,0:29,Goal,1
5m shot,11.0,3,15,GRE,3.0,PLEVRITOU E,3,3 - 15,1,GRE,0:01,Saved,0
5m shot,5.0,3,15,GRE,4.0,PLEVRITOU M,3,3 - 15,452,GRE,7:32,Post,0
Action shot,11.0,3,15,GRE,4.0,PLEVRITOU E,3,3 - 15,406,GRE,6:46,Saved,0
Counter attack,4.0,3,15,GRE,4.0,VERSFELD R,4,4 - 15,374,RSA,6:14,Goal,1
Action shot,3.0,3,15,GRE,4.0,CHARALAMPIDI S,4,4 - 15,346,GRE,5:46,Blocked,0
5m shot,5.0,3,16,GRE,4.0,PLEVRITOU M,4,4 - 16,298,GRE,4:58,Goal,1
Counter attack,11.0,3,17,GRE,4.0,PLEVRITOU E,4,4 - 17,271,GRE,4:31,Goal,1
