Action,Cap,GRE,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
5m shot,2.0,5,1,2,ESP,2.0,GENIDOUNIAS K,2 - 5,176,GRE,2:56,Saved,0
Action shot,6.0,5,1,2,ESP,2.0,MINGUELL ALFEREZ M,2 - 5,150,ESP,2:30,Saved,0
Extra player shot,7.0,5,1,2,ESP,2.0,BARROSO MACARRO A,2 - 5,78,ESP,1:18,Saved,0
Extra player shot,5.0,5,1,2,ESP,2.0,FOUNTOULIS I,2 - 5,35,GRE,0:35,Post,0
Action shot,11.0,5,1,3,ESP,2.0,MALLARACH GUELL B,3 - 5,8,ESP,0:08,Goal,1
5m shot,12.0,5,1,3,ESP,2.0,VLACHOPOULOS A,3 - 5,1,GRE,0:01,Missed,0
5m shot,10.0,5,1,3,ESP,3.0,FERNANDEZ MIRANDA,3 - 5,451,ESP,7:31,Post,0
Action shot,8.0,5,1,3,ESP,3.0,ESPANOL LIFANTE A,3 - 5,365,ESP,6:05,Saved,0
5m shot,5.0,5,1,3,ESP,3.0,FOUNTOULIS I,3 - 5,306,GRE,5:06,Saved,0
Centre shot,9.0,5,1,3,ESP,3.0,TAHULL COMPTE R,3 - 5,277,ESP,4:37,Saved,0
Action shot,12.0,5,1,3,ESP,3.0,VLACHOPOULOS A,3 - 5,253,GRE,4:13,Saved,0
5m shot,5.0,5,1,3,ESP,3.0,FOUNTOULIS I,3 - 5,233,GRE,3:53,Saved,0
Extra player shot,12.0,6,1,3,ESP,3.0,VLACHOPOULOS A,3 - 6,197,GRE,3:17,Goal,1
Action shot,7.0,6,1,4,ESP,3.0,BARROSO MACARRO A,4 - 6,173,ESP,2:53,Goal,1
5m shot,5.0,6,1,4,ESP,3.0,FOUNTOULIS I,4 - 6,143,GRE,2:23,Saved,0
5m shot,3.0,6,1,4,ESP,3.0,DELAKAS E,4 - 6,96,GRE,1:36,Missed,0
Extra player shot,7.0,6,1,4,ESP,3.0,BARROSO MACARRO A,4 - 6,53,ESP,0:53,Post,0
5m shot,2.0,6,1,4,ESP,3.0,MUNARRIZ EGANA A,4 - 6,30,ESP,0:30,Blocked,0
Action shot,5.0,6,1,4,ESP,3.0,FOUNTOULIS I,4 - 6,4,GRE,0:04,Saved,0
5m shot,4.0,6,1,4,ESP,4.0,DERVISIS G,4 - 6,453,GRE,7:33,Saved,0
Extra player shot,11.0,7,1,4,ESP,4.0,GOUNAS A,4 - 7,386,GRE,6:26,Goal,1
Action shot,2.0,7,1,4,ESP,4.0,MUNARRIZ EGANA A,4 - 7,355,ESP,5:55,Saved,0
Action shot,11.0,7,1,5,ESP,4.0,MALLARACH GUELL B,5 - 7,346,ESP,5:46,Goal,1
5m shot,2.0,7,1,5,ESP,4.0,GENIDOUNIAS K,5 - 7,315,GRE,5:15,Saved,0
Action shot,11.0,7,1,5,ESP,4.0,MALLARACH GUELL B,5 - 7,277,ESP,4:37,Saved,0
Action shot,12.0,7,1,6,ESP,4.0,GUTIERREZ SANTIAGO,6 - 7,273,ESP,4:33,Goal,1
Action shot,12.0,7,1,6,ESP,4.0,VLACHOPOULOS A,6 - 7,231,GRE,3:51,Saved,0
Centre shot,9.0,7,1,7,ESP,4.0,TAHULL COMPTE R,7 - 7,207,ESP,3:27,Goal,1
Extra player shot,5.0,7,1,7,ESP,4.0,FOUNTOULIS I,7 - 7,154,GRE,2:34,Saved,0
5m shot,2.0,7,1,7,ESP,4.0,MUNARRIZ EGANA A,7 - 7,134,ESP,2:14,Saved,0
Extra player shot,4.0,8,1,7,ESP,4.0,DERVISIS G,7 - 8,80,GRE,1:20,Goal,1
Action shot,2.0,8,1,7,ESP,4.0,MUNARRIZ EGANA A,7 - 8,28,ESP,0:28,Saved,0
5m shot,3.0,0,2,0,RSA,1.0,CARD D,0 - 0,437,RSA,7:17,Saved,0
Action shot,2.0,0,2,0,RSA,1.0,GENIDOUNIAS K,0 - 0,411,GRE,6:51,Blocked,0
Extra player shot,11.0,0,2,0,RSA,1.0,GOUNAS A,0 - 0,343,GRE,5:43,Saved,0
Action shot,5.0,0,2,0,RSA,1.0,BROWN C,0 - 0,317,RSA,5:17,Post,0
Action shot,7.0,1,2,0,RSA,1.0,PONTIKEAS K,0 - 1,291,GRE,4:51,Goal,1
5m shot,2.0,1,2,0,RSA,1.0,le ROUX E,0 - 1,259,RSA,4:19,Post,0
Action shot,11.0,2,2,0,RSA,1.0,GOUNAS A,0 - 2,233,GRE,3:53,Goal,1
Action shot,6.0,3,2,0,RSA,1.0,KAPOTSIS M,0 - 3,182,GRE,3:02,Goal,1
Centre shot,3.0,3,2,0,RSA,1.0,CARD D,0 - 3,152,RSA,2:32,Saved,0
Extra player shot,5.0,4,2,0,RSA,1.0,FOUNTOULIS I,0 - 4,124,GRE,2:04,Goal,1
Action shot,5.0,4,2,0,RSA,1.0,FOUNTOULIS I,0 - 4,72,GRE,1:12,Saved,0
Penalty shot,5.0,5,2,0,RSA,1.0,FOUNTOULIS I,0 - 5,70,GRE,1:10,Goal,1
Action shot,5.0,5,2,0,RSA,1.0,FOUNTOULIS I,0 - 5,31,GRE,0:31,Saved,0
5m shot,2.0,5,2,0,RSA,1.0,le ROUX E,0 - 5,1,RSA,0:01,Saved,0
Extra player shot,11.0,5,2,0,RSA,2.0,GOUNAS A,0 - 5,388,GRE,6:28,Missed,0
5m shot,10.0,5,2,0,RSA,2.0,le ROUX P,0 - 5,312,RSA,5:12,Saved,0
Centre shot,10.0,6,2,0,RSA,2.0,KOLOMVOS C,0 - 6,293,GRE,4:53,Goal,1
Centre shot,3.0,6,2,0,RSA,2.0,CARD D,0 - 6,263,RSA,4:23,Saved,0
Extra player shot,10.0,7,2,0,RSA,2.0,KOLOMVOS C,0 - 7,240,GRE,4:00,Goal,1
Action shot,2.0,7,2,1,RSA,2.0,le ROUX E,1 - 7,213,RSA,3:33,Goal,1
5m shot,5.0,8,2,1,RSA,2.0,FOUNTOULIS I,1 - 8,195,GRE,3:15,Goal,1
Extra player shot,5.0,8,2,1,RSA,2.0,FOUNTOULIS I,1 - 8,132,GRE,2:12,Blocked,0
Extra player shot,2.0,8,2,1,RSA,2.0,le ROUX E,1 - 8,93,RSA,1:33,Saved,0
Counter attack,11.0,8,2,2,RSA,2.0,MOLYNEUX N,2 - 8,60,RSA,1:00,Goal,1
5m shot,11.0,8,2,2,RSA,2.0,GOUNAS A,2 - 8,29,GRE,0:29,Post,0
Action shot,5.0,8,2,2,RSA,4.0,BROWN C,2 - 8,114,RSA,1:54,Missed,0
Action shot,8.0,8,2,2,RSA,4.0,ARGYROPOULOS KANAK,2 - 8,97,GRE,1:37,Saved,0
Centre shot,5.0,18,2,2,RSA,4.0,FOUNTOULIS I,2 - 18,94,GRE,1:34,Goal,1
Penalty shot,11.0,18,2,2,RSA,4.0,MOLYNEUX N,2 - 18,78,RSA,1:18,Saved,0
Extra player shot,10.0,18,2,2,RSA,3.0,le ROUX P,2 - 18,380,RSA,6:20,Saved,0
Action shot,10.0,18,2,2,RSA,3.0,le ROUX P,2 - 18,370,RSA,6:10,Saved,0
Centre shot,11.0,9,2,2,RSA,3.0,GOUNAS A,2 - 9,353,GRE,5:53,Goal,1
5m shot,11.0,10,2,2,RSA,3.0,GOUNAS A,2 - 10,311,GRE,5:11,Goal,1
Centre shot,5.0,11,2,2,RSA,3.0,FOUNTOULIS I,2 - 11,223,GRE,3:43,Goal,1
Action shot,8.0,11,2,2,RSA,3.0,ARGYROPOULOS KANAK,2 - 11,191,GRE,3:11,Saved,0
Centre shot,3.0,11,2,2,RSA,3.0,CARD D,2 - 11,164,RSA,2:44,Saved,0
5m shot,11.0,11,2,2,RSA,3.0,GOUNAS A,2 - 11,138,GRE,2:18,Saved,0
Action shot,4.0,12,2,2,RSA,3.0,DERVISIS G,2 - 12,93,GRE,1:33,Goal,1
Extra player shot,2.0,13,2,2,RSA,3.0,GENIDOUNIAS K,2 - 13,37,GRE,0:37,Goal,1
Centre shot,9.0,13,2,2,RSA,4.0,MOURIKIS K,2 - 13,421,GRE,7:01,Missed,0
Penalty shot,10.0,13,2,2,RSA,4.0,le ROUX P,2 - 13,391,RSA,6:31,Saved,0
Extra player shot,8.0,14,2,2,RSA,4.0,ARGYROPOULOS KANAK,2 - 14,361,GRE,6:01,Goal,1
Action shot,8.0,15,2,2,RSA,4.0,ARGYROPOULOS KANAK,2 - 15,260,GRE,4:20,Goal,1
5m shot,5.0,16,2,2,RSA,4.0,FOUNTOULIS I,2 - 16,221,GRE,3:41,Goal,1
Centre shot,4.0,16,2,2,RSA,4.0,BADENHORST N,2 - 16,201,RSA,3:21,Missed,0
Centre shot,10.0,17,2,2,RSA,4.0,KOLOMVOS C,2 - 17,181,GRE,3:01,Goal,1
Action shot,12.0,17,2,2,RSA,4.0,VLACHOPOULOS A,2 - 17,51,GRE,0:51,Saved,0
5m shot,5.0,17,2,2,RSA,4.0,FOUNTOULIS I,2 - 17,1,GRE,0:01,Saved,0
Centre shot,12.0,0,3,0,SRB,1.0,MITORVIC S,0 - 0,444,SRB,7:24,Post,0
Action shot,12.0,0,3,0,SRB,1.0,MITORVIC S,0 - 0,339,SRB,5:39,Blocked,0
Action shot,5.0,0,3,0,SRB,1.0,FOUNTOULIS I,0 - 0,292,GRE,4:52,Saved,0
Counter attack,2.0,0,3,1,SRB,1.0,MANDIC D,1 - 0,246,SRB,4:06,Goal,1
Action shot,2.0,1,3,1,SRB,1.0,GENIDOUNIAS K,1 - 1,219,GRE,3:39,Goal,1
5m shot,10.0,1,3,2,SRB,1.0,FILIPOVIC F,2 - 1,190,SRB,3:10,Goal,1
Action shot,12.0,1,3,2,SRB,1.0,VLACHOPOULOS A,2 - 1,113,GRE,1:53,Saved,0
Action shot,10.0,1,3,2,SRB,1.0,FILIPOVIC F,2 - 1,60,SRB,1:00,Saved,0
5m shot,8.0,1,3,2,SRB,1.0,ALEKSIC M,2 - 1,38,SRB,0:38,Saved,0
5m shot,5.0,1,3,2,SRB,2.0,FOUNTOULIS I,2 - 1,454,GRE,7:34,Saved,0
5m shot,11.0,1,3,2,SRB,2.0,PRLAINOVIC A,2 - 1,415,SRB,6:55,Missed,0
Action shot,11.0,1,3,2,SRB,2.0,GOUNAS A,2 - 1,398,GRE,6:38,Missed,0
Action shot,9.0,2,3,2,SRB,2.0,MOURIKIS K,2 - 2,285,GRE,4:45,Goal,1
Action shot,3.0,3,3,2,SRB,2.0,DELAKAS E,2 - 3,230,GRE,3:50,Goal,1
Action shot,2.0,3,3,3,SRB,2.0,MANDIC D,3 - 3,194,SRB,3:14,Goal,1
5m shot,2.0,3,3,3,SRB,2.0,GENIDOUNIAS K,3 - 3,166,GRE,2:46,Saved,0
5m shot,10.0,3,3,4,SRB,2.0,FILIPOVIC F,4 - 3,145,SRB,2:25,Goal,1
Extra player shot,12.0,3,3,4,SRB,2.0,VLACHOPOULOS A,4 - 3,78,GRE,1:18,Saved,0
Action shot,3.0,4,3,4,SRB,2.0,DELAKAS E,4 - 4,67,GRE,1:07,Goal,1
Extra player shot,11.0,4,3,5,SRB,2.0,PRLAINOVIC A,5 - 4,29,SRB,0:29,Goal,1
5m shot,9.0,4,3,5,SRB,2.0,JAKSIC N,5 - 4,1,SRB,0:01,Saved,0
Centre shot,8.0,6,3,11,SRB,4.0,ALEKSIC M,11 - 6,73,SRB,1:13,Goal,1
5m shot,6.0,6,3,11,SRB,4.0,KAPOTSIS M,11 - 6,45,GRE,0:45,Saved,0
5m shot,11.0,6,3,11,SRB,3.0,PRLAINOVIC A,11 - 6,458,SRB,7:38,Missed,0
Extra player shot,9.0,4,3,6,SRB,3.0,JAKSIC N,6 - 4,380,SRB,6:20,Goal,1
Extra player shot,12.0,4,3,6,SRB,3.0,VLACHOPOULOS A,6 - 4,340,GRE,5:40,Post,0
5m shot,2.0,4,3,6,SRB,3.0,MANDIC D,6 - 4,310,SRB,5:10,Saved,0
Centre shot,10.0,4,3,6,SRB,3.0,KOLOMVOS C,6 - 4,288,GRE,4:48,Saved,0
5m shot,5.0,4,3,6,SRB,3.0,FOUNTOULIS I,6 - 4,262,GRE,4:22,Post,0
Action shot,12.0,4,3,7,SRB,3.0,MITORVIC S,7 - 4,246,SRB,4:06,Goal,1
Extra player shot,4.0,4,3,7,SRB,3.0,DERVISIS G,7 - 4,208,GRE,3:28,Missed,0
Counter attack,6.0,4,3,8,SRB,3.0,PIJETLOVIC D,8 - 4,195,SRB,3:15,Goal,1
5m shot,5.0,4,3,8,SRB,3.0,FOUNTOULIS I,8 - 4,168,GRE,2:48,Saved,0
5m shot,5.0,4,3,8,SRB,3.0,FOUNTOULIS I,8 - 4,137,GRE,2:17,Blocked,0
5m shot,11.0,4,3,8,SRB,3.0,GOUNAS A,8 - 4,83,GRE,1:23,Blocked,0
5m shot,5.0,4,3,8,SRB,3.0,FOUNTOULIS I,8 - 4,1,GRE,0:01,Saved,0
Penalty shot,5.0,5,3,8,SRB,4.0,FOUNTOULIS I,8 - 5,436,GRE,7:16,Goal,1
Extra player shot,4.0,5,3,9,SRB,4.0,RANDELOVIC S,9 - 5,411,SRB,6:51,Goal,1
5m shot,10.0,5,3,10,SRB,4.0,FILIPOVIC F,10 - 5,360,SRB,6:00,Goal,1
5m shot,5.0,5,3,10,SRB,4.0,FOUNTOULIS I,10 - 5,343,GRE,5:43,Blocked,0
Action shot,9.0,5,3,10,SRB,4.0,MOURIKIS K,10 - 5,318,GRE,5:18,Saved,0
Extra player shot,5.0,5,3,10,SRB,4.0,CUK M,10 - 5,288,SRB,4:48,Saved,0
5m shot,2.0,5,3,10,SRB,4.0,GENIDOUNIAS K,10 - 5,266,GRE,4:26,Saved,0
Action shot,6.0,5,3,10,SRB,4.0,PIJETLOVIC D,10 - 5,244,SRB,4:04,Saved,0
Penalty shot,5.0,6,3,10,SRB,4.0,FOUNTOULIS I,10 - 6,180,GRE,3:00,Goal,1
Action shot,2.0,6,3,10,SRB,4.0,MANDIC D,10 - 6,162,SRB,2:42,Saved,0
Action shot,8.0,6,3,10,SRB,4.0,ALEKSIC M,10 - 6,111,SRB,1:51,Saved,0
5m shot,12.0,6,3,10,SRB,4.0,MITORVIC S,10 - 6,21,SRB,0:21,Saved,0
Extra player shot,6.0,6,3,10,SRB,4.0,KAPOTSIS M,10 - 6,1,GRE,0:01,Missed,0
Extra player shot,2.0,0,4,0,JPN,1.0,ADACHI S,0 - 0,424,JPN,7:04,Saved,0
Action shot,12.0,1,4,0,JPN,1.0,VLACHOPOULOS A,1 - 0,378,GRE,6:18,Goal,1
5m shot,4.0,1,4,0,JPN,1.0,SHIGA M,1 - 0,352,JPN,5:52,Saved,0
Penalty shot,5.0,2,4,0,JPN,1.0,FOUNTOULIS I,2 - 0,327,GRE,5:27,Goal,1
Extra player shot,11.0,2,4,1,JPN,1.0,OKAWA K,2 - 1,302,JPN,5:02,Goal,1
Counter attack,5.0,3,4,1,JPN,1.0,FOUNTOULIS I,3 - 1,289,GRE,4:49,Goal,1
5m shot,10.0,3,4,1,JPN,1.0,KOLOMVOS C,3 - 1,244,GRE,4:04,Saved,0
Action shot,2.0,3,4,1,JPN,1.0,GENIDOUNIAS K,3 - 1,110,GRE,1:50,Blocked,0
Action shot,2.0,3,4,2,JPN,1.0,ADACHI S,3 - 2,86,JPN,1:26,Goal,1
5m shot,11.0,4,4,2,JPN,1.0,GOUNAS A,4 - 2,60,GRE,1:00,Goal,1
Extra player shot,2.0,5,4,2,JPN,1.0,GENIDOUNIAS K,5 - 2,7,GRE,0:07,Goal,1
5m shot,2.0,5,4,2,JPN,1.0,ADACHI S,5 - 2,1,JPN,0:01,Missed,0
Centre shot,9.0,6,4,2,JPN,2.0,MOURIKIS K,6 - 2,443,GRE,7:23,Goal,1
5m shot,11.0,6,4,2,JPN,2.0,OKAWA K,6 - 2,417,JPN,6:57,Missed,0
Extra player shot,11.0,7,4,2,JPN,2.0,GOUNAS A,7 - 2,373,GRE,6:13,Goal,1
Counter attack,5.0,8,4,2,JPN,2.0,FOUNTOULIS I,8 - 2,342,GRE,5:42,Goal,1
Centre shot,7.0,8,4,2,JPN,2.0,SHIMIZU Y,8 - 2,254,JPN,4:14,Post,0
Centre shot,7.0,8,4,2,JPN,2.0,SHIMIZU Y,8 - 2,203,JPN,3:23,Saved,0
Action shot,2.0,9,4,2,JPN,2.0,GENIDOUNIAS K,9 - 2,176,GRE,2:56,Goal,1
5m shot,9.0,9,4,2,JPN,2.0,ARAI A,9 - 2,157,JPN,2:37,Missed,0
Action shot,5.0,9,4,2,JPN,2.0,YOSHIDA T,9 - 2,116,JPN,1:56,Saved,0
Centre shot,10.0,9,4,2,JPN,2.0,KOLOMVOS C,9 - 2,90,GRE,1:30,Missed,0
5m shot,5.0,9,4,2,JPN,4.0,FOUNTOULIS I,9 - 2,84,GRE,1:24,Post,0
5m shot,4.0,9,4,2,JPN,2.0,SHIGA M,9 - 2,68,JPN,1:08,Saved,0
5m shot,5.0,10,4,2,JPN,2.0,FOUNTOULIS I,10 - 2,5,GRE,0:05,Goal,1
5m shot,2.0,10,4,3,JPN,3.0,ADACHI S,10 - 3,426,JPN,7:06,Goal,1
Action shot,11.0,10,4,3,JPN,3.0,OKAWA K,10 - 3,387,JPN,6:27,Blocked,0
Centre shot,9.0,11,4,3,JPN,3.0,MOURIKIS K,11 - 3,366,GRE,6:06,Goal,1
Action shot,12.0,12,4,3,JPN,3.0,VLACHOPOULOS A,12 - 3,314,GRE,5:14,Goal,1
Extra player shot,5.0,12,4,3,JPN,3.0,YOSHIDA T,12 - 3,276,JPN,4:36,Blocked,0
5m shot,2.0,12,4,3,JPN,3.0,GENIDOUNIAS K,12 - 3,247,GRE,4:07,Blocked,0
Centre shot,10.0,12,4,3,JPN,3.0,KOLOMVOS C,12 - 3,200,GRE,3:20,Missed,0
5m shot,2.0,12,4,3,JPN,3.0,GENIDOUNIAS K,12 - 3,159,GRE,2:39,Saved,0
Action shot,11.0,12,4,3,JPN,3.0,GOUNAS A,12 - 3,134,GRE,2:14,Saved,0
5m shot,4.0,12,4,4,JPN,3.0,SHIGA M,12 - 4,117,JPN,1:57,Goal,1
Extra player shot,6.0,12,4,4,JPN,3.0,IIDA A,12 - 4,79,JPN,1:19,Saved,0
5m shot,2.0,12,4,4,JPN,3.0,GENIDOUNIAS K,12 - 4,24,GRE,0:24,Saved,0
Centre shot,8.0,12,4,4,JPN,3.0,ARGYROPOULOS KANAK,12 - 4,9,GRE,0:09,Missed,0
5m shot,11.0,12,4,4,JPN,4.0,OKAWA K,12 - 4,416,JPN,6:56,Blocked,0
Extra player shot,12.0,13,4,4,JPN,4.0,VLACHOPOULOS A,13 - 4,345,GRE,5:45,Goal,1
Penalty shot,11.0,14,4,4,JPN,4.0,GOUNAS A,14 - 4,307,GRE,5:07,Goal,1
Extra player shot,8.0,14,4,4,JPN,4.0,TAKATA M,14 - 4,281,JPN,4:41,Blocked,0
5m shot,8.0,14,4,4,JPN,4.0,TAKATA M,14 - 4,189,JPN,3:09,Missed,0
5m shot,3.0,14,4,4,JPN,4.0,DELAKAS E,14 - 4,118,GRE,1:58,Saved,0
Action shot,9.0,14,4,4,JPN,4.0,MOURIKIS K,14 - 4,37,GRE,0:37,Saved,0
5m shot,9.0,14,4,4,JPN,4.0,MOURIKIS K,14 - 4,11,GRE,0:11,Post,0
Penalty shot,7.0,0,5,0,MNE,1.0,DRASKOVIC D,0 - 0,437,MNE,7:17,Saved,0
Action shot,3.0,0,5,0,MNE,1.0,DELAKAS E,0 - 0,407,GRE,6:47,Blocked,0
5m shot,2.0,0,5,0,MNE,1.0,BRGULJAN D,0 - 0,380,MNE,6:20,Saved,0
Action shot,4.0,0,5,0,MNE,1.0,PETKOVIC M,0 - 0,352,MNE,5:52,Blocked,0
5m shot,3.0,0,5,0,MNE,1.0,DELAKAS E,0 - 0,289,GRE,4:49,Saved,0
Extra player shot,11.0,1,5,0,MNE,1.0,GOUNAS A,0 - 1,260,GRE,4:20,Goal,1
Action shot,2.0,1,5,0,MNE,1.0,BRGULJAN D,0 - 1,184,MNE,3:04,Saved,0
Centre shot,11.0,1,5,0,MNE,1.0,GOUNAS A,0 - 1,167,GRE,2:47,Saved,0
Action shot,5.0,1,5,0,MNE,1.0,BRGULJAN D,0 - 1,145,MNE,2:25,Saved,0
Extra player shot,11.0,1,5,0,MNE,1.0,GOUNAS A,0 - 1,122,GRE,2:02,Saved,0
Action shot,12.0,1,5,0,MNE,1.0,VLACHOPOULOS A,0 - 1,96,GRE,1:36,Blocked,0
Extra player shot,4.0,1,5,0,MNE,1.0,PETKOVIC M,0 - 1,51,MNE,0:51,Saved,0
Extra player shot,9.0,1,5,0,MNE,1.0,MOURIKIS K,0 - 1,8,GRE,0:08,Saved,0
5m shot,5.0,1,5,0,MNE,2.0,FOUNTOULIS I,0 - 1,459,GRE,7:39,Post,0
Centre shot,10.0,1,5,0,MNE,2.0,MISIC S,0 - 1,430,MNE,7:10,Saved,0
5m shot,12.0,2,5,0,MNE,2.0,VLACHOPOULOS A,0 - 2,403,GRE,6:43,Goal,1
Action shot,4.0,3,5,0,MNE,2.0,DERVISIS G,0 - 3,349,GRE,5:49,Goal,1
Action shot,5.0,3,5,0,MNE,2.0,BRGULJAN D,0 - 3,330,MNE,5:30,Blocked,0
Action shot,10.0,4,5,0,MNE,2.0,KOLOMVOS C,0 - 4,288,GRE,4:48,Goal,1
Extra player shot,10.0,4,5,1,MNE,2.0,MISIC S,1 - 4,258,MNE,4:18,Goal,1
Centre shot,9.0,5,5,1,MNE,2.0,MOURIKIS K,1 - 5,217,GRE,3:37,Goal,1
5m shot,6.0,5,5,1,MNE,2.0,RADOVIC A,1 - 5,179,MNE,2:59,Blocked,0
Extra player shot,5.0,6,5,1,MNE,2.0,FOUNTOULIS I,1 - 6,152,GRE,2:32,Goal,1
5m shot,6.0,6,5,2,MNE,2.0,RADOVIC A,2 - 6,93,MNE,1:33,Goal,1
5m shot,2.0,6,5,2,MNE,2.0,GENIDOUNIAS K,2 - 6,72,GRE,1:12,Blocked,0
Action shot,5.0,6,5,2,MNE,2.0,BRGULJAN D,2 - 6,55,MNE,0:55,Saved,0
Extra player shot,5.0,6,5,2,MNE,4.0,BRGULJAN D,2 - 6,32,MNE,0:32,Saved,0
5m shot,11.0,6,5,2,MNE,3.0,GOUNAS A,2 - 6,411,GRE,6:51,Post,0
5m shot,11.0,6,5,2,MNE,3.0,CUCKOVIC U,2 - 6,383,MNE,6:23,Saved,0
Action shot,5.0,7,5,2,MNE,3.0,FOUNTOULIS I,2 - 7,363,GRE,6:03,Goal,1
Action shot,2.0,7,5,2,MNE,3.0,BRGULJAN D,2 - 7,319,MNE,5:19,Missed,0
5m shot,11.0,7,5,2,MNE,3.0,GOUNAS A,2 - 7,291,GRE,4:51,Saved,0
Action shot,11.0,8,5,2,MNE,3.0,GOUNAS A,2 - 8,267,GRE,4:27,Goal,1
5m shot,2.0,8,5,2,MNE,3.0,BRGULJAN D,2 - 8,240,MNE,4:00,Saved,0
5m shot,5.0,8,5,2,MNE,3.0,FOUNTOULIS I,2 - 8,212,GRE,3:32,Saved,0
Penalty shot,5.0,9,5,2,MNE,3.0,FOUNTOULIS I,2 - 9,188,GRE,3:08,Goal,1
Centre shot,10.0,9,5,2,MNE,3.0,MISIC S,2 - 9,165,MNE,2:45,Saved,0
5m shot,5.0,9,5,2,MNE,3.0,FOUNTOULIS I,2 - 9,141,GRE,2:21,Post,0
Action shot,5.0,9,5,2,MNE,3.0,BRGULJAN D,2 - 9,116,MNE,1:56,Saved,0
5m shot,11.0,9,5,2,MNE,3.0,GOUNAS A,2 - 9,94,GRE,1:34,Missed,0
Extra player shot,9.0,9,5,2,MNE,3.0,RADOVIC D,2 - 9,56,MNE,0:56,Blocked,0
Extra player shot,5.0,10,5,2,MNE,3.0,FOUNTOULIS I,2 - 10,14,GRE,0:14,Goal,1
5m shot,2.0,10,5,3,MNE,3.0,BRGULJAN D,3 - 10,3,MNE,0:03,Goal,1
5m shot,12.0,10,5,3,MNE,3.0,VLACHOPOULOS A,3 - 10,1,GRE,0:01,Saved,0
Action shot,4.0,10,5,3,MNE,4.0,PETKOVIC M,3 - 10,456,MNE,7:36,Post,0
5m shot,3.0,10,5,3,MNE,4.0,DELAKAS E,3 - 10,337,GRE,5:37,Saved,0
Centre shot,12.0,10,5,4,MNE,4.0,MURISIC N,4 - 10,315,MNE,5:15,Goal,1
Penalty shot,6.0,10,5,5,MNE,4.0,RADOVIC A,5 - 10,227,MNE,3:47,Goal,1
Counter attack,8.0,11,5,5,MNE,4.0,ARGYROPOULOS KANAK,5 - 11,184,GRE,3:04,Goal,1
Extra player shot,4.0,11,5,6,MNE,4.0,PETKOVIC M,6 - 11,159,MNE,2:39,Goal,1
Action shot,2.0,12,5,6,MNE,4.0,GENIDOUNIAS K,6 - 12,106,GRE,1:46,Goal,1
Penalty shot,5.0,12,5,7,MNE,4.0,BRGULJAN D,7 - 12,84,MNE,1:24,Goal,1
Extra player shot,6.0,0,6,0,HUN,1.0,HOSNYANSZKY N,0 - 0,435,HUN,7:15,Blocked,0
