Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time,Result,Goal
Centre shot,4.0,3,12,AUS,3.0,LINCOLN-SMITH H,1,12 - 1,172,AUS,2:52,Goal,1
Action shot,6.0,3,12,AUS,3.0,SCHOOLING T,1,12 - 1,149,RSA,2:29,Missed,0
Action shot,3.0,3,12,AUS,3.0,BUCKLING H,1,12 - 1,138,AUS,2:18,Saved,0
Counter attack,10.0,3,13,AUS,3.0,SOUTHERN A,1,13 - 1,101,AUS,1:41,Goal,1
Penalty shot,10.0,3,14,AUS,3.0,SOUTHERN A,1,14 - 1,73,AUS,1:13,Goal,1
Centre shot,3.0,3,14,AUS,3.0,PALEY K,1,14 - 1,62,RSA,1:02,Missed,0
Action shot,4.0,3,14,AUS,3.0,LINCOLN-SMITH H,1,14 - 1,2,AUS,0:02,Missed,0
Action shot,9.0,3,14,AUS,4.0,ARANCINI Z,1,14 - 1,452,AUS,7:32,Saved,0
5m shot,5.0,3,14,AUS,4.0,BISHOP I,1,14 - 1,392,AUS,6:32,Blocked,0
Centre shot,11.0,3,14,AUS,4.0,GOFERS K,1,14 - 1,343,AUS,5:43,Missed,0
Action shot,5.0,3,15,AUS,4.0,BISHOP I,1,15 - 1,305,AUS,5:05,Goal,1
5m shot,11.0,3,15,AUS,4.0,GOFERS K,1,15 - 1,250,AUS,4:10,Missed,0
Centre shot,7.0,3,15,AUS,4.0,KAY K,1,15 - 1,232,RSA,3:52,Missed,0
5m shot,10.0,3,15,AUS,4.0,KEET M,1,15 - 1,177,RSA,2:57,Missed,0
Extra player shot,6.0,3,16,AUS,4.0,KNOX B,1,16 - 1,154,AUS,2:34,Goal,1
Extra player shot,4.0,4,0,RUS,1.0,KARIMOVA E,0,0 - 0,449,RUS,7:29,Post,0
Action shot,2.0,4,1,RUS,1.0,ANTONOVA D,0,1 - 0,417,RUS,6:57,Goal,1
Centre shot,4.0,4,2,RUS,1.0,KARIMOVA E,0,2 - 0,374,RUS,6:14,Goal,1
Extra player shot,2.0,4,2,RUS,1.0,SCHMIDT K,0,2 - 0,347,RSA,5:47,Saved,0
Action shot,2.0,4,3,RUS,1.0,ANTONOVA D,0,3 - 0,318,RUS,5:18,Goal,1
5m shot,12.0,4,3,RUS,1.0,WHITE K,0,3 - 0,274,RSA,4:34,Saved,0
Action shot,12.0,4,4,RUS,1.0,ZELENTSOVA E,0,4 - 0,182,RUS,3:02,Goal,1
Penalty shot,3.0,4,5,RUS,1.0,PROKOFYEVA E,0,5 - 0,86,RUS,1:26,Goal,1
Extra player shot,8.0,4,5,RUS,1.0,KEET L,0,5 - 0,55,RSA,0:55,Post,0
Action shot,9.0,4,5,RUS,1.0,TIMOFEEVA A,0,5 - 0,23,RUS,0:23,Blocked,0
5m shot,8.0,4,5,RUS,2.0,KEET L,0,5 - 0,471,RSA,7:51,Blocked,0
Extra player shot,7.0,4,6,RUS,2.0,TANKEEVA E,0,6 - 0,449,RUS,7:29,Goal,1
Extra player shot,3.0,4,6,RUS,2.0,PALEY K,1,6 - 1,424,RSA,7:04,Goal,1
Extra player shot,10.0,4,6,RUS,2.0,BELIAEVA O,1,6 - 1,396,RUS,6:36,Saved,0
Centre shot,10.0,4,7,RUS,2.0,BELIAEVA O,1,7 - 1,387,RUS,6:27,Goal,1
Action shot,12.0,4,7,RUS,2.0,WHITE K,1,7 - 1,351,RSA,5:51,Saved,0
Counter attack,10.0,4,8,RUS,2.0,BELIAEVA O,1,8 - 1,310,RUS,5:10,Goal,1
Centre shot,7.0,4,8,RUS,2.0,KAY K,1,8 - 1,294,RSA,4:54,Saved,0
Counter attack,4.0,4,9,RUS,2.0,KARIMOVA E,1,9 - 1,282,RUS,4:42,Goal,1
Counter attack,6.0,4,10,RUS,2.0,BELOVA O,1,10 - 1,249,RUS,4:09,Goal,1
5m shot,9.0,4,10,RUS,2.0,CHRISTIAN D,1,10 - 1,232,RSA,3:52,Blocked,0
Centre shot,8.0,4,10,RUS,2.0,KEET L,2,10 - 2,228,RSA,3:48,Goal,1
Action shot,9.0,4,10,RUS,2.0,TIMOFEEVA A,2,10 - 2,190,RUS,3:10,Saved,0
Action shot,5.0,4,10,RUS,2.0,ANTONOVA A,2,10 - 2,178,RUS,2:58,Post,0
Action shot,8.0,4,11,RUS,2.0,GRINEVA A,2,11 - 2,101,RUS,1:41,Goal,1
5m shot,12.0,4,11,RUS,2.0,WHITE K,2,11 - 2,80,RSA,1:20,Saved,0
Counter attack,11.0,4,11,RUS,2.0,IVANOVA E,2,11 - 2,66,RUS,1:06,Saved,0
5m shot,8.0,4,11,RUS,2.0,KEET L,2,11 - 2,41,RSA,0:41,Missed,0
Action shot,4.0,4,11,RUS,4.0,KARIMOVA E,2,11 - 2,22,RUS,0:22,Post,0
Counter attack,3.0,4,12,RUS,2.0,PROKOFYEVA E,2,12 - 2,31,RUS,0:31,Goal,1
Action shot,10.0,4,12,RUS,2.0,KEET M,2,12 - 2,3,RSA,0:03,Saved,0
Action shot,6.0,4,12,RUS,3.0,BELOVA O,2,12 - 2,459,RUS,7:39,Missed,0
Extra player shot,3.0,4,13,RUS,3.0,PROKOFYEVA E,2,13 - 2,441,RUS,7:21,Goal,1
Action shot,12.0,4,13,RUS,3.0,ZELENTSOVA E,2,13 - 2,413,RUS,6:53,Post,0
Centre shot,10.0,4,13,RUS,3.0,BELIAEVA O,2,13 - 2,404,RUS,6:44,Saved,0
Extra player shot,10.0,4,14,RUS,3.0,BELIAEVA O,2,14 - 2,355,RUS,5:55,Goal,1
Action shot,7.0,4,14,RUS,3.0,KAY K,2,14 - 2,338,RSA,5:38,Saved,0
Centre shot,12.0,4,14,RUS,3.0,ZELENTSOVA E,2,14 - 2,320,RUS,5:20,Saved,0
Extra player shot,10.0,4,15,RUS,3.0,BELIAEVA O,2,15 - 2,266,RUS,4:26,Goal,1
Extra player shot,11.0,4,15,RUS,3.0,IVANOVA E,2,15 - 2,227,RUS,3:47,Saved,0
Action shot,9.0,4,16,RUS,3.0,TIMOFEEVA A,2,16 - 2,210,RUS,3:30,Goal,1
Action shot,8.0,4,16,RUS,3.0,KEET L,2,16 - 2,194,RSA,3:14,Saved,0
5m shot,3.0,4,17,RUS,3.0,PROKOFYEVA E,2,17 - 2,172,RUS,2:52,Goal,1
Extra player shot,7.0,4,18,RUS,3.0,TANKEEVA E,2,18 - 2,114,RUS,1:54,Goal,1
Extra player shot,10.0,4,18,RUS,3.0,KEET M,3,18 - 3,84,RSA,1:24,Goal,1
Extra player shot,5.0,4,18,RUS,3.0,SCHOOLING M,3,18 - 3,20,RSA,0:20,Blocked,0
Action shot,6.0,4,18,RUS,3.0,SCHOOLING T,3,18 - 3,17,RSA,0:17,Blocked,0
5m shot,2.0,4,18,RUS,3.0,ANTONOVA D,3,18 - 3,1,RUS,0:01,Missed,0
5m shot,10.0,4,18,RUS,4.0,KEET M,3,18 - 3,437,RSA,7:17,Blocked,0
Centre shot,10.0,4,18,RUS,4.0,BELIAEVA O,3,18 - 3,393,RUS,6:33,Post,0
Centre shot,10.0,4,19,RUS,4.0,BELIAEVA O,3,19 - 3,392,RUS,6:32,Goal,1
Centre shot,3.0,4,19,RUS,4.0,PALEY K,3,19 - 3,367,RSA,6:07,Saved,0
Action shot,11.0,4,20,RUS,4.0,IVANOVA E,3,20 - 3,346,RUS,5:46,Goal,1
Action shot,5.0,4,21,RUS,4.0,ANTONOVA A,3,21 - 3,304,RUS,5:04,Goal,1
Action shot,6.0,4,21,RUS,4.0,SCHOOLING T,3,21 - 3,279,RSA,4:39,Saved,0
Action shot,5.0,4,21,RUS,4.0,ANTONOVA A,3,21 - 3,250,RUS,4:10,Saved,0
Action shot,6.0,4,21,RUS,4.0,SCHOOLING T,3,21 - 3,224,RSA,3:44,Saved,0
Counter attack,4.0,4,22,RUS,4.0,KARIMOVA E,3,22 - 3,204,RUS,3:24,Goal,1
5m shot,12.0,4,22,RUS,4.0,WHITE K,3,22 - 3,182,RSA,3:02,Missed,0
Penalty shot,3.0,4,22,RUS,4.0,PROKOFYEVA E,3,22 - 3,167,RUS,2:47,Post,0
Centre shot,8.0,4,22,RUS,4.0,KEET L,3,22 - 3,143,RSA,2:23,Missed,0
Action shot,6.0,4,22,RUS,4.0,BELOVA O,3,22 - 3,120,RUS,2:00,Post,0
