Action,Cap,Game,Opponent,Opponent name,Period,Player,RSA,Score,Seconds,Team,Time
5m shot - Saved,3.0,2,2,NZL,1.0,MASON K,1,1 - 2,96,NZL,1:36
Turnover foul,8.0,2,2,NZL,1.0,KEET L,1,1 - 2,74,RSA,1:14
Steal,7.0,2,2,NZL,1.0,LANDRY S,1,1 - 2,74,NZL,1:14
Turnover foul,9.0,2,2,NZL,1.0,SIEPRATH L,1,1 - 2,52,NZL,0:52
Steal,1.0,2,2,NZL,1.0,JACOBS A,1,1 - 2,52,RSA,0:52
Turnover foul,6.0,2,2,NZL,1.0,SCHOOLING T,1,1 - 2,38,RSA,0:38
Steal,3.0,2,2,NZL,1.0,MASON K,1,1 - 2,38,NZL,0:38
5m shot - Goal,8.0,2,3,NZL,1.0,LEWIS D,1,1 - 3,20,NZL,0:20
Penalty foul,1.0,2,3,NZL,1.0,MILLAR B,1,1 - 3,2,NZL,0:02
Penalty shot - Goal,6.0,2,3,NZL,1.0,SCHOOLING T,2,2 - 3,2,RSA,0:02
5m shot - Missed,3.0,2,3,NZL,1.0,MASON K,2,2 - 3,1,NZL,0:01
Starting goalkeeper,1.0,2,3,NZL,2.0,JACOBS A,2,2 - 3,480,RSA,8:00
Starting goalkeeper,1.0,2,3,NZL,2.0,MILLAR B,2,2 - 3,480,NZL,8:00
Sprint won possession,7.0,2,3,NZL,2.0,LANDRY S,2,2 - 3,480,NZL,8:00
Turnover foul,4.0,2,3,NZL,2.0,LEWIS N,2,2 - 3,456,NZL,7:36
Penalty foul,8.0,2,3,NZL,2.0,LEWIS D,2,2 - 3,445,NZL,7:25
Penalty shot - Missed,6.0,2,3,NZL,2.0,SCHOOLING T,2,2 - 3,445,RSA,7:25
20 sec. exclusion in field,10.0,2,3,NZL,2.0,KEET M,2,2 - 3,428,RSA,7:08
Action shot - Goal,7.0,2,4,NZL,2.0,LANDRY S,2,2 - 4,406,NZL,6:46
Turnover foul,4.0,2,4,NZL,2.0,RAWSTRON C,2,2 - 4,392,RSA,6:32
Steal,3.0,2,4,NZL,2.0,MASON K,2,2 - 4,392,NZL,6:32
20 sec. exclusion in centre,2.0,2,4,NZL,2.0,SCHMIDT K,2,2 - 4,380,RSA,6:20
Extra player shot - Goal,3.0,2,5,NZL,2.0,MASON K,2,2 - 5,369,NZL,6:09
Turnover foul,2.0,2,5,NZL,2.0,SCHMIDT K,2,2 - 5,362,RSA,6:02
5m shot - Post,10.0,2,5,NZL,2.0,BOWRY C,2,2 - 5,335,NZL,5:35
Centre shot - Goal,7.0,2,5,NZL,2.0,KAY K,3,3 - 5,308,RSA,5:08
Action shot - Saved,10.0,2,5,NZL,2.0,BOWRY C,3,3 - 5,279,NZL,4:39
Turnover foul,12.0,2,5,NZL,2.0,WHITE K,3,3 - 5,260,RSA,4:20
Steal,11.0,2,5,NZL,2.0,HUDSON K,3,3 - 5,260,NZL,4:20
Centre shot - Saved,10.0,2,5,NZL,2.0,BOWRY C,3,3 - 5,251,NZL,4:11
Action shot - Missed,9.0,2,5,NZL,2.0,SIEPRATH L,3,3 - 5,242,NZL,4:02
Turnover foul,7.0,2,5,NZL,2.0,KAY K,3,3 - 5,219,RSA,3:39
Steal,10.0,2,5,NZL,2.0,BOWRY C,3,3 - 5,219,NZL,3:39
Turnover foul,9.0,2,5,NZL,2.0,SIEPRATH L,3,3 - 5,199,NZL,3:19
Steal,10.0,2,5,NZL,2.0,KEET M,3,3 - 5,199,RSA,3:19
Turnover foul,7.0,2,5,NZL,2.0,KAY K,3,3 - 5,186,RSA,3:06
Steal,12.0,2,5,NZL,2.0,MYLES A,3,3 - 5,186,NZL,3:06
20 sec. exclusion in field,10.0,2,5,NZL,2.0,KEET M,3,3 - 5,185,RSA,3:05
Time-Out,,2,5,NZL,2.0,,3,3 - 5,185,NZL,3:05
Turnover foul,4.0,2,5,NZL,4.0,LEWIS N,3,3 - 5,395,NZL,6:35
Action shot - Goal,12.0,2,10,NZL,4.0,WHITE K,6,6 - 10,381,RSA,6:21
5m shot - Post,12.0,2,10,NZL,4.0,MYLES A,6,6 - 10,359,NZL,5:59
Turnover foul,12.0,2,10,NZL,4.0,WHITE K,6,6 - 10,338,RSA,5:38
Steal,1.0,2,10,NZL,4.0,MILLAR B,6,6 - 10,338,NZL,5:38
Turnover foul,4.0,2,10,NZL,4.0,LEWIS N,6,6 - 10,316,NZL,5:16
Action shot - Missed,10.0,2,10,NZL,4.0,KEET M,6,6 - 10,297,RSA,4:57
Turnover foul,6.0,2,10,NZL,4.0,SMITH L,6,6 - 10,273,NZL,4:33
Steal,7.0,2,10,NZL,4.0,KAY K,6,6 - 10,273,RSA,4:33
20 sec. exclusion in field,10.0,2,10,NZL,4.0,KEET M,6,6 - 10,242,RSA,4:02
Exclusion with substitution,10.0,2,10,NZL,4.0,KEET M,6,6 - 10,242,RSA,4:02
Action shot - Goal,11.0,2,11,NZL,4.0,HUDSON K,6,6 - 11,219,NZL,3:39
Turnover foul,3.0,2,11,NZL,4.0,PALEY K,6,6 - 11,208,RSA,3:28
Steal,1.0,2,11,NZL,4.0,MILLAR B,6,6 - 11,208,NZL,3:28
Extra player shot - Saved,6.0,2,11,NZL,2.0,SMITH L,6,6 - 11,168,NZL,2:48
Action shot - Saved,8.0,2,11,NZL,2.0,KEET L,6,6 - 11,138,RSA,2:18
Action shot - Goal,11.0,2,6,NZL,2.0,HUDSON K,3,3 - 6,115,NZL,1:55
Turnover foul,12.0,2,6,NZL,2.0,WHITE K,3,3 - 6,95,RSA,1:35
Action shot - Saved,12.0,2,6,NZL,2.0,MYLES A,3,3 - 6,83,NZL,1:23
Turnover foul,4.0,2,6,NZL,2.0,LEWIS N,3,3 - 6,63,NZL,1:03
Steal,8.0,2,6,NZL,2.0,KEET L,3,3 - 6,63,RSA,1:03
Turnover foul,4.0,2,6,NZL,2.0,RAWSTRON C,3,3 - 6,42,RSA,0:42
5m shot - Post,3.0,2,6,NZL,2.0,MASON K,3,3 - 6,24,NZL,0:24
Turnover foul,8.0,2,6,NZL,2.0,KEET L,3,3 - 6,1,RSA,0:01
Steal,1.0,2,6,NZL,2.0,MILLAR B,3,3 - 6,1,NZL,0:01
Starting goalkeeper,1.0,2,6,NZL,3.0,MILLAR B,3,3 - 6,480,NZL,8:00
Starting goalkeeper,1.0,2,6,NZL,3.0,JACOBS A,3,3 - 6,480,RSA,8:00
Sprint won possession,7.0,2,6,NZL,3.0,KAY K,3,3 - 6,480,RSA,8:00
20 sec. exclusion in centre,3.0,2,6,NZL,3.0,MASON K,3,3 - 6,464,NZL,7:44
Action shot - Saved,12.0,2,6,NZL,3.0,WHITE K,3,3 - 6,439,RSA,7:19
Turnover foul,5.0,2,6,NZL,3.0,SCHOOLING M,3,3 - 6,430,RSA,7:10
20 sec. exclusion in centre,6.0,2,6,NZL,3.0,SCHOOLING T,3,3 - 6,411,RSA,6:51
Extra player shot - Saved,3.0,2,6,NZL,3.0,MASON K,3,3 - 6,393,NZL,6:33
Turnover foul,12.0,2,6,NZL,3.0,WHITE K,3,3 - 6,373,RSA,6:13
Steal,1.0,2,6,NZL,3.0,MILLAR B,3,3 - 6,373,NZL,6:13
20 sec. exclusion in centre,12.0,2,6,NZL,3.0,WHITE K,3,3 - 6,356,RSA,5:56
Extra player shot - Blocked,10.0,2,6,NZL,3.0,BOWRY C,3,3 - 6,342,NZL,5:42
20 sec. exclusion in field,8.0,2,6,NZL,3.0,LEWIS D,3,3 - 6,341,NZL,5:41
Time-Out,,2,6,NZL,3.0,,3,3 - 6,341,RSA,5:41
Turnover foul,3.0,2,6,NZL,3.0,PALEY K,3,3 - 6,315,RSA,5:15
Steal,12.0,2,6,NZL,3.0,MYLES A,3,3 - 6,315,NZL,5:15
Action shot - Missed,3.0,2,6,NZL,3.0,MASON K,3,3 - 6,290,NZL,4:50
Turnover foul,7.0,2,6,NZL,3.0,KAY K,3,3 - 6,269,RSA,4:29
Turnover foul,3.0,2,6,NZL,3.0,MASON K,3,3 - 6,252,NZL,4:12
Steal,7.0,2,6,NZL,3.0,KAY K,3,3 - 6,252,RSA,4:12
Turnover foul,7.0,2,6,NZL,3.0,KAY K,3,3 - 6,246,RSA,4:06
Centre shot - Saved,4.0,2,6,NZL,3.0,LEWIS N,3,3 - 6,244,NZL,4:04
Action shot - Goal,10.0,2,6,NZL,3.0,KEET M,4,4 - 6,232,RSA,3:52
Turnover foul,2.0,2,6,NZL,3.0,COX E,4,4 - 6,206,NZL,3:26
Steal,9.0,2,6,NZL,3.0,CHRISTIAN D,4,4 - 6,206,RSA,3:26
Turnover foul,10.0,2,6,NZL,3.0,KEET M,4,4 - 6,196,RSA,3:16
Action shot - Goal,12.0,2,7,NZL,3.0,MYLES A,4,4 - 7,190,NZL,3:10
20 sec. exclusion in centre,8.0,2,7,NZL,3.0,LEWIS D,4,4 - 7,175,NZL,2:55
Exclusion with substitution,8.0,2,7,NZL,3.0,LEWIS D,4,4 - 7,175,NZL,2:55
Extra player shot - Post,11.0,2,7,NZL,3.0,KILLEEN L,4,4 - 7,161,RSA,2:41
Centre shot - Missed,11.0,2,7,NZL,3.0,HUDSON K,4,4 - 7,150,NZL,2:30
Turnover foul,12.0,2,7,NZL,3.0,WHITE K,4,4 - 7,132,RSA,2:12
Steal,12.0,2,7,NZL,3.0,MYLES A,4,4 - 7,132,NZL,2:12
20 sec. exclusion in centre,13.0,2,7,NZL,3.0,MKIZE T,4,4 - 7,117,RSA,1:57
Extra player shot - Goal,12.0,2,8,NZL,3.0,MYLES A,4,4 - 8,106,NZL,1:46
Turnover foul,2.0,2,8,NZL,3.0,SCHMIDT K,4,4 - 8,90,RSA,1:30
Steal,5.0,2,8,NZL,3.0,BOYD A,4,4 - 8,90,NZL,1:30
Turnover foul,9.0,2,8,NZL,3.0,SIEPRATH L,4,4 - 8,70,NZL,1:10
Steal,12.0,2,8,NZL,3.0,WHITE K,4,4 - 8,70,RSA,1:10
Turnover foul,12.0,2,8,NZL,3.0,WHITE K,4,4 - 8,46,RSA,0:46
Steal,7.0,2,8,NZL,3.0,LANDRY S,4,4 - 8,46,NZL,0:46
Action shot - Missed,6.0,2,8,NZL,3.0,SMITH L,4,4 - 8,21,NZL,0:21
Turnover foul,1.0,2,8,NZL,3.0,JACOBS A,4,4 - 8,9,RSA,0:09
Steal,3.0,2,8,NZL,3.0,MASON K,4,4 - 8,9,NZL,0:09
Action shot - Goal,4.0,2,9,NZL,3.0,LEWIS N,4,4 - 9,1,NZL,0:01
Starting goalkeeper,1.0,2,9,NZL,4.0,JACOBS A,4,4 - 9,480,RSA,8:00
Starting goalkeeper,1.0,2,9,NZL,4.0,MILLAR B,4,4 - 9,480,NZL,8:00
Sprint won possession,12.0,2,9,NZL,4.0,MYLES A,4,4 - 9,480,NZL,8:00
20 sec. exclusion in centre,5.0,2,9,NZL,4.0,SCHOOLING M,4,4 - 9,457,RSA,7:37
Extra player shot - Goal,12.0,2,10,NZL,4.0,MYLES A,4,4 - 10,439,NZL,7:19
20 sec. exclusion in field,3.0,2,10,NZL,4.0,MASON K,4,4 - 10,426,NZL,7:06
Extra player shot - Goal,7.0,2,10,NZL,4.0,KAY K,5,5 - 10,414,RSA,6:54
5m shot - Saved,10.0,2,10,NZL,4.0,BOWRY C,5,5 - 10,184,NZL,3:04
Turnover foul,8.0,2,10,NZL,4.0,KEET L,5,5 - 10,163,RSA,2:43
Counter attack - Goal,12.0,2,12,NZL,4.0,MYLES A,6,6 - 12,157,NZL,2:37
