Action,Cap,Game,Opponent,Opponent name,Period,Player,SRB,Score,Seconds,Team,Time,Result,Goal
5m shot,11.0,5,12,CRO,4.0,PRLAINOVIC A,11,11 - 12,3,SRB,0:03,Saved,0
Action shot,2.0,6,0,GRE,1.0,MANDIC D,1,0 - 1,446,SRB,7:26,Goal,1
Centre shot,4.0,6,0,GRE,1.0,RANDELOVIC S,2,0 - 2,403,SRB,6:43,Goal,1
Action shot,6.0,6,0,GRE,1.0,PIJETLOVIC D,3,0 - 3,361,SRB,6:01,Goal,1
5m shot,5.0,6,1,GRE,1.0,FOUNTOULIS I,3,1 - 3,343,GRE,5:43,Goal,1
5m shot,5.0,6,2,GRE,1.0,FOUNTOULIS I,3,2 - 3,296,GRE,4:56,Goal,1
Centre shot,10.0,6,2,GRE,1.0,KOLOMVOS C,3,2 - 3,263,GRE,4:23,Saved,0
Extra player shot,6.0,6,2,GRE,1.0,PIJETLOVIC D,4,2 - 4,189,SRB,3:09,Goal,1
5m shot,6.0,6,2,GRE,1.0,KAPOTSIS M,4,2 - 4,165,GRE,2:45,Blocked,0
Centre shot,7.0,6,2,GRE,1.0,UBOVIC N,5,2 - 5,136,SRB,2:16,Goal,1
Action shot,11.0,6,2,GRE,1.0,GOUNAS A,5,2 - 5,92,GRE,1:32,Post,0
Extra player shot,12.0,6,3,GRE,1.0,VLACHOPOULOS A,5,3 - 5,55,GRE,0:55,Goal,1
Action shot,11.0,6,3,GRE,1.0,PRLAINOVIC A,5,3 - 5,4,SRB,0:04,Post,0
Action shot,10.0,6,3,GRE,2.0,FILIPOVIC F,5,3 - 5,431,SRB,7:11,Saved,0
Extra player shot,12.0,6,3,GRE,2.0,VLACHOPOULOS A,5,3 - 5,396,GRE,6:36,Saved,0
Extra player shot,8.0,6,3,GRE,2.0,ALEKSIC M,6,3 - 6,360,SRB,6:00,Goal,1
Extra player shot,5.0,6,3,GRE,2.0,FOUNTOULIS I,6,3 - 6,315,GRE,5:15,Saved,0
Extra player shot,12.0,6,3,GRE,2.0,MITROVIC S,6,3 - 6,289,SRB,4:49,Missed,0
Extra player shot,10.0,6,3,GRE,2.0,FILIPOVIC F,6,3 - 6,223,SRB,3:43,Blocked,0
5m shot,4.0,6,3,GRE,2.0,DERVISIS G,6,3 - 6,197,GRE,3:17,Saved,0
Action shot,2.0,6,3,GRE,2.0,MANDIC D,6,3 - 6,163,SRB,2:43,Saved,0
5m shot,5.0,6,3,GRE,2.0,CUK M,7,3 - 7,118,SRB,1:58,Goal,1
Extra player shot,2.0,6,4,GRE,2.0,GENIDOUNIAS K,7,4 - 7,81,GRE,1:21,Goal,1
Extra player shot,4.0,6,4,GRE,2.0,DERVISIS G,7,4 - 7,23,GRE,0:23,Missed,0
Action shot,10.0,6,4,GRE,2.0,FILIPOVIC F,7,4 - 7,5,SRB,0:05,Saved,0
5m shot,4.0,6,4,GRE,2.0,DERVISIS G,7,4 - 7,1,GRE,0:01,Saved,0
5m shot,5.0,6,4,GRE,4.0,FOUNTOULIS I,7,4 - 7,8,GRE,0:08,Saved,0
Action shot,3.0,6,4,GRE,3.0,RASOVIC V,8,4 - 8,436,SRB,7:16,Goal,1
Action shot,6.0,6,4,GRE,3.0,KAPOTSIS M,8,4 - 8,409,GRE,6:49,Saved,0
Penalty shot,5.0,6,5,GRE,3.0,FOUNTOULIS I,8,5 - 8,393,GRE,6:33,Goal,1
Extra player shot,2.0,6,5,GRE,3.0,MANDIC D,8,5 - 8,353,SRB,5:53,Missed,0
5m shot,5.0,6,5,GRE,3.0,FOUNTOULIS I,8,5 - 8,324,GRE,5:24,Post,0
Action shot,3.0,6,5,GRE,3.0,RASOVIC V,8,5 - 8,251,SRB,4:11,Saved,0
Extra player shot,10.0,6,5,GRE,3.0,KOLOMVOS C,8,5 - 8,249,GRE,4:09,Saved,0
Extra player shot,3.0,6,6,GRE,3.0,DELAKAS E,8,6 - 8,236,GRE,3:56,Goal,1
Action shot,10.0,6,6,GRE,3.0,FILIPOVIC F,9,6 - 9,196,SRB,3:16,Goal,1
Centre shot,7.0,6,7,GRE,3.0,PONTIKEAS K,9,7 - 9,146,GRE,2:26,Goal,1
5m shot,11.0,6,7,GRE,3.0,PRLAINOVIC A,9,7 - 9,130,SRB,2:10,Saved,0
5m shot,2.0,6,7,GRE,3.0,GENIDOUNIAS K,9,7 - 9,81,GRE,1:21,Post,0
Action shot,10.0,6,7,GRE,3.0,FILIPOVIC F,9,7 - 9,53,SRB,0:53,Saved,0
Extra player shot,4.0,6,7,GRE,3.0,RANDELOVIC S,10,7 - 10,7,SRB,0:07,Goal,1
5m shot,5.0,6,7,GRE,3.0,FOUNTOULIS I,10,7 - 10,1,GRE,0:01,Saved,0
Extra player shot,11.0,6,7,GRE,4.0,PRLAINOVIC A,11,7 - 11,443,SRB,7:23,Goal,1
Action shot,5.0,6,7,GRE,4.0,FOUNTOULIS I,11,7 - 11,419,GRE,6:59,Post,0
Action shot,11.0,6,7,GRE,4.0,GOUNAS A,11,7 - 11,356,GRE,5:56,Blocked,0
Extra player shot,11.0,6,7,GRE,4.0,GOUNAS A,11,7 - 11,342,GRE,5:42,Blocked,0
Action shot,12.0,6,8,GRE,4.0,VLACHOPOULOS A,11,8 - 11,291,GRE,4:51,Goal,1
Action shot,11.0,6,8,GRE,4.0,PRLAINOVIC A,11,8 - 11,244,SRB,4:04,Saved,0
5m shot,6.0,6,8,GRE,4.0,PIJETLOVIC D,11,8 - 11,187,SRB,3:07,Saved,0
Action shot,6.0,6,8,GRE,4.0,KAPOTSIS M,11,8 - 11,158,GRE,2:38,Saved,0
5m shot,12.0,6,8,GRE,4.0,MITROVIC S,11,8 - 11,129,SRB,2:09,Blocked,0
5m shot,2.0,6,8,GRE,4.0,GENIDOUNIAS K,11,8 - 11,101,GRE,1:41,Blocked,0
5m shot,10.0,6,8,GRE,4.0,FILIPOVIC F,11,8 - 11,74,SRB,1:14,Missed,0
Action shot,12.0,6,8,GRE,4.0,VLACHOPOULOS A,11,8 - 11,49,GRE,0:49,Post,0
5m shot,11.0,6,8,GRE,4.0,PRLAINOVIC A,11,8 - 11,23,SRB,0:23,Missed,0
