Action,Cap,Game,HUN,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
Turnover foul,7.0,5,8,2,NED,3.0,van BELKUM I,2 - 8,169,NED,2:49
Steal,5.0,5,8,2,NED,3.0,SZUCS G,2 - 8,169,HUN,2:49
Action shot - Blocked,5.0,5,8,2,NED,3.0,SZUCS G,2 - 8,154,HUN,2:34
Action shot - Goal,6.0,5,8,3,NED,3.0,STOMPHORST N,3 - 8,137,NED,2:17
Centre shot - Goal,10.0,5,9,3,NED,3.0,BUJKA B,3 - 9,114,HUN,1:54
Centre shot - Goal,7.0,5,9,4,NED,3.0,van BELKUM I,4 - 9,97,NED,1:37
Turnover foul,9.0,5,9,4,NED,3.0,TOTH I,4 - 9,87,HUN,1:27
Turnover foul,2.0,5,9,4,NED,3.0,SMIT Y,4 - 9,69,NED,1:09
Turnover foul,7.0,5,9,4,NED,3.0,MISKOLCZI I,4 - 9,48,HUN,0:48
Steal,11.0,5,9,4,NED,3.0,KLAASSEN L,4 - 9,48,NED,0:48
Turnover foul,7.0,5,9,4,NED,3.0,van BELKUM I,4 - 9,35,NED,0:35
Steal,8.0,5,9,4,NED,3.0,KESZTHELYI R,4 - 9,35,HUN,0:35
5m shot - Missed,11.0,5,9,4,NED,3.0,GARDA K,4 - 9,5,HUN,0:05
Starting goalkeeper,1.0,5,9,4,NED,4.0,van der MEIJDEN I,4 - 9,480,NED,8:00
Starting goalkeeper,1.0,5,9,4,NED,4.0,BOLONYAI F,4 - 9,480,HUN,8:00
Sprint won possession,5.0,5,9,4,NED,4.0,van der SLOOT S,4 - 9,480,NED,8:00
Action shot - Blocked,10.0,5,9,4,NED,4.0,GENEE D,4 - 9,451,NED,7:31
Action shot - Saved,8.0,5,9,4,NED,4.0,SEVENICH V,4 - 9,429,NED,7:09
5m shot - Missed,7.0,5,9,4,NED,4.0,MISKOLCZI I,4 - 9,400,HUN,6:40
Action shot - Post,10.0,5,9,4,NED,4.0,GENEE D,4 - 9,386,NED,6:26
Turnover foul,8.0,5,9,4,NED,4.0,KESZTHELYI R,4 - 9,372,HUN,6:12
20 sec. exclusion in field,9.0,5,9,4,NED,4.0,TOTH I,4 - 9,352,HUN,5:52
Time-Out,,5,9,4,NED,4.0,,4 - 9,351,NED,5:51
Extra player shot - Goal,2.0,5,9,5,NED,4.0,SMIT Y,5 - 9,334,NED,5:34
Turnover foul,9.0,5,9,5,NED,4.0,TOTH I,5 - 9,321,HUN,5:21
20 sec. exclusion in centre,8.0,5,9,5,NED,4.0,KESZTHELYI R,5 - 9,309,HUN,5:09
20 sec. exclusion in field,5.0,5,9,5,NED,4.0,SZUCS G,5 - 9,290,HUN,4:50
Extra player shot - Saved,7.0,5,9,5,NED,4.0,van BELKUM I,5 - 9,271,NED,4:31
Turnover foul,9.0,5,9,5,NED,4.0,TOTH I,5 - 9,244,HUN,4:04
5m shot - Saved,2.0,5,9,5,NED,4.0,SMIT Y,5 - 9,232,NED,3:52
Action shot - Goal,5.0,5,9,6,NED,4.0,van der SLOOT S,6 - 9,217,NED,3:37
Centre shot - Saved,10.0,5,9,6,NED,4.0,BUJKA B,6 - 9,193,HUN,3:13
Time-Out,,5,9,6,NED,4.0,,6 - 9,58,NED,0:58
5m shot - Saved,7.0,5,9,6,NED,4.0,van BELKUM I,6 - 9,55,NED,0:55
Turnover foul,9.0,5,9,6,NED,4.0,TOTH I,6 - 9,44,HUN,0:44
20 sec. exclusion in centre,12.0,5,9,6,NED,4.0,MENCZINGER K,6 - 9,40,HUN,0:40
Extra player shot - Saved,5.0,5,9,6,NED,4.0,van der SLOOT S,6 - 9,34,NED,0:34
Time-Out,,5,9,6,NED,4.0,,6 - 9,19,HUN,0:19
20 sec. exclusion in field,1.0,5,9,6,NED,4.0,van der MEIJDEN I,6 - 9,13,NED,0:13
Extra player shot - Goal,3.0,5,11,7,NED,4.0,ANTAL D,7 - 11,11,HUN,0:11
5m shot - Saved,11.0,5,11,7,NED,4.0,KLAASSEN L,7 - 11,6,NED,0:06
Centre shot - Saved,8.0,5,11,7,NED,4.0,SEVENICH V,7 - 11,2,NED,0:02
Starting goalkeeper,1.0,6,0,0,ESP,1.0,ESTER L,0 - 0,480,ESP,8:00
Starting goalkeeper,1.0,6,0,0,ESP,1.0,BOLONYAI F,0 - 0,480,HUN,8:00
Sprint won possession,7.0,6,0,0,ESP,1.0,MISKOLCZI I,0 - 0,480,HUN,8:00
Turnover foul,10.0,6,0,0,ESP,1.0,BUJKA B,0 - 0,457,HUN,7:37
Steal,5.0,6,0,0,ESP,1.0,ORTIZ M,0 - 0,457,ESP,7:37
20 sec. exclusion in field,5.0,6,0,0,ESP,1.0,SZUCS G,0 - 0,456,HUN,7:36
Action shot - Goal,3.0,6,0,1,ESP,1.0,ESPAR A,1 - 0,429,ESP,7:09
5m shot - Goal,5.0,6,1,1,ESP,1.0,SZUCS G,1 - 1,406,HUN,6:46
20 sec. exclusion in centre,6.0,6,1,1,ESP,1.0,TAKACS O,1 - 1,391,HUN,6:31
Extra player shot - Goal,8.0,6,1,2,ESP,1.0,PENA P,2 - 1,375,ESP,6:15
Goalkeeper substitution,13.0,6,1,2,ESP,1.0,KASO O,2 - 1,375,HUN,6:15
