Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time
5m shot - Missed,2,3.0,5,6,RUS,2.0,PROKOFYEVA E,6 - 2,384,RUS,6:24
Turnover foul,2,8.0,5,6,RUS,2.0,PERREAULT D,6 - 2,368,CAN,6:08
Steal,2,3.0,5,6,RUS,2.0,PROKOFYEVA E,6 - 2,368,RUS,6:08
Turnover foul,2,10.0,5,6,RUS,2.0,BELIAEVA O,6 - 2,350,RUS,5:50
Turnover foul,2,9.0,5,6,RUS,2.0,EGGENS C,6 - 2,328,CAN,5:28
Steal,2,3.0,5,6,RUS,2.0,PROKOFYEVA E,6 - 2,328,RUS,5:28
20 sec. exclusion in field,2,9.0,5,6,RUS,2.0,EGGENS C,6 - 2,325,CAN,5:25
Extra player shot - Goal,2,10.0,5,7,RUS,2.0,BELIAEVA O,7 - 2,305,RUS,5:05
Action shot - Blocked,2,5.0,5,7,RUS,2.0,EGGENS M,7 - 2,275,CAN,4:35
Action shot - Post,2,5.0,5,7,RUS,2.0,ANTONOVA A,7 - 2,249,RUS,4:09
Turnover foul,2,11.0,5,7,RUS,2.0,VALIN S,7 - 2,235,CAN,3:55
Steal,2,6.0,5,7,RUS,2.0,BELOVA O,7 - 2,235,RUS,3:55
Action shot - Blocked,2,6.0,5,7,RUS,2.0,BELOVA O,7 - 2,210,RUS,3:30
Action shot - Goal,3,4.0,5,7,RUS,2.0,WRIGHT E,7 - 3,184,CAN,3:04
Centre shot - Goal,3,7.0,5,8,RUS,2.0,TANKEEVA E,8 - 3,163,RUS,2:43
Action shot - Blocked,3,7.0,5,8,RUS,2.0,BEKHAZI J,8 - 3,139,CAN,2:19
Centre shot - Saved,3,12.0,5,8,RUS,2.0,ZELENTSOVA E,8 - 3,126,RUS,2:06
5m shot - Post,3,10.0,5,8,RUS,2.0,ROBINSON C,8 - 3,97,CAN,1:37
20 sec. exclusion in centre,3,3.0,5,8,RUS,2.0,MONTON K,8 - 3,75,CAN,1:15
Extra player shot - Saved,3,10.0,5,8,RUS,2.0,BELIAEVA O,8 - 3,60,RUS,1:00
Turnover foul,3,10.0,5,8,RUS,2.0,ROBINSON C,8 - 3,35,CAN,0:35
5m shot - Blocked,3,3.0,5,8,RUS,2.0,PROKOFYEVA E,8 - 3,10,RUS,0:10
Starting goalkeeper,3,13.0,5,8,RUS,3.0,KARNAUKH A,8 - 3,480,RUS,8:00
Starting goalkeeper,3,1.0,5,8,RUS,3.0,RELTON M,8 - 3,480,CAN,8:00
