Action,CAN,Cap,Game,Opponent,Opponent name,Period,Player,Score,Seconds,Team,Time,Result,Goal
Action shot,3,5.0,1,2,GBR,2.0,EGGENS M,3 - 2,412,CAN,6:52,Missed,0
Extra player shot,4,10.0,1,2,GBR,2.0,ROBINSON C,4 - 2,351,CAN,5:51,Goal,1
Extra player shot,4,4.0,1,3,GBR,2.0,GIBSON-BYRNE C,4 - 3,312,GBR,5:12,Goal,1
Action shot,4,2.0,1,4,GBR,2.0,WILCOX C,4 - 4,278,GBR,4:38,Goal,1
Extra player shot,4,4.0,1,4,GBR,2.0,WRIGHT E,4 - 4,243,CAN,4:03,Blocked,0
Action shot,4,5.0,1,4,GBR,2.0,HOY A,4 - 4,212,GBR,3:32,Blocked,0
5m shot,4,5.0,1,4,GBR,2.0,HOY A,4 - 4,199,GBR,3:19,Saved,0
5m shot,4,10.0,1,4,GBR,2.0,ROBINSON C,4 - 4,176,CAN,2:56,Post,0
Extra player shot,4,4.0,1,5,GBR,2.0,GIBSON-BYRNE C,4 - 5,141,GBR,2:21,Goal,1
Extra player shot,5,11.0,1,5,GBR,2.0,VALIN S,5 - 5,121,CAN,2:01,Goal,1
Centre shot,5,2.0,1,5,GBR,2.0,WILCOX C,5 - 5,92,GBR,1:32,Saved,0
Centre shot,6,2.0,1,5,GBR,2.0,ALOGBO K,6 - 5,78,CAN,1:18,Goal,1
Action shot,7,4.0,1,5,GBR,2.0,WRIGHT E,7 - 5,44,CAN,0:44,Goal,1
Action shot,7,3.0,1,5,GBR,2.0,McCANN F,7 - 5,17,GBR,0:17,Post,0
Action shot,7,4.0,1,5,GBR,3.0,GIBSON-BYRNE C,7 - 5,406,GBR,6:46,Missed,0
5m shot,7,5.0,1,5,GBR,3.0,EGGENS M,7 - 5,378,CAN,6:18,Saved,0
5m shot,7,5.0,1,5,GBR,3.0,EGGENS M,7 - 5,360,CAN,6:00,Blocked,0
Centre shot,8,2.0,1,5,GBR,3.0,ALOGBO K,8 - 5,315,CAN,5:15,Goal,1
Action shot,8,5.0,1,5,GBR,3.0,EGGENS M,8 - 5,274,CAN,4:34,Blocked,0
5m shot,8,8.0,1,6,GBR,3.0,MUSGROVE H,8 - 6,251,GBR,4:11,Goal,1
Action shot,8,5.0,1,6,GBR,3.0,EGGENS M,8 - 6,232,CAN,3:52,Post,0
Action shot,8,7.0,1,6,GBR,3.0,BEKHAZI J,8 - 6,186,CAN,3:06,Post,0
5m shot,8,2.0,1,6,GBR,3.0,WILCOX C,8 - 6,158,GBR,2:38,Post,0
Penalty shot,9,7.0,1,6,GBR,3.0,BEKHAZI J,9 - 6,142,CAN,2:22,Goal,1
5m shot,9,4.0,1,7,GBR,3.0,GIBSON-BYRNE C,9 - 7,123,GBR,2:03,Goal,1
Action shot,9,8.0,1,8,GBR,3.0,MUSGROVE H,9 - 8,74,GBR,1:14,Goal,1
Action shot,10,6.0,1,8,GBR,3.0,BARON la SALLE S,10 - 8,64,CAN,1:04,Goal,1
Action shot,10,3.0,1,8,GBR,3.0,McCANN F,10 - 8,40,GBR,0:40,Saved,0
5m shot,11,7.0,1,8,GBR,3.0,BEKHAZI J,11 - 8,13,CAN,0:13,Goal,1
Action shot,12,10.0,1,8,GBR,4.0,ROBINSON C,12 - 8,449,CAN,7:29,Goal,1
5m shot,12,11.0,1,8,GBR,4.0,CLAYTON F,12 - 8,422,GBR,7:02,Blocked,0
5m shot,12,5.0,1,8,GBR,4.0,EGGENS M,12 - 8,394,CAN,6:34,Saved,0
5m shot,13,4.0,1,8,GBR,4.0,WRIGHT E,13 - 8,353,CAN,5:53,Goal,1
Action shot,13,5.0,1,8,GBR,4.0,EGGENS M,13 - 8,314,CAN,5:14,Blocked,0
5m shot,13,4.0,1,9,GBR,4.0,GIBSON-BYRNE C,13 - 9,286,GBR,4:46,Goal,1
5m shot,13,7.0,1,9,GBR,4.0,BEKHAZI J,13 - 9,262,CAN,4:22,Post,0
5m shot,13,5.0,1,9,GBR,4.0,EGGENS M,13 - 9,221,CAN,3:41,Saved,0
Extra player shot,13,4.0,1,9,GBR,4.0,GIBSON-BYRNE C,13 - 9,150,GBR,2:30,Saved,0
Action shot,13,4.0,1,9,GBR,4.0,GIBSON-BYRNE C,13 - 9,143,GBR,2:23,Saved,0
Action shot,13,11.0,1,9,GBR,4.0,VALIN S,13 - 9,114,CAN,1:54,Post,0
Centre shot,14,2.0,1,9,GBR,4.0,ALOGBO K,14 - 9,62,CAN,1:02,Goal,1
Action shot,14,11.0,1,9,GBR,4.0,CLAYTON F,14 - 9,21,GBR,0:21,Saved,0
Action shot,0,10.0,2,0,USA,1.0,ROBINSON C,0 - 0,432,CAN,7:12,Post,0
Action shot,0,2.0,2,1,USA,1.0,SILVER L,1 - 0,409,USA,6:49,Goal,1
Action shot,0,10.0,2,1,USA,1.0,ROBINSON C,1 - 0,388,CAN,6:28,Missed,0
Action shot,0,6.0,2,1,USA,1.0,STEFFENS M,1 - 0,364,USA,6:04,Post,0
Action shot,0,6.0,2,1,USA,1.0,STEFFENS M,1 - 0,315,USA,5:15,Post,0
Action shot,0,8.0,2,1,USA,1.0,PERREAULT D,1 - 0,285,CAN,4:45,Saved,0
Centre shot,0,12.0,2,2,USA,1.0,CRAIG K,2 - 0,269,USA,4:29,Goal,1
Action shot,0,12.0,2,2,USA,1.0,RADU M,2 - 0,247,CAN,4:07,Blocked,0
5m shot,0,4.0,2,2,USA,1.0,FATTAL R,2 - 0,217,USA,3:37,Missed,0
Action shot,0,9.0,2,2,USA,1.0,KRAUS J,2 - 0,178,USA,2:58,Missed,0
Extra player shot,0,3.0,2,3,USA,1.0,SEIDEMANN M,3 - 0,119,USA,1:59,Goal,1
Action shot,0,3.0,2,4,USA,1.0,SEIDEMANN M,4 - 0,81,USA,1:21,Goal,1
Action shot,0,5.0,2,4,USA,1.0,EGGENS M,4 - 0,60,CAN,1:00,Missed,0
Extra player shot,1,8.0,2,4,USA,1.0,PERREAULT D,4 - 1,4,CAN,0:04,Goal,1
5m shot,1,3.0,2,4,USA,1.0,SEIDEMANN M,4 - 1,1,USA,0:01,Saved,0
Extra player shot,2,8.0,2,4,USA,2.0,PERREAULT D,4 - 2,446,CAN,7:26,Goal,1
Action shot,2,4.0,2,4,USA,2.0,WRIGHT E,4 - 2,398,CAN,6:38,Post,0
Action shot,2,7.0,2,5,USA,2.0,MATHEWSON C,5 - 2,359,USA,5:59,Goal,1
Action shot,2,7.0,2,5,USA,2.0,BEKHAZI J,5 - 2,342,CAN,5:42,Saved,0
Extra player shot,2,8.0,2,5,USA,2.0,PERREAULT D,5 - 2,302,CAN,5:02,Blocked,0
Extra player shot,3,2.0,2,5,USA,2.0,ALOGBO K,5 - 3,301,CAN,5:01,Goal,1
Action shot,3,7.0,2,5,USA,2.0,MATHEWSON C,5 - 3,278,USA,4:38,Post,0
Action shot,3,9.0,2,5,USA,2.0,EGGENS C,5 - 3,249,CAN,4:09,Missed,0
Centre shot,3,11.0,2,6,USA,2.0,DRIES A,6 - 3,236,USA,3:56,Goal,1
Action shot,3,7.0,2,6,USA,2.0,MATHEWSON C,6 - 3,125,USA,2:05,Post,0
Action shot,3,5.0,2,6,USA,2.0,EGGENS M,6 - 3,97,CAN,1:37,Blocked,0
Centre shot,3,9.0,2,6,USA,2.0,EGGENS C,6 - 3,54,CAN,0:54,Saved,0
Extra player shot,3,7.0,2,6,USA,2.0,MATHEWSON C,6 - 3,12,USA,0:12,Blocked,0
5m shot,3,2.0,2,6,USA,2.0,ALOGBO K,6 - 3,1,CAN,0:01,Saved,0
Action shot,3,10.0,2,6,USA,3.0,ROBINSON C,6 - 3,457,CAN,7:37,Saved,0
Extra player shot,3,6.0,2,7,USA,3.0,STEFFENS M,7 - 3,414,USA,6:54,Goal,1
5m shot,3,2.0,2,7,USA,3.0,SILVER L,7 - 3,355,USA,5:55,Saved,0
Action shot,3,4.0,2,7,USA,3.0,WRIGHT E,7 - 3,335,CAN,5:35,Post,0
Counter attack,3,2.0,2,8,USA,3.0,SILVER L,8 - 3,322,USA,5:22,Goal,1
Action shot,3,9.0,2,8,USA,3.0,EGGENS C,8 - 3,303,CAN,5:03,Blocked,0
Action shot,3,7.0,2,8,USA,3.0,MATHEWSON C,8 - 3,276,USA,4:36,Blocked,0
Action shot,3,7.0,2,8,USA,3.0,BEKHAZI J,8 - 3,250,CAN,4:10,Saved,0
Action shot,3,9.0,2,9,USA,3.0,KRAUS J,9 - 3,229,USA,3:49,Goal,1
Action shot,4,11.0,2,9,USA,3.0,VALIN S,9 - 4,217,CAN,3:37,Goal,1
Action shot,4,7.0,2,9,USA,3.0,BEKHAZI J,9 - 4,169,CAN,2:49,Missed,0
5m shot,4,7.0,2,9,USA,3.0,MATHEWSON C,9 - 4,139,USA,2:19,Missed,0
Action shot,5,8.0,2,9,USA,3.0,PERREAULT D,9 - 5,104,CAN,1:44,Goal,1
Action shot,5,9.0,2,9,USA,3.0,EGGENS C,9 - 5,76,CAN,1:16,Blocked,0
Action shot,5,8.0,2,9,USA,3.0,NEUSHUL K,9 - 5,52,USA,0:52,Blocked,0
Action shot,5,9.0,2,9,USA,3.0,KRAUS J,9 - 5,5,USA,0:05,Saved,0
Action shot,6,4.0,2,9,USA,4.0,WRIGHT E,9 - 6,459,CAN,7:39,Goal,1
Extra player shot,6,8.0,2,10,USA,4.0,NEUSHUL K,10 - 6,423,USA,7:03,Goal,1
5m shot,7,4.0,2,10,USA,4.0,WRIGHT E,10 - 7,397,CAN,6:37,Goal,1
Extra player shot,7,10.0,2,10,USA,4.0,RULON K,10 - 7,360,USA,6:00,Post,0
Penalty shot,8,7.0,2,10,USA,4.0,BEKHAZI J,10 - 8,343,CAN,5:43,Goal,1
5m shot,8,3.0,2,10,USA,4.0,SEIDEMANN M,10 - 8,315,USA,5:15,Missed,0
5m shot,8,5.0,2,10,USA,4.0,EGGENS M,10 - 8,290,CAN,4:50,Missed,0
5m shot,8,6.0,2,10,USA,4.0,STEFFENS M,10 - 8,260,USA,4:20,Post,0
Action shot,8,8.0,2,10,USA,4.0,PERREAULT D,10 - 8,234,CAN,3:54,Saved,0
Action shot,8,4.0,2,10,USA,4.0,FATTAL R,10 - 8,188,USA,3:08,Missed,0
Action shot,8,8.0,2,10,USA,4.0,PERREAULT D,10 - 8,162,CAN,2:42,Saved,0
5m shot,8,4.0,2,10,USA,4.0,WRIGHT E,10 - 8,15,CAN,0:15,Missed,0
Action shot,0,8.0,3,1,GRE,1.0,ROUMPESI A,0 - 1,438,GRE,7:18,Goal,1
Action shot,0,2.0,3,2,GRE,1.0,TSOUKALA C,0 - 2,381,GRE,6:21,Goal,1
5m shot,0,7.0,3,2,GRE,1.0,BEKHAZI J,0 - 2,352,CAN,5:52,Saved,0
Centre shot,0,7.0,3,2,GRE,1.0,ASIMAKI A,0 - 2,328,GRE,5:28,Missed,0
Action shot,0,5.0,3,2,GRE,1.0,EGGENS M,0 - 2,308,CAN,5:08,Saved,0
Action shot,0,2.0,3,3,GRE,1.0,TSOUKALA C,0 - 3,276,GRE,4:36,Goal,1
Action shot,0,2.0,3,3,GRE,1.0,TSOUKALA C,0 - 3,233,GRE,3:53,Saved,0
Action shot,1,7.0,3,3,GRE,1.0,BEKHAZI J,1 - 3,211,CAN,3:31,Goal,1
Penalty shot,1,7.0,3,3,GRE,1.0,BEKHAZI J,1 - 3,172,CAN,2:52,Post,0
Action shot,1,6.0,3,3,GRE,1.0,AVRAMIDOU A,1 - 3,139,GRE,2:19,Blocked,0
Centre shot,1,7.0,3,3,GRE,1.0,ASIMAKI A,1 - 3,56,GRE,0:56,Post,0
Centre shot,2,3.0,3,3,GRE,1.0,MONTON K,2 - 3,32,CAN,0:32,Goal,1
Action shot,2,8.0,3,3,GRE,2.0,ROUMPESI A,2 - 3,453,GRE,7:33,Saved,0
5m shot,2,7.0,3,3,GRE,2.0,BEKHAZI J,2 - 3,436,CAN,7:16,Saved,0
Centre shot,3,2.0,3,3,GRE,2.0,ALOGBO K,3 - 3,419,CAN,6:59,Goal,1
5m shot,4,5.0,3,3,GRE,2.0,EGGENS M,4 - 3,370,CAN,6:10,Goal,1
Centre shot,4,7.0,3,4,GRE,2.0,ASIMAKI A,4 - 4,349,GRE,5:49,Goal,1
Extra player shot,4,3.0,3,4,GRE,2.0,MONTON K,4 - 4,304,CAN,5:04,Saved,0
Action shot,4,2.0,3,4,GRE,2.0,TSOUKALA C,4 - 4,261,GRE,4:21,Saved,0
Centre shot,4,2.0,3,4,GRE,2.0,ALOGBO K,4 - 4,241,CAN,4:01,Post,0
Extra player shot,4,11.0,3,4,GRE,2.0,PLEVRITOU E,4 - 4,207,GRE,3:27,Saved,0
5m shot,4,6.0,3,4,GRE,2.0,BARON la SALLE S,4 - 4,182,CAN,3:02,Blocked,0
Action shot,4,6.0,3,4,GRE,2.0,BARON la SALLE S,4 - 4,132,CAN,2:12,Missed,0
Action shot,4,11.0,3,5,GRE,2.0,PLEVRITOU E,4 - 5,106,GRE,1:46,Goal,1
Action shot,4,4.0,3,6,GRE,2.0,PSOUNI I,4 - 6,50,GRE,0:50,Goal,1
5m shot,4,4.0,3,6,GRE,2.0,WRIGHT E,4 - 6,22,CAN,0:22,Saved,0
5m shot,4,2.0,3,6,GRE,2.0,TSOUKALA C,4 - 6,2,GRE,0:02,Post,0
Action shot,5,5.0,3,6,GRE,3.0,EGGENS M,5 - 6,412,CAN,6:52,Goal,1
5m shot,5,7.0,3,6,GRE,3.0,BEKHAZI J,5 - 6,352,CAN,5:52,Blocked,0
Penalty shot,5,7.0,3,6,GRE,3.0,BEKHAZI J,5 - 6,351,CAN,5:51,Saved,0
Action shot,5,8.0,3,6,GRE,3.0,ROUMPESI A,5 - 6,310,GRE,5:10,Blocked,0
Counter attack,6,7.0,3,6,GRE,3.0,BEKHAZI J,6 - 6,299,CAN,4:59,Goal,1
Centre shot,6,7.0,3,6,GRE,3.0,ASIMAKI A,6 - 6,273,GRE,4:33,Post,0
Action shot,6,6.0,3,6,GRE,3.0,BARON la SALLE S,6 - 6,245,CAN,4:05,Saved,0
Centre shot,6,3.0,3,6,GRE,3.0,MONTON K,6 - 6,230,CAN,3:50,Saved,0
Action shot,6,8.0,3,6,GRE,3.0,ROUMPESI A,6 - 6,201,GRE,3:21,Saved,0
Action shot,6,12.0,3,6,GRE,3.0,RADU M,6 - 6,175,CAN,2:55,Missed,0
Centre shot,6,7.0,3,6,GRE,3.0,ASIMAKI A,6 - 6,157,GRE,2:37,Saved,0
5m shot,6,11.0,3,6,GRE,3.0,VALIN S,6 - 6,130,CAN,2:10,Post,0
Action shot,6,10.0,3,6,GRE,3.0,MANOLIOUDAKI T,6 - 6,94,GRE,1:34,Blocked,0
Action shot,6,2.0,3,6,GRE,3.0,TSOUKALA C,6 - 6,16,GRE,0:16,Post,0
5m shot,7,5.0,3,6,GRE,3.0,EGGENS M,7 - 6,3,CAN,0:03,Goal,1
5m shot,7,8.0,3,6,GRE,3.0,ROUMPESI A,7 - 6,1,GRE,0:01,Saved,0
Action shot,7,8.0,3,6,GRE,4.0,ROUMPESI A,7 - 6,433,GRE,7:13,Post,0
Extra player shot,7,5.0,3,6,GRE,4.0,EGGENS M,7 - 6,409,CAN,6:49,Saved,0
Extra player shot,7,6.0,3,6,GRE,4.0,AVRAMIDOU A,7 - 6,380,GRE,6:20,Saved,0
Action shot,7,9.0,3,6,GRE,4.0,EGGENS C,7 - 6,353,CAN,5:53,Saved,0
5m shot,7,9.0,3,6,GRE,4.0,EGGENS C,7 - 6,336,CAN,5:36,Saved,0
Action shot,7,6.0,3,6,GRE,4.0,AVRAMIDOU A,7 - 6,310,GRE,5:10,Post,0
Action shot,7,6.0,3,7,GRE,4.0,AVRAMIDOU A,7 - 7,269,GRE,4:29,Goal,1
Centre shot,7,10.0,3,7,GRE,4.0,ROBINSON C,7 - 7,247,CAN,4:07,Post,0
Action shot,7,6.0,3,7,GRE,4.0,AVRAMIDOU A,7 - 7,220,GRE,3:40,Missed,0
Extra player shot,7,8.0,3,7,GRE,4.0,PERREAULT D,7 - 7,177,CAN,2:57,Blocked,0
Extra player shot,7,7.0,3,8,GRE,4.0,ASIMAKI A,7 - 8,140,GRE,2:20,Goal,1
Action shot,8,5.0,3,8,GRE,4.0,EGGENS M,8 - 8,43,CAN,0:43,Goal,1
5m shot,8,8.0,3,8,GRE,4.0,ROUMPESI A,8 - 8,13,GRE,0:13,Saved,0
Extra player shot,1,4.0,4,0,KAZ,1.0,WRIGHT E,1 - 0,453,CAN,7:33,Goal,1
5m shot,1,6.0,4,0,KAZ,1.0,ZUBKOVA A,1 - 0,423,KAZ,7:03,Saved,0
5m shot,2,10.0,4,0,KAZ,1.0,ROBINSON C,2 - 0,404,CAN,6:44,Goal,1
5m shot,2,10.0,4,0,KAZ,1.0,GRITSENKO M,2 - 0,377,KAZ,6:17,Saved,0
Action shot,2,5.0,4,0,KAZ,1.0,EGGENS M,2 - 0,347,CAN,5:47,Saved,0
5m shot,2,7.0,4,0,KAZ,1.0,ALEXANDROVA N,2 - 0,323,KAZ,5:23,Missed,0
Counter attack,2,4.0,4,1,KAZ,1.0,TUROVA A,2 - 1,306,KAZ,5:06,Goal,1
5m shot,2,9.0,4,1,KAZ,1.0,EGGENS C,2 - 1,286,CAN,4:46,Saved,0
Centre shot,2,9.0,4,1,KAZ,1.0,JAKAYEVA A,2 - 1,265,KAZ,4:25,Saved,0
Action shot,2,11.0,4,1,KAZ,1.0,VALIN S,2 - 1,236,CAN,3:56,Saved,0
Action shot,2,6.0,4,1,KAZ,1.0,BARON la SALLE S,2 - 1,213,CAN,3:33,Missed,0
5m shot,2,10.0,4,1,KAZ,1.0,GRITSENKO M,2 - 1,183,KAZ,3:03,Blocked,0
5m shot,2,11.0,4,1,KAZ,1.0,VALIN S,2 - 1,162,CAN,2:42,Saved,0
Centre shot,3,2.0,4,1,KAZ,1.0,ALOGBO K,3 - 1,161,CAN,2:41,Goal,1
Extra player shot,3,10.0,4,2,KAZ,1.0,GRITSENKO M,3 - 2,120,KAZ,2:00,Goal,1
Action shot,3,7.0,4,2,KAZ,1.0,BEKHAZI J,3 - 2,114,CAN,1:54,Saved,0
Extra player shot,3,4.0,4,2,KAZ,1.0,TUROVA A,3 - 2,68,KAZ,1:08,Saved,0
Action shot,3,7.0,4,2,KAZ,1.0,BEKHAZI J,3 - 2,44,CAN,0:44,Post,0
Action shot,4,5.0,4,2,KAZ,1.0,EGGENS M,4 - 2,0,CAN,0:00,Goal,1
Extra player shot,4,12.0,4,2,KAZ,2.0,MUSSAROVA A,4 - 2,421,KAZ,7:01,Post,0
Action shot,4,12.0,4,2,KAZ,2.0,RADU M,4 - 2,348,CAN,5:48,Missed,0
Action shot,4,3.0,4,2,KAZ,2.0,AKILBAYEVA A,4 - 2,329,KAZ,5:29,Post,0
Action shot,5,5.0,4,2,KAZ,2.0,EGGENS M,5 - 2,305,CAN,5:05,Goal,1
Action shot,6,9.0,4,2,KAZ,2.0,EGGENS C,6 - 2,265,CAN,4:25,Goal,1
Centre shot,6,9.0,4,2,KAZ,2.0,JAKAYEVA A,6 - 2,253,KAZ,4:13,Missed,0
Extra player shot,7,6.0,4,2,KAZ,2.0,BARON la SALLE S,7 - 2,231,CAN,3:51,Goal,1
5m shot,7,4.0,4,2,KAZ,2.0,TUROVA A,7 - 2,200,KAZ,3:20,Post,0
Action shot,7,6.0,4,2,KAZ,2.0,BARON la SALLE S,7 - 2,116,CAN,1:56,Saved,0
Action shot,7,10.0,4,2,KAZ,2.0,GRITSENKO M,7 - 2,103,KAZ,1:43,Saved,0
Action shot,7,5.0,4,2,KAZ,2.0,EGGENS M,7 - 2,75,CAN,1:15,Saved,0
Centre shot,7,9.0,4,3,KAZ,2.0,JAKAYEVA A,7 - 3,54,KAZ,0:54,Goal,1
5m shot,8,5.0,4,3,KAZ,2.0,EGGENS M,8 - 3,38,CAN,0:38,Goal,1
Extra player shot,9,5.0,4,3,KAZ,2.0,EGGENS M,9 - 3,1,CAN,0:01,Goal,1
Centre shot,9,9.0,4,3,KAZ,4.0,JAKAYEVA A,9 - 3,23,KAZ,0:23,Blocked,0
Action shot,10,8.0,4,3,KAZ,3.0,PERREAULT D,10 - 3,420,CAN,7:00,Goal,1
Action shot,10,5.0,4,3,KAZ,3.0,EGGENS M,10 - 3,388,CAN,6:28,Saved,0
Centre shot,10,3.0,4,3,KAZ,3.0,MONTON K,10 - 3,348,CAN,5:48,Missed,0
Action shot,10,9.0,4,3,KAZ,3.0,JAKAYEVA A,10 - 3,324,KAZ,5:24,Saved,0
Extra player shot,10,10.0,4,4,KAZ,3.0,GRITSENKO M,10 - 4,261,KAZ,4:21,Goal,1
Action shot,10,7.0,4,4,KAZ,3.0,BEKHAZI J,10 - 4,245,CAN,4:05,Saved,0
5m shot,10,2.0,4,5,KAZ,3.0,SHEPELINA N,10 - 5,216,KAZ,3:36,Goal,1
Action shot,11,8.0,4,5,KAZ,3.0,PERREAULT D,11 - 5,201,CAN,3:21,Goal,1
5m shot,11,10.0,4,5,KAZ,3.0,GRITSENKO M,11 - 5,174,KAZ,2:54,Blocked,0
5m shot,11,11.0,4,5,KAZ,3.0,VALIN S,11 - 5,151,CAN,2:31,Post,0
Action shot,11,7.0,4,5,KAZ,3.0,ALEXANDROVA N,11 - 5,120,KAZ,2:00,Saved,0
Action shot,11,2.0,4,6,KAZ,3.0,SHEPELINA N,11 - 6,110,KAZ,1:50,Goal,1
Centre shot,11,2.0,4,6,KAZ,3.0,ALOGBO K,11 - 6,88,CAN,1:28,Saved,0
Centre shot,12,12.0,4,6,KAZ,3.0,RADU M,12 - 6,59,CAN,0:59,Goal,1
Extra player shot,12,3.0,4,6,KAZ,3.0,AKILBAYEVA A,12 - 6,23,KAZ,0:23,Saved,0
5m shot,12,5.0,4,6,KAZ,3.0,EGGENS M,12 - 6,1,CAN,0:01,Missed,0
Action shot,13,4.0,4,6,KAZ,4.0,WRIGHT E,13 - 6,459,CAN,7:39,Goal,1
Action shot,13,4.0,4,6,KAZ,4.0,TUROVA A,13 - 6,390,KAZ,6:30,Saved,0
Action shot,14,9.0,4,6,KAZ,4.0,EGGENS C,14 - 6,374,CAN,6:14,Goal,1
Action shot,14,3.0,4,7,KAZ,4.0,AKILBAYEVA A,14 - 7,328,KAZ,5:28,Goal,1
Action shot,14,11.0,4,7,KAZ,4.0,VALIN S,14 - 7,300,CAN,5:00,Saved,0
Action shot,14,3.0,4,7,KAZ,4.0,AKILBAYEVA A,14 - 7,278,KAZ,4:38,Blocked,0
Action shot,14,10.0,4,7,KAZ,4.0,ROBINSON C,14 - 7,251,CAN,4:11,Saved,0
5m shot,14,9.0,4,7,KAZ,4.0,EGGENS C,14 - 7,142,CAN,2:22,Saved,0
Action shot,14,8.0,4,7,KAZ,4.0,PERREAULT D,14 - 7,87,CAN,1:27,Saved,0
Action shot,14,2.0,4,7,KAZ,4.0,SHEPELINA N,14 - 7,19,KAZ,0:19,Blocked,0
Action shot,14,6.0,4,8,KAZ,4.0,ZUBKOVA A,14 - 8,5,KAZ,0:05,Goal,1
5m shot,14,5.0,4,8,KAZ,4.0,EGGENS M,14 - 8,1,CAN,0:01,Blocked,0
5m shot,0,3.0,5,1,RUS,1.0,PROKOFYEVA E,1 - 0,457,RUS,7:37,Goal,1
Counter attack,0,11.0,5,2,RUS,1.0,IVANOVA E,2 - 0,430,RUS,7:10,Goal,1
Action shot,0,5.0,5,2,RUS,1.0,EGGENS M,2 - 0,408,CAN,6:48,Missed,0
Action shot,0,7.0,5,2,RUS,1.0,BEKHAZI J,2 - 0,359,CAN,5:59,Post,0
5m shot,0,11.0,5,3,RUS,1.0,IVANOVA E,3 - 0,335,RUS,5:35,Goal,1
5m shot,0,5.0,5,3,RUS,1.0,ANTONOVA A,3 - 0,303,RUS,5:03,Missed,0
5m shot,0,5.0,5,3,RUS,1.0,EGGENS M,3 - 0,268,CAN,4:28,Saved,0
Action shot,0,5.0,5,3,RUS,1.0,EGGENS M,3 - 0,221,CAN,3:41,Post,0
Action shot,0,11.0,5,3,RUS,1.0,IVANOVA E,3 - 0,198,RUS,3:18,Saved,0
Centre shot,1,3.0,5,3,RUS,1.0,MONTON K,3 - 1,181,CAN,3:01,Goal,1
Centre shot,1,7.0,5,3,RUS,1.0,TANKEEVA E,3 - 1,162,RUS,2:42,Saved,0
Action shot,1,9.0,5,3,RUS,1.0,EGGENS C,3 - 1,134,CAN,2:14,Post,0
Action shot,1,8.0,5,3,RUS,1.0,PERREAULT D,3 - 1,116,CAN,1:56,Saved,0
Counter attack,1,3.0,5,4,RUS,1.0,PROKOFYEVA E,4 - 1,100,RUS,1:40,Goal,1
Action shot,2,7.0,5,4,RUS,1.0,BEKHAZI J,4 - 2,73,CAN,1:13,Goal,1
Extra player shot,2,6.0,5,5,RUS,1.0,BELOVA O,5 - 2,27,RUS,0:27,Goal,1
5m shot,2,3.0,5,5,RUS,1.0,PROKOFYEVA E,5 - 2,4,RUS,0:04,Saved,0
Extra player shot,2,5.0,5,6,RUS,2.0,ANTONOVA A,6 - 2,443,RUS,7:23,Goal,1
Action shot,2,7.0,5,6,RUS,2.0,BEKHAZI J,6 - 2,414,CAN,6:54,Post,0
5m shot,2,3.0,5,6,RUS,2.0,PROKOFYEVA E,6 - 2,384,RUS,6:24,Missed,0
Extra player shot,2,10.0,5,7,RUS,2.0,BELIAEVA O,7 - 2,305,RUS,5:05,Goal,1
Action shot,2,5.0,5,7,RUS,2.0,EGGENS M,7 - 2,275,CAN,4:35,Blocked,0
Action shot,2,5.0,5,7,RUS,2.0,ANTONOVA A,7 - 2,249,RUS,4:09,Post,0
